代號,名稱,Date,現價,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
3529.TWO,力旺,20260514,3920.0,-123,2256,2379,-18.3x,-16.68%,★ 壓低偷買
6907.TWO,雅特力-KY,20260514,122.0,-294,2057,2351,-7.0x,-7.92%,★ 壓低偷買
7788.TW,松川精密,20260514,206.0,493,2770,2276,5.6x,20.12%,▲ 順勢追意
6462.TWO,神盾,20260514,131.5,799,3031,2231,3.8x,3.95%,▲ 順勢追意
7712.TWO,博盛半導體,20260514,168.0,-198,1997,2196,-10.1x,37.14%,▲ 順勢追意
5464.TWO,霖宏,20260514,59.5,3028,5204,2175,1.7x,24.87%,▲ 順勢追意
00757.TW,統一FANG+,20260514,129.05,755,2907,2151,3.8x,3.70%,▲ 順勢追意
00931B.TWO,統一美債20年,20260514,13.31,-2113,32,2145,-0.0x,-0.82%,★ 壓低偷買
00720B.TWO,元大投資級公司債,20260514,32.79,3513,5634,2120,1.6x,-0.18%,★ 壓低偷買
1718.TW,中纖,20260514,6.68,-1186,927,2114,-0.8x,5.20%,▲ 順勢追意
5452.TWO,佶優,20260514,32.85,67,2123,2055,31.2x,-0.30%,★ 壓低偷買
2032.TW,新鋼,20260514,16.9,708,2711,2002,3.8x,0.90%,▲ 順勢追意
009814.TWO,富邦標普500,20260514,10.93,-1353,646,1999,-0.5x,1.67%,▲ 順勢追意
2009.TW,第一銅,20260514,40.6,219,2198,1978,10.0x,3.31%,▲ 順勢追意
2368.TW,金像電,20260514,1430.0,-303,1670,1974,-5.5x,-1.38%,★ 壓低偷買
4934.TW,太極,20260514,17.35,-1682,192,1874,-0.1x,-8.44%,★ 壓低偷買
9960.TWO,邁達康,20260514,35.2,-1859,8,1867,-0.0x,2.03%,▲ 順勢追意
3024.TW,憶聲,20260514,16.55,-26,1834,1860,-69.9x,13.36%,▲ 順勢追意
00719B.TWO,元大美債1-3,20260514,30.88,-386,1472,1859,-3.8x,0.49%,★ 壓低偷買
4764.TW,雙鍵,20260514,310.0,-1690,167,1857,-0.1x,-6.06%,★ 壓低偷買
00694B.TWO,富邦美債1-3年,20260514,41.5,646,2495,1849,3.9x,0.46%,★ 壓低偷買
6525.TW,捷敏-KY,20260514,116.5,-1658,162,1820,-0.1x,6.39%,▲ 順勢追意
3363.TWO,上詮,20260514,902.0,-289,1490,1780,-5.1x,10.67%,▲ 順勢追意
3290.TWO,東浦,20260514,48.4,-382,1365,1747,-3.6x,2.87%,▲ 順勢追意
