代號,名稱,Date,現價,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
7765.TW,中華資安,20260514,245.0,-49,33,83,-0.7x,0.82%,▲ 順勢追意
6506.TWO,雙邦,20260514,19.65,-6,73,80,-10.8x,12.61%,▲ 順勢追意
2852.TW,第一保,20260514,26.5,11,91,80,7.9x,1.53%,▲ 順勢追意
7786.TW,東方風能,20260514,131.0,11,90,79,8.2x,-4.73%,★ 壓低偷買
3564.TWO,其陽,20260514,41.1,-47,27,74,-0.6x,2.62%,▲ 順勢追意
2221.TWO,大甲,20260514,45.75,5,77,71,12.9x,27.44%,▲ 順勢追意
6561.TWO,是方,20260514,346.0,-62,8,71,-0.1x,3.44%,▲ 順勢追意
6472.TW,保瑞,20260514,363.0,-31,40,71,-1.3x,-12.32%,★ 壓低偷買
3504.TW,揚明光,20260514,71.4,78,150,71,1.9x,9.34%,▲ 順勢追意
6870.TWO,騰雲,20260514,191.0,-5,64,70,-11.0x,6.11%,▲ 順勢追意
6161.TWO,捷波,20260514,45.9,-11,58,69,-5.1x,4.32%,▲ 順勢追意
3672.TWO,康聯訊,20260514,10.95,-61,1,63,-0.0x,-8.75%,★ 壓低偷買
00780B.TWO,國泰A級金融債,20260514,37.0,-26,35,62,-1.3x,-1.15%,★ 壓低偷買
3567.TWO,逸昌,20260514,28.25,-15,46,62,-3.0x,-4.40%,★ 壓低偷買
6894.TWO,衛司特,20260514,351.5,-39,22,61,-0.6x,2.48%,▲ 順勢追意
00876.TW,元大全球5G,20260514,85.5,-8,50,58,-5.9x,2.58%,▲ 順勢追意
4128.TWO,中天,20260514,15.15,141,200,58,1.4x,-0.33%,★ 壓低偷買
7703.TWO,銳澤,20260514,215.0,-17,41,58,-2.4x,0.70%,▲ 順勢追意
00768B.TWO,復華20年美債,20260514,50.25,56,113,57,2.0x,-0.79%,★ 壓低偷買
00666R.TW,富邦�琤肭磪齯�1,20260514,8.75,0,57,57,新進貨,0.34%,★ 壓低偷買
2883B.TW,凱基金乙特,20260514,8.21,-26,29,56,-1.1x,0.00%,★ 壓低偷買
1533.TW,車王電,20260514,34.7,50,107,56,2.1x,2.36%,▲ 順勢追意
4585.TW,達明,20260514,333.5,3,58,54,新進貨,-1.19%,★ 壓低偷買
4166.TWO,友霖,20260514,26.25,9,63,54,6.9x,-0.19%,★ 壓低偷買
6214.TW,精誠,20260514,122.0,96,149,53,1.6x,-2.40%,★ 壓低偷買
3015.TW,全漢,20260514,50.1,-40,8,49,-0.2x,-2.34%,★ 壓低偷買
5220.TWO,萬達光電,20260514,22.45,0,47,47,新進貨,10.86%,▲ 順勢追意
3432.TW,台端,20260514,19.15,-15,31,47,-2.0x,-7.93%,★ 壓低偷買
8935.TWO,邦泰,20260514,19.05,186,232,46,1.2x,1.33%,▲ 順勢追意
6657.TW,華安,20260514,39.8,-33,11,45,-0.4x,-3.16%,★ 壓低偷買
6996.TWO,力領科技,20260514,189.5,101,145,44,1.4x,0.26%,★ 壓低偷買
5225.TW,東科-KY,20260514,70.8,63,104,41,1.7x,-7.93%,★ 壓低偷買
4503.TWO,金雨,20260514,44.1,-21,19,40,-0.9x,2.68%,▲ 順勢追意
3666.TWO,光耀,20260514,29.0,-5,34,40,-5.9x,9.23%,▲ 順勢追意
8089.TWO,康全電訊,20260514,20.3,91,131,39,1.4x,-2.87%,★ 壓低偷買
7823.TW,奧義賽博-KY創,20260514,98.5,-5,34,39,-6.4x,8.72%,▲ 順勢追意
8059.TWO,凱碩,20260514,19.6,-32,4,36,-0.1x,-4.39%,★ 壓低偷買
8072.TW,陞泰,20260514,27.2,32,69,36,2.1x,-4.56%,★ 壓低偷買
6499.TWO,益安,20260514,83.7,72,107,35,1.5x,3.21%,▲ 順勢追意
1308.TW,亞聚,20260514,13.3,421,455,34,1.1x,-3.27%,★ 壓低偷買
2466.TW,冠西電,20260514,48.4,-14,19,33,-1.3x,-9.02%,★ 壓低偷買
6689.TW,伊雲谷,20260514,66.8,-12,20,32,-1.7x,-5.52%,★ 壓低偷買
6160.TWO,欣技,20260514,16.4,4,37,32,新進貨,5.13%,▲ 順勢追意
1786.TW,科妍,20260514,51.5,70,101,31,1.4x,-10.59%,★ 壓低偷買
2025.TW,千興,20260514,12.2,11,42,30,3.6x,2.09%,▲ 順勢追意
1256.TW,鮮活果汁-KY,20260514,185.0,10,41,30,3.8x,10.12%,▲ 順勢追意
8097.TWO,常珵,20260514,52.5,1,32,30,新進貨,1.74%,▲ 順勢追意
00761B.TWO,國泰A級公司債,20260514,34.15,-10,18,29,-1.7x,-1.39%,★ 壓低偷買
1626.TW,艾美特-KY,20260514,10.0,13,43,29,3.1x,-10.31%,★ 壓低偷買
1438.TW,三地開發,20260514,20.85,2,31,29,新進貨,3.73%,▲ 順勢追意
7760.TWO,,20260514,34.2,0,26,26,新進貨,-0.58%,★ 壓低偷買
7760.TWO,,20260514,34.2,0,26,26,新進貨,-0.58%,★ 壓低偷買
006201.TWO,元大富櫃50,20260514,49.03,11,37,26,3.4x,4.70%,▲ 順勢追意
9908.TW,大台北,20260514,29.25,16,42,26,2.6x,-0.68%,★ 壓低偷買
3557.TW,嘉威,20260514,28.35,-3,22,26,新進貨,-5.66%,★ 壓低偷買
3002.TW,歐格,20260514,17.1,39,65,26,1.7x,-5.52%,★ 壓低偷買
5478.TWO,智冠,20260514,99.0,-13,13,26,-1.0x,3.12%,▲ 順勢追意
3499.TWO,環天科,20260514,14.6,-9,16,25,-1.7x,-6.11%,★ 壓低偷買
2038.TW,海光,20260514,13.5,11,36,25,3.2x,-4.93%,★ 壓低偷買
1570.TWO,力肯,20260514,39.8,76,101,24,1.3x,4.19%,▲ 順勢追意
6811.TWO,宏�硌穈T,20260514,207.5,0,23,24,新進貨,-2.12%,★ 壓低偷買
6641.TW,基士德-KY,20260514,18.35,-21,2,24,-0.1x,-3.93%,★ 壓低偷買
3623.TWO,富晶通,20260514,22.85,-15,9,24,-0.6x,-1.72%,★ 壓低偷買
4554.TWO,橙的,20260514,30.85,2,24,22,新進貨,2.83%,▲ 順勢追意
6276.TWO,安鈦克,20260514,29.5,2,25,22,新進貨,-1.34%,★ 壓低偷買
6901.TW,鑽石投資,20260514,14.25,14,36,22,2.5x,7.95%,▲ 順勢追意
2616.TW,山隆,20260514,13.65,3,25,22,新進貨,-2.85%,★ 壓低偷買
4147.TWO,中裕,20260514,53.7,100,122,21,1.2x,9.82%,▲ 順勢追意
3609.TWO,三一東林,20260514,27.85,58,80,21,1.4x,23.23%,▲ 順勢追意
6028.TWO,公勝保經,20260514,82.2,0,20,20,新進貨,4.71%,▲ 順勢追意
5201.TWO,凱衛,20260514,28.8,-14,6,20,-0.5x,-6.04%,★ 壓低偷買
8933.TWO,愛地雅,20260514,5.57,-10,9,19,-1.0x,-4.95%,★ 壓低偷買
8024.TWO,佑華,20260514,12.2,-18,0,19,-0.0x,-2.40%,★ 壓低偷買
1709.TW,和益,20260514,18.4,16,34,18,2.1x,-0.54%,★ 壓低偷買
3492.TWO,長盛,20260514,22.6,-17,0,18,-0.0x,-1.31%,★ 壓低偷買
6461.TWO,益得,20260514,16.5,-10,6,17,-0.6x,-3.51%,★ 壓低偷買
1436.TW,華友聯,20260514,48.05,10,27,17,2.6x,-2.04%,★ 壓低偷買
2380.TW,虹光,20260514,5.86,-13,3,16,-0.2x,3.72%,▲ 順勢追意
4420.TWO,光明,20260514,40.5,-2,14,16,新進貨,-2.41%,★ 壓低偷買
3541.TWO,西柏,20260514,23.0,-10,5,16,-0.5x,-0.65%,★ 壓低偷買
2423.TW,固緯,20260514,73.4,27,43,16,1.6x,13.80%,▲ 順勢追意
3297.TWO,杭特,20260514,31.35,-15,0,15,-0.0x,-1.72%,★ 壓低偷買
3652.TW,精聯,20260514,30.2,-8,6,15,-0.8x,0.83%,▲ 順勢追意
6228.TWO,全譜,20260514,22.7,0,14,14,新進貨,1.34%,▲ 順勢追意
2434.TW,統懋,20260514,30.4,-13,0,14,-0.0x,-6.46%,★ 壓低偷買
6918.TW,愛派司,20260514,76.0,1,14,13,新進貨,2.43%,▲ 順勢追意
7736.TW,虎山,20260514,71.5,-1,10,12,新進貨,-6.78%,★ 壓低偷買
3171.TWO,炎洲流通,20260514,69.0,0,12,12,新進貨,2.53%,▲ 順勢追意
3664.TWO,安瑞-KY,20260514,10.25,0,11,11,新進貨,44.37%,▲ 順勢追意
6585.TW,鼎基,20260514,91.1,2,14,11,新進貨,3.17%,▲ 順勢追意
3581.TWO,博磊,20260514,226.0,154,165,11,1.1x,0.22%,★ 壓低偷買
6169.TWO,昱泉,20260514,15.0,-9,1,11,-0.1x,-11.50%,★ 壓低偷買
8099.TWO,大世科,20260514,59.5,-6,5,11,-0.9x,-3.72%,★ 壓低偷買
3713.TWO,新晶投控,20260514,13.8,-7,3,11,-0.5x,-2.13%,★ 壓低偷買
6167.TWO,久正,20260514,11.85,55,67,11,1.2x,-2.47%,★ 壓低偷買
6158.TWO,禾昌,20260514,17.9,-8,2,11,-0.3x,-3.50%,★ 壓低偷買
8908.TWO,欣雄,20260514,40.05,-1,9,11,新進貨,2.43%,▲ 順勢追意
8930.TWO,青鋼,20260514,28.95,0,12,11,新進貨,-2.03%,★ 壓低偷買
2420.TW,新巨,20260514,56.9,26,37,11,1.4x,2.52%,▲ 順勢追意
2028.TW,威致,20260514,16.65,-8,3,11,-0.4x,-2.63%,★ 壓低偷買
8931.TWO,大汽電,20260514,42.6,0,10,10,新進貨,2.40%,▲ 順勢追意
7715.TWO,裕山,20260514,27.57,-10,0,10,-0.1x,3.34%,▲ 順勢追意
1337.TW,再生-KY,20260514,4.9,19,29,10,1.5x,-2.58%,★ 壓低偷買
3094.TW,聯傑,20260514,32.8,1921,1930,9,1.0x,-1.65%,★ 壓低偷買
4440.TW,宜新實業,20260514,19.25,1,10,9,新進貨,8.76%,▲ 順勢追意
6925.TWO,意藍,20260514,61.9,-3,4,8,新進貨,-6.07%,★ 壓低偷買
5523.TWO,豐謙,20260514,30.25,-2,5,8,新進貨,-0.33%,★ 壓低偷買
6629.TWO,泰金-KY,20260514,126.0,1,9,7,新進貨,5.88%,▲ 順勢追意
2007.TW,燁興,20260514,7.08,-6,1,7,-0.2x,-4.07%,★ 壓低偷買
6194.TWO,育富,20260514,32.3,-6,1,7,-0.2x,0.31%,★ 壓低偷買
3685.TWO,元創精密,20260514,28.15,-7,0,7,-0.1x,-3.92%,★ 壓低偷買
4130.TWO,健亞,20260514,28.2,24,31,7,1.3x,3.11%,▲ 順勢追意
5016.TWO,松和,20260514,25.45,0,8,7,新進貨,-0.39%,★ 壓低偷買
4163.TWO,鐿鈦,20260514,107.5,0,5,6,新進貨,13.52%,▲ 順勢追意
6474.TWO,華豫寧,20260514,38.7,-2,3,6,新進貨,-3.37%,★ 壓低偷買
1456.TW,怡華,20260514,13.25,-4,1,6,新進貨,-6.69%,★ 壓低偷買
6508.TWO,惠光,20260514,24.15,4,11,6,新進貨,-1.63%,★ 壓低偷買
00893.TW,國泰智能電動車,20260514,45.77,842,848,6,1.0x,4.28%,▲ 順勢追意
910322.TW,康師傅-DR,20260514,25.1,0,6,6,新進貨,3.08%,▲ 順勢追意
910322.TW,康師傅-DR,20260514,25.1,0,6,6,新進貨,3.08%,▲ 順勢追意
1339.TW,昭輝,20260514,40.45,1,8,6,新進貨,-0.25%,★ 壓低偷買
8102.TWO,傑霖科技,20260514,63.2,0,7,6,新進貨,-7.06%,★ 壓低偷買
5604.TWO,中連,20260514,32.0,-5,0,5,-0.1x,2.89%,▲ 順勢追意
6988.TW,威力暘-創,20260514,15.55,0,5,5,新進貨,9.89%,▲ 順勢追意
1324.TW,地球,20260514,10.3,5,10,5,2.0x,0.98%,▲ 順勢追意
6614.TW,資拓宏宇,20260514,40.3,-2,2,5,新進貨,-2.54%,★ 壓低偷買
5487.TWO,通泰,20260514,28.1,0,6,5,新進貨,-1.75%,★ 壓低偷買
3540.TWO,曜越,20260514,26.65,34,40,5,1.2x,-4.48%,★ 壓低偷買
1295.TWO,生合,20260514,50.9,0,5,5,新進貨,-9.11%,★ 壓低偷買
5516.TWO,雙喜,20260514,10.95,-1,3,5,新進貨,0.00%,★ 壓低偷買
2063.TWO,世鎧,20260514,25.5,0,4,5,新進貨,0.79%,▲ 順勢追意
5276.TWO,達輝-KY,20260514,19.75,-2,1,4,新進貨,-6.62%,★ 壓低偷買
9962.TWO,有益,20260514,9.5,-1,2,4,新進貨,0.32%,★ 壓低偷買
4545.TW,銘鈺,20260514,29.95,0,3,4,新進貨,-2.28%,★ 壓低偷買
5481.TWO,新華,20260514,20.1,0,4,4,新進貨,-2.90%,★ 壓低偷買
6624.TWO,萬年清,20260514,46.2,0,3,4,新進貨,-7.51%,★ 壓低偷買
6620.TWO,漢達,20260514,69.5,11,14,3,1.3x,-1.70%,★ 壓低偷買
8433.TWO,弘帆,20260514,53.0,2,6,3,新進貨,-1.85%,★ 壓低偷買
6649.TWO,台生材,20260514,39.25,0,3,3,新進貨,-0.63%,★ 壓低偷買
6569.TWO,醫揚,20260514,99.1,2,5,3,新進貨,-0.90%,★ 壓低偷買
5353.TWO,台林,20260514,26.0,-2,0,3,新進貨,-2.07%,★ 壓低偷買
2432.TW,倚天酷��-創,20260514,26.25,-1,2,3,新進貨,-3.67%,★ 壓低偷買
5547.TWO,久舜,20260514,21.35,-1,2,3,新進貨,-2.29%,★ 壓低偷買
1537.TW,廣隆,20260514,126.0,6,10,3,1.5x,2.44%,▲ 順勢追意
2066.TWO,世德,20260514,55.6,-1,2,3,新進貨,24.66%,▲ 順勢追意
2397.TW,友通,20260514,61.0,135,138,3,1.0x,1.84%,▲ 順勢追意
3310.TWO,佳穎,20260514,70.1,0,1,2,新進貨,1.59%,▲ 順勢追意
4728.TWO,雙美,20260514,381.0,0,1,2,新進貨,-0.65%,★ 壓低偷買
8272.TWO,全景軟體,20260514,73.7,0,2,2,新進貨,6.50%,▲ 順勢追意
1538.TW,正峰,20260514,12.2,0,1,2,新進貨,0.00%,★ 壓低偷買
6020.TWO,大展證,20260514,21.5,0,1,2,新進貨,10.54%,▲ 順勢追意
00760B.TWO,復華新興企業債,20260514,54.0,-1,1,2,新進貨,-0.55%,★ 壓低偷買
6560.TWO,欣普羅,20260514,37.7,2,5,2,新進貨,-2.58%,★ 壓低偷買
1410.TW,南染,20260514,27.1,-1,0,2,新進貨,-3.21%,★ 壓低偷買
9926.TW,新海,20260514,49.0,1,3,2,新進貨,-0.91%,★ 壓低偷買
8467.TW,波力-KY,20260514,131.0,0,1,2,新進貨,0.00%,★ 壓低偷買
7782.TWO,光速火箭,20260514,26.55,0,2,1,新進貨,-3.63%,★ 壓低偷買
6225.TW,天瀚,20260514,31.9,0,1,1,新進貨,32.64%,▲ 順勢追意
6997.TWO,博弘,20260514,74.5,-1,0,1,新進貨,4.63%,▲ 順勢追意
8472.TWO,夠麻吉,20260514,71.0,0,1,1,新進貨,-1.80%,★ 壓低偷買
1583.TW,程泰,20260514,46.7,1,2,1,新進貨,-3.61%,★ 壓低偷買
3632.TWO,研勤,20260514,8.32,0,1,1,新進貨,-2.12%,★ 壓低偷買
6934.TW,心誠鎂,20260514,74.7,0,1,1,新進貨,-4.96%,★ 壓低偷買
