om,status,prev_year,eps_yoy,rev_yoy,pe,est_price,price,symbol,name,prev_rev_yoy,prev_eps_yoy,prev_eps,date,eps,expansion,gm,advice
-58.34%,🚀 利潤擴張,2025,17.57,0.19,0.0,-20.55,53.7000007629,4147.TWO,中裕,-0.63,-20.0,-0.36,2025-12,-0.61,17.38,28.91%,⚪ 數據不足
N/A,🧐 疑業外收益,2025,12.0,-5.34,4.715909090909092,65.99999999999999,20.75,2477.TW,美隆電,-5.96,15.33,1.58,2025-12,1.68,17.34,N/A,💎 強力關注
8.37%,🧐 疑業外收益,2025,14.36,-2.98,7.860824742268041,87.30000000000001,45.75,2221.TWO,大甲,0.76,28.36,1.72,2025-12,2.31,17.34,20.63%,💎 強力關注
16.47%,🚀 利潤擴張,2025,45.05,27.72,7.899022801302931,276.3,145.5,2421.TW,建準,27.79,45.85,5.65,2025-12,7.94,17.33,32.82%,💎 強力關注
N/A,🧐 疑業外收益,2025,13.93,-3.04,29.3285310007718,583.0500000000001,1140.0,6187.TWO,萬潤,13.75,29.69,12.1,2025-12,15.46,16.97,N/A,⚠️ 追價風險
N/A,🚀 利潤擴張,2025,22.61,5.66,11.288244520789052,93.14999999999999,70.0999984741,7547.TWO,碩網,11.11,41.18,2.13,2025-12,2.65,16.95,N/A,💎 強力關注
21.55%,🚀 利潤擴張,2025,24.54,7.68,12.520281233098972,277.35,231.5,2472.TW,立隆電,8.92,4.85,5.19,2025-12,8.73,16.86,32.60%,✅ 穩健價值
N/A,🚀 利潤擴張,2025,31.78,15.15,7.990032969136213,45.15,24.0499992371,8034.TWO,榮群,71.04,208.57,1.09,2025-12,1.42,16.630000000000003,N/A,💎 強力關注
N/A,🚀 利潤擴張,2025,32.54,15.92,4.789473773438596,128.25,40.9500007629,5515.TW,建國,28.4,20.75,2.91,2025-12,4.48,16.619999999999997,N/A,💎 強力關注
21.14%,🚀 利潤擴張,2025,16.56,0.05,4.442952815315436,111.75,33.0999984741,2851.TW,中再保,-7.87,-23.95,2.0,2025-12,3.66,16.509999999999998,24.99%,💎 強力關注
-22.91%,🚀 利潤擴張,2025,41.55,25.06,0.0,-66.3,17.4500007629,3593.TW,力銘,43.83,7.69,-1.8,2025-12,-1.4,16.49,-4.13%,⚪ 數據不足
N/A,🧐 疑業外收益,2025,12.64,-3.47,6.197916666666667,288.0,119.0,8436.TWO,大江,-3.22,16.0,5.89,2025-12,8.68,16.11,N/A,💎 強力關注
4.63%,🚀 利潤擴張,2025,41.92,25.86,4.459477210035465,2283.9,679.0,2357.TW,華碩,23.74,11.41,44.63,2025-12,59.99,16.060000000000002,15.94%,💎 強力關注
N/A,🚀 利潤擴張,2025,43.01,27.06,45.76534576534577,193.04999999999998,589.0,4979.TWO,華星光,34.44,37.64,3.73,2025-12,5.43,15.95,N/A,⚠️ 追價風險
10.89%,🚀 利潤擴張,2025,28.24,12.31,6.547368501368421,71.25,31.1000003815,1593.TWO,祺驊,12.07,26.73,1.28,2025-12,2.18,15.929999999999998,31.32%,💎 強力關注
N/A,🚀 利潤擴張,2025,55.56,39.69,0.0,-8.85,10.5500001907,5302.TWO,太欣,22.1,0.0,-0.2,2025-12,-0.12,15.870000000000005,N/A,⚪ 數據不足
N/A,🚀 利潤擴張,2025,95.65,79.86,0.0,-8.85,28.2000007629,6969.TW,成信實業*-創,95.06,87.3,-0.24,2025-12,-0.09,15.790000000000006,N/A,⚪ 數據不足
-32.45%,🚀 利潤擴張,2025,34.88,19.09,0.0,-41.099999999999994,99.5,3234.TWO,光環,19.64,45.03,-0.94,2025-12,-1.4,15.790000000000003,8.38%,⚪ 數據不足
9.94%,🚀 利潤擴張,2025,24.18,8.39,26.61486158329286,308.85,548.0,3711.TW,日月光投控,7.92,11.64,5.99,2025-12,9.37,15.79,19.52%,⚠️ 追價風險
-18.36%,🚀 利潤擴張,2025,26.25,10.54,0.0,0.0,0.0,1799.TWO,易威,12.53,44.44,-0.35,2025-12,-0.59,15.71,41.11%,⚪ 數據不足
N/A,🚀 利潤擴張,2025,16.81,1.16,0.0,-49.95,29.0499992371,6124.TWO,業強,12.2,-22.86,-0.86,2025-12,-0.99,15.649999999999999,N/A,⚪ 數據不足
N/A,🚀 利潤擴張,2025,75.21,59.96,42.81450872359963,653.4000000000001,1865.0,5289.TWO,宜鼎,41.37,33.7,12.46,2025-12,21.72,15.249999999999993,N/A,⚠️ 追價風險
18.42%,🏰 高護城河,2025,20.66,5.54,10.810014952268041,101.85,73.4000015259,2423.TW,固緯,4.13,26.58,2.0,2025-12,2.92,15.120000000000001,51.76%,💎 強力關注
N/A,🧐 疑業外收益,2025,14.63,-0.4,0.0,-15.449999999999998,21.75,6222.TWO,立軒,12.72,16.13,-0.31,2025-12,-0.4,15.030000000000001,N/A,⚪ 數據不足
54.00%,🏰 高護城河,2025,46.42,31.61,14.52614065399629,2344.0499999999997,2270.0,2330.TW,台積電,36.39,51.8,46.75,2025-12,66.26,14.810000000000002,62.33%,✅ 穩健價值
N/A,🚀 利潤擴張,2025,17.48,2.77,6.315436139208053,111.75000000000001,47.0499992371,6509.TWO,聚和,4.39,9.22,2.35,2025-12,2.87,14.71,N/A,💎 強力關注
N/A,🧐 疑業外收益,2025,11.54,-2.79,0.0,0.0,38.5,6722.TW,輝創,-0.96,-11.4,2.02,2025-12,2.9,14.329999999999998,N/A,⚪ 數據不足
5.38%,🧐 疑業外收益,2025,8.0,-6.25,7.716836734693878,58.8,30.25,1225.TW,福懋油,-5.83,-6.67,1.12,2025-12,1.62,14.25,10.74%,💎 強力關注
N/A,🧐 疑業外收益,2025,11.76,-2.37,0.0,0.0,0.0,6614.TW,資拓宏宇,15.97,163.64,0.87,2025-12,2.08,14.129999999999999,N/A,⚪ 數據不足
N/A,🚀 利潤擴張,2025,44.26,30.15,0.0,0.0,173.5,7738.TWO,東聯互動,32.44,75.19,11.58,2025-12,14.61,14.11,N/A,⚪ 數據不足
15.49%,🚀 利潤擴張,2025,30.18,16.1,30.893536121673005,315.59999999999997,650.0,1560.TW,中砂,15.28,9.71,6.02,2025-12,9.28,14.079999999999998,34.18%,⚠️ 追價風險
N/A,🚀 利潤擴張,2025,56.1,42.16,14.460093538544601,31.95,30.7999992371,5864.TWO,致和證,-34.55,-53.39,1.17,2025-12,2.56,13.940000000000005,N/A,✅ 穩健價值
N/A,🧐 疑業外收益,2025,13.14,-0.76,10.799999734626086,86.25,62.0999984741,8048.TWO,德勝,-5.79,5.03,1.67,2025-12,2.67,13.9,N/A,💎 強力關注
7.24%,🚀 利潤擴張,2025,25.87,11.98,6.356466756624606,47.55,20.1499996185,3703.TW,欣陸,-3.98,-42.14,0.92,2025-12,1.8,13.89,13.84%,💎 強力關注
N/A,🚀 利潤擴張,2025,14.29,0.42,0.0,-7.199999999999999,31.8999996185,6225.TW,天瀚,-19.16,-375.0,-0.19,2025-12,-0.06,13.87,N/A,⚪ 數據不足
N/A,🚀 利潤擴張,2025,21.15,7.36,5.850340395561224,88.20000000000002,34.4000015259,5457.TWO,宣德,11.53,-11.11,1.54,2025-12,2.77,13.79,N/A,💎 強力關注
32.37%,🏰 高護城河,2025,28.3,14.52,7.239263920674848,24.45,11.8000001907,2836.TW,高雄銀,13.69,28.21,0.49,2025-12,0.68,13.780000000000001,89.95%,💎 強力關注
-33.95%,🌑 雙重衰退,2025,-9.8,-23.43,0.0,-76.95,7.0799999237,2007.TW,燁興,-17.76,0.0,-1.54,2025-12,-2.24,13.629999999999999,-29.22%,⚪ 數據不足
N/A,🚀 利潤擴張,2025,22.08,8.58,36.072423398328695,215.39999999999998,518.0,6727.TWO,亞泰金屬,-2.39,-7.17,4.14,2025-12,6.8,13.499999999999998,N/A,⚠️ 追價風險
1.57%,🧐 疑業外收益,2025,10.87,-2.6,11.650793892984124,47.25000000000001,36.7000007629,3704.TW,合勤控,6.34,633.33,1.13,2025-12,1.56,13.469999999999999,30.58%,💎 強力關注
N/A,🚀 利潤擴張,2025,44.34,30.88,0.0,0.0,0.0,6272.TW,驊陞,41.28,137.1,2.94,2025-12,3.43,13.460000000000004,N/A,⚪ 數據不足
-27.74%,🧐 疑業外收益,2025,6.63,-6.83,0.0,-262.95000000000005,50.4000015259,4927.TW,泰鼎-KY,-4.71,31.27,-4.9,2025-12,-8.65,13.46,-13.35%,⚪ 數據不足
N/A,🧐 疑業外收益,2025,10.59,-2.8,6.289865343727853,846.5999999999999,355.0,6414.TW,樺漢,-3.72,28.02,17.04,2025-12,23.26,13.39,N/A,💎 強力關注
N/A,🚀 利潤擴張,2025,47.62,34.56,0.0,0.0,234.5,7810.TWO,捷創科技,23.91,56.59,3.21,2025-12,6.25,13.059999999999995,N/A,⚪ 數據不足
N/A,🚀 利潤擴張,2025,25.0,12.22,25.632183031149424,13.05,22.2999992371,6603.TWO,富強鑫,9.61,-35.71,0.27,2025-12,0.61,12.78,N/A,⚠️ 追價風險
N/A,🚀 利潤擴張,2025,51.64,38.99,3.75,288.0,72.0,6625.TW,必應,33.28,68.94,6.5,2025-12,9.13,12.649999999999999,N/A,💎 強力關注
N/A,🚀 利潤擴張,2025,17.71,5.25,12.92270531400966,124.20000000000002,107.0,8103.TW,瀚荃,4.44,2.54,2.47,2025-12,3.92,12.46,N/A,✅ 穩健價值
10.97%,🚀 利潤擴張,2025,17.23,4.87,20.424292845257906,180.29999999999998,245.5,2313.TW,華通,4.46,9.06,3.61,2025-12,5.51,12.36,18.70%,⚪ 中性觀察
N/A,🚀 利潤擴張,2025,22.25,9.96,5.789122455789123,449.54999999999995,173.5,8416.TWO,實威,13.82,24.85,8.34,2025-12,13.46,12.29,N/A,💎 強力關注
1.48%,🚀 利潤擴張,2025,19.21,6.95,9.12521453909091,87.44999999999999,53.2000007629,2356.TW,英業達,15.92,35.04,1.85,2025-12,2.42,12.260000000000002,5.21%,💎 強力關注
7.02%,🚀 利潤擴張,2025,94.5,82.32,11.576271703694916,44.25,34.1500015259,3379.TWO,彬台,71.69,100.0,0.5,2025-12,2.12,12.180000000000007,13.52%,💎 強力關注
N/A,🚀 利潤擴張,2025,52.82,40.64,74.29501084598698,3595.8,17810.0,5274.TWO,信驊,52.48,67.72,72.23,2025-12,103.92,12.18,N/A,⚠️ 追價風險
N/A,🚀 利潤擴張,2025,66.99,55.14,1.9112903841048388,186.0,23.7000007629,5206.TWO,坤悅,56.94,61.14,3.69,2025-12,3.44,11.849999999999994,N/A,💎 強力關注
2.40%,🚀 利潤擴張,2025,18.15,6.36,5.697050938337802,111.9,42.5,2013.TW,中鋼構,10.09,13.5,2.27,2025-12,3.19,11.79,4.40%,💎 強力關注
23.11%,🧐 疑業外收益,2025,1.75,-9.99,0.0,-48.6,17.7000007629,4142.TW,國光生,-35.17,-137.78,-1.09,2025-12,-0.57,11.74,49.56%,⚪ 數據不足
28.21%,🚀 利潤擴張,2025,41.67,30.08,11.849479583666936,374.69999999999993,296.0,2449.TW,京元電子,27.65,52.55,7.17,2025-12,9.01,11.590000000000003,37.66%,💎 強力關注
N/A,🚀 利潤擴張,2025,13.14,1.59,11.206029767386935,29.849999999999998,22.2999992371,6016.TWO,康和證,-12.49,-23.97,1.11,2025-12,1.98,11.55,N/A,💎 強力關注
-125.48%,🌑 雙重衰退,2025,-20.55,-31.79,0.0,-99.60000000000001,106.0,3055.TW,蔚華科,-39.2,-19.72,-1.73,2025-12,-2.68,11.239999999999998,16.83%,⚪ 數據不足
N/A,🚀 利潤擴張,2025,31.09,19.97,10.904843865256948,610.05,443.5,6788.TWO,華景電,19.97,34.48,12.09,2025-12,17.36,11.120000000000001,N/A,💎 強力關注
N/A,🚀 利潤擴張,2025,15.38,4.4,29.014598540145982,41.1,79.5,8074.TWO,鉅橡,4.12,-10.99,0.81,2025-12,1.35,10.98,N/A,⚠️ 追價風險
24.30%,🚀 利潤擴張,2025,64.8,54.05,32.6782449725777,656.4,1430.0,2368.TW,金像電,49.83,50.06,13.61,2025-12,19.47,10.75,33.66%,⚠️ 追價風險
17.08%,🚀 利潤擴張,2025,21.94,11.54,10.709056682702363,717.1500000000001,512.0,3044.TW,健鼎,11.61,25.96,14.75,2025-12,19.45,10.400000000000002,25.47%,💎 強力關注
4.34%,🚀 利潤擴張,2025,30.21,19.94,11.774193001469532,41.85,32.8499984741,2468.TW,華經,25.51,32.76,0.77,2025-12,1.25,10.27,11.41%,💎 強力關注
12.48%,🏰 高護城河,2025,-80.68,-90.93,416.8749809262502,1.1999999999999993,33.3499984741,2527.TW,宏璟,-70.82,-55.04,0.6,2025-12,0.93,10.25,61.03%,⚠️ 追價風險
2.59%,🧐 疑業外收益,2025,4.73,-5.32,0.0,0.0,0.0,1218.TW,泰山,-6.62,-16.8,1.07,2025-12,1.59,10.05,16.49%,⚪ 數據不足
1.75%,🚀 利潤擴張,2025,32.83,22.78,10.115499254843519,402.59999999999997,271.5,3036.TW,文曄,19.83,41.71,8.11,2025-12,11.61,10.049999999999997,3.74%,💎 強力關注
14.20%,🚀 利潤擴張,2025,30.29,20.3,9.039437719640766,384.15,231.5,3357.TWO,臺慶科,20.14,58.06,7.84,2025-12,10.26,9.989999999999998,28.44%,✅ 穩健價值
18.06%,🚀 利潤擴張,2025,39.18,29.32,6.59393957889697,123.75,54.4000015259,3257.TW,虹冠電,22.45,26.19,2.65,2025-12,3.42,9.86,45.11%,✅ 穩健價值
40.48%,🏰 高護城河,2025,30.06,20.44,5.975609827673546,79.95,31.8500003815,2884.TW,玉山金,15.61,23.66,1.62,2025-12,2.12,9.619999999999997,91.14%,✅ 穩健價值
-72.91%,🔄 轉虧為盈,2025,-25.0,-34.37,48.18181991590909,3.3,10.6000003815,1471.TW,首利,-27.03,-117.24,-0.05,2025-12,0.03,9.369999999999997,5.75%,⚠️ 追價風險
10.83%,🧐 疑業外收益,2025,5.37,-3.84,4.256278073026401,232.95,66.0999984741,2006.TW,東和鋼鐵,-2.5,-0.44,4.55,2025-12,6.47,9.21,15.94%,✅ 穩健價值
N/A,🚀 利潤擴張,2025,31.94,22.89,10.145647136709698,453.15000000000003,306.5,6138.TWO,茂達,21.32,24.31,9.27,2025-12,13.04,9.05,N/A,✅ 穩健價值
45.93%,🏰 高護城河,2025,13.1,4.06,7.149122472390351,68.39999999999999,32.5999984741,2880.TW,華南金,1.87,10.0,1.43,2025-12,1.9,9.04,97.25%,✅ 穩健價值
N/A,🧐 疑業外收益,2025,6.41,-2.54,0.0,-7.05,46.2999992371,6928.TW,攸泰科技,5.88,79.17,-0.1,2025-12,-0.73,8.95,N/A,⚪ 數據不足
N/A,🧐 疑業外收益,2025,2.44,-5.88,12.281105814976959,32.55,26.6499996185,5381.TWO,光譜,-6.16,12.28,0.65,2025-12,0.72,8.32,N/A,✅ 穩健價值
N/A,🚀 利潤擴張,2025,10.9,2.6,3.1690140845070425,383.4,81.0,5520.TWO,力泰,3.98,17.13,7.92,2025-12,9.97,8.3,N/A,✅ 穩健價值
-65.06%,🚀 利潤擴張,2025,15.65,7.41,0.0,-39.300000000000004,3.2699999809,4804.TWO,大略-KY,8.04,55.65,-0.65,2025-12,-1.54,8.24,-7.81%,⚪ 數據不足
N/A,🧐 疑業外收益,2025,7.5,-0.56,5.871212121212121,118.8,46.5,6470.TWO,宇智,12.82,14.07,2.27,2025-12,3.87,8.06,N/A,✅ 穩健價值
N/A,🧐 疑業外收益,2025,4.25,-3.78,5.105724600309438,290.85,99.0,5478.TWO,智冠,-8.2,-5.4,5.84,2025-12,7.93,8.03,N/A,✅ 穩健價值
8.19%,🚀 利潤擴張,2025,28.92,20.92,11.781376672651822,74.1,58.2000007629,2329.TW,華泰,19.58,-2.16,1.41,2025-12,2.45,8.0,15.35%,✅ 穩健價值
31.26%,🚀 利潤擴張,2025,49.96,42.0,37.10033076074972,1360.5,3365.0,3653.TW,健策,52.19,62.75,26.92,2025-12,36.75,7.960000000000001,41.25%,⚠️ 追價風險
8.38%,🚀 利潤擴張,2025,38.68,31.04,4.137706342311034,690.6,190.5,3611.TWO,鼎翰,40.71,23.16,13.9,2025-12,19.63,7.640000000000001,32.53%,✅ 穩健價值
N/A,🚀 利潤擴張,2025,23.44,15.91,5.9405940594059405,121.2,48.0,5212.TWO,凌網,17.89,-1.4,2.82,2025-12,4.74,7.530000000000001,N/A,✅ 穩健價值
14.85%,🚀 利潤擴張,2025,25.64,18.23,12.284264346675128,59.1,48.4000015259,3290.TWO,東浦,15.97,-0.64,1.22,2025-12,2.02,7.41,30.40%,✅ 穩健價值
-5.62%,🧐 疑業外收益,2025,6.35,-0.93,0.0,-45.89999999999999,20.3999996185,3511.TWO,矽瑪,1.3,11.5,-1.0,2025-12,-1.18,7.279999999999999,15.28%,⚪ 數據不足
-1.88%,🧐 疑業外收益,2025,4.35,-2.83,20.578033800057803,25.95,35.5999984741,1605.TW,華新,-0.21,-41.67,0.52,2025-12,0.75,7.18,4.90%,⚪ 中性觀察
13.88%,🚀 利潤擴張,2025,46.52,39.37,9.488523405024399,1659.9,1050.0,2404.TW,漢唐,30.93,52.4,34.07,2025-12,48.08,7.150000000000006,17.19%,✅ 穩健價值
5.81%,🚀 利潤擴張,2025,12.1,5.01,22.232587064676615,241.20000000000002,357.5,3026.TW,禾伸堂,5.39,5.79,4.75,2025-12,6.58,7.09,17.62%,⚠️ 追價風險
N/A,🚀 利潤擴張,2025,13.09,6.1,3.7514209928003033,395.85,99.0,8279.TWO,生展,7.66,28.46,8.62,2025-12,10.02,6.99,N/A,✅ 穩健價值
10.49%,🚀 利潤擴張,2025,28.09,21.11,12.95369211514393,239.70000000000002,207.0,2301.TW,光寶科,23.16,28.23,4.94,2025-12,6.64,6.98,21.72%,✅ 穩健價值
N/A,🌑 雙重衰退,2025,-3.49,-10.2,8.714285714285714,52.5,30.5,6662.TWO,樂斯科,-7.37,3.13,0.99,2025-12,1.66,6.709999999999999,N/A,✅ 穩健價值
2.52%,🚀 利潤擴張,2025,7.2,0.59,10.000000252615894,45.3,30.2000007629,3652.TW,精聯,0.48,10.59,0.94,2025-12,1.34,6.61,32.08%,✅ 穩健價值
N/A,🚀 利潤擴張,2025,10.11,3.7,4.920634827484737,122.85000000000002,40.2999992371,5876.TW,上海商銀,3.26,17.51,2.56,2025-12,3.06,6.409999999999999,N/A,✅ 穩健價值
N/A,🧐 疑業外收益,2025,2.97,-3.41,0.0,-168.45000000000002,164.0,6706.TW,惠特,38.55,7.98,-3.69,2025-12,-3.92,6.380000000000001,N/A,⚪ 數據不足
N/A,🚀 利潤擴張,2025,18.59,12.29,9.527824620573355,355.8,226.0,8069.TWO,元太,29.4,75.65,8.17,2025-12,9.14,6.300000000000001,N/A,✅ 穩健價值
N/A,🌑 雙重衰退,2025,-2.0,-8.29,5.173992673992673,327.6,113.0,6703.TWO,軒郁,-15.54,-23.43,5.77,2025-12,9.9,6.289999999999999,N/A,✅ 穩健價值
6.80%,🧐 疑業外收益,2025,0.5,-5.76,4.267399127673993,81.89999999999999,23.2999992371,4532.TW,瑞智,-0.93,2.8,1.5,2025-12,2.05,6.26,17.17%,✅ 穩健價值
N/A,🚀 利潤擴張,2025,8.14,1.94,35.4225352112676,213.00000000000003,503.0,6415.TW,矽力*-KY,0.55,19.44,4.31,2025-12,6.4,6.200000000000001,N/A,⚠️ 追價風險
N/A,🌑 雙重衰退,2025,-23.57,-29.66,7.60675257935452,151.04999999999998,76.5999984741,5534.TW,長虹,-38.06,-17.65,2.24,2025-12,6.0,6.09,N/A,✅ 穩健價值
14.37%,🚀 利潤擴張,2025,16.67,10.6,4.926225606853879,315.15000000000003,103.5,3005.TW,神基,9.96,15.04,6.36,2025-12,8.43,6.070000000000002,31.02%,✅ 穩健價值
N/A,🚀 利潤擴張,2025,7.69,1.81,33.76190548847619,15.75,35.4500007629,5601.TWO,台聯櫃,1.76,0.0,0.32,2025-12,0.42,5.880000000000001,N/A,⚠️ 追價風險
-65.33%,🌑 雙重衰退,2025,-12.99,-18.82,0.0,-62.85000000000001,4.9000000954,1337.TW,再生-KY,-18.71,-18.1,-1.24,2025-12,-1.74,5.83,-19.71%,⚪ 數據不足
5.88%,🧐 疑業外收益,2025,4.0,-1.68,5.90974212034384,104.69999999999999,41.25,1712.TW,興農,-2.3,6.7,2.07,2025-12,2.6,5.68,29.22%,✅ 穩健價值
N/A,🚀 利潤擴張,2025,7.03,1.36,4.092480421270527,173.55,47.3499984741,6122.TWO,擎邦,-2.12,-0.87,3.44,2025-12,4.78,5.67,N/A,✅ 穩健價值
13.35%,🌑 雙重衰退,2025,-12.16,-17.82,3.3898305084745757,70.80000000000001,16.0,3284.TWO,太普高,-29.91,-53.6,1.21,2025-12,2.31,5.66,25.16%,✅ 穩健價值
41.07%,🧐 疑業外收益,2025,3.25,-2.28,0.0,0.0,0.0,2617.TW,台航,-5.48,0.43,2.36,2025-12,3.18,5.529999999999999,46.23%,⚪ 數據不足
N/A,🧐 疑業外收益,2025,2.89,-2.32,10.342950462710942,275.55,190.0,6761.TWO,穩得,2.55,1.73,5.51,2025-12,7.34,5.21,N/A,✅ 穩健價值
N/A,🚀 利潤擴張,2025,17.33,12.14,5.410958969434931,87.6,31.6000003815,6005.TW,群益證,6.33,5.65,1.87,2025-12,2.64,5.189999999999998,N/A,✅ 穩健價值
38.59%,🏰 高護城河,2025,13.53,8.35,5.284973994430052,57.900000000000006,20.3999996185,2801.TW,彰銀,7.51,20.0,1.2,2025-12,1.51,5.18,88.90%,✅ 穩健價值
N/A,🌑 雙重衰退,2025,-14.34,-19.51,5.603588658091353,91.95000000000002,34.3499984741,9931.TW,欣高,-27.73,-6.06,1.86,2025-12,2.45,5.170000000000002,N/A,✅ 穩健價值
N/A,🚀 利潤擴張,2025,35.66,30.67,4.51043037023116,798.15,240.0,8114.TW,振樺電,69.45,86.67,15.84,2025-12,18.5,4.989999999999995,N/A,✅ 穩健價值
N/A,🌑 雙重衰退,2025,-1.26,-6.2,9.842657209283217,85.8,56.2999992371,9937.TW,全國,-6.0,-1.14,1.74,2025-12,2.36,4.94,N/A,✅ 穩健價值
3.28%,🚀 利潤擴張,2025,23.02,18.13,7.353383458646617,498.75,244.5,2317.TW,鴻海,16.23,34.73,10.38,2025-12,13.61,4.890000000000001,5.88%,✅ 穩健價值
10.58%,🧐 疑業外收益,2025,4.58,-0.31,9.770603228547154,176.54999999999998,115.0,3045.TW,台灣大,-0.87,1.8,3.49,2025-12,4.77,4.89,19.71%,✅ 穩健價值
N/A,🚀 利潤擴張,2025,31.08,26.34,13.121743249644718,316.65,277.0,6290.TWO,良維,28.79,42.86,6.2,2025-12,8.73,4.739999999999998,N/A,✅ 穩健價值
N/A,🚀 利潤擴張,2025,40.24,35.51,87.46162144220398,1807.6499999999999,10540.0,6515.TW,穎崴,32.04,39.53,33.4,2025-12,46.93,4.730000000000004,N/A,⚠️ 追價風險
-58.77%,🚀 利潤擴張,2025,6.47,1.9,0.0,-31.050000000000004,12.1999998093,1538.TW,正峰,22.91,64.0,-0.36,2025-12,-1.59,4.57,32.24%,⚪ 數據不足
-0.96%,🚀 利潤擴張,2025,9.26,4.69,4.547283778973843,74.55,22.6000003815,3492.TWO,長盛,7.91,26.36,1.63,2025-12,1.77,4.569999999999999,27.24%,✅ 穩健價值
7.94%,🚀 利潤擴張,2025,36.94,32.43,6.852035749751738,151.05,69.0,3171.TWO,炎洲流通,23.81,36.4,3.11,2025-12,4.3,4.509999999999998,25.09%,✅ 穩健價值
N/A,🚀 利潤擴張,2025,41.38,36.9,33.29355608591885,188.55,418.5,8155.TWO,博智,35.15,1.87,3.35,2025-12,6.88,4.480000000000004,N/A,⚠️ 追價風險
23.34%,🚀 利潤擴張,2025,32.78,28.3,40.78659868900218,411.90000000000003,1120.0,4749.TWO,新應材,32.03,32.29,8.49,2025-12,11.33,4.48,44.02%,⚠️ 追價風險
35.36%,🏰 高護城河,2025,8.94,4.5,6.739130307190635,44.85,20.1499996185,2838.TW,聯邦銀,-0.7,-1.98,0.91,2025-12,1.29,4.4399999999999995,94.34%,✅ 穩健價值
34.02%,🌑 雙重衰退,2025,-57.74,-62.17,2.974040675112867,132.89999999999998,26.3500003815,1442.TW,名軒,-63.75,-57.58,2.49,2025-12,3.03,4.43,49.04%,✅ 穩健價值
18.52%,🚀 利潤擴張,2025,4.45,0.1,8.276001618777824,370.65,204.5,4571.TW,鈞興-KY,4.55,7.67,7.33,2025-12,9.61,4.3500000000000005,33.35%,✅ 穩健價值
6.82%,🚀 利潤擴張,2025,18.07,13.75,115.01305483028722,114.89999999999999,881.0,3037.TW,欣興,12.28,-37.88,2.06,2025-12,4.38,4.32,15.77%,⚠️ 追價風險
N/A,🌑 雙重衰退,2025,-12.9,-17.2,51.89655238189654,8.700000000000001,30.1000003815,6220.TWO,岳豐,-20.23,-25.0,0.45,2025-12,0.81,4.299999999999999,N/A,⚠️ 追價風險
5.11%,🧐 疑業外收益,2025,2.79,-1.49,0.0,0.0,0.0,1210.TW,大成,-1.43,-9.42,2.67,2025-12,4.33,4.28,15.43%,⚪ 數據不足
6.27%,🧐 疑業外收益,2025,1.47,-2.69,10.756972111553784,150.60000000000002,108.0,3388.TWO,崇越電,-2.28,2.0,3.06,2025-12,4.15,4.16,17.90%,✅ 穩健價值
5.39%,🧐 疑業外收益,2025,1.84,-2.3,6.295399515738498,309.75000000000006,130.0,3010.TW,華立,-2.77,-5.56,6.28,2025-12,8.84,4.14,8.77%,✅ 穩健價值
-15.09%,🚀 利潤擴張,2025,9.52,5.58,0.0,-35.1,19.0,3349.TWO,寶德,28.56,48.21,-0.64,2025-12,-1.02,3.9399999999999995,15.17%,⚪ 數據不足
N/A,🚀 利潤擴張,2025,23.62,19.79,13.13084129974299,64.2,56.2000007629,8162.TW,微矽電子-創,28.35,96.15,1.53,2025-12,1.57,3.830000000000002,N/A,✅ 穩健價值
6.31%,🚀 利潤擴張,2025,11.7,8.19,5.718849840255592,469.49999999999994,179.0,3596.TW,智易,8.39,12.4,9.52,2025-12,12.6,3.51,15.29%,✅ 穩健價值
N/A,🧐 疑業外收益,2025,1.77,-1.67,13.744856595020575,72.9,66.8000030518,6689.TW,伊雲谷,2.81,-34.29,1.15,2025-12,2.31,3.44,N/A,✅ 穩健價值
N/A,🚀 利潤擴張,2025,5.99,2.65,5.103438827236608,1094.85,372.5,6121.TWO,新普,-0.37,3.45,21.26,2025-12,30.6,3.3400000000000003,N/A,✅ 穩健價值
N/A,🚀 利潤擴張,2025,16.48,13.17,4.8792272374275365,124.19999999999999,40.4000015259,6697.TWO,東捷資訊,14.74,27.0,2.54,2025-12,3.04,3.3100000000000005,N/A,✅ 穩健價值
N/A,🚀 利潤擴張,2025,23.05,19.79,5.556179861,133.49999999999997,49.4500007629,8432.TWO,東生華,18.72,11.48,3.01,2025-12,3.63,3.2600000000000016,N/A,✅ 穩健價值
N/A,🚀 利潤擴張,2025,6.16,2.91,6.490468069826688,86.55000000000001,37.4500007629,5902.TWO,德記,3.96,1.13,1.79,2025-12,2.24,3.25,N/A,✅ 穩健價值
N/A,🚀 利潤擴張,2025,11.03,7.83,11.989342806394317,168.9,135.0,6417.TWO,韋僑,8.43,9.43,3.25,2025-12,4.83,3.1999999999999993,N/A,✅ 穩健價值
15.45%,🚀 利潤擴張,2025,26.02,22.86,28.72648335745297,103.64999999999999,198.5,4931.TWO,新盛力,4.97,-8.33,1.55,2025-12,3.13,3.16,26.27%,⚠️ 追價風險
N/A,🚀 利潤擴張,2025,10.09,7.0,0.0,-105.60000000000001,48.25,6492.TWO,生華科,10.67,13.87,-2.06,2025-12,-2.97,3.09,N/A,⚪ 數據不足
11.22%,🌑 雙重衰退,2025,0.0,-3.04,10.638297872340425,42.3,30.0,3031.TW,佰鴻,-7.8,-8.25,0.89,2025-12,1.09,3.04,30.45%,✅ 穩健價值
