om,status,prev_year,eps_yoy,rev_yoy,pe,est_price,price,symbol,name,prev_rev_yoy,prev_eps_yoy,prev_eps,date,eps,expansion,gm,advice
N/A,🧐 疑業外收益,2025,1000.0,-8.11,28.37837837837838,5.55,10.5,5488.TWO,松普,-10.59,-45.45,0.06,2025-12,0.11,1008.11,N/A,⚠️ 追價風險
-0.28%,🚀 利潤擴張,2025,981.25,14.95,4.145833253854167,72.0,19.8999996185,2331.TW,精英,10.42,1700.0,1.44,2025-12,1.41,966.3,9.91%,💎 強力關注
-106.23%,🧐 疑業外收益,2025,905.92,-6.28,2.4113692397860635,245.39999999999998,39.4500007629,4123.TWO,晟德,-4.5,810.64,3.52,2025-12,12.33,912.1999999999999,41.95%,💎 強力關注
N/A,🚀 利潤擴張,2025,962.5,55.8,28.724489406683677,29.4,56.2999992371,8088.TWO,品安,38.48,133.73,0.28,2025-12,1.7,906.7,N/A,⚠️ 追價風險
N/A,🚀 利潤擴張,2025,921.74,17.09,25.28344671201814,66.15,111.5,6166.TW,凌華,23.93,357.63,1.52,2025-12,2.35,904.65,N/A,⚠️ 追價風險
7.13%,🚀 利潤擴張,2025,876.92,32.89,7.2145330039792395,43.349999999999994,20.8500003815,1529.TW,樂事綠能,34.59,977.78,0.97,2025-12,1.01,844.03,16.87%,💎 強力關注
N/A,🧐 疑業外收益,2025,830.77,-6.92,14.548022598870057,53.1,51.5,8110.TW,華東,-8.99,270.59,1.29,2025-12,2.48,837.6899999999999,N/A,✅ 穩健價值
N/A,🚀 利潤擴張,2025,840.63,24.44,187.80487804878047,67.65,847.0,8046.TW,南電,18.82,2775.0,1.15,2025-12,3.01,816.1899999999999,N/A,⚠️ 追價風險
N/A,🔄 轉虧為盈,2025,800.0,12.57,0.0,0.0,57.4000015259,6182.TWO,合晶,11.35,-350.0,-0.05,2025-12,0.09,787.43,N/A,⚪ 數據不足
-167.95%,🔄 轉虧為盈,2025,721.43,-0.57,12.019867297019864,22.650000000000006,18.1499996185,2102.TW,泰豐,1.98,-258.33,-2.22,2025-12,6.28,722.0,20.10%,✅ 穩健價值
4.40%,🧐 疑業外收益,2025,700.0,-5.37,0.0,0.0,0.0,4414.TW,如興,-4.36,107.14,0.02,2025-12,0.68,705.37,19.96%,⚪ 數據不足
5.00%,🚀 利潤擴張,2025,700.0,10.91,160.8000030516,3.75,40.2000007629,3236.TWO,千如,7.39,250.0,0.12,2025-12,0.32,689.09,26.03%,⚠️ 追價風險
-5.65%,🧐 疑業外收益,2025,685.19,-3.39,20.833333333333325,7.200000000000003,10.0,2323.TW,中環,-4.42,-2.63,0.37,2025-12,1.58,688.58,23.42%,⚪ 中性觀察
6.14%,🔄 轉虧為盈,2025,783.33,114.77,0.0,-9.45,18.1000003815,4413.TWO,飛寶企業,140.24,-966.67,-0.26,2025-12,0.53,668.5600000000001,24.00%,⚪ 數據不足
0.43%,🚀 利潤擴張,2025,660.0,3.99,21.770832936041664,7.2,10.4499998093,4924.TWO,欣厚-KY,22.5,460.0,0.28,2025-12,0.38,656.01,27.32%,⚪ 中性觀察
-11.28%,🚀 利潤擴張,2025,620.0,16.76,15.000000334649123,17.099999999999998,17.1000003815,3002.TW,歐格,14.66,422.22,0.48,2025-12,0.36,603.24,17.03%,✅ 穩健價值
15.37%,🚀 利潤擴張,2025,576.92,9.55,582.608695652174,3.4499999999999997,134.0,2344.TW,華邦電,-0.22,-57.14,0.12,2025-12,0.88,567.37,41.86%,⚠️ 追價風險
-188.65%,🏰 高護城河,2025,590.0,26.61,25.96153846153846,39.0,67.5,3054.TW,立萬利,24.16,288.57,0.66,2025-12,1.96,563.39,62.07%,⚠️ 追價風險
N/A,🧐 疑業外收益,2025,544.54,-17.0,0.0,0.0,0.0,9949.TWO,琉園,-19.03,1270.21,5.5,2025-12,5.29,561.54,N/A,⚪ 數據不足
N/A,🔄 轉虧為盈,2025,550.0,0.1,0.0,-13.950000000000003,50.4000015259,6282.TW,康舒,-4.33,-90.0,-0.38,2025-12,0.18,549.9,N/A,⚪ 數據不足
-66.51%,🧐 疑業外收益,2025,457.5,-10.43,118.82353389941166,2.5500000000000025,20.2000007629,2491.TW,吉祥全,-12.66,179.03,0.49,2025-12,1.43,467.93,43.42%,⚠️ 追價風險
-18.51%,🚀 利潤擴張,2025,461.54,20.59,25.909091224380166,18.15,31.3500003815,3297.TWO,杭特,18.74,2600.0,0.54,2025-12,0.47,440.95000000000005,30.70%,⚠️ 追價風險
4.44%,🔄 轉虧為盈,2025,752.94,334.57,0.0,-9.599999999999998,215.5,3555.TWO,博士旺,310.97,7.84,-0.58,2025-12,1.28,418.37000000000006,18.45%,⚪ 數據不足
15.14%,🔄 轉虧為盈,2025,408.33,-9.02,23.86363636363637,13.199999999999998,21.0,2243.TW,宏旭-KY,-10.45,38.89,-0.11,2025-12,1.22,417.34999999999997,22.27%,⚠️ 追價風險
18.24%,🚀 利潤擴張,2025,474.47,95.35,43.44122657580919,264.15000000000003,765.0,3167.TW,大量,119.15,790.16,5.45,2025-12,8.13,379.12,42.12%,⚠️ 追價風險
0.23%,🧐 疑業外收益,2025,364.71,-9.55,8.609091151818182,16.499999999999996,9.470000267,1413.TW,宏洲,-6.34,326.32,0.43,2025-12,0.45,374.26,2.52%,💎 強力關注
7.74%,🚀 利潤擴張,2025,377.27,5.46,119.6911196911197,38.849999999999994,310.0,4764.TW,雙鍵,6.23,187.32,0.62,2025-12,1.22,371.81,23.49%,⚠️ 追價風險
N/A,🚀 利潤擴張,2025,382.35,12.01,6.162280785416666,68.4,28.1000003815,5490.TWO,同亨,13.03,916.67,1.26,2025-12,1.69,370.34000000000003,N/A,💎 強力關注
N/A,🧐 疑業外收益,2025,358.33,-6.42,6.142857415321429,42.0,17.2000007629,8940.TW,新天地,-10.3,103.23,0.02,2025-12,0.55,364.75,N/A,💎 強力關注
-15.39%,🏰 高護城河,2025,406.67,49.68,20.376884038718597,59.699999999999996,81.0999984741,3219.TWO,倚強科,43.11,179.66,1.65,2025-12,1.52,356.99,69.49%,⚪ 中性觀察
-2.70%,🚀 利潤擴張,2025,327.5,0.41,7.696850093346456,38.1,19.5499992371,2409.TW,友達,-0.15,185.25,0.52,2025-12,0.9,327.09,10.73%,💎 強力關注
0.97%,🚀 利潤擴張,2025,346.24,29.26,4.492078356286114,321.90000000000003,96.4000015259,4439.TW,冠星-KY,30.37,114.76,7.71,2025-12,7.73,316.98,15.60%,💎 強力關注
-12.67%,🔄 轉虧為盈,2025,275.0,-14.09,0.0,-2.7000000000000006,47.2000007629,2399.TW,映泰,-14.04,-222.22,-0.11,2025-12,0.15,289.09,8.40%,⚪ 數據不足
-79.17%,🧐 疑業外收益,2025,275.85,-5.85,1.8413360531983298,359.25,44.0999984741,2498.TW,宏達電,-0.73,352.24,7.88,2025-12,7.21,281.70000000000005,34.44%,💎 強力關注
N/A,🧐 疑業外收益,2025,271.37,-9.71,4.930448163608964,194.10000000000002,63.7999992371,9914.TW,美利達,-8.55,-18.34,4.81,2025-12,4.01,281.08,N/A,💎 強力關注
N/A,🚀 利潤擴張,2025,288.24,12.97,0.0,0.0,0.0,6165.TW,浪凡,12.63,410.34,3.02,2025-12,4.02,275.27,N/A,⚪ 數據不足
13.23%,🚀 利潤擴張,2025,294.12,20.44,55.26315789473684,65.55,241.5,4576.TW,大銀微系統,19.84,447.83,1.26,2025-12,2.01,273.68,38.42%,⚠️ 追價風險
-53.06%,🧐 疑業外收益,2025,241.18,-14.27,0.0,-8.100000000000001,48.4000015259,2466.TW,冠西電,-6.66,230.67,0.98,2025-12,0.25,255.45000000000002,-4.21%,⚪ 數據不足
6.96%,🚀 利潤擴張,2025,254.81,0.02,2.8331900913929493,174.45,32.9500007629,1608.TW,華榮,-0.36,241.94,4.75,2025-12,5.5,254.79,9.17%,💎 強力關注
18.72%,🧐 疑業外收益,2025,250.0,-0.24,25.692307031923075,3.9000000000000004,6.6799998283,1718.TW,中纖,4.96,-11.76,0.19,2025-12,0.09,250.24,41.46%,⚠️ 追價風險
N/A,🧐 疑業外收益,2025,240.74,-0.48,18.527473198197804,68.25,84.3000030518,4949.TW,有成精密,-1.75,180.87,1.48,2025-12,1.91,241.22,N/A,⚪ 中性觀察
25.89%,🔄 轉虧為盈,2025,237.01,7.93,0.0,-2.4000000000000004,20.8500003815,1438.TW,三地開發,-98.23,10.89,-0.9,2025-12,1.74,229.07999999999998,29.82%,⚪ 數據不足
248.16%,🔄 轉虧為盈,2025,207.21,-20.46,9.01360544217687,22.050000000000004,13.25,1456.TW,怡華,-26.31,15.89,-0.9,2025-12,3.41,227.67000000000002,46.73%,💎 強力關注
14.09%,🚀 利潤擴張,2025,230.83,6.6,32.63157748717703,31.349999999999998,68.1999969482,3530.TW,晶相光,-5.41,-50.0,0.47,2025-12,1.74,224.23000000000002,31.94%,⚠️ 追價風險
-1.87%,🧐 疑業外收益,2025,200.0,-13.63,20.7812507946875,14.399999999999999,19.9500007629,2034.TW,允強,-4.98,94.12,0.33,2025-12,0.21,213.63,5.45%,⚪ 中性觀察
9.56%,🧐 疑業外收益,2025,203.51,-1.28,3.4476534984657037,83.1,19.1000003815,4167.TWO,松瑞藥,-6.23,237.21,1.43,2025-12,1.72,204.79,30.12%,💎 強力關注
14.38%,🚀 利潤擴張,2025,216.0,12.21,7.584649768419864,66.44999999999999,33.5999984741,4744.TWO,皇將,14.04,400.0,1.0,2025-12,2.51,203.79,42.43%,💎 強力關注
N/A,🚀 利潤擴張,2025,222.58,20.92,48.32535885167464,31.349999999999998,101.0,6902.TW,GOGOLOOK,20.7,119.47,0.23,2025-12,1.58,201.66000000000003,N/A,⚠️ 追價風險
-7.46%,🚀 利潤擴張,2025,212.47,12.25,4.286628278950736,468.90000000000003,134.0,2316.TW,楠梓電,8.72,260.07,10.81,2025-12,13.38,200.22,5.71%,💎 強力關注
10.64%,🚀 利潤擴張,2025,229.63,29.92,26.370369240074076,20.249999999999996,35.5999984741,1796.TWO,金穎生技,36.52,150.0,0.31,2025-12,0.7,199.70999999999998,31.84%,⚠️ 追價風險
N/A,🚀 利潤擴張,2025,205.88,8.46,17.976539365718477,51.15,61.2999992371,6840.TWO,東研信超,5.51,76.12,1.18,2025-12,1.58,197.42,N/A,⚪ 中性觀察
-10.81%,🧐 疑業外收益,2025,189.47,-7.75,28.750000397291664,7.2,13.8000001907,3191.TWO,雲嘉南,-1.51,219.57,0.55,2025-12,0.51,197.22,29.43%,⚠️ 追價風險
1.71%,🚀 利潤擴張,2025,195.71,2.05,12.623762376237627,60.59999999999999,51.0,3048.TW,益登,5.31,153.27,1.14,2025-12,2.01,193.66,3.50%,✅ 穩健價值
N/A,🚀 利潤擴張,2025,213.64,22.23,24.210526650394737,34.199999999999996,55.2000007629,6202.TW,盛群,31.27,191.04,0.62,2025-12,0.76,191.41,N/A,⚠️ 追價風險
3.38%,🔄 轉虧為盈,2025,193.18,3.52,0.0,-9.6,43.8499984741,2413.TW,環科,8.02,62.12,-0.25,2025-12,0.41,189.66,17.05%,⚪ 數據不足
-14.33%,🧐 疑業外收益,2025,100.65,-87.0,1089.9999618549991,0.30000000000000027,21.7999992371,1516.TW,川飛,-90.58,-70.59,0.1,2025-12,0.04,187.65,5.36%,⚠️ 追價風險
N/A,🚀 利潤擴張,2025,203.33,18.84,11.293332926426666,56.25,42.3499984741,6112.TW,邁達特,20.56,-3.23,1.2,2025-12,1.82,184.49,N/A,💎 強力關注
N/A,🔄 轉虧為盈,2025,186.36,6.56,21.554053796351354,11.099999999999998,15.9499998093,6246.TWO,臺龍,11.15,97.79,-0.04,2025-12,1.14,179.8,N/A,⚪ 中性觀察
21.37%,🚀 利潤擴張,2025,180.15,2.54,0.0,0.0,0.0,4746.TW,台耀,4.96,39.43,2.44,2025-12,3.67,177.61,41.59%,⚪ 數據不足
-11.23%,🚀 利潤擴張,2025,248.27,70.72,2.555045906559633,163.5,27.8500003815,3609.TWO,三一東林,27.17,314.37,7.31,2025-12,6.42,177.55,8.05%,💎 強力關注
N/A,🧐 疑業外收益,2025,163.4,-13.43,9.528985230797103,20.7,13.1499996185,6573.TW,虹揚-KY,-11.95,228.8,1.61,2025-12,1.23,176.83,N/A,💎 強力關注
N/A,🚀 利潤擴張,2025,198.64,23.89,14.683098591549294,213.00000000000003,208.5,6719.TW,力智,22.77,89.73,4.25,2025-12,6.58,174.75,N/A,✅ 穩健價值
N/A,🧐 疑業外收益,2025,173.44,-1.13,23.700000762950005,29.999999999999996,47.4000015259,6127.TWO,九豪,-0.97,275.0,0.91,2025-12,0.47,174.57,N/A,⚠️ 追價風險
14.30%,🧐 疑業外收益,2025,170.59,-3.75,25.545455470242423,24.750000000000004,42.1500015259,4556.TWO,旭然,-8.55,172.22,0.49,2025-12,0.92,174.34,42.07%,⚠️ 追價風險
N/A,🚀 利潤擴張,2025,178.95,5.62,15.49999978811111,13.5,13.9499998093,5703.TWO,亞都,4.04,175.0,0.09,2025-12,0.53,173.32999999999998,N/A,✅ 穩健價值
