prev_eps,eps_yoy,status,date,prev_eps_yoy,price,advice,prev_rev_yoy,om,name,symbol,prev_year,est_price,pe,expansion,gm,rev_yoy,eps
0.31,1600.0,🚀 利潤擴張,2026-03,-17.95,57.5,⚠️ 追價風險,9.81,N/A,邑昇,5291.TWO,2025,11.1,77.70270270270271,1063.6100000000001,N/A,536.39,0.17
3.45,1100.0,🏰 高護城河,2026-03,-6.25,52.0,💎 強力關注,4.27,43.45%,星通,3025.TW,2025,78.44999999999999,9.94263862332696,982.33,68.55%,117.67,0.6
13.06,2600.0,🚀 利潤擴張,2026-03,110.31,272.0,💎 強力關注,2.46,N/A,十銓,4967.TW,2025,669.75,6.091825307950728,807.1099999999999,N/A,1792.89,27.0
1.23,1014.29,🚀 利潤擴張,2026-03,46.43,128.0,⚠️ 追價風險,21.27,2.82%,所羅門,2359.TW,2025,17.699999999999996,108.47457627118646,733.74,24.10%,280.55,0.78
-4.39,1211.11,🔄 轉虧為盈,2026-03,-566.18,33.5999984741,⚪ 數據不足,-40.26,-143.69%,中化生,1762.TW,2025,-85.05,0.0,714.3499999999999,-78.82%,496.76,1.64
0.87,2666.67,🚀 利潤擴張,2026-03,-51.41,274.0,⚠️ 追價風險,8.08,20.25%,晶豪科,3006.TW,2025,36.29999999999999,113.2231404958678,648.6500000000001,32.33%,2018.02,7.22
-0.84,1100.0,🔄 轉虧為盈,2026-03,-266.0,195.0,⚪ 數據不足,-10.95,-3.37%,盟立,2464.TW,2025,-26.55,0.0,589.77,17.62%,510.23,0.24
12.98,2067.82,🏰 高護城河,2026-03,140.33,284.5,💎 強力關注,69.84,55.59%,創見,2451.TW,2025,586.95,7.270636340403782,583.2200000000003,61.62%,1484.6,18.93
-0.07,806.67,🔄 轉虧為盈,2026-03,89.09,11.8000001907,💎 強力關注,58.31,-147.39%,台鋼建設,3521.TWO,2025,29.400000000000006,6.020408260561224,582.14,-40.24%,224.53,2.12
1.01,1763.64,🚀 利潤擴張,2026-03,-68.84,30.0499992371,✅ 穩健價值,-44.61,4.39%,南港,2101.TW,2025,30.6,14.730391782892157,579.1500000000001,20.96%,1184.49,1.86
-1.02,1100.0,🔄 轉虧為盈,2026-03,-197.14,43.5,⚪ 數據不足,-2.21,-1.97%,高鋒,4510.TWO,2025,-36.6,0.0,556.87,14.87%,543.13,0.2
0.7,1200.0,🚀 利潤擴張,2026-03,-40.68,42.3499984741,⚠️ 追價風險,-19.66,8.69%,微端,3285.TWO,2025,15.75,40.33333188009524,511.73,28.61%,688.27,0.26
1.58,530.77,🚀 利潤擴張,2026-03,222.58,168.5,⚠️ 追價風險,20.92,N/A,GOGOLOOK,6902.TW,2025,52.05,48.559077809798275,487.52,N/A,43.25,1.64
-0.16,820.0,🔄 轉虧為盈,2026-03,74.6,15.4499998093,⚪ 數據不足,5.06,N/A,鑫永洋,6241.TWO,2025,-7.499999999999999,0.0,484.25,N/A,335.75,0.46
0.31,1200.0,🚀 利潤擴張,2026-03,-42.59,20.3500003815,⚠️ 追價風險,-6.1,N/A,綠電,8440.TWO,2025,8.850000000000001,34.49152607033898,472.41999999999996,N/A,727.58,0.22
2.72,418.92,🧐 疑業外收益,2026-03,-1.45,89.6999969482,⚪ 數據不足,-41.11,-0.34%,富田-創,4590.TW,2025,0.0,0.0,444.74,30.54%,-25.82,1.21
0.49,600.0,🚀 利潤擴張,2026-03,-34.67,45.75,⚠️ 追價風險,11.66,11.05%,麗正,2302.TW,2025,17.400000000000002,39.43965517241379,412.3,36.04%,187.7,0.25
0.88,1037.5,🚀 利潤擴張,2026-03,576.92,172.5,⚠️ 追價風險,9.55,15.37%,華邦電,2344.TW,2025,40.8,63.419117647058826,390.63,41.86%,646.87,2.25
1.44,387.5,🚀 利潤擴張,2026-03,5.88,29.7000007629,⚪ 數據不足,28.36,N/A,宏�砦C戲-創,6908.TW,2025,0.0,0.0,381.05,N/A,6.45,0.41
2.19,715.79,🚀 利潤擴張,2026-03,-49.65,117.5,⚪ 中性觀察,-15.3,N/A,應廣,6716.TWO,2025,81.60000000000001,21.59926470588235,356.01,N/A,359.78,1.59
0.73,380.0,🚀 利潤擴張,2026-03,207.35,29.7999992371,⚠️ 追價風險,9.95,N/A,寶碩,5210.TWO,2025,19.499999999999996,22.92307633623077,342.59000000000003,N/A,37.41,0.24
-0.2,1090.0,🔄 轉虧為盈,2026-03,90.52,39.6500015259,⚪ 數據不足,25.85,N/A,鈺鎧,5228.TWO,2025,-8.4,0.0,339.47,N/A,750.53,0.99
2.35,517.65,🚀 利潤擴張,2026-03,1.73,68.5999984741,💎 強力關注,5.96,N/A,亞洲藏壽司,2754.TWO,2025,92.55,11.118314177325772,338.21999999999997,N/A,179.43,1.42
0.92,550.0,🚀 利潤擴張,2026-03,170.59,93.5999984741,⚠️ 追價風險,-3.75,14.30%,旭然,4556.TWO,2025,26.4,53.18181731482955,312.59000000000003,42.07%,237.41,0.13
0.57,650.0,🚀 利潤擴張,2026-03,-29.63,23.0499992371,✅ 穩健價值,-5.82,7.94%,協禧,3071.TWO,2025,25.95,13.323698980982659,306.68,30.11%,343.32,0.15
41.98,1143.3,🚀 利潤擴張,2026-03,3.78,2215.0,✅ 穩健價值,23.29,N/A,群聯,8299.TWO,2025,2097.2999999999997,15.841796595622945,293.43999999999994,N/A,849.86,68.8
-0.43,546.67,🔄 轉虧為盈,2026-03,-150.59,34.0,⚪ 數據不足,-14.91,N/A,慧智,6615.TWO,2025,-2.2499999999999996,0.0,276.36999999999995,N/A,270.3,0.67
0.18,640.0,🚀 利潤擴張,2026-03,550.0,43.0,⚪ 數據不足,0.1,N/A,康舒,6282.TW,2025,-9.150000000000002,0.0,268.97,N/A,371.03,0.27
-0.76,445.45,🔄 轉虧為盈,2026-03,55.83,22.6499996185,⚪ 數據不足,5.03,N/A,三貝德,8489.TWO,2025,-20.1,0.0,258.58,N/A,186.87,0.38
1.77,701.79,🚀 利潤擴張,2026-03,8050.0,104.5,✅ 穩健價值,0.89,8.07%,事欣科,4916.TW,2025,120.3,13.02992518703242,228.27999999999997,18.73%,473.51,4.49
0.88,518.75,🚀 利潤擴張,2026-03,-66.67,15.5500001907,💎 強力關注,-3.15,N/A,銘旺實,4432.TWO,2025,44.1,5.28911571112245,226.35000000000002,N/A,292.4,2.97
0.88,350.0,🚀 利潤擴張,2026-03,51.72,9.3299999237,💎 強力關注,-61.59,-88.29%,中美實,4702.TWO,2025,14.700000000000001,9.520408085408164,217.69,35.38%,132.31,0.45
13.25,512.9,🚀 利潤擴張,2026-03,33.97,139.5,💎 強力關注,5.83,N/A,東哥遊艇,8478.TW,2025,493.65000000000003,4.2388331814038285,215.22999999999996,N/A,297.67,3.8
1.65,925.0,🚀 利潤擴張,2026-03,-21.15,37.8499984741,💎 強力關注,3.39,8.70%,大亞,1609.TW,2025,76.65,7.4070447111741675,211.49,13.61%,713.51,0.66
0.08,213.33,🚀 利潤擴張,2026-03,-80.0,26.0499992371,⚪ 數據不足,3.55,7.12%,聯嘉投控,3717.TW,2025,0.0,0.0,186.79000000000002,19.34%,26.54,0.47
-1.82,266.67,🔄 轉虧為盈,2026-03,-280.2,36.75,⚪ 數據不足,-10.9,N/A,巨虹,8084.TWO,2025,-43.199999999999996,0.0,185.94,N/A,80.73,0.33
2.02,728.13,🚀 利潤擴張,2026-03,25.64,45.75,💎 強力關注,18.23,14.85%,東浦,3290.TWO,2025,94.05,7.29665071770335,185.43999999999994,30.40%,542.69,2.65
-0.17,550.0,🔄 轉虧為盈,2026-03,-177.27,16.9500007629,⚪ 數據不足,-15.68,N/A,同協,5460.TWO,2025,-7.95,0.0,164.05,N/A,385.95,0.09
1.54,276.67,🚀 利潤擴張,2026-03,1640.0,0.0,⚪ 數據不足,32.98,N/A,未知,4582.TWO,2025,0.0,0.0,160.65000000000003,N/A,116.02,0.53
1.54,276.67,🚀 利潤擴張,2026-03,1640.0,22.3999996185,⚪ 數據不足,32.98,N/A,聚恆-創,4582.TW,2025,0.0,0.0,160.65000000000003,N/A,116.02,0.53
-0.25,700.0,🔄 轉虧為盈,2026-03,-219.05,97.8000030518,⚪ 數據不足,-2.43,-2.91%,鼎元,2426.TW,2025,-6.6,0.0,157.99,10.78%,542.01,0.06
-0.19,264.29,🔄 轉虧為盈,2026-03,54.55,39.0,⚪ 數據不足,2.69,8.42%,圓剛,2417.TW,2025,-25.049999999999997,0.0,156.05,56.31%,108.24,0.28
