日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-09-23,2317,鴻海,253.0,241.21,2000,23580,4.89%
2026-09-23,4142,國光生,17.85,25.32,1000,-7470,-29.50%
2026-09-23,0050,元大台灣50,111.35,46.6,16000,1036000,138.95%
2026-09-23,0056,元大高股息,56.85,36.43,4000,81680,56.05%
2026-09-23,00635U,期元大S&P黃金,45.07,55.25,3000,-30540,-18.43%
2026-09-23,00738U,期元大道瓊白銀,52.45,66.26,1000,-13810,-20.84%
2026-09-23,00929,復華台灣科技優息,29.03,19.73,8000,74400,47.14%
2026-09-23,009816,凱基台灣TOP50,16.25,11.01,63000,330120,47.59%
2026-09-23,00990A,主動元大AI新經濟,15.42,11.48,5000,19700,34.32%
2026-09-23,2009,第一銅,40.1,50.56,4000,-41840,-20.69%
2026-09-23,2337,旺宏,118.0,95.28,2000,45440,23.85%
2026-09-23,2409,友達,36.65,16.21,2000,40880,126.10%
2026-09-23,3481,群創,50.5,25.1,4000,101600,101.20%
2026-09-23,3105,穩懋,501.0,556.47,300,-16641,-9.97%
2026-09-23,4966,譜瑞-KY,582.0,1921.64,1000,-1339640,-69.71%
2026-09-23,2327,國巨*,571.0,1030.0,1,-459,-44.56%
2026-09-23,00403A,主動統一升級50,10.33,10.68,26000,-9100,-3.28%
2026-09-23,00981A,主動統一台股增長,29.07,27.48,2000,3180,5.79%
2026-09-23,2330,台積電,2460.0,225.55,10,22344,990.67%
2026-09-23,6789,采鈺,468.5,593.5,400,-50000,-21.06%
2026-09-23,6849,奇鼎科技,180.0,266.4,280,-24192,-32.43%
2026-09-23,7853,政美應用,366.0,409.29,280,-12121,-10.58%
2026-09-23,3576,聯合再生,17.6,18.15,5000,-2750,-3.03%
2026-09-23,1721,三晃,24.35,27.88,3000,-10600,-12.67%
2026-09-23,8215,明基材,28.35,31.6,200,-650,-10.28%
2026-09-23,00405A,主動富邦台灣龍耀,8.97,9.34,11000,-4070,-3.96%
2026-09-23,5498,凱崴,51.2,69.61,188,-3461,-26.45%
2026-09-23,1301,台塑,64.6,50.5,100,1410,27.92%
2026-09-23,6498,久禾光,67.2,67.3,12,-1,-0.15%
2026-09-23,009821,野村稀土關鍵資源,14.15,17.3,12000,-37800,-18.21%
