股票代碼         名稱              收盤價       最佳均線        實戰勝率%          區間報酬%     交易次數       外資5日買超 目前狀態                
---------------------------------------------------------------------------------------------------------------------------------------
0050.TW      元大台灣50         77.8          6        66.67          10.65        3      -186032 📈 持有 → 繼續持有         
0052.TW      富邦科技          46.45          6        64.29          13.53        2       -17238 📈 持有 → 繼續持有         
0056.TW      元大高股息         39.42          5        67.86            7.8        4         -778 📈 持有 → 繼續持有         
00631L.TW    元大台灣50正2     496.05          7        70.37           19.5        4         -810 📈 持有 → 繼續持有         
00632R.TW    元大台灣50反1      13.75          6        36.36          -3.06        3         -665 📉 建議賣出              
00633L.TW    富邦上証正2        47.09         19         40.0          -2.92        2          321 📈 持有 → 繼續持有         
00634R.TW    富邦上証反1         3.27          5        52.38          -0.53        5            0 📈 持有 → 繼續持有         
00635U.TW    期元大S&P黃金       52.8          5         75.0          16.84        4        -4281 📉 建議賣出              
00637L.TW    元大滬深300正2     19.45         11         50.0           0.21        2         1855 📈 持有 → 繼續持有         
00638R.TW    元大滬深300反1      7.05          5         50.0          -2.27        6            0 📈 持有 → 繼續持有         
00640L.TW    富邦日本正2        90.05          6         61.9            8.1        4           21 📈 持有 → 繼續持有         
00641R.TW    富邦日本反1         4.17          5         40.0          -1.06        4            0 📉 建議賣出              
00642U.TW    期元大S&P石油      24.98         11         60.0          60.95        0         1856 📈 持有 → 繼續持有         
00646.TW     元大S&P500      67.55         19          0.0          -3.01        3          -39 📉 建議賣出              
00648R.TW    元大S&P500反1     4.45         15        41.18          -2.08        3           82 📈 持有 → 繼續持有         
00650L.TW    復華香港正2        17.78          4        52.94           2.15        5          -42 📈 持有 → 繼續持有         
00651R.TW    復華香港反1         5.25          3         40.0           3.26        8            0 📉 建議賣出              
00654R.TW    富邦印度反1         6.92         12        54.17           5.79        3            0 📈 持有 → 繼續持有         
00655L.TW    未知            32.63         11        45.45           1.88        1          340 📈 持有 → 繼續持有         
00656R.TW    國泰中國A50反1      6.24          6        54.17          -1.48        5          -50 📈 持有 → 繼續持有         
00662.TW     富邦NASDAQ     101.95         16        33.33          -6.07        5         3382 📈 持有 → 繼續持有         
00663L.TW    國泰臺灣加權正2      64.75          7        65.38          20.12        4         -162 📈 持有 → 繼續持有         
00664R.TW    國泰臺灣加權反1       2.23          6         40.0          -2.45        3            0 📉 建議賣出              
00665L.TW    富邦恒生國企正2      10.24          4        57.89           7.69        5         1211 📈 持有 → 繼續持有         
00666R.TW    富邦恒生國企反1       8.96          4        56.52           7.24        6            0 📉 建議賣出              
00669R.TW    國泰美國道瓊反1       5.83         16        57.89          -0.97        3            0 📈 持有 → 繼續持有         
00671R.TW    富邦NASDAQ反1     2.91         19        42.11          -1.75        2            0 📉 建議賣出              
00673R.TW    期元大S&P原油反1    19.37          8         50.0           0.49        1         -156 📈 持有 → 繼續持有         
00674R.TW    期元大S&P黃金反1     4.98         17         60.0          -0.74        1           -5 📈 持有 → 繼續持有         
00675L.TW    富邦臺灣加權正2      196.2          7        70.37          19.03        4         -216 📈 持有 → 繼續持有         
00676R.TW    富邦臺灣加權反1       7.57          7        36.36          -2.42        3           20 📉 建議賣出              
00679B.TWO   元大美債20年        27.5         15         50.0           0.08        4        11629 📉 建議賣出              
00680L.TW    元大美債20正2       7.29          3        59.09           3.46        6       -25040 📈 持有 → 繼續持有         
