status,prev_eps_yoy,eps_yoy,prev_eps,expansion,gm,advice,rev_yoy,eps,prev_rev_yoy,om,symbol,pe,est_price,price,date,name,prev_year
🚀 利潤擴張,1.73,517.65,2.35,338.21999999999997,N/A,💎 強力關注,179.43,1.42,5.96,N/A,2754.TWO,11.118314177325772,92.55,68.5999984741,2026-03,亞洲藏壽司,2025
🚀 利潤擴張,170.59,550.0,0.92,312.59000000000003,42.07%,⚠️ 追價風險,237.41,0.13,-3.75,14.30%,4556.TWO,72.72727272727273,26.4,128.0,2026-03,旭然,2025
🚀 利潤擴張,-29.63,650.0,0.57,306.68,30.11%,✅ 穩健價值,343.32,0.15,-5.82,7.94%,3071.TWO,15.028901734104046,25.95,26.0,2026-03,協禧,2025
🚀 利潤擴張,3.78,1143.3,41.98,293.43999999999994,N/A,✅ 穩健價值,849.86,68.8,23.29,N/A,8299.TWO,13.052496066371049,2097.2999999999997,1825.0,2026-03,群聯,2025
🔄 轉虧為盈,-150.59,546.67,-0.43,276.36999999999995,N/A,⚪ 數據不足,270.3,0.67,-14.91,N/A,6615.TWO,0.0,-2.2499999999999996,34.0,2026-03,慧智,2025
🚀 利潤擴張,550.0,640.0,0.18,268.97,N/A,⚪ 數據不足,371.03,0.27,0.1,N/A,6282.TW,0.0,-9.150000000000002,47.1500015259,2026-03,康舒,2025
🔄 轉虧為盈,55.83,445.45,-0.76,258.58,N/A,⚪ 數據不足,186.87,0.38,5.03,N/A,8489.TWO,0.0,-20.1,22.9500007629,2026-03,三貝德,2025
🚀 利潤擴張,8050.0,701.79,1.77,228.27999999999997,18.73%,✅ 穩健價值,473.51,4.49,0.89,8.07%,4916.TW,12.842892768079802,120.3,103.0,2026-03,事欣科,2025
🚀 利潤擴張,-66.67,518.75,0.88,226.35000000000002,N/A,💎 強力關注,292.4,2.97,-3.15,N/A,4432.TWO,5.442176870748299,44.1,16.0,2026-03,銘旺實,2025
🚀 利潤擴張,51.72,350.0,0.88,217.69,35.38%,💎 強力關注,132.31,0.45,-61.59,-88.29%,4702.TWO,9.84693838622449,14.700000000000001,9.6499996185,2026-03,中美實,2025
🚀 利潤擴張,33.97,512.9,13.25,215.22999999999996,N/A,💎 強力關注,297.67,3.8,5.83,N/A,8478.TW,4.527499240352476,493.65000000000003,149.0,2026-03,東哥遊艇,2025
