代號,名稱,現價,當日外資(張),當日投信(張),當日自營(張),Date,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
6826.TWO,和淞,499.0,0,0,0,20260724,0,0,0,N/A,-1.19%,🚨 外資提款
6442.TW,光聖,1325.0,-846,173,6,20260724,0,0,0,N/A,1.92%,🚨 外資提款
00931B.TWO,統一美債20年,13.34,226,0,273,20260724,0,0,0,N/A,-1.26%,🚨 外資提款
6854.TW,錼創科技-KY創,98.8,32,0,7,20260724,0,0,0,N/A,-4.08%,🚨 外資提款
7419.TWO,達勝,55.7,0,0,0,20260724,0,0,0,N/A,-2.28%,🚨 外資提款
1587.TW,吉茂,24.65,0,0,-2,20260724,0,0,0,N/A,-1.79%,🚨 外資提款
4154.TWO,樂威科-KY,12.35,0,0,0,20260724,0,0,0,N/A,4.22%,🚨 外資提款
3419.TW,譁裕,12.2,-1,0,-4,20260724,0,0,0,N/A,-2.79%,🚨 外資提款
4925.TWO,智微,114.5,0,0,0,20260724,0,0,0,N/A,-2.97%,🚨 外資提款
4760.TWO,勤凱,238.0,-81,0,-12,20260724,0,0,0,N/A,-4.80%,🚨 外資提款
2640.TWO,大車隊,148.5,4,0,0,20260724,0,0,0,N/A,-2.94%,🚨 外資提款
3011.TW,今皓,12.05,-25,0,-2,20260724,0,0,0,N/A,0.42%,🚨 外資提款
3527.TWO,聚積,55.8,-16,0,0,20260724,0,0,0,N/A,2.39%,🚨 外資提款
00930.TW,永豐ESG低碳高息,24.03,-124,0,103,20260724,0,0,0,N/A,2.60%,🚨 外資提款
4161.TWO,聿新科,22.4,1,0,0,20260724,0,0,0,N/A,-1.54%,🚨 外資提款
1235.TW,興泰,36.5,-2,0,-5,20260724,0,0,0,N/A,-0.68%,🚨 外資提款
5457.TWO,宣德,29.85,-49,0,5,20260724,0,0,0,N/A,0.67%,🚨 外資提款
8040.TWO,九暘,73.0,13,0,0,20260724,0,0,0,N/A,-3.18%,🚨 外資提款
6147.TWO,頎邦,158.0,3580,-2556,531,20260724,0,0,0,N/A,-11.48%,🚨 外資提款
2535.TW,達欣工,87.9,-14,0,-28,20260724,0,0,0,N/A,1.62%,🚨 外資提款
3645.TW,達邁,67.7,62,-37,-6,20260724,0,0,0,N/A,-2.45%,🚨 外資提款
6792.TW,詠業,53.2,-15,0,4,20260724,0,0,0,N/A,-0.56%,🚨 外資提款
8234.TWO,新漢,64.3,115,0,-3,20260724,0,0,0,N/A,5.76%,🚨 外資提款
2596.TWO,綠意,31.2,0,0,0,20260724,0,0,0,N/A,1.30%,🚨 外資提款
00641R.TW,富邦日本反1,3.77,0,0,-836,20260724,0,0,0,N/A,-3.58%,🚨 外資提款
6418.TWO,詠昇,30.65,-11,0,0,20260724,0,0,0,N/A,5.33%,🚨 外資提款
2379.TW,瑞昱,744.0,-814,203,-67,20260724,0,0,0,N/A,3.62%,🚨 外資提款
00749B.TWO,凱基新興債10+,31.29,-10,0,10,20260724,0,0,0,N/A,-1.45%,🚨 外資提款
7750.TW,新代,2025.0,-30,2,7,20260724,0,0,0,N/A,11.57%,🚨 外資提款
1480.TWO,東盟開發,8.36,0,0,0,20260723,0,0,0,N/A,-5.32%,🚨 外資提款
00635U.TW,期元大S&P黃金,41.95,88,0,-1033,20260724,0,0,0,N/A,1.35%,🚨 外資提款
5014.TWO,建錩,11.2,70,0,0,20260724,0,0,0,N/A,1.82%,🚨 外資提款
9962.TWO,有益,9.89,6,0,0,20260724,0,0,0,N/A,1.12%,🚨 外資提款
7729.TWO,仲恩生醫,77.6,0,0,0,20260724,0,0,0,N/A,10.23%,🚨 外資提款
00954.TW,中信日本半導體,19.01,957,0,-525,20260724,0,0,0,N/A,1.22%,🚨 外資提款
3008.TW,大立光,3920.0,-324,332,-40,20260724,0,0,0,N/A,-2.24%,🚨 外資提款
00733.TW,富邦臺灣中小,63.65,-204,0,260,20260724,0,0,0,N/A,-1.09%,🚨 外資提款
02001L.TW,富邦蘋果正二N,133.45,0,0,36,20260724,0,0,0,N/A,4.26%,🚨 外資提款
2497.TW,怡利電,52.1,-76,0,7,20260724,0,0,0,N/A,-6.63%,🚨 外資提款
3570.TWO,大塚,165.5,4,0,0,20260724,0,0,0,N/A,2.80%,🚨 外資提款
6855.TWO,數泓科,114.0,0,0,0,20260724,0,0,0,N/A,0.00%,🚨 外資提款
