====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260720 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 12.72      | 🟢 持股           |       +7.96% |     13 |    56.00% | [P:0.59] RSI:24.76|MACD:-0.29|KD_Diff:-5.63|BIAS_20:-11.45
00401A.TW    | 主動摩根台灣鑫收   | 12.32      | 🟢 持股           |      +11.09% |      9 |    57.14% | [P:0.55] RSI:26.12|MACD:-0.17|KD_Diff:-6.07|BIAS_20:-7.99
00402A.TW    | 主動安聯美國科技   | 9.48       | 🟢 持股           |       +0.00% |      1 |    54.55% | [P:0.64] [⚠️降級預設] RSI:34.21|MACD:-0.07|KD_Diff:-9.03|D_Value:36.24
00403A.TW    | 主動統一升級50   | 9.28       | 🟢 持股           |       +6.59% |      3 |    54.05% | [P:0.75] [⚠️降級預設] RSI:18.25|MACD:-0.22|KD_Diff:-6.11|D_Value:22.64
00404A.TW    | 主動聯博動能50   | 9.02       | 🟢 持股           |       -0.10% |      3 |    45.45% | [P:0.74] [⚠️降級預設] RSI:22.28|MACD:-0.17|KD_Diff:-6.37|D_Value:23.64
00405A.TW    | 主動富邦台灣龍耀   | 7.56       | 🟢 持股           |       +0.00% |      1 |    18.18% | [P:0.73] [⚠️降級預設] RSI:22.19|MACD:-0.37|KD_Diff:-5.01|D_Value:22.12
0050.TW      | 元大台灣50     | 99.20      | 🟢 持股           |      +30.27% |     33 |    48.71% | [P:0.62] Vol_Ratio:1.53|BIAS_20:-6.45|MA_Slope:-0.56|BB_Upper:12.50
0052.TW      | 富邦科技       | 57.60      | ❄️ 空倉          |      +32.87% |     18 |    51.08% | [P:0.48] MACD:-0.24|D_Value:30.26|Vol_Ratio:1.11|BB_Upper:14.31
0056.TW      | 元大高股息      | 49.95      | ❄️ 空倉          |      +16.53% |     24 |    51.41% | [P:0.48] KD_Diff:-7.88|Vol_Ratio:1.54|BB_Upper:8.54|MA_Bull:0.00
0061.TW      | 元大寶滬深      | 24.32      | 🟢 持股           |      +11.03% |      9 |    51.73% | [P:0.62] [⚠️降級預設] RSI:35.00|MACD:-0.13|KD_Diff:-4.24|D_Value:33.17
006201.TWO   | 元大富櫃50     | 39.80      | 🚀 買進           |      +59.50% |     40 |    50.08% | [P:0.63] Vol_Ratio:2.18|MA_Slope:-1.17|BB_Upper:29.11|MA_Bull:0.00
