Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority
0050,元大台灣50,2026-04-21,-,84.55,80.32,93.01,即時分析,🟢 續抱/買進,0,70.52,-,1
2382,廣達,2026-04-21,看漲 FVG,329.0,312.55,361.9,即時分析,🎯 看漲 FVG 訊號,0,67.48,-,1
3105,穩懋,2026-04-21,看漲 FVG,592.0,562.4,651.2,即時分析,🎯 看漲 FVG 訊號,1,79.83,-,1
4966,譜瑞-KY,2026-04-21,-,532.0,505.4,585.2,即時分析,🔴 建議賣出,0,65.6,-,1
00635U,期元大S&P黃金,2026-04-21,看跌 FVG,50.25,47.74,55.28,即時分析,🔴 建議賣出,0,67.93,-,1
00738U,期元大道瓊白銀,2026-04-21,看跌 FVG,64.7,61.46,71.17,即時分析,🎯 看跌 FVG 訊號,0,64.4,-,1
009816,凱基台灣TOP50,2026-04-21,看漲 FVG,12.07,11.47,13.28,即時分析,🎯 看漲 FVG 訊號,0,71.53,-,1
2399,映泰,2026-04-21,看漲 FVG,38.15,36.24,41.97,即時分析,🎯 看漲 FVG 訊號,1,63.7,-,1
2609,陽明,2026-04-21,-,50.1,47.59,55.11,即時分析,🔴 建議賣出,0,35.82,-,1
2618,長榮航,2026-04-21,-,35.25,33.49,38.78,即時分析,🟢 續抱/買進,0,49.55,-,1
