日期,代碼,名稱,收盤價,漲跌幅%,成交量(張),MJ狀態,J線值,MACD柱狀體
2026-04-21,2337.TW,旺宏,132.5,9.96,135643,💧 築底觀察,7.34,-5.05
2026-04-21,2454.TW,聯發科,2090.0,10.0,19424,⚠️ 超買警示,107.23,95.91
2026-04-21,6205.TW,詮欣,89.1,10.0,11870,⚠️ 超買警示,110.81,5.34
2026-04-21,3189.TW,景碩,473.5,9.99,37937,⚠️ 超買警示,106.94,14.48
2026-04-21,2388.TW,威盛,72.8,9.97,15270,⚠️ 超買警示,107.86,2.97
2026-04-21,2436.TW,偉詮電,75.1,9.96,27561,⚠️ 超買警示,107.65,2.29
2026-04-21,2399.TW,映泰,41.95,9.96,16900,⚠️ 超買警示,101.48,0.81
2026-04-21,4960.TW,誠美材,40.9,9.95,18247,⚠️ 超買警示,118.27,3.09
2026-04-21,2312.TW,金寶,27.15,9.92,66086,⚠️ 超買警示,102.03,0.9
2026-04-21,5498.TWO,凱崴,83.1,9.92,50329,⚠️ 超買警示,108.62,3.98
2026-04-21,6182.TWO,合晶,43.25,9.91,74321,⚠️ 超買警示,110.28,1.56
2026-04-21,8271.TW,宇瞻,216.5,9.9,12862,⚠️ 超買警示,112.22,11.38
2026-04-21,3221.TWO,台嘉碩,53.6,9.84,19463,⚠️ 超買警示,111.39,2.55
2026-04-21,6153.TW,嘉聯益,20.65,9.84,16308,⚠️ 超買警示,102.59,0.59
