symbol,name,price,pe,est_price,date,eps,eps_yoy,rev_yoy,expansion,status,advice
4916.TW,事欣科,67.1999969482,16.27118570174334,61.949999999999996,2025-12,1.77,8050.0,0.89,8049.11,🚀 利潤擴張,⚪ 中性觀察
3062.TW,建漢,30.1499996185,4.808612379346093,94.05,2025-12,0.68,6600.0,16.55,6583.45,🚀 利潤擴張,💎 強力關注
2547.TW,日勝生,10.6499996185,0.9424778423451328,169.5,2025-12,2.85,3612.5,-12.89,3625.39,🧐 疑業外收益,💎 強力關注
6649.TWO,台生材,39.5499992371,9.57627100171913,61.949999999999996,2025-12,1.4,3600.0,128.22,3471.78,🚀 利潤擴張,💎 強力關注
3189.TW,景碩,473.5,62.54953764861295,113.55,2025-12,3.51,3072.73,28.87,3043.86,🚀 利潤擴張,⚠️ 追價風險
5521.TW,工信,11.9499998093,11.83168297950495,15.15,2025-12,0.52,2500.0,27.32,2472.68,🚀 利潤擴張,💎 強力關注
4523.TWO,永彰,30.6499996185,0.8013071795686273,573.7500000000001,2025-12,22.26,1562.0,-7.15,1569.15,🧐 疑業外收益,💎 強力關注
1432.TW,大魯閣,16.7999992371,3.0324908370216606,83.1,2025-12,6.03,1502.33,4.63,1497.6999999999998,🔄 轉虧為盈,💎 強力關注
4542.TWO,科嶠,176.0,56.05095541401273,47.1,2025-12,1.28,1500.0,37.66,1462.34,🚀 利潤擴張,⚠️ 追價風險
3708.TW,上緯投控,128.0,3.4867883410514846,550.65,2025-12,35.57,1276.65,-30.75,1307.4,🧐 疑業外收益,💎 強力關注
4903.TWO,聯光通,53.2000007629,32.04819323066265,24.9,2025-12,1.02,1357.14,64.51,1292.63,🚀 利潤擴張,⚠️ 追價風險
1815.TWO,富喬,119.0,39.01639344262295,45.75000000000001,2025-12,1.64,1116.67,40.69,1075.98,🚀 利潤擴張,⚠️ 追價風險
