eps,expansion,prev_eps,eps_yoy,advice,symbol,om,name,pe,date,status,rev_yoy,gm,prev_year,prev_rev_yoy,est_price,prev_eps_yoy,price
1.64,487.52,1.58,530.77,⚠️ 追價風險,6902.TW,N/A,GOGOLOOK,50.86455331412104,2026-03,🚀 利潤擴張,43.25,N/A,2025,20.92,52.05,222.58,176.5
0.46,484.25,-0.16,820.0,⚪ 數據不足,6241.TWO,N/A,鑫永洋,0.0,2026-03,🔄 轉虧為盈,335.75,N/A,2025,5.06,-7.499999999999999,74.6,15.4499998093
0.22,472.41999999999996,0.31,1200.0,⚠️ 追價風險,8440.TWO,N/A,綠電,34.32203389830508,2026-03,🚀 利潤擴張,727.58,N/A,2025,-6.1,8.850000000000001,-42.59,20.25
1.21,444.74,2.72,418.92,⚪ 數據不足,4590.TW,-0.34%,富田-創,0.0,2026-03,🧐 疑業外收益,-25.82,30.54%,2025,-41.11,0.0,-1.45,89.6999969482
0.25,412.3,0.49,600.0,⚠️ 追價風險,2302.TW,11.05%,麗正,39.69827520439655,2026-03,🚀 利潤擴張,187.7,36.04%,2025,11.66,17.400000000000002,-34.67,46.0499992371
2.25,390.63,0.88,1037.5,⚠️ 追價風險,2344.TW,15.37%,華邦電,63.0514705882353,2026-03,🚀 利潤擴張,646.87,41.86%,2025,9.55,40.8,576.92,171.5
0.41,381.05,1.44,387.5,⚪ 數據不足,6908.TW,N/A,宏�砦C戲-創,0.0,2026-03,🚀 利潤擴張,6.45,N/A,2025,28.36,0.0,5.88,30.0
1.59,356.01,2.19,715.79,⚪ 中性觀察,6716.TWO,N/A,應廣,21.13970588235294,2026-03,🚀 利潤擴張,359.78,N/A,2025,-15.3,81.60000000000001,-49.65,115.0
0.24,342.59000000000003,0.73,380.0,⚠️ 追價風險,5210.TWO,N/A,寶碩,23.038462125307696,2026-03,🚀 利潤擴張,37.41,N/A,2025,9.95,19.499999999999996,207.35,29.9500007629
0.99,339.47,-0.2,1090.0,⚪ 數據不足,5228.TWO,N/A,鈺鎧,0.0,2026-03,🔄 轉虧為盈,750.53,N/A,2025,25.85,-8.4,90.52,39.75
1.42,338.21999999999997,2.35,517.65,💎 強力關注,2754.TWO,N/A,亞洲藏壽司,11.069692552965964,2026-03,🚀 利潤擴張,179.43,N/A,2025,5.96,92.55,1.73,68.3000030518
0.13,312.59000000000003,0.92,550.0,⚠️ 追價風險,4556.TWO,14.30%,旭然,52.32954458755682,2026-03,🚀 利潤擴張,237.41,42.07%,2025,-3.75,26.4,170.59,92.0999984741
0.15,306.68,0.57,650.0,✅ 穩健價值,3071.TWO,7.94%,協禧,13.294797687861271,2026-03,🚀 利潤擴張,343.32,30.11%,2025,-5.82,25.95,-29.63,23.0
68.8,293.43999999999994,41.98,1143.3,✅ 穩健價值,8299.TWO,N/A,群聯,15.198111858103276,2026-03,🚀 利潤擴張,849.86,N/A,2025,23.29,2097.2999999999997,3.78,2125.0
0.67,276.36999999999995,-0.43,546.67,⚪ 數據不足,6615.TWO,N/A,慧智,0.0,2026-03,🔄 轉虧為盈,270.3,N/A,2025,-14.91,0.0,-150.59,0.0
0.27,268.97,0.18,640.0,⚪ 數據不足,6282.TW,N/A,康舒,0.0,2026-03,🚀 利潤擴張,371.03,N/A,2025,0.1,-9.150000000000002,550.0,42.8499984741
0.38,258.58,-0.76,445.45,⚪ 數據不足,8489.TWO,N/A,三貝德,0.0,2026-03,🔄 轉虧為盈,186.87,N/A,2025,5.03,-20.1,55.83,22.5499992371
4.49,228.27999999999997,1.77,701.79,✅ 穩健價值,4916.TW,8.07%,事欣科,12.780548628428928,2026-03,🚀 利潤擴張,473.51,18.73%,2025,0.89,120.3,8050.0,102.5
2.97,226.35000000000002,0.88,518.75,💎 強力關注,4432.TWO,N/A,銘旺實,5.272108843537415,2026-03,🚀 利潤擴張,292.4,N/A,2025,-3.15,44.1,-66.67,15.5
0.45,217.69,0.88,350.0,💎 強力關注,4702.TWO,-88.29%,中美實,9.530612400612243,2026-03,🚀 利潤擴張,132.31,35.38%,2025,-61.59,14.700000000000001,51.72,9.3400001526
3.8,215.22999999999996,13.25,512.9,💎 強力關注,8478.TW,N/A,東哥遊艇,4.2388331814038285,2026-03,🚀 利潤擴張,297.67,N/A,2025,5.83,493.65000000000003,33.97,139.5
0.66,211.49,1.65,925.0,💎 強力關注,1609.TW,8.70%,大亞,7.4070447111741675,2026-03,🚀 利潤擴張,713.51,13.61%,2025,3.39,76.65,-21.15,37.8499984741
0.47,186.79000000000002,0.08,213.33,⚪ 數據不足,3717.TW,7.12%,聯嘉投控,0.0,2026-03,🚀 利潤擴張,26.54,19.34%,2025,3.55,0.0,-80.0,25.3500003815
0.33,185.94,-1.82,266.67,⚪ 數據不足,8084.TWO,N/A,巨虹,0.0,2026-03,🔄 轉虧為盈,80.73,N/A,2025,-10.9,-43.199999999999996,-280.2,33.0999984741
2.65,185.43999999999994,2.02,728.13,💎 強力關注,3290.TWO,14.85%,東浦,7.376395534290272,2026-03,🚀 利潤擴張,542.69,30.40%,2025,18.23,94.05,25.64,46.25
0.09,164.05,-0.17,550.0,⚪ 數據不足,5460.TWO,N/A,同協,0.0,2026-03,🔄 轉虧為盈,385.95,N/A,2025,-15.68,-7.95,-177.27,16.8500003815
0.53,160.65000000000003,1.54,276.67,⚪ 數據不足,4582.TWO,N/A,未知,0.0,2026-03,🚀 利潤擴張,116.02,N/A,2025,32.98,0.0,1640.0,0.0
0.53,160.65000000000003,1.54,276.67,⚪ 數據不足,4582.TW,N/A,聚恆-創,0.0,2026-03,🚀 利潤擴張,116.02,N/A,2025,32.98,0.0,1640.0,22.4500007629
0.06,157.99,-0.25,700.0,⚪ 數據不足,2426.TW,-2.91%,鼎元,0.0,2026-03,🔄 轉虧為盈,542.01,10.78%,2025,-2.43,-6.6,-219.05,96.9000015259
0.28,156.05,-0.19,264.29,⚪ 數據不足,2417.TW,8.42%,圓剛,0.0,2026-03,🔄 轉虧為盈,108.24,56.31%,2025,2.69,-25.049999999999997,54.55,39.0499992371
0.28,152.34,-0.29,366.67,⚠️ 追價風險,9934.TW,N/A,成霖,140.57143075142844,2026-03,🔄 轉虧為盈,214.33,N/A,2025,-4.25,1.050000000000001,-125.22,9.8400001526
1.1,142.32,1.09,323.08,⚠️ 追價風險,2732.TWO,N/A,六角,29.3953491920465,2026-03,🚀 利潤擴張,180.76,N/A,2025,7.13,32.250000000000014,-77.02,63.2000007629
1.03,134.17000000000002,2.88,442.11,✅ 穩健價值,6569.TWO,N/A,醫揚,14.399376451138846,2026-03,🚀 利潤擴張,307.94,N/A,2025,5.8,96.15,-38.68,92.3000030518
1.57,133.17000000000002,2.35,406.45,⚠️ 追價風險,6166.TW,N/A,凌華,23.280423280423282,2026-03,🚀 利潤擴張,273.28,N/A,2025,17.09,85.05,921.74,132.0
3.44,130.47000000000003,4.66,645.65,⚠️ 追價風險,3081.TWO,41.27%,聯亞,221.31147540983608,2026-03,🏰 高護城河,515.18,54.76%,2025,82.29,183.0,884.75,2700.0
2.21,115.32000000000001,6.21,228.49,💎 強力關注,3356.TW,N/A,奇偶,5.684393805422841,2026-03,🚀 利潤擴張,113.17,N/A,2025,-14.96,172.05,-20.59,65.1999969482
0.29,114.74000000000001,0.33,383.33,⚪ 數據不足,6735.TWO,N/A,美達科技,0.0,2026-03,🚀 利潤擴張,268.59,N/A,2025,-4.81,-7.200000000000001,-84.51,63.7999992371
-0.02,109.06,-1.63,87.5,⚪ 數據不足,2601.TW,-12.62%,益航,0.0,2026-03,🏰 高護城河,-21.56,102.69%,2025,-7.78,0.0,-365.71,0.0
