Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority
2317,鴻海,2026-04-13,-,200.5,190.47,220.55,即時分析,🟢 續抱/買進,0,45.87,-,1
3702,大聯大,2026-04-13,-,91.5,86.92,100.65,即時分析,🟢 續抱/買進,0,46.84,-,1
2485,兆赫,2026-04-13,-,73.5,69.83,80.85,即時分析,🟡 監控中,0,41.49,-,1
2367,燿華,2026-04-13,-,75.0,71.25,82.5,即時分析,🟢 續抱/買進,0,54.43,-,1
4142,國光生,2026-04-13,-,18.35,17.43,20.19,即時分析,🟡 監控中,0,56.0,-,1
0050,元大台灣50,2026-04-13,看漲 FVG,80.75,76.71,88.83,即時分析,🎯 看漲 FVG 訊號,0,62.47,-,1
0056,元大高股息,2026-04-13,看漲 FVG,39.41,37.44,43.35,即時分析,🎯 看漲 FVG 訊號,0,54.55,-,1
00635U,期元大S&P黃金,2026-04-13,-,49.75,47.26,54.73,即時分析,🔴 建議賣出,0,45.44,-,1
00738U,期元大道瓊白銀,2026-04-13,-,61.7,58.62,67.87,即時分析,🟢 續抱/買進,0,49.76,-,1
00929,復華台灣科技優息,2026-04-13,看漲 FVG,19.99,18.99,21.99,即時分析,🎯 看漲 FVG 訊號,0,51.46,-,1
009816,凱基台灣TOP50,2026-04-13,看漲 FVG,11.4,10.83,12.54,即時分析,🎯 看漲 FVG 訊號,0,60.36,-,1
00990A,主動元大AI新經濟,2026-04-13,看漲 FVG,14.01,13.31,15.41,即時分析,🎯 看漲 FVG 訊號,0,65.36,-,1
2009,第一銅,2026-04-13,-,40.5,38.48,44.55,即時分析,🟢 續抱/買進,0,43.86,-,1
2337,旺宏,2026-04-13,-,146.0,138.7,160.6,即時分析,🟢 續抱/買進,0,45.05,-,1
2352,佳世達,2026-04-13,-,24.05,22.85,26.46,即時分析,🟢 續抱/買進,0,47.19,-,1
2409,友達,2026-04-13,-,18.15,17.24,19.96,即時分析,🟢 續抱/買進,0,64.29,-,1
3481,群創,2026-04-13,-,26.05,24.75,28.66,即時分析,🟢 續抱/買進,0,44.49,-,1
6136,富爾特,2026-04-13,看漲 FVG,24.4,23.18,26.84,即時分析,🎯 看漲 FVG 訊號,0,60.38,-,1
6806,森崴能源,2026-04-13,看跌 FVG,22.9,21.75,25.19,即時分析,🔴 建議賣出,0,11.95,-,1
3105,穩懋,2026-04-13,看漲 FVG,464.0,440.8,510.4,即時分析,🎯 看漲 FVG 訊號,0,69.66,-,1
4966,譜瑞-KY,2026-04-13,看漲 FVG,533.0,506.35,586.3,即時分析,🎯 看漲 FVG 訊號,1,62.62,-,1
