股號,名稱,開盤,最高,最低,現價,漲跌,狀態
2317,鴻海,200.0,202.5,198.5,200.0,-0.50 (-0.25%),均線糾撐
3702,大聯大,93.9,97.7,91.8,96.6,+5.10 (+5.57%),均線糾撐
2485,兆赫,74.0,80.8,72.0,80.8,+7.30 (+9.93%),進入盤整 -> 趨勢運行
2367,燿華,75.1,76.2,73.5,74.0,-1.00 (-1.33%),均線糾撐
4142,國光生,18.25,18.55,18.2,18.4,+0.05 (+0.27%),均線糾撐
0050,元大台灣50,80.6,81.0,80.4,80.6,-0.15 (-0.19%),均線糾撐 -> 趨勢運行
0056,元大高股息,39.4,39.6,39.2,39.52,+0.11 (+0.28%),均線糾撐
00635U,期元大S&P黃金,49.6,49.79,49.55,49.74,-0.36 (-0.72%),均線糾撐
00738U,期元大道瓊白銀,60.75,60.85,60.25,60.45,-1.25 (-2.03%),均線糾撐
00929,復華台灣科技優息,20.0,20.11,19.92,20.09,+0.08 (+0.40%),均線糾撐
009816,凱基台灣TOP50,11.37,11.44,11.34,11.38,-0.02 (-0.18%),均線糾撐 -> 趨勢運行
00990A,主動元大AI新經濟,14.0,14.0,13.9,13.92,-0.09 (-0.64%),離開盤整 (向上)
2009,第一銅,40.95,41.2,40.5,41.1,+0.60 (+1.48%),均線糾撐
2337,旺宏,147.0,153.5,144.0,147.5,+1.50 (+1.03%),進入盤整 -> 趨勢運行
2352,佳世達,24.0,24.15,23.8,24.05,+0.00 (+0.00%),均線糾撐
2409,友達,18.05,18.3,17.6,18.0,-0.15 (-0.83%),趨勢運行
3481,群創,26.0,26.5,25.5,26.3,+0.30 (+1.15%),趨勢運行 -> 均線糾撐
6136,富爾特,24.5,24.6,24.35,24.5,+0.10 (+0.41%),均線糾撐
6806,森崴能源,20.65,20.65,20.65,20.65,-2.25 (-9.83%),離開盤整 (向下)
3105,穩懋,466.0,481.0,458.0,458.0,-6.00 (-1.29%),進入盤整 -> 趨勢運行
4966,譜瑞-KY,532.0,545.0,520.0,520.0,-13.00 (-2.44%),均線糾撐
6188,廣明,87.5,87.5,85.2,86.6,-0.90 (-1.03%),趨勢運行
7792,安葆,362.5,372.0,351.0,354.0,-5.00 (-1.39%),離開盤整 (向上) -> 趨勢運行
2327,國巨*,300.5,311.0,292.0,303.5,+18.50 (+6.49%),均線糾撐 -> 離開盤整 (向上)
