代碼,名稱,現價,幅度,狀態,RSI,ADX,+DI,-DI,量(張),10MA量,診斷
2317,鴻海,200.0,-0.25%,WAIT,47.2,36.0,24.3,28.3,36659,47281,✅流|❌OBV|❌量|❌DMI|❌紅
3702,大聯大,96.6,+5.57%,WAIT,59.6,42.7,24.3,16.0,25869,15179,✅流|❌OBV|✅量|✅DMI|✅紅
2485,兆赫,80.8,+9.93%,WAIT,58.6,40.1,16.4,21.4,58134,28232,✅流|❌OBV|✅量|❌DMI|✅紅
2367,燿華,74.0,-1.33%,WAIT,51.5,14.3,16.7,14.5,36327,134776,✅流|❌OBV|❌量|❌DMI|❌紅
4142,國光生,18.4,+0.27%,WAIT,55.1,38.8,19.8,13.7,809,1381,✅流|❌OBV|❌量|✅DMI|✅紅
0050,元大台灣50,80.6,-0.19%,WAIT,62.3,16.3,36.2,25.0,87348,132752,✅流|❌OBV|❌量|❌DMI|❌紅
0056,元大高股息,39.52,+0.28%,WAIT,56.4,13.9,33.4,26.0,46144,76644,✅流|❌OBV|❌量|❌DMI|✅紅
00635U,期元大S&P黃金,49.74,-0.72%,WAIT,48.9,38.3,41.0,37.9,3716,6368,✅流|❌OBV|❌量|✅DMI|❌紅
00738U,期元大道瓊白銀,60.45,-2.03%,WAIT,50.3,34.5,33.4,38.0,5213,8570,✅流|❌OBV|❌量|❌DMI|❌紅
00929,復華台灣科技優息,20.09,+0.40%,WAIT,53.1,20.1,22.9,29.1,43340,34670,✅流|❌OBV|❌量|❌DMI|✅紅
009816,凱基台灣TOP50,11.38,-0.18%,WAIT,60.8,13.8,36.5,21.3,183495,216469,✅流|❌OBV|❌量|❌DMI|❌紅
00990A,主動元大AI新經濟,13.92,-0.64%,WAIT,62.7,16.1,43.4,24.1,31520,41347,✅流|❌OBV|❌量|❌DMI|❌紅
2009,第一銅,41.1,+1.48%,WAIT,45.8,45.0,8.1,22.3,2000,1318,✅流|❌OBV|✅量|❌DMI|✅紅
2337,旺宏,147.5,+1.03%,WAIT,44.3,36.1,21.1,28.7,104578,63853,✅流|✅OBV|✅量|❌DMI|✅紅
2352,佳世達,24.05,+0.00%,WAIT,47.2,22.7,18.7,27.7,2687,3936,✅流|❌OBV|❌量|❌DMI|❌紅
2409,友達,18.0,-0.83%,WAIT,64.3,19.0,36.0,13.1,246167,355773,✅流|❌OBV|❌量|❌DMI|❌紅
3481,群創,26.3,+1.15%,WAIT,50.2,26.1,18.6,19.4,196047,299572,✅流|❌OBV|❌量|❌DMI|✅紅
6136,富爾特,24.5,+0.41%,WAIT,61.8,19.3,41.0,17.9,194,170,❌流|✅OBV|❌量|❌DMI|❌紅
6806,森崴能源,20.65,-9.83%,WAIT,11.1,64.6,6.1,68.9,538,1389,✅流|❌OBV|❌量|❌DMI|❌紅
3105,穩懋,458.0,-1.29%,WAIT,70.8,47.9,33.5,8.6,33673,45880,✅流|❌OBV|❌量|✅DMI|❌紅
4966,譜瑞-KY,520.0,-2.44%,WAIT,53.2,29.0,30.9,12.2,1127,801,✅流|❌OBV|✅量|✅DMI|❌紅
6188,廣明,86.6,-1.03%,WAIT,29.4,31.7,7.4,39.6,1550,1281,✅流|❌OBV|❌量|❌DMI|❌紅
7792,安葆,354.0,-1.39%,WAIT,60.2,50.6,24.0,11.2,513,367,❌流|❌OBV|✅量|✅DMI|❌紅
2327,國巨*,303.5,+6.49%,WAIT,63.4,11.4,34.0,22.6,95828,26513,✅流|✅OBV|✅量|❌DMI|✅紅
