symbol,status,net_acc,acc_5d,prev_5d,close,dealer,trust,total
6770.TW,🔥 強力噴發,3413927.45,3801718,387790,88.7,0,0,0
2337.TW,▲ 順勢追意,1020127.63,687698,-332429,166.5,0,0,0
8150.TW,▲ 順勢追意,341092.38,223049,-118042,113.0,0,0,0
8027.TWO,▲ 順勢追意,180487.86,1208,-179279,258.5,0,0,0
6239.TW,▲ 順勢追意,142861.33,112075,-30785,379.0,0,0,0
6207.TWO,▲ 順勢追意,82329.3,49581,-32748,111.5,0,0,0
6548.TWO,▲ 順勢追意,59844.04,61032,1188,68.2,0,0,0
8043.TWO,▲ 順勢追意,47869.49,-14462,-62332,141.0,0,0,0
6290.TWO,▲ 順勢追意,44683.19,41521,-3161,347.0,0,0,0
8064.TWO,▲ 順勢追意,28381.63,-10791,-39172,143.0,0,0,0
6531.TW,▲ 順勢追意,18470.65,3596,-14874,1190.0,0,0,0
6224.TW,🔥 強力噴發,16728.21,7983,-8744,95.0,0,0,0
8261.TW,★ 壓低偷買,16527.11,13805,-2721,181.0,0,0,0
8131.TW,🔥 強力噴發,15902.19,15874,-27,73.5,0,0,0
6411.TWO,▲ 順勢追意,13667.68,10522,-3144,110.0,0,0,0
8255.TWO,▲ 順勢追意,13418.0,7515,-5902,199.5,0,0,0
8070.TW,▲ 順勢追意,12863.44,10887,-1975,52.5,0,0,0
6215.TW,★ 壓低偷買,12860.73,-5588,-18448,127.5,0,0,0
6244.TWO,▲ 順勢追意,12157.65,16803,4646,30.05,0,0,0
6761.TWO,★ 壓低偷買,10787.5,11020,233,217.0,0,0,0
6217.TWO,▲ 順勢追意,9777.1,511,-9265,289.5,0,0,0
8936.TWO,🔥 強力噴發,9435.05,6642,-2792,52.4,0,0,0
8163.TW,▲ 順勢追意,9180.57,4955,-4225,39.3,0,0,0
8926.TW,★ 壓低偷買,7555.34,1085,-6470,66.6,0,0,0
6442.TW,★ 壓低偷買,7467.99,1717,-5750,1845.0,0,0,0
8033.TW,🔥 強力噴發,7255.59,664,-6590,143.0,0,0,0
8071.TWO,🔥 強力噴發,6263.4,216,-6047,21.3,0,0,0
6805.TW,▲ 順勢追意,4967.46,4496,-471,1930.0,0,0,0
7777.TWO,▲ 順勢追意,4635.71,4574,-61,41.65,0,0,0
6862.TW,▲ 順勢追意,4211.91,6203,1991,224.5,0,0,0
6538.TWO,★ 壓低偷買,4062.29,812,-3250,123.5,0,0,0
6206.TW,★ 壓低偷買,3980.97,3846,-134,137.5,0,0,0
6903.TWO,★ 壓低偷買,3953.87,4158,204,397.0,0,0,0
8016.TW,▲ 順勢追意,3937.61,1791,-2146,306.0,0,0,0
8271.TW,▲ 順勢追意,3876.17,1192,-2683,245.5,0,0,0
8234.TWO,▲ 順勢追意,3788.6,330,-3457,71.9,0,0,0
6550.TW,★ 壓低偷買,3766.26,3462,-304,13.5,0,0,0
8104.TW,▲ 順勢追意,3620.75,4398,777,41.15,0,0,0
