股號,名稱,收盤價,成交量,一年內最高收盤,一年內最低收盤,法說會,狀態,連續大漲,連續大跌,原因,最終狀態
7806,精華生醫,73.00,4,80.50,61.00,---,均線糾擺,無,無,MA 乖離率僅 1.23%,均線糾擺
6831,邁科,559.00,2354,561.00,160.00,---,強勢突破 (軌外) -> 貼軌運行,無,無,股價於高位貼軌 (559.00 > 1.5σ)，動能強勁,貼軌運行
00696,富邦美債20年,28.92,4861,30.21,25.92,---,均線糾擺,無,無,MA 乖離率僅 0.29%,均線糾擺
6153,嘉聯益,18.95,7224,20.65,10.50,---,均線糾擺,無,無,MA 乖離率僅 0.36%,均線糾擺
8261,富鼎,128.00,8047,128.00,67.07,---,均線糾擺,隔一漲,無,MA 乖離率僅 1.32%,均線糾擺
6205,詮欣,90.70,7799,98.20,37.00,---,進入盤整,無,無,ADX 為 11.29 (低於 20),進入盤整
7595,世基生醫,9.85,1,13.60,9.55,---,均線糾擺,無,無,MA 乖離率僅 0.63%,均線糾擺
1789,神隆,19.95,1639,28.25,16.02,---,均線糾擺,無,無,MA 乖離率僅 1.25%,均線糾擺
3171,炎洲流通,67.30,54,72.50,35.99,---,均線糾擺,無,無,MA 乖離率僅 0.25%,均線糾擺
4721,美琪瑪,93.20,3860,93.50,49.20,---,均線糾擺,無,無,MA 乖離率僅 1.46%,均線糾擺
911608,明輝-DR,2.78,13,3.12,2.59,---,均線糾擺,無,無,MA 乖離率僅 1.01%,均線糾擺
6924,榮惠-KY創,94.00,19,94.90,47.80,---,進入盤整,無,無,ADX 為 18.05 (低於 20),進入盤整
3044,健鼎,500.00,4733,500.00,170.74,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3011,今皓,13.60,1179,17.15,11.40,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.12%,均線糾擺
00876,元大全球5G,83.35,384,83.35,32.09,---,貼軌運行 -> 強勢突破 (軌外),隔二漲,無,股價衝破布林上軌 (81.86)，進入噴發段,強勢突破 (軌外)
00676,富邦臺灣加權反1,6.11,10163,14.11,6.11,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
4961,天鈺,161.00,1414,216.45,135.00,📅 預告 (20260511),均線糾擺,無,無,MA 乖離率僅 0.40%,均線糾擺
2012,春雨,15.10,68,20.22,14.70,---,進入盤整 -> 均線糾擺,無,無,MA 乖離率僅 1.49%,均線糾擺
8114,振樺電,180.50,482,314.53,164.00,---,均線糾擺,無,無,MA 乖離率僅 1.11%,均線糾擺
6638,沅聖,44.45,26,45.50,24.50,---,進入盤整 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
8028,昇陽半導體,229.00,10171,246.00,118.22,---,進入盤整,無,無,ADX 為 7.23 (低於 20),進入盤整
6972,博瑞達應材,24.40,14,32.81,22.70,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6443,元晶,40.20,4042,52.30,11.95,---,均線糾擺,連1日大漲,無,MA 乖離率僅 0.80%,均線糾擺
2748,雲品,40.55,246,50.68,38.45,---,均線糾擺,無,無,MA 乖離率僅 0.79%,均線糾擺
6525,捷敏-KY,109.50,3457,109.50,59.50,---,強勢突破 (軌外),連1日大漲,無,股價衝破布林上軌 (105.41)，進入噴發段,強勢突破 (軌外)
6877,鏵友益,170.50,1013,186.00,66.74,---,進入盤整,無,無,ADX 為 13.06 (低於 20),進入盤整
2758,路易莎咖啡,73.80,20,104.34,73.80,---,離開盤整 (向下),無,無,跌破布林下軌 (74.51),離開盤整 (向下)
1802,台玻,70.80,147993,74.20,14.00,---,均線糾擺,無,無,MA 乖離率僅 1.13%,均線糾擺
7642,昶瑞機電,76.40,216,129.00,63.20,---,進入盤整 -> 貼軌運行,連2日大漲,無,股價於高位貼軌 (76.40 > 1.5σ)，動能強勁,貼軌運行
