代號,名稱,前日均價,報買價,報買量,報賣價,報賣量,日最高,日最低,日均價,成交,成交量,進度日期,上市櫃進度(註)
1260,富味鄉,23.96,23.7,1960,24.8,3000,24.85,23.70,24.01,24.80,15044,-,
1269,乾杯,73.14,72,1000,72.4,3000,75.60,72.00,72.30,72.10,10011,-,
1271,晨暉生技,65.86,63.6,6000,64.2,6000,68.00,63.60,64.66,63.70,166943,-,
1293,利統,26.99,26.7,9000,28.1,9000,28.00,27.40,27.63,28.00,6004,-,
1343,旭東環保,19.87,20.5,1000,21,5000,21.00,19.60,20.54,20.50,75663,-,
1480,東盟開發,9.34,9.05,5000,9.45,4999,9.45,9.34,9.34,9.45,5001,-,
1594,日高,10.91,10.7,8000,11.25,8999,11.50,10.70,11.05,11.25,187463,-,
1780,立弘,31.48,31.85,3000,32.1,3000,32.40,31.15,31.53,32.00,201058,115/01/28,櫃買中心同意上櫃契約
2071,震南鐵,20.97,19.95,9000,20.6,4899,20.60,19.95,20.15,19.95,98259,-,
2237,華德動能,33.90,36.1,3000,37.45,3000,37.00,34.00,36.08,36.80,828416,115/03/09,證交所同意創新板上市契約
2245,詠勝昌*,27.93,27.8,3000,27.95,3000,28.10,27.65,27.81,27.80,34251,-,
2249,湧盛,118.31,118.5,1799,120,4000,120.00,117.00,118.25,118.50,32628,-,
2252,為昇科,20.73,20.2,3000,20.35,3000,21.40,19.80,20.10,20.40,306591,-,
2255,凱銳光電,20.07,19.5,5000,20.2,1000,20.20,19.30,19.99,20.20,58798,-,
2256,歐特明,91.91,88.1,3000,92.5,2999,98.80,89.70,92.66,92.50,551089,-,
2644,中信造船,83.08,82.5,3000,84.2,3000,84.50,82.30,83.72,84.20,59944,-,
2733,維格餅家,12.45,11.85,8000,12.45,9998,12.45,11.85,11.85,12.45,2002,-,
2741,老四川,22.00,21.5,3000,22.4,3000,22.50,21.00,21.86,22.50,61494,-,
2758,路易莎咖啡,75.73,73.8,3000,74.6,3000,77.70,73.80,74.58,73.80,20584,-,
2760,巨宇翔,22.00,20.9,3000,21.8,2999,21.80,21.00,21.05,21.80,6001,-,
2761,橘焱胡同,15.30,15.1,5000,15.75,8990,15.75,15.10,15.22,15.20,10250,-,
2938,床的世界,22.97,23,3000,23.6,2900,23.60,23.10,23.30,23.60,13100,115/04/29,送件申請上櫃
2940,歐都納,23.55,23.5,12000,24.4,3000,-,-,-,-,-,-,
2942,京站,37.81,37.4,3000,39.3,3000,38.85,36.35,36.97,37.15,20893,-,
3097,拍檔,26.46,26.4,3000,27,6000,27.85,26.05,26.89,27.00,117100,-,
3117,年程,30.21,27.1,2000,27.8,2990,29.20,26.60,27.71,27.80,367819,-,
3184,微邦,30.83,34,3000,35.15,2697,35.90,31.45,33.78,35.15,6238920,-,
3473,智通聯網,96.37,95,3000,97.9,2999,98.00,95.00,96.10,97.90,10312,-,
3585,聯致,126.87,122,3000,123,11368,140.00,120.50,126.42,122.00,4428136,-,
3595,山太士,2534.41,2495,2000,2530,3999,2560.00,2290.00,2405.25,2530.00,984542,-,
3603,建祥國際,10.42,9.6,5000,10,5000,10.20,9.69,10.00,9.69,11236,-,
3633,云光,136.20,129.5,2000,130.5,5999,136.00,127.50,130.24,130.50,134600,-,
3659,百辰,24.82,26.4,3000,27.65,2998,27.75,24.65,27.06,27.65,85900,-,
3678,聯享,62.55,58.1,3000,60.1,3000,63.00,58.10,59.81,59.10,107370,-,
4115,善德生技,10.27,8.74,10000,9.15,2794,10.30,7.80,9.21,9.15,293478,-,
4150,優你康,5.53,6.87,14000,6.95,13982,7.47,5.55,6.85,6.95,3893733,-,
4170,鑫品生醫,13.69,13.25,5000,13.7,15000,14.00,13.30,13.55,13.60,87174,-,
4172,因華,14.36,14.05,5000,14.45,5000,14.70,13.85,14.20,14.45,350758,-,
4186,尖端醫,10.35,10.2,5000,10.55,13989,10.55,10.10,10.32,10.55,203852,-,
4194,禾生技,7.66,7.32,5000,7.53,9550,7.74,7.20,7.52,7.53,124973,-,
4195,基米,28.52,28.4,1000,29.05,2999,30.05,28.10,28.87,29.05,565989,115/03/09,證交所同意創新板上市契約
4197,暐世,11.47,10.7,5000,11.05,5000,11.65,10.70,11.07,11.00,113114,-,
4431,敏成健康,16.80,16.9,7570,17.3,4980,17.35,16.90,17.17,17.30,33765,-,
4537,旭東,173.37,176,2000,177.5,2665,186.50,174.00,178.76,177.50,373790,-,
4544,春日,16.05,15.2,4900,15.85,5000,15.90,15.20,15.51,15.20,18365,-,
4546,長亨,122.68,120.5,1000,121.5,1999,125.00,120.50,121.56,121.50,33451,-,
4553,盛復,21.06,20.9,6000,22,5000,22.10,20.90,21.35,21.50,48092,-,
4559,久裕興,9.23,8.95,1000,9.3,5980,9.42,8.95,8.98,9.30,15580,-,
4565,宏偉,106.39,106.5,11000,108,1999,108.50,107.00,107.36,108.00,17211,-,
4570,傑生,70.50,70,3000,70.5,1989,70.50,70.50,70.50,70.50,1011,-,
4573,高明鐵,479.42,447,2000,450,3959,476.00,444.00,452.21,449.50,792099,-,
4575,銓寶,27.24,27.2,3000,27.45,3000,27.90,27.15,27.36,27.45,83486,-,
4582,聚恆,34.54,32.9,3000,33.5,3000,34.15,32.70,33.57,32.90,274218,115/03/09,證交所同意創新板上市契約
