股票代碼         名稱              收盤價       最佳均線        實戰勝率%          區間報酬%     交易次數       外資5日買超 目前狀態                
---------------------------------------------------------------------------------------------------------------------------------------
0050.TW      元大台灣50         75.6          6        65.22           9.02        3      -190373 📉 建議賣出              
0052.TW      富邦科技          45.17          6        61.54           10.4        2         -672 📈 持有 → 繼續持有         
0056.TW      元大高股息         38.81          5        65.38           6.13        4        -7304 📈 持有 → 繼續持有         
00631L.TW    元大台灣50正2      463.6          7         68.0          11.68        4         -310 📈 持有 → 繼續持有         
00632R.TW    元大台灣50反1      14.23          6        36.36          -3.06        3          499 📉 建議賣出              
00633L.TW    富邦上証正2        47.42         19        33.33          -2.24        2         1302 📈 持有 → 繼續持有         
00634R.TW    富邦上証反1         3.27          5        52.38          -0.53        5            0 📉 建議賣出              
00635U.TW    期元大S&P黃金       53.0          5         75.0          16.84        4           39 📉 建議賣出              
00637L.TW    元大滬深300正2     19.61         11         50.0           1.03        2        14356 📈 持有 → 繼續持有         
00638R.TW    元大滬深300反1      7.06          5         50.0          -2.27        6           48 📉 建議賣出              
00640L.TW    富邦日本正2        84.65          6         61.9            8.1        4           12 📉 建議賣出              
00641R.TW    富邦日本反1         4.31          5        46.15           2.26        4            0 📈 持有 → 繼續持有         
00642U.TW    期元大S&P石油      26.57         11        63.64           71.2        0         -601 📈 持有 → 繼續持有         
00646.TW     元大S&P500      67.25         19          0.0          -3.01        3           36 📉 建議賣出              
00648R.TW    元大S&P500反1      4.5         15        46.67          -0.98        3           72 📈 持有 → 繼續持有         
00650L.TW    復華香港正2        17.68          4        53.33           1.57        5          336 📈 持有 → 繼續持有         
00651R.TW    復華香港反1          5.3          4        40.91           3.48        5            0 📈 持有 → 繼續持有         
00654R.TW    富邦印度反1         7.16         12        59.09           9.46        3            0 📈 持有 → 繼續持有         
00655L.TW    未知            32.95         11        44.44           2.88        1         1207 📈 持有 → 繼續持有         
00656R.TW    國泰中國A50反1      6.27          6        54.17          -1.48        5          -50 📉 建議賣出              
00662.TW     富邦NASDAQ     101.05         17        33.33          -6.31        4         2971 📈 持有 → 繼續持有         
00663L.TW    國泰臺灣加權正2       60.6          4         60.0          15.78        6          259 📉 建議賣出              
00664R.TW    國泰臺灣加權反1        2.3          6         40.0          -2.45        3            0 📉 建議賣出              
00665L.TW    富邦恒生國企正2      10.21          4        58.82           7.37        5         3441 📈 持有 → 繼續持有         
00666R.TW    富邦恒生國企反1       9.01          4        56.52           7.24        6           -7 📉 建議賣出              
00669R.TW    國泰美國道瓊反1       5.93         16        64.71           0.73        3            0 📈 持有 → 繼續持有         
00671R.TW    富邦NASDAQ反1     2.95         19        47.06           -0.4        2            0 📈 持有 → 繼續持有         
00673R.TW    期元大S&P原油反1    18.79         10          0.0            0.0        0            6 📉 建議賣出              
00674R.TW    期元大S&P黃金反1     4.97         17        66.67          -0.94        1            0 📈 持有 → 繼續持有         
00675L.TW    富邦臺灣加權正2      184.0          4        65.38          14.79        6          162 📉 建議賣出              
00676R.TW    富邦臺灣加權反1       7.83          7        36.36          -2.42        3          -30 📉 建議賣出              
00679B.TWO   元大美債20年       27.43         15         50.0           0.08        4       -30677 📉 建議賣出              
00680L.TW    元大美債20正2       7.17          3        57.14            1.9        6       -25646 📉 建議賣出              
00685L.TW    群益臺灣加權正2      165.6          7         68.0          12.05        4           15 📈 持有 → 繼續持有         
00686R.TW    群益臺灣加權反1        1.4          6         40.0          -0.68        2           25 📉 建議賣出              
00687B.TWO   國泰20年美債       28.78         14         50.0           0.01        4       -33437 📉 建議賣出              
00688L.TW    國泰20年美債正2      7.15          3        52.38           1.77        6         2208 📉 建議賣出              
00693U.TW    期街口S&P黃豆      22.68         18        79.17          11.06        1          179 📈 持有 → 繼續持有         
00696B.TWO   富邦美債20年       29.85         14        52.63           1.14        3         4495 📉 建議賣出              
00700.TW     富邦�琤肭磪�       17.98          4        52.94            5.8        4          778 📈 持有 → 繼續持有         
00703.TW     台新MSCI中國      21.07         15        66.67           0.03        1            0 📈 持有 → 繼續持有         
00708L.TW    期元大S&P黃金正2    114.6          5         75.0          34.66        4         -272 📉 建議賣出              
00712.TW     復華富時不動產         9.0         10         50.0          -1.03        3       -18801 📉 建議賣出              
00713.TW     元大台灣高息低波      52.45          5         75.0           6.23        3          812 📈 持有 → 繼續持有         
