股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,建議買進價,歷史次數,raw_wr5,raw_pnl
5243.TW,乙盛-KY,🔥 訊號出現,82.3000030518,68.67,⚪ 一般監控,50.00%,0.00%,nan%,0.00%,82.3,2,0.0,
3062.TW,建漢,🔥 訊號出現,30.7000007629,79.1,🔴 空頭陷阱,0.00%,0.00%,-9.29%,-5.76%,28.93,2,0.0,-0.0929
6588.TWO,東典光電,無,129.5,80.96,🟢 黃金標的,66.67%,100.00%,10.28%,-4.82%,0.0,3,1.0,0.1028
00715L.TW,期街口S&P布蘭特油正2,無,62.5999984741,62.36,🟢 黃金標的,83.33%,83.33%,25.70%,-6.49%,0.0,6,0.8333,0.257
00642U.TW,期元大S&P石油,無,27.5,62.71,🟢 黃金標的,60.00%,60.00%,3.72%,-6.57%,0.0,5,0.6,0.0372
8027.TWO,鈦昇,無,144.0,85.13,🟡 妖股/高波動,33.33%,33.33%,23.08%,-3.63%,0.0,3,0.3333,0.2308
1304.TW,台聚,無,17.7999992371,74.16,⚪ 一般監控,40.00%,40.00%,0.53%,-4.73%,0.0,5,0.4,0.0053
5314.TWO,世紀*,無,81.5,59.65,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
1303.TW,南亞,無,81.4000015259,53.54,🔴 空頭陷阱,50.00%,66.67%,-0.47%,-5.04%,0.0,6,0.6667,-0.0047
1305.TW,華夏,無,18.3999996185,73.03,🔴 空頭陷阱,14.29%,57.14%,-0.59%,-5.25%,0.0,7,0.5714,-0.0059
1308.TW,亞聚,無,19.3999996185,70.82,🔴 空頭陷阱,0.00%,33.33%,-1.58%,-5.98%,0.0,3,0.3333,-0.0158
1326.TW,台化,無,48.6500015259,61.28,🔴 空頭陷阱,33.33%,0.00%,-5.95%,-9.16%,0.0,3,0.0,-0.0595
1310.TW,台苯,無,11.9499998093,58.42,🔴 空頭陷阱,0.00%,0.00%,-3.76%,-3.70%,0.0,2,0.0,-0.0376
1313.TW,聯成,無,13.4499998093,64.29,🔴 空頭陷阱,0.00%,0.00%,-6.65%,-8.58%,0.0,3,0.0,-0.0665
1905.TW,華紙,無,16.8999996185,88.64,🔴 空頭陷阱,75.00%,0.00%,-1.40%,-2.79%,0.0,4,0.0,-0.014
4971.TWO,IET-KY,無,635.0,72.6,🔴 空頭陷阱,33.33%,0.00%,-7.63%,-10.36%,0.0,6,0.0,-0.0763
