📊 量化獲利品質診斷報告 - 基準日: 20260330 (生成時間: 2026-04-18 19:39)
代號       名稱           價格         PE       15X推估        空間%        狀態
----------------------------------------------------------------------------------------------------
4916.TW    事欣科        58.80      14.24      61.95           8049.11%    🚀 利潤擴張
3062.TW    建漢         30.70      4.90       94.05           6583.45%    🚀 利潤擴張
2547.TW    日勝生        10.60      0.94       169.50          3625.39%    🧐 疑業外收益
6649.TWO   台生材        43.52      10.54      61.95           3471.78%    🚀 利潤擴張
3189.TW    景碩         346.50     45.77      113.55          3043.86%    🚀 利潤擴張
5521.TW    工信         12.80      12.67      15.15           2472.68%    🚀 利潤擴張
4523.TWO   永彰         30.20      0.79       573.75          1569.15%    🧐 疑業外收益
1432.TW    大魯閣        17.55      3.17       83.10           1497.70%    🔄 轉虧為盈
4542.TWO   科嶠         179.02     57.01      47.10           1462.34%    🚀 利潤擴張
3708.TW    上緯投控       126.50     3.45       550.65          1307.40%    🧐 疑業外收益
4903.TWO   聯光通        44.65      26.90      24.90           1292.63%    🚀 利潤擴張
1815.TWO   富喬         103.50     33.93      45.75           1075.98%    🚀 利潤擴張
5284.TW    jpp-KY     278.50     9.83       424.95          1048.91%    🚀 利潤擴張
5488.TWO   松普         9.92       26.81      5.55            1008.11%    🧐 疑業外收益
2331.TW    精英         21.45      4.47       72.00            966.30%    🚀 利潤擴張
4123.TWO   晟德         40.50      2.48       245.40           912.20%    🧐 疑業外收益
6166.TW    凌華         58.80      13.33      66.15            904.65%    🚀 利潤擴張
1529.TW    樂事綠能       23.55      8.15       43.35            844.03%    🚀 利潤擴張
3081.TWO   聯亞         1710.00    185.47     138.30           802.46%    🚀 利潤擴張
6182.TWO   合晶         33.45      0.00       0.00             787.43%    🔄 轉虧為盈
2102.TW    泰豐         19.30      12.78      22.65            722.00%    🔄 轉虧為盈
4414.TW    如興         0.00       0.00       0.00             705.37%    🧐 疑業外收益
3236.TWO   千如         29.40      117.60     3.75             689.09%    🚀 利潤擴張
2323.TW    中環         11.15      23.23      7.20             688.58%    🧐 疑業外收益
4413.TWO   飛寶企業       17.55      0.00       -9.45            668.56%    🔄 轉虧為盈
4924.TWO   欣厚-KY      10.20      21.25      7.20             656.01%    🚀 利潤擴張
3002.TW    歐格         19.10      16.75      17.10            603.24%    🚀 利潤擴張
2344.TW    華邦電        93.00      404.35     3.45             567.37%    🚀 利潤擴張
3054.TW    立萬利        68.30      26.27      39.00            563.39%    🚀 利潤擴張
6282.TW    康舒         47.35      0.00       -13.95           549.90%    🔄 轉虧為盈
2491.TW    吉祥全        15.70      92.35      2.55             467.93%    🧐 疑業外收益
3297.TWO   杭特         34.05      28.14      18.15            440.95%    🚀 利潤擴張
3555.TWO   博士旺        152.50     0.00       -9.60            418.37%    🔄 轉虧為盈
2243.TW    宏旭-KY      22.90      26.02      13.20            417.35%    🔄 轉虧為盈
3167.TW    大量         409.00     23.23      264.15           379.12%    🚀 利潤擴張
1413.TW    宏洲         9.73       8.85       16.50            374.26%    🧐 疑業外收益
4764.TW    雙鍵         127.00     49.03      38.85            371.81%    🚀 利潤擴張
5490.TWO   同亨         27.50      6.03       68.40            370.34%    🚀 利潤擴張
3219.TWO   倚強科        66.80      16.78      59.70            356.99%    🚀 利潤擴張
2409.TW    友達         14.30      5.63       38.10            327.09%    🚀 利潤擴張
4439.TW    冠星-KY      84.00      3.91       321.90           316.98%    🚀 利潤擴張
2399.TW    映泰         30.55      0.00       -2.70            289.09%    🔄 轉虧為盈
2498.TW    宏達電        40.05      1.67       359.25           281.70%    🧐 疑業外收益
6165.TW    浪凡         0.00       0.00       0.00             275.27%    🚀 利潤擴張
4576.TW    大銀微系統      138.00     31.58      65.55            273.68%    🚀 利潤擴張
2466.TW    冠西電        47.40      0.00       -8.10            255.45%    🧐 疑業外收益
1608.TW    華榮         31.75      2.73       174.45           254.79%    🚀 利潤擴張
1718.TW    中纖         7.67       29.50      3.90             250.24%    🧐 疑業外收益
4949.TW    有成精密       66.50      14.62      68.25            241.22%    🧐 疑業外收益
1438.TW    三地開發       28.45      0.00       -2.40            229.08%    🔄 轉虧為盈
1456.TW    怡華         14.30      9.73       22.05            227.67%    🔄 轉虧為盈
3530.TW    晶相光        57.30      27.42      31.35            224.23%    🚀 利潤擴張
2034.TW    允強         20.25      21.09      14.40            213.63%    🧐 疑業外收益
4167.TWO   松瑞藥        21.30      3.84       83.10            204.79%    🧐 疑業外收益
4744.TWO   皇將         37.75      8.52       66.45            203.79%    🚀 利潤擴張
6902.TW    GOGOLOOK   75.30      36.03      31.35            201.66%    🚀 利潤擴張
2316.TW    楠梓電        101.50     3.25       468.90           200.22%    🚀 利潤擴張
1796.TWO   金穎生技       35.40      26.22      20.25            199.71%    🚀 利潤擴張
6840.TWO   東研信超       59.50      17.45      51.15            197.42%    🚀 利潤擴張
3191.TWO   雲嘉南        13.45      28.02      7.20             197.22%    🧐 疑業外收益
3048.TW    益登         35.60      8.81       60.60            193.66%    🚀 利潤擴張
6202.TW    盛群         49.25      21.60      34.20            191.41%    🚀 利潤擴張
2413.TW    環科         52.30      0.00       -9.60            189.66%    🔄 轉虧為盈
1516.TW    川飛         20.65      1032.50    0.30             187.65%    🧐 疑業外收益
6112.TW    邁達特        43.55      11.61      56.25            184.49%    🚀 利潤擴張
6246.TWO   臺龍         16.30      22.03      11.10            179.80%    🔄 轉虧為盈
4746.TW    台耀         0.00       0.00       0.00             177.61%    🚀 利潤擴張
3609.TWO   三一東林       28.40      2.61       163.50           177.55%    🚀 利潤擴張
6573.TW    虹揚-KY      13.35      9.67       20.70            176.83%    🧐 疑業外收益
6719.TW    力智         168.00     11.83      213.00           174.75%    🚀 利潤擴張
6127.TWO   九豪         41.20      20.60      30.00            174.57%    🧐 疑業外收益
4556.TWO   旭然         27.00      16.36      24.75            174.34%    🧐 疑業外收益
5703.TWO   亞都         13.40      14.89      13.50            173.33%    🚀 利潤擴張
6209.TW    今國光        49.80      32.76      22.80            172.02%    🚀 利潤擴張
6841.TWO   長佳智能       62.00      28.05      33.15            171.64%    🚀 利潤擴張
7610.TW    聯友金屬-創     0.00       0.00       0.00             166.18%    🚀 利潤擴張
1587.TW    吉茂         34.45      49.93      10.35            164.99%    🚀 利潤擴張
2486.TW    一詮         146.50     472.58     4.65             164.91%    🚀 利潤擴張
6994.TW    富威電力       0.00       0.00       0.00             164.37%    🚀 利潤擴張
6596.TWO   寬宏藝術       106.00     2.29       693.90           164.31%    🚀 利潤擴張
6265.TWO   方土昶        39.40      0.00       -11.25           160.96%    🔄 轉虧為盈
5439.TWO   高技         292.50     10.08      435.15           160.62%    🚀 利潤擴張
3489.TWO   森寶         22.90      0.00       -4.95            159.73%    🧐 疑業外收益
4526.TW    東台         33.15      4.66       106.80           157.18%    🧐 疑業外收益
6684.TWO   安格         42.80      3.38       189.75           152.56%    🧐 疑業外收益
6838.TW    台新藥        26.70      0.00       -13.50           152.03%    🧐 疑業外收益
4157.TWO   太景*-KY     11.20      0.00       -5.85            147.76%    🔄 轉虧為盈
3252.TWO   海灣         20.20      126.25     2.40             145.65%    🔄 轉虧為盈
3162.TWO   精確         56.00      12.53      67.05            143.78%    🚀 利潤擴張
3673.TW    TPK-KY     44.90      6.29       107.10           142.39%    🧐 疑業外收益
6236.TWO   中湛         21.60      80.00      4.05             140.19%    🧐 疑業外收益
