Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority
00922.TW,國泰台灣領袖50,2026-03-27,看跌 FVG,27.48,28.29,26.11,⏳ 待回測,監控中,0,57.91,-,3
00923.TW,群益台ESG低碳50,2026-03-27,看跌 FVG,28.36,29.13,26.94,⏳ 待回測,監控中,0,61.89,-,3
00929.TW,復華台灣科技優息,2026-03-27,看跌 FVG,19.15,19.54,18.19,⏳ 待回測,監控中,0,61.73,-,3
00931B.TWO,統一美債20年,2026-03-26,看跌 FVG,13.73,13.81,13.04,❌ 已失效,實體過中線,0,38.18,-,3
00933B.TWO,國泰10Y+金融債,2026-03-27,看跌 FVG,15.94,16.11,15.14,⏳ 待回測,監控中,0,39.63,-,3
00935.TW,野村臺灣新科技50,2026-03-27,看跌 FVG,37.08,38.18,35.23,⏳ 待回測,監控中,0,67.1,-,3
00936.TW,台新永續高息中小,2026-03-27,看跌 FVG,17.56,17.84,16.68,⏳ 待回測,監控中,0,68.1,-,3
00937B.TWO,群益ESG投等債20+,2026-03-27,看跌 FVG,14.74,14.89,14.0,⏳ 待回測,監控中,0,43.57,-,3
00939.TW,統一台灣高息動能,2026-03-27,看跌 FVG,15.33,15.68,14.56,⏳ 待回測,監控中,0,56.95,-,3
00940.TW,元大台灣價值高息,2026-03-27,看跌 FVG,9.55,9.7,9.07,⏳ 待回測,監控中,0,62.43,-,3
00942B.TWO,台新美A公司債20+,2026-03-27,看跌 FVG,14.3,14.42,13.59,⏳ 待回測,監控中,0,44.25,-,3
00945B.TW,凱基美國非投等債,2026-03-27,看跌 FVG,14.39,14.49,13.67,⏳ 待回測,監控中,0,58.52,-,3
00949.TW,復華日本龍頭,2026-03-27,看跌 FVG,19.03,19.3,18.08,⏳ 待回測,監控中,0,57.98,-,3
00951.TW,台新日本半導體,2026-03-27,看跌 FVG,12.82,13.52,12.18,⏳ 待回測,監控中,0,52.81,-,3
00952.TW,凱基台灣AI50,2026-03-27,看跌 FVG,12.82,13.08,12.18,⏳ 待回測,監控中,0,70.57,-,3
00953B.TW,群益優選非投等債,2026-03-27,看跌 FVG,9.63,9.7,9.15,⏳ 待回測,監控中,0,54.71,-,3
00955.TWO,中信日本商社,2026-03-25,看漲 FVG,15.58,15.31,16.36,✅ 已站穩,🟢 買進,0,49.73,2026-03-27,3
00959B.TWO,大華投等美債15Y+,2026-03-27,看跌 FVG,9.36,9.44,8.89,⏳ 待回測,監控中,0,42.41,-,3
00963.TW,中信全球高股息,2026-03-27,看跌 FVG,12.21,12.3,11.6,⏳ 待回測,監控中,0,61.47,-,3
00965.TW,元大航太防衛科技,2026-03-27,看跌 FVG,23.81,25.02,22.62,⏳ 待回測,監控中,1,31.14,-,3
00968B.TWO,元大優息投等債,2026-03-27,看跌 FVG,9.24,9.32,8.78,⏳ 待回測,監控中,0,43.72,-,3
00969B.TWO,元大零息超長美債,2026-03-24,看漲 FVG,8.5,8.43,8.93,❌ 已失效,實體破中線,0,35.77,-,3
009803.TW,保德信市值動能50,2026-03-27,看跌 FVG,15.17,15.7,14.41,⏳ 待回測,監控中 🧹,0,63.59,-,3
009814.TWO,富邦標普500,2026-03-27,看跌 FVG,9.53,9.82,9.05,⏳ 待回測,監控中,0,41.3,-,3
009816.TW,凱基台灣TOP50,2026-03-27,看跌 FVG,10.5,10.79,9.97,⏳ 待回測,監控中,0,59.05,-,3
00981B.TWO,第一金優選非投債,2026-03-27,看跌 FVG,9.22,9.3,8.76,⏳ 待回測,監控中,0,57.84,-,3
00981D.TWO,主動中信非投等債,2026-03-27,看跌 FVG,10.29,10.37,9.78,⏳ 待回測,監控中,0,54.02,-,3
00982A.TW,主動群益台灣強棒,2026-03-27,看跌 FVG,16.46,16.81,15.64,⏳ 待回測,監控中 🧹,0,73.82,-,3
00982D.TW,主動富邦動態入息,2026-03-27,看跌 FVG,9.98,10.07,9.48,⏳ 待回測,監控中,0,41.41,-,3
00984B.TWO,大華優利美A債15,2026-03-27,看跌 FVG,16.36,16.49,15.54,⏳ 待回測,監控中,0,42.04,-,3
00985B.TW,群益ESG投等債0-5,2026-03-03,看漲 FVG,10.28,10.23,10.79,✅ 已站穩,🟢 買進,0,62.86,2026-03-27,3
00987A.TW,主動台新優勢成長,2026-03-27,看跌 FVG,12.18,12.42,11.57,⏳ 待回測,監控中,0,75.77,-,3
00988A.TW,主動統一全球創新,2026-03-27,看跌 FVG,12.55,13.28,11.92,⏳ 待回測,監控中,0,67.04,-,3
00990A.TW,主動元大AI新經濟,2026-03-27,看跌 FVG,11.82,12.5,11.23,⏳ 待回測,監控中,0,64.63,-,3
00991A.TW,主動復華未來50,2026-03-27,看跌 FVG,12.45,12.77,11.83,⏳ 待回測,監控中,0,66.44,-,3
00992A.TW,主動群益科技創新,2026-03-27,看跌 FVG,13.29,13.64,12.63,⏳ 待回測,監控中 🧹,0,75.79,-,3
00993A.TW,主動安聯台灣,2026-03-27,看跌 FVG,10.45,10.61,9.93,⏳ 待回測,監控中,0,65.48,-,3
00994A.TW,主動第一金台股優,2026-03-27,看跌 FVG,12.37,12.7,11.75,⏳ 待回測,監控中 🧹,0,78.25,-,3
00995A.TW,主動中信台灣卓越,2026-03-27,看跌 FVG,11.89,12.16,11.3,⏳ 待回測,監控中,0,75.25,-,3
020012.TW,富邦行動通訊N,2026-03-25,看漲 FVG,18.18,17.44,19.09,⏳ 待回測,監控中,0,100.0,-,3
1102.TW,亞泥,2026-03-18,看跌 FVG,34.4,34.77,32.68,❌ 已失效,實體過中線,0,30.3,-,3
1110.TW,東泥,2026-03-20,看跌 FVG,15.1,15.58,14.34,❌ 已失效,實體過中線,0,26.67,2026-03-24,3
1215.TW,卜蜂,2026-03-27,看跌 FVG,142.5,144.72,135.38,⏳ 待回測,監控中,0,7.69,-,3
1216.TW,統一,2026-03-20,看跌 FVG,70.2,70.65,66.69,❌ 已失效,實體過中線,0,29.27,2026-03-24,3
1218.TW,泰山,2026-03-24,看漲 FVG,19.15,19.0,20.11,✅ 已站穩,🟢 買進,0,78.72,2026-03-26,3
1229.TW,聯華,2026-03-25,看漲 FVG,44.8,44.23,47.04,✅ 已站穩,🟢 買進,0,54.6,2026-03-27,3
1235.TW,興泰,2026-03-27,看跌 FVG,39.45,40.55,37.48,⏳ 待回測,監控中,0,53.16,-,3
1259.TWO,安心,2026-03-26,看跌 FVG,59.4,59.9,56.43,❌ 已失效,實體過中線,0,47.37,-,3
1295.TWO,生合,2026-03-19,看跌 FVG,67.72,68.73,64.33,⚠️ 壓力確認,🔴 放空,0,26.56,2026-03-23,3
1313.TW,聯成,2026-03-26,看漲 FVG,12.75,12.59,13.39,💰 已達標,獲利點,0,42.11,-,3
1319.TW,東陽,2026-03-25,看漲 FVG,83.7,82.68,87.89,❌ 已失效,實體破中線,0,29.41,2026-03-27,3
1337.TW,再生-KY,2026-03-10,看跌 FVG,5.88,6.04,5.59,❌ 已失效,實體過中線,0,56.52,2026-03-12,3
1341.TW,富林-KY,2026-03-26,看漲 FVG,58.9,58.11,61.84,❌ 已失效,實體破中線,0,42.28,-,3
1409.TW,新纖,2026-03-23,看跌 FVG,16.05,16.28,15.25,⚠️ 壓力確認,🔴 放空,0,55.56,2026-03-26,3
