日期,代碼,名稱,收盤價,漲跌幅%,成交量(張),MJ狀態,J線值,MACD柱狀體
2026-03-30,00635U.TW,期元大S&P黃金,47.71,1.49,5488,🚀 MJ低檔反彈,27.54,-0.52
2026-03-30,00738U.TW,期元大道瓊白銀,57.4,0.97,8731,🚀 MJ低檔反彈,39.5,-0.32
2026-03-30,2337.TW,旺宏,128.0,2.4,19452,💧 築底觀察,3.11,-5.45
2026-03-30,2409.TW,友達,14.3,-0.69,45019,💧 築底觀察,4.13,-0.31
2026-03-30,2009.TW,第一銅,40.15,-0.86,1123,💧 築底觀察,9.0,-0.03
2026-03-30,00929.TW,復華台灣科技優息,19.07,-1.8,26704,💧 築底觀察,6.45,-0.12
2026-03-30,2352.TW,佳世達,23.1,-2.33,5097,💧 築底觀察,3.05,-0.08
2026-03-30,6806.TW,森崴能源,38.4,-2.91,743,💧 築底觀察,6.44,-0.02
2026-03-30,4966.TWO,譜瑞-KY,485.0,-3.0,607,💧 築底觀察,-4.25,-2.39
2026-03-30,6188.TWO,廣明,87.5,-3.95,1844,💧 築底觀察,-12.0,-0.83
2026-03-30,3105.TWO,穩懋,390.5,2.09,52828,⚠️ 超買警示,99.93,10.12
