股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,建議買進價,歷史次數,raw_wr5,raw_pnl
7734.TWO,印能科技,🔥 訊號出現,2025.0,68.62,🟢 黃金標的,45.45%,72.73%,11.28%,-3.99%,1944.12,11,0.7273,0.1128
3105.TWO,穩懋,🔥 訊號出現,390.5,74.74,🟢 黃金標的,57.14%,71.43%,4.12%,-6.45%,365.3,7,0.7143,0.0412
7709.TWO,榮田,🔥 訊號出現,72.5999984741,80.52,🟢 黃金標的,78.57%,71.43%,17.27%,-1.72%,71.35,14,0.7143,0.1727
3158.TWO,嘉實,🔥 訊號出現,93.5,81.69,🟢 黃金標的,33.33%,66.67%,4.10%,-1.43%,92.16,3,0.6667,0.041
8933.TWO,愛地雅,🔥 訊號出現,7.1799998283,66.67,🟡 妖股/高波動,66.67%,33.33%,4.68%,-2.57%,7.0,3,0.3333,0.0468
6821.TWO,聯寶,🔥 訊號出現,61.0,97.45,🟡 妖股/高波動,75.00%,25.00%,27.56%,3.77%,63.3,4,0.25,0.2756
6199.TWO,天品,🔥 訊號出現,110.5,75.76,🟡 妖股/高波動,25.00%,25.00%,3.51%,-3.00%,107.18,4,0.25,0.0351
7547.TWO,碩網,🔥 訊號出現,83.0,87.33,🟡 妖股/高波動,50.00%,25.00%,3.82%,-4.67%,79.13,8,0.25,0.0382
4741.TWO,泓瀚,🔥 訊號出現,35.3499984741,84.82,⚪ 一般監控,71.43%,57.14%,1.99%,-4.58%,33.73,7,0.5714,0.0199
8109.TWO,博大,🔥 訊號出現,105.0,68.25,⚪ 一般監控,50.00%,50.00%,2.35%,-1.12%,103.82,4,0.5,0.0235
8383.TWO,千附,🔥 訊號出現,44.6500015259,77.36,⚪ 一般監控,25.00%,50.00%,0.96%,-2.05%,43.74,4,0.5,0.0096
3030.TW,德律,🔥 訊號出現,267.5,58.24,⚪ 一般監控,25.00%,25.00%,0.15%,-5.36%,253.15,4,0.25,0.0015
7730.TW,暉盛-創,🔥 訊號出現,174.0,88.89,⚪ 一般監控,71.43%,14.29%,1.96%,-2.91%,168.93,7,0.1429,0.0196
5243.TW,乙盛-KY,🔥 訊號出現,82.3000030518,68.67,⚪ 一般監控,50.00%,0.00%,nan%,0.00%,82.3,2,0.0,
2497.TW,怡利電,🔥 訊號出現,48.5,71.85,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,48.5,1,0.0,
1219.TW,福壽,🔥 訊號出現,14.1999998093,82.35,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,14.2,1,0.0,
6865.TWO,偉康科技,🔥 訊號出現,40.1500015259,83.4,⚪ 一般監控,50.00%,0.00%,nan%,0.00%,40.15,2,0.0,
1909.TW,榮成,🔥 訊號出現,10.5,84.18,⚪ 一般監控,66.67%,0.00%,nan%,0.00%,10.5,3,0.0,
1323.TW,永裕,🔥 訊號出現,21.0,85.29,⚪ 一般監控,50.00%,0.00%,nan%,-0.79%,20.84,2,0.0,
6431.TW,光麗-KY,🔥 訊號出現,25.0,53.04,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,25.0,1,0.0,
1337.TW,再生-KY,🔥 訊號出現,6.4299998283,73.08,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,6.43,1,0.0,
1907.TW,永豐餘,🔥 訊號出現,27.1000003815,77.0,⚪ 一般監控,50.00%,0.00%,nan%,0.00%,27.1,2,0.0,
4419.TWO,皇家美食,🔥 訊號出現,50.9000015259,94.03,⚪ 一般監控,66.67%,0.00%,nan%,0.00%,50.9,3,0.0,
3552.TWO,同致,🔥 訊號出現,52.5,66.89,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,52.5,1,0.0,
6895.TWO,宏碩系統,🔥 訊號出現,173.0,64.6,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,173.0,1,0.0,
6664.TWO,群翊,🔥 訊號出現,300.5,77.18,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,300.5,1,0.0,
4576.TW,大銀微系統,🔥 訊號出現,138.0,77.38,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,138.0,1,0.0,
1906.TW,寶隆,🔥 訊號出現,12.6499996185,70.97,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,12.65,1,0.0,
6829.TWO,千附精密,🔥 訊號出現,123.5,71.62,🔴 空頭陷阱,33.33%,33.33%,-1.22%,-1.70%,121.4,3,0.3333,-0.0122
