est_price,eps,advice,pe,om,price,date,gm,status,eps_yoy,prev_rev_yoy,prev_eps_yoy,name,prev_eps,expansion,rev_yoy,symbol,prev_year
0.0,5.29,⚪ 數據不足,0.0,N/A,0.0,2025-12,N/A,🧐 疑業外收益,544.54,-19.03,1270.21,琉園,5.5,561.54,-17.0,9949.TWO,2025
-13.950000000000003,0.18,⚪ 數據不足,0.0,N/A,47.3499984741,2025-12,N/A,🔄 轉虧為盈,550.0,-4.33,-90.0,康舒,-0.38,549.9,0.1,6282.TW,2025
2.5500000000000025,1.43,⚠️ 追價風險,92.3529400547058,-66.51%,15.6999998093,2025-12,43.42%,🧐 疑業外收益,457.5,-12.66,179.03,吉祥全,0.49,467.93,-10.43,2491.TW,2025
18.15,0.47,⚠️ 追價風險,28.14049523727273,-18.51%,34.0499992371,2025-12,30.70%,🚀 利潤擴張,461.54,18.74,2600.0,杭特,0.54,440.95000000000005,20.59,3297.TWO,2025
-9.599999999999998,1.28,⚪ 數據不足,0.0,4.44%,152.5,2025-12,18.45%,🔄 轉虧為盈,752.94,310.97,7.84,博士旺,-0.58,418.37000000000006,334.57,3555.TWO,2025
13.199999999999998,1.22,⚠️ 追價風險,26.02272683920455,15.14%,22.8999996185,2025-12,22.27%,🔄 轉虧為盈,408.33,-10.45,38.89,宏旭-KY,-0.11,417.34999999999997,-9.02,2243.TW,2025
264.15000000000003,8.13,⚠️ 追價風險,23.225440090857465,18.24%,409.0,2025-12,42.12%,🚀 利潤擴張,474.47,119.15,790.16,大量,5.45,379.12,95.35,3167.TW,2025
16.499999999999996,0.45,💎 強力關注,8.845454129272728,0.23%,9.7299995422,2025-12,2.52%,🧐 疑業外收益,364.71,-6.34,326.32,宏洲,0.43,374.26,-9.55,1413.TW,2025
38.849999999999994,1.22,⚠️ 追價風險,49.03474903474904,7.74%,127.0,2025-12,23.49%,🚀 利潤擴張,377.27,6.23,187.32,雙鍵,0.62,371.81,5.46,4764.TW,2025
68.4,1.69,💎 強力關注,6.030701754385964,N/A,27.5,2025-12,N/A,🚀 利潤擴張,382.35,13.03,916.67,同亨,1.26,370.34000000000003,12.01,5490.TWO,2025
42.0,0.55,💎 強力關注,6.607142857142858,N/A,18.5,2025-12,N/A,🧐 疑業外收益,358.33,-10.3,103.23,新天地,0.02,364.75,-6.42,8940.TW,2025
59.699999999999996,1.52,⚪ 中性觀察,16.783920364773874,-15.39%,66.8000030518,2025-12,69.49%,🏰 高護城河,406.67,43.11,179.66,倚強科,1.65,356.99,49.68,3219.TWO,2025
38.1,0.9,💎 強力關注,5.62992133492126,-2.70%,14.3000001907,2025-12,10.73%,🚀 利潤擴張,327.5,-0.15,185.25,友達,0.52,327.09,0.41,2409.TW,2025
321.90000000000003,7.73,💎 強力關注,3.9142590866728795,0.97%,84.0,2025-12,15.60%,🚀 利潤擴張,346.24,30.37,114.76,冠星-KY,7.71,316.98,29.26,4439.TW,2025
-2.7000000000000006,0.15,⚪ 數據不足,0.0,-12.67%,30.5499992371,2025-12,8.40%,🔄 轉虧為盈,275.0,-14.04,-222.22,映泰,-0.11,289.09,-14.09,2399.TW,2025
359.25,7.21,💎 強力關注,1.6722337886054282,-79.17%,40.0499992371,2025-12,34.44%,🧐 疑業外收益,275.85,-0.73,352.24,宏達電,7.88,281.70000000000005,-5.85,2498.TW,2025
194.10000000000002,4.01,💎 強力關注,5.077279516862442,N/A,65.6999969482,2025-12,N/A,🧐 疑業外收益,271.37,-8.55,-18.34,美利達,4.81,281.08,-9.71,9914.TW,2025
0.0,4.02,⚪ 數據不足,0.0,N/A,0.0,2025-12,N/A,🚀 利潤擴張,288.24,12.63,410.34,浪凡,3.02,275.27,12.97,6165.TW,2025
65.55,2.01,⚠️ 追價風險,31.57894736842105,13.23%,138.0,2025-12,38.42%,🚀 利潤擴張,294.12,19.84,447.83,大銀微系統,1.26,273.68,20.44,4576.TW,2025
-8.100000000000001,0.25,⚪ 數據不足,0.0,-53.06%,47.4000015259,2025-12,-4.21%,🧐 疑業外收益,241.18,-6.66,230.67,冠西電,0.98,255.45000000000002,-14.27,2466.TW,2025
174.45,5.5,💎 強力關注,2.7300085984522786,6.96%,31.75,2025-12,9.17%,🚀 利潤擴張,254.81,-0.36,241.94,華榮,4.75,254.79,0.02,1608.TW,2025
3.9000000000000004,0.09,⚠️ 追價風險,29.500000293461536,18.72%,7.6700000763,2025-12,41.46%,🧐 疑業外收益,250.0,4.96,-11.76,中纖,0.19,250.24,-0.24,1718.TW,2025
68.25,1.91,✅ 穩健價值,14.615384615384617,N/A,66.5,2025-12,N/A,🧐 疑業外收益,240.74,-1.75,180.87,有成精密,1.48,241.22,-0.48,4949.TW,2025
-2.4000000000000004,1.74,⚪ 數據不足,0.0,25.89%,28.4500007629,2025-12,29.82%,🔄 轉虧為盈,237.01,-98.23,10.89,三地開發,-0.9,229.07999999999998,7.93,1438.TW,2025
22.050000000000004,3.41,💎 強力關注,9.727891286190475,248.16%,14.3000001907,2025-12,46.73%,🔄 轉虧為盈,207.21,-26.31,15.89,怡華,-0.9,227.67000000000002,-20.46,1456.TW,2025
31.349999999999998,1.74,⚠️ 追價風險,27.41626757755981,14.09%,57.2999992371,2025-12,31.94%,🚀 利潤擴張,230.83,-5.41,-50.0,晶相光,0.47,224.23000000000002,6.6,3530.TW,2025
14.399999999999999,0.21,⚪ 中性觀察,21.09375,-1.87%,20.25,2025-12,5.45%,🧐 疑業外收益,200.0,-4.98,94.12,允強,0.33,213.63,-13.63,2034.TW,2025
83.1,1.72,💎 強力關注,3.8447652052527075,9.56%,21.2999992371,2025-12,30.12%,🧐 疑業外收益,203.51,-6.23,237.21,松瑞藥,1.43,204.79,-1.28,4167.TWO,2025
66.44999999999999,2.51,💎 強力關注,8.521444695259595,14.38%,37.75,2025-12,42.43%,🚀 利潤擴張,216.0,14.04,400.0,皇將,1.0,203.79,12.21,4744.TWO,2025
31.349999999999998,1.58,⚠️ 追價風險,36.028709594162684,N/A,75.3000030518,2025-12,N/A,🚀 利潤擴張,222.58,20.7,119.47,GOGOLOOK,0.23,201.66000000000003,20.92,6902.TW,2025
468.90000000000003,13.38,💎 強力關注,3.2469609724888033,-7.46%,101.5,2025-12,5.71%,🚀 利潤擴張,212.47,8.72,260.07,楠梓電,10.81,200.22,12.25,2316.TW,2025
20.249999999999996,0.7,⚠️ 追價風險,26.222223352518522,10.64%,35.4000015259,2025-12,31.84%,🚀 利潤擴張,229.63,36.52,150.0,金穎生技,0.31,199.70999999999998,29.92,1796.TWO,2025
51.15,1.58,⚪ 中性觀察,17.44868035190616,N/A,59.5,2025-12,N/A,🚀 利潤擴張,205.88,5.51,76.12,東研信超,1.18,197.42,8.46,6840.TWO,2025
7.2,0.51,⚠️ 追價風險,28.020832936041664,-10.81%,13.4499998093,2025-12,29.43%,🧐 疑業外收益,189.47,-1.51,219.57,雲嘉南,0.55,197.22,-7.75,3191.TWO,2025
60.59999999999999,2.01,💎 強力關注,8.811880810420794,1.71%,35.5999984741,2025-12,3.50%,🚀 利潤擴張,195.71,5.31,153.27,益登,1.14,193.66,2.05,3048.TW,2025
34.199999999999996,0.76,⚪ 中性觀察,21.60087719298246,N/A,49.25,2025-12,N/A,🚀 利潤擴張,213.64,31.27,191.04,盛群,0.62,191.41,22.23,6202.TW,2025
-9.6,0.41,⚪ 數據不足,0.0,3.38%,52.2999992371,2025-12,17.05%,🔄 轉虧為盈,193.18,8.02,62.12,環科,-0.25,189.66,3.52,2413.TW,2025
0.30000000000000027,0.04,⚠️ 追價風險,1032.4999809249991,-14.33%,20.6499996185,2025-12,5.36%,🧐 疑業外收益,100.65,-90.58,-70.59,川飛,0.1,187.65,-87.0,1516.TW,2025
56.25,1.82,💎 強力關注,11.613333129893334,N/A,43.5499992371,2025-12,N/A,🚀 利潤擴張,203.33,20.56,-3.23,邁達特,1.2,184.49,18.84,6112.TW,2025
11.099999999999998,1.14,⚠️ 追價風險,22.027025996081083,N/A,16.2999992371,2025-12,N/A,🔄 轉虧為盈,186.36,11.15,97.79,臺龍,-0.04,179.8,6.56,6246.TWO,2025
0.0,3.67,⚪ 數據不足,0.0,21.37%,0.0,2025-12,41.59%,🚀 利潤擴張,180.15,4.96,39.43,台耀,2.44,177.61,2.54,4746.TW,2025
163.5,6.42,💎 強力關注,2.6055045521559634,-11.23%,28.3999996185,2025-12,8.05%,🚀 利潤擴張,248.27,27.17,314.37,三一東林,7.31,177.55,70.72,3609.TWO,2025
20.7,1.23,💎 強力關注,9.673913319927536,N/A,13.3500003815,2025-12,N/A,🧐 疑業外收益,163.4,-11.95,228.8,虹揚-KY,1.61,176.83,-13.43,6573.TW,2025
213.00000000000003,6.58,💎 強力關注,11.830985915492956,N/A,168.0,2025-12,N/A,🚀 利潤擴張,198.64,22.77,89.73,力智,4.25,174.75,23.89,6719.TW,2025
29.999999999999996,0.47,⚪ 中性觀察,20.600000381450002,N/A,41.2000007629,2025-12,N/A,🧐 疑業外收益,173.44,-0.97,275.0,九豪,0.91,174.57,-1.13,6127.TWO,2025
24.750000000000004,0.92,⚪ 中性觀察,16.363636363636363,14.30%,27.0,2025-12,42.07%,🧐 疑業外收益,170.59,-8.55,172.22,旭然,0.49,174.34,-3.75,4556.TWO,2025
13.5,0.53,✅ 穩健價值,14.888888465,N/A,13.3999996185,2025-12,N/A,🚀 利潤擴張,178.95,4.04,175.0,亞都,0.09,173.32999999999998,5.62,5703.TWO,2025
