日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-07-23,2317,鴻海,251.5,241.21,2000,20580,4.27%
2026-07-23,4142,國光生,17.05,25.32,1000,-8270,-32.66%
2026-07-23,0050,元大台灣50,102.5,46.6,16000,894400,119.96%
2026-07-23,0056,元大高股息,49.55,36.43,4000,52480,36.01%
2026-07-23,00635U,期元大S&P黃金,42.26,55.25,3000,-38970,-23.51%
2026-07-23,00738U,期元大道瓊白銀,46.69,66.26,1000,-19570,-29.54%
2026-07-23,00929,復華台灣科技優息,28.27,19.73,8000,68320,43.28%
2026-07-23,009816,凱基台灣TOP50,14.76,11.01,63000,236250,34.06%
2026-07-23,00990A,主動元大AI新經濟,16.43,11.48,5000,24750,43.12%
2026-07-23,2009,第一銅,37.85,50.56,4000,-50840,-25.14%
2026-07-23,2337,旺宏,135.0,95.28,2000,79440,41.69%
2026-07-23,2409,友達,25.8,16.21,2000,19180,59.16%
2026-07-23,3481,群創,52.5,25.1,4000,109600,109.16%
2026-07-23,3105,穩懋,359.0,556.47,300,-59241,-35.49%
2026-07-23,4966,譜瑞-KY,612.0,1921.64,1000,-1309640,-68.15%
2026-07-23,2327,國巨*,703.0,1030.0,1,-327,-31.75%
2026-07-23,00403A,主動統一升級50,9.75,10.68,26000,-24180,-8.71%
2026-07-23,00981A,主動統一台股增長,27.72,27.48,2000,480,0.87%
2026-07-23,2330,台積電,2400.0,225.55,10,21744,964.07%
2026-07-23,6789,采鈺,492.0,593.5,400,-40600,-17.10%
2026-07-23,6849,奇鼎科技,153.5,266.4,280,-31612,-42.38%
2026-07-23,7853,政美應用,341.0,409.29,280,-19121,-16.68%
2026-07-23,3576,聯合再生,19.45,18.15,5000,6500,7.16%
2026-07-23,1721,三晃,21.05,27.88,3000,-20500,-24.51%
2026-07-23,8215,明基材,25.1,31.6,200,-1300,-20.57%
2026-07-23,00405A,主動富邦台灣龍耀,8.0,9.34,11000,-14740,-14.35%
2026-07-23,5498,凱崴,49.65,69.61,188,-3752,-28.67%
2026-07-23,1301,台塑,63.5,50.5,100,1300,25.74%
2026-07-23,6498,久禾光,81.9,67.3,12,175,21.69%
2026-07-23,009821,野村稀土關鍵資源,12.61,17.3,12000,-56280,-27.11%
