代號,名稱,前日均價,報買價,報買量,報賣價,報賣量,日最高,日最低,日均價,成交,成交量,進度日期,上市櫃進度(註)
1260,富味鄉,25.23,25.75,2000,26.95,2999,26.95,25.20,25.92,25.75,128270,-,
1269,乾杯,65.70,62.7,2400,65.7,2789,65.70,62.70,63.48,65.70,811,-,
1271,晨暉生技,61.64,60.0,3000,60.7,4990,62.20,60.10,60.72,60.70,38355,-,
1293,利統,24.86,24.8,6000,26.0,3000,26.00,24.80,24.88,26.00,5364,-,
1343,旭東環保,28.13,27.85,3000,28.0,3000,28.15,27.00,27.90,27.90,49024,-,
1480,東盟開發,8.28,8.0,10000,8.35,5000,8.38,8.13,8.30,8.15,15096,-,
1594,日高,8.14,7.91,5000,8.31,4998,8.31,8.31,8.31,8.31,2,-,
2071,震南鐵,30.89,30.2,2000,31.25,2900,31.50,30.20,30.78,30.20,6450,-,
2237,華德動能,39.13,35.8,3000,36.1,3000,38.40,35.90,36.71,35.95,412551,115/03/09,證交所同意創新板上市契約
2245,詠勝昌*,25.55,25.35,3000,25.75,3000,25.55,25.35,25.44,25.45,14210,-,
2249,湧盛,106.08,106.0,1999,107.5,2000,108.00,106.00,106.95,107.00,7118,115/07/07,上櫃審議會通過
2252,為昇科,17.16,16.8,7050,17.1,5000,17.20,16.80,16.90,17.10,39964,-,
2255,凱銳光電,16.98,16.15,5000,16.55,6000,16.55,15.60,16.31,16.55,35195,-,
2256,歐特明,59.67,59.6,3000,60.4,3000,60.50,59.00,59.95,60.00,31327,-,
2644,中信造船,83.85,83.0,5000,83.9,5990,86.20,83.00,84.08,83.90,63774,-,
2733,維格餅家,11.20,10.7,3000,11.0,4699,11.00,10.70,10.74,11.00,2301,-,
2741,老四川,20.24,19.9,5000,20.3,3000,20.30,19.90,20.03,20.10,13650,-,
2758,路易莎咖啡,70.25,69.8,1997,72.9,3000,72.90,69.80,70.05,72.00,1123,-,
2760,巨宇翔,11.75,11.75,10000,12.35,10000,-,-,-,-,-,-,
2761,橘焱胡同,15.46,15.05,5000,15.7,5000,15.65,15.05,15.43,15.25,3210,-,
2938,床的世界,26.30,25.1,6000,26.3,2897,26.30,26.30,26.30,26.30,103,115/06/22,上櫃審議會通過
2940,歐都納,24.01,23.75,3000,24.2,3000,24.85,24.00,24.05,24.85,6004,-,
2942,京站,39.41,39.35,2591,39.85,2890,40.15,39.35,39.88,39.85,15800,-,
3097,拍檔,25.08,24.1,3000,25.0,2916,25.40,25.00,25.00,25.00,85,-,
3117,年程,29.02,29.0,2000,29.8,3000,30.30,28.80,29.38,29.00,122637,-,
3184,微邦,13.80,14.35,5000,15.05,9900,15.05,13.00,13.90,15.05,361120,-,
3473,智通聯網,89.90,85.5,3000,88.9,3000,89.00,86.00,86.00,89.00,2041,-,
3585,聯致,50.23,47.95,6000,48.8,2950,51.00,47.05,48.59,48.80,636883,-,
3595,山太士,2282.28,2085.0,2000,2105.0,1800,2215.00,1960.00,2090.54,2105.00,322792,115/06/17,送件申請上櫃
3603,建祥國際,7.26,6.9,10000,7.26,10000,-,-,-,-,-,-,
3633,云光,118.00,117.0,6000,118.5,3997,119.00,117.00,117.75,118.50,14165,-,
3644,凌嘉科,272.74,295.5,2000,298.5,2000,303.50,277.00,291.31,298.00,233911,-,
