status,advice,gm,eps_yoy,rev_yoy,om,prev_rev_yoy,name,eps,pe,date,symbol,price,expansion,prev_year,prev_eps,est_price,prev_eps_yoy
🚀 利潤擴張,⚪ 數據不足,19.34%,213.33,26.54,7.12%,3.55,聯嘉投控,0.47,0.0,2026-03,3717.TW,22.7999992371,186.79000000000002,2025,0.08,0.0,-80.0
🔄 轉虧為盈,⚪ 數據不足,N/A,266.67,80.73,N/A,-10.9,巨虹,0.33,0.0,2026-03,8084.TWO,43.0999984741,185.94,2025,-1.82,-43.199999999999996,-280.2
🚀 利潤擴張,💎 強力關注,30.40%,728.13,542.69,14.85%,18.23,東浦,2.65,9.77671439188198,2026-03,3290.TWO,61.2999992371,185.43999999999994,2025,2.02,94.05,25.64
🔄 轉虧為盈,⚪ 數據不足,N/A,550.0,385.95,N/A,-15.68,同協,0.09,0.0,2026-03,5460.TWO,16.5499992371,164.05,2025,-0.17,-7.95,-177.27
🚀 利潤擴張,⚪ 數據不足,N/A,276.67,116.02,N/A,32.98,未知,0.53,0.0,2026-03,4582.TWO,0.0,160.65000000000003,2025,1.54,0.0,1640.0
🚀 利潤擴張,⚪ 數據不足,N/A,276.67,116.02,N/A,32.98,聚恆-創,0.53,0.0,2026-03,4582.TW,28.5,160.65000000000003,2025,1.54,0.0,1640.0
🔄 轉虧為盈,⚪ 數據不足,10.78%,700.0,542.01,-2.91%,-2.43,鼎元,0.06,0.0,2026-03,2426.TW,61.0999984741,157.99,2025,-0.25,-6.6,-219.05
🔄 轉虧為盈,⚪ 數據不足,56.31%,264.29,108.24,8.42%,2.69,圓剛,0.28,0.0,2026-03,2417.TW,40.8499984741,156.05,2025,-0.19,-25.049999999999997,54.55
🔄 轉虧為盈,⚠️ 追價風險,N/A,366.67,214.33,N/A,-4.25,成霖,0.28,152.14285169285702,2026-03,9934.TW,10.6499996185,152.34,2025,-0.29,1.050000000000001,-125.22
🚀 利潤擴張,⚠️ 追價風險,N/A,323.08,180.76,N/A,7.13,六角,1.1,29.99999999999999,2026-03,2732.TWO,64.5,142.32,2025,1.09,32.250000000000014,-77.02
🚀 利潤擴張,⚪ 中性觀察,N/A,442.11,307.94,N/A,5.8,醫揚,1.03,16.380655226209047,2026-03,6569.TWO,105.0,134.17000000000002,2025,2.88,96.15,-38.68
