股號,名稱,現價,漲跌幅,建議
2317,鴻海,197.0,5.07%,賣出
3702,大聯大,89.9,2.16%,賣出
2485,兆赫,81.5,2.39%,賣出
2367,燿華,74.5,1.36%,賣出
4142,國光生,18.8,2.45%,買入
0050,元大台灣50,75.45,4.28%,賣出
0056,元大高股息,38.11,2.64%,賣出
00635U,期元大S&P黃金,49.42,2.45%,賣出
00738U,期元大道瓊白銀,60.85,3.22%,賣出
00929,復華台灣科技優息,19.0,2.10%,賣出
009816,凱基台灣TOP50,10.66,4.31%,賣出
00990A,主動元大AI新經濟,11.81,4.51%,賣出
2009,第一銅,40.85,2.90%,賣出
2337,旺宏,127.0,9.96%,賣出
2352,佳世達,23.3,2.42%,賣出
2409,友達,15.95,10.00%,續抱/觀望
3481,群創,25.05,5.03%,賣出
6136,富爾特,24.25,0.21%,買入
6806,森崴能源,38.6,3.35%,賣出
3105,穩懋,376.5,7.11%,買入
4966,譜瑞-KY,482.0,1.26%,賣出
6188,廣明,88.4,2.08%,賣出
7792,安葆,312.0,4.00%,賣出
2327,國巨*,251.5,3.29%,賣出
