日期,代碼,名稱,收盤價,漲跌幅%,成交量(張),MJ狀態,J線值,MACD柱狀體
2026-04-01,6550.TW,北極星藥業-KY,20.3,6.01,1456,🔥 MJ強勢攻擊,47.13,0.44
2026-04-01,8069.TWO,元太,144.0,5.49,4084,🔥 MJ強勢攻擊,39.35,1.01
2026-04-01,00665L.TW,富邦�琤肭磪囓�2,9.59,4.47,20784,🔥 MJ強勢攻擊,44.61,0.04
2026-04-01,00753L.TW,中信中國50正2,10.34,4.34,18072,🔥 MJ強勢攻擊,42.77,0.05
2026-04-01,2354.TW,鴻準,52.5,3.96,3695,🔥 MJ強勢攻擊,46.98,0.14
2026-04-01,2332.TW,友訊,15.35,3.72,7016,🔥 MJ強勢攻擊,44.02,0.03
2026-04-01,3149.TW,正達,45.15,3.67,3484,🔥 MJ強勢攻擊,39.86,0.28
2026-04-01,5371.TWO,中光電,75.6,3.28,1852,🔥 MJ強勢攻擊,31.88,0.23
2026-04-01,9945.TW,潤泰新,25.6,3.02,4007,🔥 MJ強勢攻擊,42.97,0.12
2026-04-01,2009.TW,第一銅,40.85,2.9,1363,🔥 MJ強勢攻擊,31.94,0.15
2026-04-01,4164.TW,承業醫,31.0,2.82,625,🔥 MJ強勢攻擊,44.08,0.11
2026-04-01,8358.TWO,金居,243.0,2.75,19635,🔥 MJ強勢攻擊,40.36,1.57
2026-04-01,1609.TW,大亞,32.5,2.69,2100,🔥 MJ強勢攻擊,27.64,0.1
2026-04-01,2606.TW,裕民,59.5,2.59,4955,🔥 MJ強勢攻擊,47.07,0.14
2026-04-01,2641.TWO,正德,18.1,2.55,1218,🔥 MJ強勢攻擊,23.87,0.0
2026-04-01,6643.TWO,M31,486.0,2.32,1541,🔥 MJ強勢攻擊,42.87,0.58
2026-04-01,00752.TW,中信中國50,23.97,2.13,2478,🔥 MJ強勢攻擊,35.4,0.02
2026-04-01,2881.TW,富邦金,87.8,2.09,13456,🔥 MJ強勢攻擊,41.67,0.1
2026-04-01,5521.TW,工信,12.6,2.02,5134,🔥 MJ強勢攻擊,45.56,0.38
2026-04-01,8932.TWO,智通*,82.0,1.86,1162,🔥 MJ強勢攻擊,40.01,0.36
2026-04-01,1319.TW,東陽,82.0,1.74,991,🔥 MJ強勢攻擊,30.41,0.79
2026-04-01,1301.TW,台塑,46.65,1.63,21886,🔥 MJ強勢攻擊,42.24,0.05
2026-04-01,2597.TW,潤弘,152.0,1.33,625,🔥 MJ強勢攻擊,33.14,0.19
2026-04-01,1584.TWO,精剛,22.0,1.15,524,🔥 MJ強勢攻擊,22.67,0.04
2026-04-01,3704.TW,合勤控,33.05,1.07,1991,🔥 MJ強勢攻擊,41.23,0.07
2026-04-01,6175.TWO,立敦,48.05,0.63,2918,🔥 MJ強勢攻擊,48.39,0.38
2026-04-01,9103.TW,美德醫療-DR,5.2,0.58,745,🔥 MJ強勢攻擊,39.51,0.02
2026-04-01,8422.TW,可寧衛*,29.25,-0.51,10037,🔥 MJ強勢攻擊,37.41,0.28
2026-04-01,7769.TW,鴻勁,3855.0,9.99,1150,🚀 MJ低檔反彈,32.72,-48.7
2026-04-01,3596.TW,智易,167.0,9.87,5794,🚀 MJ低檔反彈,22.9,-3.62
2026-04-01,5234.TW,達興材料,361.0,9.39,1163,🚀 MJ低檔反彈,31.67,-4.58
2026-04-01,6510.TWO,精測,3355.0,8.93,656,🚀 MJ低檔反彈,36.63,-27.88
2026-04-01,00670L.TW,富邦NASDAQ正2,139.25,6.5,2182,🚀 MJ低檔反彈,39.41,-0.85
2026-04-01,1560.TW,中砂,452.0,6.23,2000,🚀 MJ低檔反彈,32.87,-4.18
2026-04-01,6271.TW,同欣電,149.0,6.05,3024,🚀 MJ低檔反彈,30.55,-0.82
