股號,名稱,收盤價,成交量,一年內最高收盤,一年內最低收盤,法說會,殖利率,狀態,連續大漲,連續大跌,原因,最終狀態
6570,維田,53.70,349,64.28,36.61,---,3.53%,貼軌運行,連2日大漲,無,股價於高位貼軌 (53.70 > 1.5σ)，動能強勁,貼軌運行
7806,精華生醫,57.90,16,80.50,57.60,---,---,均線糾擺,無,無,MA 乖離率僅 1.35%,均線糾擺
6831,邁科,565.00,1854,956.00,153.36,---,0.74%,趨勢運行,連2日大漲,無,股價具備方向性，未達特定過濾標準,趨勢運行
00696,富邦美債20年,28.48,4844,30.21,26.28,---,0.94%,均線糾擺,無,無,MA 乖離率僅 0.23%,均線糾擺
6153,嘉聯益,14.80,4212,24.45,13.50,---,---,趨勢運行,連1日大漲,無,股價具備方向性，未達特定過濾標準,趨勢運行
8261,富鼎,171.00,11005,346.94,79.40,---,4.05%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6205,詮欣,57.30,628,98.20,37.00,---,3.47%,趨勢運行,連2日大漲,無,股價具備方向性，未達特定過濾標準,趨勢運行
7595,世基生醫,7.01,4,13.60,6.09,---,---,均線糾擺,無,無,MA 乖離率僅 0.74%,均線糾擺
3479,安勤,133.50,1448,156.50,83.70,---,5.22%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
1789,神隆,19.05,584,28.25,16.65,---,2.02%,均線糾擺,無,無,MA 乖離率僅 1.46%,均線糾擺
3171,炎洲流通,65.00,8,79.40,38.65,---,7.01%,均線糾擺,無,無,MA 乖離率僅 0.19%,均線糾擺
4721,美琪瑪,70.20,481,101.00,61.20,---,3.35%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
911608,明輝-DR,2.59,12,3.51,2.59,---,1.89%,離開盤整 (向下),無,無,跌破布林下軌 (2.59),離開盤整 (向下)
6924,榮惠-KY創,100.00,49,193.50,47.80,---,7.45%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
