name,gm,prev_eps_yoy,advice,om,status,expansion,eps_yoy,prev_year,est_price,price,pe,prev_rev_yoy,prev_eps,eps,rev_yoy,date,symbol
旭然,42.07%,170.59,⚠️ 追價風險,14.30%,🚀 利潤擴張,312.59000000000003,550.0,2025,26.4,94.5999984741,53.749999133011364,-3.75,0.92,0.13,237.41,2026-03,4556.TWO
協禧,30.11%,-29.63,✅ 穩健價值,7.94%,🚀 利潤擴張,306.68,650.0,2025,25.95,23.5,13.583815028901734,-5.82,0.57,0.15,343.32,2026-03,3071.TWO
群聯,N/A,3.78,✅ 穩健價值,N/A,🚀 利潤擴張,293.43999999999994,1143.3,2025,2097.2999999999997,1990.0,14.232584751823774,23.29,41.98,68.8,849.86,2026-03,8299.TWO
慧智,N/A,-150.59,⚪ 數據不足,N/A,🔄 轉虧為盈,276.36999999999995,546.67,2025,0.0,0.0,0.0,-14.91,-0.43,0.67,270.3,2026-03,6615.TWO
康舒,N/A,550.0,⚪ 數據不足,N/A,🚀 利潤擴張,268.97,640.0,2025,-9.150000000000002,42.75,0.0,0.1,0.18,0.27,371.03,2026-03,6282.TW
三貝德,N/A,55.83,⚪ 數據不足,N/A,🔄 轉虧為盈,258.58,445.45,2025,-20.1,21.8999996185,0.0,5.03,-0.76,0.38,186.87,2026-03,8489.TWO
事欣科,18.73%,8050.0,💎 強力關注,8.07%,🚀 利潤擴張,228.27999999999997,701.79,2025,120.3,94.3000030518,11.758105118678305,0.89,1.77,4.49,473.51,2026-03,4916.TW
銘旺實,N/A,-66.67,💎 強力關注,N/A,🚀 利潤擴張,226.35000000000002,518.75,2025,44.1,15.3999996185,5.238095108333334,-3.15,0.88,2.97,292.4,2026-03,4432.TWO
中美實,35.38%,51.72,💎 強力關注,-88.29%,🚀 利潤擴張,217.69,350.0,2025,14.700000000000001,9.2299995422,9.418366879795917,-61.59,0.88,0.45,132.31,2026-03,4702.TWO
東哥遊艇,N/A,33.97,💎 強力關注,N/A,🚀 利潤擴張,215.22999999999996,512.9,2025,493.65000000000003,141.5,4.299604983287754,5.83,13.25,3.8,297.67,2026-03,8478.TW
大亞,13.61%,-21.15,💎 強力關注,8.70%,🚀 利潤擴張,211.49,925.0,2025,76.65,37.8499984741,7.4070447111741675,3.39,1.65,0.66,713.51,2026-03,1609.TW
聯嘉投控,19.34%,-80.0,⚪ 數據不足,7.12%,🚀 利潤擴張,186.79000000000002,213.33,2025,0.0,21.0499992371,0.0,3.55,0.08,0.47,26.54,2026-03,3717.TW
巨虹,N/A,-280.2,⚪ 數據不足,N/A,🔄 轉虧為盈,185.94,266.67,2025,-43.199999999999996,43.4000015259,0.0,-10.9,-1.82,0.33,80.73,2026-03,8084.TWO
東浦,30.40%,25.64,💎 強力關注,14.85%,🚀 利潤擴張,185.43999999999994,728.13,2025,94.05,45.5499992371,7.264752669393941,18.23,2.02,2.65,542.69,2026-03,3290.TWO
同協,N/A,-177.27,⚪ 數據不足,N/A,🔄 轉虧為盈,164.05,550.0,2025,-7.95,17.1499996185,0.0,-15.68,-0.17,0.09,385.95,2026-03,5460.TWO
未知,N/A,1640.0,⚪ 數據不足,N/A,🚀 利潤擴張,160.65000000000003,276.67,2025,0.0,0.0,0.0,32.98,1.54,0.53,116.02,2026-03,4582.TWO
聚恆-創,N/A,1640.0,⚪ 數據不足,N/A,🚀 利潤擴張,160.65000000000003,276.67,2025,0.0,22.7000007629,0.0,32.98,1.54,0.53,116.02,2026-03,4582.TW
鼎元,10.78%,-219.05,⚪ 數據不足,-2.91%,🔄 轉虧為盈,157.99,700.0,2025,-6.6,97.0999984741,0.0,-2.43,-0.25,0.06,542.01,2026-03,2426.TW
圓剛,56.31%,54.55,⚪ 數據不足,8.42%,🔄 轉虧為盈,156.05,264.29,2025,-25.049999999999997,38.4000015259,0.0,2.69,-0.19,0.28,108.24,2026-03,2417.TW
成霖,N/A,-125.22,⚠️ 追價風險,N/A,🔄 轉虧為盈,152.34,366.67,2025,1.050000000000001,9.9300003052,141.85714721714274,-4.25,-0.29,0.28,214.33,2026-03,9934.TW
六角,N/A,-77.02,⚠️ 追價風險,N/A,🚀 利潤擴張,142.32,323.08,2025,32.250000000000014,62.5,29.069767441860453,7.13,1.09,1.1,180.76,2026-03,2732.TWO
醫揚,N/A,-38.68,✅ 穩健價值,N/A,🚀 利潤擴張,134.17000000000002,442.11,2025,96.15,90.3000030518,14.087363970639625,5.8,2.88,1.03,307.94,2026-03,6569.TWO
凌華,N/A,921.74,⚪ 中性觀察,N/A,🚀 利潤擴張,133.17000000000002,406.45,2025,85.05,112.5,19.841269841269842,17.09,2.35,1.57,273.28,2026-03,6166.TW
聯亞,54.76%,884.75,⚠️ 追價風險,41.27%,🏰 高護城河,130.47000000000003,645.65,2025,183.0,2810.0,230.32786885245903,82.29,4.66,3.44,515.18,2026-03,3081.TWO
奇偶,N/A,-20.59,⚪ 數據不足,N/A,🚀 利潤擴張,115.32000000000001,228.49,2025,0.0,0.0,0.0,-14.96,6.21,2.21,113.17,2026-03,3356.TW
美達科技,N/A,-84.51,⚪ 數據不足,N/A,🚀 利潤擴張,114.74000000000001,383.33,2025,-7.200000000000001,60.5999984741,0.0,-4.81,0.33,0.29,268.59,2026-03,6735.TWO
益航,102.69%,-365.71,⚪ 數據不足,-12.62%,🏰 高護城河,109.06,87.5,2025,-33.6,6.5399999619,0.0,-7.78,-1.63,-0.02,-21.56,2026-03,2601.TW
暉盛-創,N/A,-45.51,⚠️ 追價風險,N/A,🚀 利潤擴張,108.44,270.0,2025,50.699999999999996,172.0,50.887573964497044,-5.33,1.73,0.37,161.56,2026-03,7730.TW
麗嬰房,N/A,152.83,⚪ 數據不足,N/A,🚀 利潤擴張,96.19000000000001,163.46,2025,-40.05,6.3899998665,0.0,-16.81,2.15,0.66,67.27,2026-03,2911.TW
網龍,87.57%,-46.91,⚠️ 追價風險,12.73%,🏰 高護城河,92.64,150.0,2025,13.05,22.5499992371,25.919539352988505,-7.4,0.43,0.3,57.36,2026-03,3083.TWO
青松健康,N/A,104.41,✅ 穩健價值,N/A,🚀 利潤擴張,89.48000000000002,1080.0,2025,44.550000000000004,39.2999992371,13.232322975454545,14.16,1.39,0.49,990.52,2026-03,6931.TW
宏佳騰,16.92%,-169.49,⚪ 數據不足,-21.33%,🔄 轉虧為盈,88.79000000000002,575.0,2025,-24.299999999999994,23.5,0.0,-18.58,-0.84,0.28,486.21,2026-03,1599.TWO
中裕,28.91%,17.57,⚪ 數據不足,-58.34%,🔄 轉虧為盈,84.69999999999999,166.67,2025,-18.3,59.7999992371,0.0,0.19,-0.61,0.06,81.97,2026-03,4147.TWO
昭輝,33.66%,-51.9,💎 強力關注,13.17%,🚀 利潤擴張,83.63,186.6,2025,97.8,42.9500007629,6.587423429892638,-14.02,2.41,2.78,102.97,2026-03,1339.TW
