代號,名稱,前日均價,報買價,報買量,報賣價,報賣量,日最高,日最低,日均價,成交,成交量,進度日期,上市櫃進度(註)
1260,富味鄉,23.80,23.55,3000,24.65,3000,24.50,23.55,24.13,24.00,19300,-,
1269,乾杯,70.43,74.5,3000,75.1,6000,78.40,71.90,74.34,74.80,38207,-,
1271,晨暉生技,62.01,61.8,9000,62.5,3000,63.00,62.00,62.45,62.20,69120,-,
1293,利統,26.73,26.6,3000,26.95,3000,27.50,26.70,26.70,26.95,3003,-,
1343,旭東環保,21.12,24.45,2994,25.25,1217,25.25,21.40,23.58,25.25,90324,-,
1480,東盟開發,9.12,9.01,5000,9.15,4667,9.15,9.15,9.15,9.15,333,-,
1594,日高,8.21,8.55,10000,9.0,10000,9.40,8.60,8.99,8.80,78163,-,
2071,震南鐵,25.56,24.75,5000,25.4,5000,27.25,24.40,25.63,25.00,256821,-,
2237,華德動能,40.06,39.9,3000,40.25,6000,40.90,39.85,40.02,39.95,147765,115/03/09,證交所同意創新板上市契約
2245,詠勝昌*,27.75,26.6,3000,27.8,2998,27.85,26.65,26.74,27.80,3304,-,
2249,湧盛,111.45,111.0,3000,112.5,2830,113.50,110.00,111.63,112.50,70176,115/05/08,送件申請上櫃
2252,為昇科,16.06,18.2,5000,18.6,5000,20.55,15.85,17.19,18.65,2471977,-,
2255,凱銳光電,17.20,17.4,1000,17.85,5000,18.20,17.40,17.72,17.80,43116,-,
2256,歐特明,71.46,69.8,6000,73.3,2999,73.50,69.90,70.60,73.30,92789,-,
2644,中信造船,83.01,82.9,3000,84.5,5000,85.00,82.90,84.21,84.50,35216,-,
2733,維格餅家,10.85,10.65,3000,10.95,3897,11.20,10.65,10.72,10.95,7405,-,
2741,老四川,21.10,20.4,3000,21.1,5926,21.10,20.10,20.46,21.10,24294,-,
2758,路易莎咖啡,68.10,67.5,3000,69.3,3000,69.40,67.50,68.29,69.30,6562,-,
2760,巨宇翔,17.30,16.4,10000,17.25,10000,-,-,-,-,-,-,
2761,橘焱胡同,15.30,14.9,5000,15.6,10000,15.35,15.00,15.25,15.00,7000,-,
2938,床的世界,23.43,28.0,3000,29.05,2450,29.45,25.00,27.08,29.05,314960,115/06/22,上櫃審議會通過
2940,歐都納,24.48,23.8,3000,24.65,3000,24.55,24.50,24.51,24.50,6000,-,
2942,京站,37.75,37.35,3000,38.0,4775,38.00,38.00,38.00,38.00,1225,-,
3097,拍檔,26.00,25.9,3000,27.1,2999,27.10,25.90,26.19,27.10,9008,-,
3117,年程,28.24,26.0,3000,27.0,2912,28.30,25.25,26.03,27.00,446650,-,
3184,微邦,17.75,16.85,5000,17.5,4899,18.65,16.70,17.47,17.45,423363,-,
3473,智通聯網,92.00,90.0,2000,91.0,2998,94.00,89.00,90.20,91.00,23006,-,
3585,聯致,80.15,80.2,6000,80.9,6000,95.20,80.20,86.00,80.50,5208900,-,
3595,山太士,2586.90,2455.0,3000,2475.0,3817,2615.00,2455.00,2537.42,2475.00,317223,115/06/17,送件申請上櫃
3603,建祥國際,7.79,7.7,5000,7.9,5000,7.89,7.60,7.79,7.89,3000,-,
3633,云光,124.20,123.0,2000,125.0,5000,125.00,123.00,124.26,125.00,5263,-,
3644,凌嘉科,348.78,370.5,2000,375.0,3000,400.00,362.50,382.81,372.50,982279,-,
3659,百辰,22.62,22.55,3000,23.65,3000,22.90,22.50,22.73,22.90,21610,-,
3678,聯享,49.22,46.95,3000,48.0,2999,50.40,46.70,48.44,48.00,39018,-,
4115,善德生技,7.51,7.8,10000,8.05,5000,9.36,7.64,8.14,8.07,141806,-,
4117,普生,12.02,11.35,2860,11.6,4995,12.00,10.90,11.33,11.60,468058,-,
4150,優你康,5.01,4.93,10000,5.01,10000,5.09,4.90,4.96,4.95,231836,-,
4170,鑫品生醫,12.60,12.3,1442,12.65,5000,12.65,12.20,12.40,12.65,33770,-,
4172,因華,11.48,11.25,5000,11.55,9999,11.70,11.10,11.36,11.55,91453,-,
4186,尖端醫,10.07,9.91,5000,10.0,2000,10.25,9.90,10.01,9.90,135976,-,
4194,禾生技,6.99,6.86,5000,7.12,5000,7.20,6.86,7.02,7.10,98338,-,
4197,暐世,8.98,8.67,5000,9.09,5000,9.09,8.67,8.75,9.09,5003,-,
4431,敏成健康,16.77,16.25,5000,17.0,9390,17.00,15.95,16.34,17.00,128995,-,
4537,旭東,182.28,178.0,10850,180.0,4000,183.00,177.00,179.44,178.00,101726,-,
4544,春日,14.28,14.25,10000,14.95,5000,14.25,14.25,14.25,14.25,1220,-,
4546,長亨,105.99,99.7,2800,102.5,1504,107.00,99.60,102.02,102.50,57460,-,
4553,盛復,17.04,17.05,5000,17.85,9999,17.85,17.00,17.11,17.85,13151,-,
4559,久裕興,8.22,7.76,5000,8.01,1995,8.30,7.89,8.04,8.01,87830,-,
4565,宏偉,127.45,125.0,4000,126.5,9990,127.50,125.00,126.34,125.00,21108,-,
4570,傑生,69.90,68.9,3000,70.8,3000,70.80,68.90,70.80,68.90,1001,-,
4573,高明鐵,460.86,449.0,2000,453.5,1870,487.50,448.50,465.97,453.50,1143762,-,
4575,銓寶,26.88,26.0,5000,26.65,3000,26.60,26.00,26.28,26.10,29032,-,
4587,寶元數控,59.39,58.7,3000,60.0,3000,59.50,58.80,59.24,59.50,23868,-,
4589,碩陽電機,37.40,36.85,3000,37.4,3999,37.40,36.65,36.66,37.40,101,-,
4724,宣捷幹細胞,9.52,9.51,5000,9.97,3000,10.10,9.51,9.81,9.97,84525,-,
4732,彥臣,18.48,17.7,5000,18.45,4730,18.50,17.75,17.90,18.45,7476,-,
4738,大同精化,7.63,7.61,10000,7.95,9850,8.41,7.61,7.92,7.95,259306,-,
4765,磐采,16.91,16.15,10000,16.9,5000,17.00,16.25,16.83,16.80,24000,-,
4925,智微,150.69,144.5,3000,150.5,3000,151.50,145.00,147.46,150.50,116291,-,
4980,佐臻,47.86,44.0,3000,45.35,3000,46.55,44.00,45.54,45.00,210020,-,
5240,建騰,23.12,21.8,5000,22.8,8000,23.20,21.50,22.34,22.50,106714,-,
5246,勵威,197.27,188.5,2000,190.0,2999,203.00,189.00,192.61,190.00,482895,-,
5248,景傳,35.22,32.0,3000,32.9,3000,37.50,31.85,34.59,32.15,468669,-,
