prev_eps_yoy,est_price,rev_yoy,advice,prev_year,prev_rev_yoy,symbol,price,gm,eps,pe,name,eps_yoy,prev_eps,status,date,om,expansion
222.58,52.05,43.25,⚠️ 追價風險,2025,20.92,6902.TW,138.0,N/A,1.64,39.76945244956772,GOGOLOOK,530.77,1.58,🚀 利潤擴張,2026-03,N/A,487.52
74.6,-7.499999999999999,335.75,⚪ 數據不足,2025,5.06,6241.TWO,14.4499998093,N/A,0.46,0.0,鑫永洋,820.0,-0.16,🔄 轉虧為盈,2026-03,N/A,484.25
-42.59,8.850000000000001,727.58,⚠️ 追價風險,2025,-6.1,8440.TWO,21.7999992371,N/A,0.22,36.94915124932203,綠電,1200.0,0.31,🚀 利潤擴張,2026-03,N/A,472.41999999999996
-1.45,0.0,-25.82,⚪ 數據不足,2025,-41.11,4590.TW,79.3000030518,30.54%,1.21,0.0,富田-創,418.92,2.72,🧐 疑業外收益,2026-03,-0.34%,444.74
-34.67,17.400000000000002,187.7,⚠️ 追價風險,2025,11.66,2302.TW,45.6500015259,36.04%,0.25,39.3534495912931,麗正,600.0,0.49,🚀 利潤擴張,2026-03,11.05%,412.3
576.92,40.8,646.87,⚠️ 追價風險,2025,9.55,2344.TW,211.5,41.86%,2.25,77.75735294117648,華邦電,1037.5,0.88,🚀 利潤擴張,2026-03,15.37%,390.63
5.88,0.0,6.45,⚪ 數據不足,2025,28.36,6908.TW,38.9000015259,N/A,0.41,0.0,宏�砦C戲-創,387.5,1.44,🚀 利潤擴張,2026-03,N/A,381.05
-49.65,81.60000000000001,359.78,⚪ 中性觀察,2025,-15.3,6716.TWO,101.5,N/A,1.59,18.658088235294116,應廣,715.79,2.19,🚀 利潤擴張,2026-03,N/A,356.01
207.35,19.499999999999996,37.41,⚠️ 追價風險,2025,9.95,5210.TWO,29.7999992371,N/A,0.24,22.92307633623077,寶碩,380.0,0.73,🚀 利潤擴張,2026-03,N/A,342.59000000000003
90.52,-8.4,750.53,⚪ 數據不足,2025,25.85,5228.TWO,64.3000030518,N/A,0.99,0.0,鈺鎧,1090.0,-0.2,🔄 轉虧為盈,2026-03,N/A,339.47
1.73,92.55,179.43,💎 強力關注,2025,5.96,2754.TWO,68.0999984741,N/A,1.42,11.037276900178282,亞洲藏壽司,517.65,2.35,🚀 利潤擴張,2026-03,N/A,338.21999999999997
170.59,26.4,237.41,⚠️ 追價風險,2025,-3.75,4556.TWO,73.0999984741,42.07%,0.13,41.53409004210228,旭然,550.0,0.92,🚀 利潤擴張,2026-03,14.30%,312.59000000000003
-29.63,25.95,343.32,⚪ 中性觀察,2025,-5.82,3071.TWO,34.0,30.11%,0.15,19.653179190751445,協禧,650.0,0.57,🚀 利潤擴張,2026-03,7.94%,306.68
3.78,2097.2999999999997,849.86,⚪ 中性觀察,2025,23.29,8299.TWO,2430.0,N/A,68.8,17.379487913031042,群聯,1143.3,41.98,🚀 利潤擴張,2026-03,N/A,293.43999999999994
-150.59,-2.2499999999999996,270.3,⚪ 數據不足,2025,-14.91,6615.TWO,37.7000007629,N/A,0.67,0.0,慧智,546.67,-0.43,🔄 轉虧為盈,2026-03,N/A,276.36999999999995
550.0,-9.150000000000002,371.03,⚪ 數據不足,2025,0.1,6282.TW,61.5,N/A,0.27,0.0,康舒,640.0,0.18,🚀 利潤擴張,2026-03,N/A,268.97
55.83,-20.1,186.87,⚪ 數據不足,2025,5.03,8489.TWO,22.1499996185,N/A,0.38,0.0,三貝德,445.45,-0.76,🔄 轉虧為盈,2026-03,N/A,258.58
