代號,名稱,現價,當日外資(張),當日投信(張),當日自營(張),Date,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
1301.TW,台塑,49.55,16495,-104,938,20260623,-10286,433168,443454,-42.1x,4.87%,▲ 順勢追意
8150.TW,南茂,106.5,8686,0,876,20260623,-100235,328755,428990,-3.3x,11.05%,▲ 順勢追意
1802.TW,台玻,69.9,55471,-1,3947,20260623,30642,267551,236908,8.7x,3.71%,▲ 順勢追意
00919.TW,群益台灣精選高息,30.58,24601,0,7172,20260623,-46831,139046,185877,-3.0x,3.00%,▲ 順勢追意
8261.TW,富鼎,260.0,-105,0,493,20260623,-57083,87071,144155,-1.5x,39.78%,▲ 順勢追意
8105.TW,凌巨,21.4,5012,0,2,20260623,-79758,43348,123106,-0.5x,0.00%,★ 壓低偷買
8021.TW,尖點,567.0,1459,0,122,20260623,-105589,5208,110798,-0.0x,12.06%,▲ 順勢追意
1815.TWO,富喬,100.5,10341,0,1252,20260623,11298,94440,83141,8.4x,5.68%,▲ 順勢追意
00999A.TW,主動野村臺灣高息,11.2,8177,0,19980,20260623,-9832,69603,79436,-7.1x,0.72%,▲ 順勢追意
00679B.TWO,元大美債20年,26.86,9614,0,1740,20260623,-51005,23963,74968,-0.5x,0.19%,★ 壓低偷買
00937B.TWO,群益ESG投等債20+,14.89,4838,0,2163,20260623,-68395,5472,73867,-0.1x,-0.53%,★ 壓低偷買
00918.TW,大華優利高填息30,32.0,26263,0,40346,20260623,35966,102534,66568,2.9x,4.40%,▲ 順勢追意
8054.TWO,安國,124.5,2273,0,161,20260623,312,64399,64086,206.3x,23.27%,▲ 順勢追意
00687B.TWO,國泰20年美債,27.94,24751,0,-5535,20260623,-47159,8892,56051,-0.2x,0.18%,★ 壓低偷買
1809.TW,中釉,53.9,3616,0,42,20260623,-32961,22106,55067,-0.7x,4.66%,▲ 順勢追意
1727.TW,中華化,96.5,3744,0,231,20260623,5627,49015,43388,8.7x,12.73%,▲ 順勢追意
1785.TWO,光洋科,149.5,3246,3,-405,20260623,-10432,29720,40152,-2.8x,2.75%,▲ 順勢追意
1708.TW,東鹼,49.35,-6580,0,-54,20260623,-30005,7726,37731,-0.3x,4.11%,▲ 順勢追意
1514.TW,亞力,127.0,5440,0,64,20260623,-6683,27670,34354,-4.1x,4.96%,▲ 順勢追意
8046.TW,南電,909.0,-2620,-3242,401,20260623,5937,38423,32486,6.5x,5.70%,▲ 順勢追意
00953B.TW,群益優選非投等債,9.63,6779,0,605,20260623,-27897,3834,31732,-0.1x,0.42%,★ 壓低偷買
1314.TW,中石化,7.85,17464,0,62,20260623,-4285,20798,25083,-4.9x,0.38%,★ 壓低偷買
00795B.TWO,中信美國公債20年,27.05,6506,0,-3296,20260623,-13828,9542,23370,-0.7x,0.30%,★ 壓低偷買
00929.TW,復華台灣科技優息,31.65,9121,0,1376,20260623,-12046,8625,20671,-0.7x,4.70%,▲ 順勢追意
6962.TW,奕力-KY,39.0,3838,0,92,20260623,-6726,13162,19889,-2.0x,3.45%,▲ 順勢追意
1319.TW,東陽,79.4,1704,-4681,-1805,20260623,-724,19121,19845,-26.4x,-20.37%,★ 壓低偷買
00916.TW,國泰全球品牌50,24.85,1572,0,411,20260623,-8566,10112,18678,-1.2x,-4.35%,★ 壓低偷買
009816.TW,凱基台灣TOP50,15.97,3393,0,-12696,20260623,5874,23237,17363,4.0x,3.84%,▲ 順勢追意
00915.TW,凱基優選高股息30,33.18,3421,0,-1322,20260623,-12597,4098,16696,-0.3x,7.00%,▲ 順勢追意
00696B.TWO,富邦美債20年,29.28,5425,0,-2185,20260623,-7203,9428,16632,-1.3x,0.21%,★ 壓低偷買
00998A.TWO,主動復華金融股息,16.9,0,0,-27,20260623,-259,15418,15677,-59.5x,0.18%,★ 壓低偷買
009819.TW,中信數據及電力,10.4,-123,0,2907,20260623,-4215,11370,15586,-2.7x,1.36%,▲ 順勢追意
00896.TW,中信綠能及電動車,28.11,4133,0,3204,20260623,-48,14309,14358,-294.6x,1.30%,▲ 順勢追意
0052.TW,富邦科技,64.6,4167,-1200,-1260,20260623,2184,16204,14020,7.4x,4.87%,▲ 順勢追意
00984B.TWO,大華優利美A債15,16.46,643,0,221,20260623,-9663,3719,13383,-0.4x,-0.18%,★ 壓低偷買
1310.TW,台苯,9.73,4720,0,30,20260623,120,13251,13131,110.4x,15.15%,▲ 順勢追意
