股號,名稱,現價,漲跌幅,建議
1303.TW,南亞,73.9,-9.21%,賣出
1326.TW,台化,44.95,-7.61%,賣出
3062.TW,建漢,29.65,-3.42%,買入
00715L.TW,期街口S&P布蘭特油正2,62.45,-0.24%,續抱/觀望
00642U.TW,期元大S&P石油,28.0,1.82%,續抱/觀望
1310.TW,台苯,11.05,-7.53%,賣出
1313.TW,聯成,12.6,-6.32%,賣出
1304.TW,台聚,18.25,2.53%,買入
1305.TW,華夏,17.35,-5.71%,賣出
1308.TW,亞聚,18.5,-4.64%,買入
1905.TW,華紙,18.55,9.76%,買入
6588.TWO,東典光電,120.5,-6.95%,買入
8027.TWO,鈦昇,138.5,-3.82%,買入
4971.TWO,IET-KY,572.0,-9.92%,買入
5314.TWO,世紀*,76.6,-6.01%,賣出
5243.TW,乙盛-KY,82.5,0.24%,買入
