股號,名稱,現價,漲跌幅,建議
2317,鴻海,187.5,-3.35%,賣出
3702,大聯大,88.0,-2.65%,賣出
2485,兆赫,79.6,0.00%,賣出
2367,燿華,73.5,-3.92%,買入
4142,國光生,18.35,-0.81%,賣出
0050,元大台灣50,72.35,-2.10%,賣出
0056,元大高股息,37.13,-1.90%,賣出
00635U,期元大S&P黃金,48.24,1.11%,賣出
00738U,期元大道瓊白銀,58.95,2.70%,賣出
00929,復華台灣科技優息,18.61,-2.41%,賣出
009816,凱基台灣TOP50,10.22,-2.29%,賣出
00990A,主動元大AI新經濟,11.3,-4.32%,賣出
2009,第一銅,39.7,-1.12%,賣出
2337,旺宏,115.5,-9.77%,賣出
2352,佳世達,22.75,-1.52%,賣出
2409,友達,14.5,1.40%,賣出
3481,群創,23.85,-3.05%,賣出
6136,富爾特,24.2,-0.82%,續抱/觀望
6806,森崴能源,37.35,-2.73%,賣出
3105,穩懋,351.5,-9.99%,買入
4966,譜瑞-KY,476.0,-1.86%,賣出
6188,廣明,86.6,-1.03%,賣出
7792,安葆,300.0,-4.76%,賣出
2327,國巨*,243.5,-5.62%,賣出
