日期,代碼,名稱,收盤價,漲跌幅%,成交量(張),MJ狀態,J線值,MACD柱狀體
2026-03-31,2409.TW,友達,14.5,1.4,91652,🚀 MJ低檔反彈,16.58,-0.24
2026-03-31,6188.TWO,廣明,86.6,-1.03,1481,💧 築底觀察,-9.98,-1.14
2026-03-31,2009.TW,第一銅,39.7,-1.12,1388,💧 築底觀察,3.25,-0.05
2026-03-31,2352.TW,佳世達,22.75,-1.52,4560,💧 築底觀察,-8.77,-0.17
2026-03-31,4966.TWO,譜瑞-KY,476.0,-1.86,657,💧 築底觀察,-6.43,-3.95
2026-03-31,0056.TW,元大高股息,37.13,-1.9,149494,💧 築底觀察,-3.5,-0.28
2026-03-31,0050.TW,元大台灣50,72.35,-2.1,256843,💧 築底觀察,2.42,-0.7
2026-03-31,009816.TW,凱基台灣TOP50,10.22,-2.29,312800,💧 築底觀察,-3.58,-0.09
2026-03-31,00929.TW,復華台灣科技優息,18.61,-2.41,44551,💧 築底觀察,-8.45,-0.2
2026-03-31,3702.TW,大聯大,88.0,-2.65,22554,💧 築底觀察,0.35,-1.79
2026-03-31,6806.TW,森崴能源,37.35,-2.73,1366,💧 築底觀察,-0.75,-0.17
2026-03-31,3481.TW,群創,23.85,-3.05,304177,💧 築底觀察,4.28,-0.75
2026-03-31,2317.TW,鴻海,187.5,-3.35,89218,💧 築底觀察,1.23,-1.64
2026-03-31,00990A.TW,主動元大AI新經濟,11.3,-4.32,37992,💧 築底觀察,-7.96,-0.21
2026-03-31,2327.TW,國巨*,243.5,-5.62,20356,💧 築底觀察,1.07,-2.96
2026-03-31,2337.TW,旺宏,115.5,-9.77,25858,💧 築底觀察,-13.12,-7.45
