symbol,name,price,pe,est_price,date,eps,eps_yoy,rev_yoy,expansion,status,advice
4916.TW,事欣科,56.0999984741,13.583534739491526,61.949999999999996,2025-12,1.77,8050.0,0.89,8049.11,🚀 利潤擴張,✅ 穩健價值
3062.TW,建漢,29.6499996185,4.728867562759171,94.05,2025-12,0.68,6600.0,16.55,6583.45,🚀 利潤擴張,💎 強力關注
2547.TW,日勝生,10.5,0.9292035398230087,169.5,2025-12,2.85,3612.5,-12.89,3625.39,🧐 疑業外收益,💎 強力關注
6649.TWO,台生材,43.4722862244,10.525977294043583,61.949999999999996,2025-12,1.4,3600.0,128.22,3471.78,🚀 利潤擴張,💎 強力關注
3189.TW,景碩,313.0,41.34742404227213,113.55,2025-12,3.51,3072.73,28.87,3043.86,🚀 利潤擴張,⚠️ 追價風險
5521.TW,工信,12.3500003815,12.22772315,15.15,2025-12,0.52,2500.0,27.32,2472.68,🚀 利潤擴張,✅ 穩健價值
4523.TWO,永彰,29.2999992371,0.7660130519503267,573.7500000000001,2025-12,22.26,1562.0,-7.15,1569.15,🧐 疑業外收益,💎 強力關注
1432.TW,大魯閣,17.3999996185,3.140794154963899,83.1,2025-12,6.03,1502.33,4.63,1497.6999999999998,🔄 轉虧為盈,💎 強力關注
4542.TWO,科嶠,162.611618042,51.787139503821656,47.1,2025-12,1.28,1500.0,37.66,1462.34,🚀 利潤擴張,⚠️ 追價風險
3708.TW,上緯投控,119.0,3.241623535821302,550.65,2025-12,35.57,1276.65,-30.75,1307.4,🧐 疑業外收益,💎 強力關注
4903.TWO,聯光通,44.9000015259,27.048193690301208,24.9,2025-12,1.02,1357.14,64.51,1292.63,🚀 利潤擴張,⚠️ 追價風險
1815.TWO,富喬,95.8000030518,31.409837066163934,45.75000000000001,2025-12,1.64,1116.67,40.69,1075.98,🚀 利潤擴張,⚠️ 追價風險
5284.TW,jpp-KY,263.5,9.301094246381927,424.95,2025-12,12.05,1105.15,56.24,1048.91,🚀 利潤擴張,💎 強力關注
5488.TWO,松普,9.9300003052,26.837838662702705,5.55,2025-12,0.11,1000.0,-8.11,1008.11,🧐 疑業外收益,⚠️ 追價風險
2331.TW,精英,20.8500003815,4.343750079479166,72.0,2025-12,1.41,981.25,14.95,966.3,🚀 利潤擴張,💎 強力關注
4123.TWO,晟德,40.5,2.475550122249389,245.39999999999998,2025-12,12.33,905.92,-6.28,912.1999999999999,🧐 疑業外收益,💎 強力關注
6166.TW,凌華,57.5999984741,13.061224143786847,66.15,2025-12,2.35,921.74,17.09,904.65,🚀 利潤擴張,✅ 穩健價值
1529.TW,樂事綠能,23.1499996185,8.010380490830451,43.349999999999994,2025-12,1.01,876.92,32.89,844.03,🚀 利潤擴張,💎 強力關注
3081.TWO,聯亞,1575.0,170.824295010846,138.3,2025-12,4.66,884.75,82.29,802.46,🚀 利潤擴張,⚠️ 追價風險
6182.TWO,合晶,32.75,0.0,0.0,2025-12,0.09,800.0,12.57,787.43,🔄 轉虧為盈,⚪ 數據不足
