日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-08-15,2317,鴻海,262.0,241.21,2000,41580,8.62%
2026-08-15,4142,國光生,17.3,25.32,1000,-8020,-31.67%
2026-08-15,0050,元大台灣50,105.2,46.6,16000,937600,125.75%
2026-08-15,0056,元大高股息,52.7,36.43,4000,65080,44.66%
2026-08-15,00635U,期元大S&P黃金,45.66,55.25,3000,-28770,-17.36%
2026-08-15,00738U,期元大道瓊白銀,52.15,66.26,1000,-14110,-21.29%
2026-08-15,00929,復華台灣科技優息,29.53,19.73,8000,78400,49.67%
2026-08-15,009816,凱基台灣TOP50,15.26,11.01,63000,267750,38.60%
2026-08-15,00990A,主動元大AI新經濟,15.9,11.48,5000,22100,38.50%
2026-08-15,2009,第一銅,39.7,50.56,4000,-43440,-21.48%
2026-08-15,2337,旺宏,136.5,95.28,2000,82440,43.26%
2026-08-15,2409,友達,25.75,16.21,2000,19080,58.85%
2026-08-15,3481,群創,49.4,25.1,4000,97200,96.81%
2026-08-15,3105,穩懋,387.0,556.47,300,-50841,-30.45%
2026-08-15,4966,譜瑞-KY,586.0,1921.64,1000,-1335640,-69.51%
2026-08-15,2327,國巨*,662.0,1030.0,1,-368,-35.73%
2026-08-15,00403A,主動統一升級50,10.1,10.68,26000,-15080,-5.43%
2026-08-15,00981A,主動統一台股增長,29.34,27.48,2000,3720,6.77%
2026-08-15,2330,台積電,2435.0,225.55,10,22094,979.58%
2026-08-15,6789,采鈺,451.0,593.5,400,-57000,-24.01%
2026-08-15,6849,奇鼎科技,141.0,266.4,280,-35112,-47.07%
2026-08-15,7853,政美應用,305.5,409.29,280,-29061,-25.36%
2026-08-15,3576,聯合再生,17.9,18.15,5000,-1250,-1.38%
2026-08-15,1721,三晃,19.95,27.88,3000,-23800,-28.45%
2026-08-15,8215,明基材,25.2,31.6,200,-1280,-20.25%
2026-08-15,00405A,主動富邦台灣龍耀,8.42,9.34,11000,-10120,-9.85%
2026-08-15,5498,凱崴,53.3,69.61,188,-3066,-23.43%
2026-08-15,1301,台塑,57.5,50.5,100,700,13.86%
2026-08-15,6498,久禾光,74.5,67.3,12,86,10.70%
2026-08-15,009821,野村稀土關鍵資源,15.05,17.3,12000,-27000,-13.01%
