Combination,Impact_Score,Profit_Factor
KDJ_K + Bullish_Align,0.0,0.0
KDJ_K + Short_Term_Rebound,0.0,0.0
KDJ_K + Strong_Trend,0.0,0.0
KDJ_K + Bias_Divergence,0.0,0.0
KDJ_K + Golden_Cross,0.0,0.0
KDJ_K + MA_Short,0.0,0.0
KDJ_K + MA_Long,0.0,0.0
KDJ_K + DMA,0.0,0.0
KDJ_K + AMA,0.0,0.0
KDJ_K + ADX_5,0.0,0.0
KDJ_K + ADX,0.0,0.0
KDJ_K + -DI,0.0,0.0
Williams + TotalOversellVolK,0.0,0.0
Williams + EndDate,0.0,0.0
Williams + MainHolderCount,0.0,0.0
Williams + MainHoldPercent,0.0,0.0
Williams + StartDate,0.0,0.0
Williams + TotalDifferenceVolK,0.0,0.0
Williams + TotalOverbuyVolK,0.0,0.0
Williams + TradeVolumeRate,0.0,0.0
KDJ_K + +DI,0.0,0.0
Williams + Vol_Mom,0.0,0.0
KDJ_K + KDJ_D,0.0,0.0
KDJ_K + KDJ_J,0.0,0.0
KDJ_K + OBV,0.0,0.0
KDJ_K + OBV_MA,0.0,0.0
KDJ_K + CCI,0.0,0.0
Williams + ChangePercent,0.0,0.0
Williams + MA_60,0.0,0.0
BOLL + TotalBuyVolK,0.0,0.0
BOLL + Vol_Mom,0.0,0.0
BOLL + ShortRepayVolK,0.0,0.0
BOLL + ShortTotalVolK,0.0,0.0
BOLL + ShortLimitVolK,0.0,0.0
BOLL + ShortUsageRatio,0.0,0.0
BOLL + LendingSellVolK,0.0,0.0
BOLL + LendingRepayVolK,0.0,0.0
BOLL + LendingTotalVolK,0.0,0.0
BOLL + DirSupHoldPercent,0.0,0.0
BOLL + EndDate,0.0,0.0
BOLL + MainHolderCount,0.0,0.0
BOLL + MainHoldPercent,0.0,0.0
BOLL + StartDate,0.0,0.0
BOLL + TotalDifferenceVolK,0.0,0.0
BOLL + TotalOverbuyVolK,0.0,0.0
BOLL + TotalOversellVolK,0.0,0.0
BOLL + ShortSellVolK,0.0,0.0
BOLL + ShortBuyVolK,0.0,0.0
BOLL + FinancingUsageRatio,0.0,0.0
BOLL + Foreign_Hold_Increasing,0.0,0.0
BOLL + TotalDiffVolK,0.0,0.0
BOLL + TotalSellVolK,0.0,0.0
BOLL + FormattedDate,0.0,0.0
BOLL + Foreign_VolumeK,0.0,0.0
BOLL + Foreign_LayoutScore,0.0,0.0
BOLL + Foreign_Consecutive_BuyDays,0.0,0.0
BOLL + Symbol,0.0,0.0
BOLL + FinancingLimitVolK,0.0,0.0
BOLL + DayTradingVolK,0.0,0.0
BOLL + ShortFinancingPercent,0.0,0.0
BOLL + FinancingBuyVolK,0.0,0.0
BOLL + FinancingSellVolK,0.0,0.0
BOLL + FinancingPaybackVolK,0.0,0.0
BOLL + FinancingTotalVolK,0.0,0.0
BOLL + TradeVolumeRate,0.0,0.0
Williams + KDJ_K,0.0,0.0
Williams + V_MA20,0.0,0.0
Williams + KDJ_D,0.0,0.0
Williams + Golden_Cross,0.0,0.0
Williams + MA_Short,0.0,0.0
Williams + MA_Long,0.0,0.0
Williams + DMA,0.0,0.0
Williams + AMA,0.0,0.0
Williams + DMA_Golden_Cross,0.0,0.0
Williams + DMA_Death_Cross,0.0,0.0
Williams + DMA_Bullish,0.0,0.0
Williams + DMA_Diff,0.0,0.0
Williams + DMA_Momentum_Up,0.0,0.0
Williams + Action,0.0,0.0
Williams + MA200,0.0,0.0
Williams + High_120,0.0,0.0
Williams + MA20,0.0,0.0
Williams + Bias_Ratio,0.0,0.0
Williams + Bias_Divergence,0.0,0.0
Williams + Strong_Trend,0.0,0.0
Williams + Short_Term_Rebound,0.0,0.0
Williams + ADX,0.0,0.0
Williams + KDJ_J,0.0,0.0
Williams + OBV,0.0,0.0
Williams + OBV_MA,0.0,0.0
Williams + CCI,0.0,0.0
Williams + +DI,0.0,0.0
Williams + -DI,0.0,0.0
Williams + ADX_5,0.0,0.0
Williams + Bullish_Align,0.0,0.0
Williams + Vol_MA6,0.0,0.0
Williams + Vol_Ratio,0.0,0.0
Williams + Vol_Spike,0.0,0.0
Williams + BIAS_Short_Col,0.0,0.0
Williams + BIAS_6,0.0,0.0
Williams + BIAS_20,0.0,0.0
Upper_Band + LendingTotalVolK,0.0,0.0
Upper_Band + LendingRepayVolK,0.0,0.0
Upper_Band + LendingSellVolK,0.0,0.0
RSI + FinancingUsageRatio,0.0,0.0
RSI + TotalBuyVolK,0.0,0.0
RSI + TotalDiffVolK,0.0,0.0
RSI + TotalSellVolK,0.0,0.0
RSI + FormattedDate,0.0,0.0
RSI + Foreign_VolumeK,0.0,0.0
RSI + Foreign_LayoutScore,0.0,0.0
RSI + Foreign_Consecutive_BuyDays,0.0,0.0
RSI + Foreign_Hold_Increasing,0.0,0.0
RSI + Symbol,0.0,0.0
RSI + DayTradingVolK,0.0,0.0
RSI + ShortFinancingPercent,0.0,0.0
RSI + FinancingBuyVolK,0.0,0.0
RSI + FinancingSellVolK,0.0,0.0
RSI + FinancingPaybackVolK,0.0,0.0
RSI + FinancingTotalVolK,0.0,0.0
RSI + InvestmentTrustSellVolK,0.0,0.0
RSI + InvestmentTrustDiffVolK,0.0,0.0
RSI + InvestmentTrustBuyVolK,0.0,0.0
RSI + ATR_20,0.0,0.0
RSI + MA200,0.0,0.0
RSI + High_120,0.0,0.0
RSI + MA20,0.0,0.0
RSI + Bias_Ratio,0.0,0.0
RSI + V_MA20,0.0,0.0
RSI + MA_60,0.0,0.0
RSI + ChangePercent,0.0,0.0
RSI + ForeignSellVolK,0.0,0.0
RSI + DealerBuyVolK,0.0,0.0
RSI + DealerDiffVolK,0.0,0.0
RSI + DealerSellVolK,0.0,0.0
RSI + ForeignBuyVolK,0.0,0.0
RSI + ForeignDiffVolK,0.0,0.0
RSI + ForeignHoldPercent,0.0,0.0
RSI + FinancingLimitVolK,0.0,0.0
RSI + ShortBuyVolK,0.0,0.0
RSI + DMA_Momentum_Up,0.0,0.0
RSI + ShortSellVolK,0.0,0.0
SMA + Lower_Band,0.0,0.0
SMA + BOLL,0.0,0.0
SMA + Williams,0.0,0.0
SMA + KDJ_K,0.0,0.0
SMA + KDJ_D,0.0,0.0
SMA + KDJ_J,0.0,0.0
SMA + OBV,0.0,0.0
SMA + OBV_MA,0.0,0.0
SMA + CCI,0.0,0.0
SMA + +DI,0.0,0.0
SMA + -DI,0.0,0.0
SMA + ADX,0.0,0.0
SMA + ADX_5,0.0,0.0
SMA + Vol_MA6,0.0,0.0
SMA + Vol_Ratio,0.0,0.0
SMA + Upper_Band,0.0,0.0
RSI + Vol_Mom,0.0,0.0
RSI + TradeVolumeRate,0.0,0.0
RSI + LendingTotalVolK,0.0,0.0
RSI + ShortRepayVolK,0.0,0.0
RSI + ShortTotalVolK,0.0,0.0
RSI + ShortLimitVolK,0.0,0.0
RSI + ShortUsageRatio,0.0,0.0
RSI + LendingSellVolK,0.0,0.0
RSI + LendingRepayVolK,0.0,0.0
RSI + DirSupHoldPercent,0.0,0.0
RSI + TotalOversellVolK,0.0,0.0
RSI + EndDate,0.0,0.0
RSI + MainHolderCount,0.0,0.0
RSI + MainHoldPercent,0.0,0.0
RSI + StartDate,0.0,0.0
RSI + TotalDifferenceVolK,0.0,0.0
RSI + TotalOverbuyVolK,0.0,0.0
RSI + Action,0.0,0.0
RSI + DMA_Diff,0.0,0.0
Upper_Band + ShortUsageRatio,0.0,0.0
MACD_Momentum_Ratio + TotalOverbuyVolK,0.0,0.0
MACD_Momentum_Ratio + FinancingUsageRatio,0.0,0.0
MACD_Momentum_Ratio + ShortBuyVolK,0.0,0.0
MACD_Momentum_Ratio + ShortSellVolK,0.0,0.0
MACD_Momentum_Ratio + ShortRepayVolK,0.0,0.0
MACD_Momentum_Ratio + ShortTotalVolK,0.0,0.0
MACD_Momentum_Ratio + ShortLimitVolK,0.0,0.0
MACD_Momentum_Ratio + ShortUsageRatio,0.0,0.0
MACD_Momentum_Ratio + LendingSellVolK,0.0,0.0
MACD_Momentum_Ratio + LendingRepayVolK,0.0,0.0
MACD_Momentum_Ratio + LendingTotalVolK,0.0,0.0
MACD_Momentum_Ratio + DirSupHoldPercent,0.0,0.0
MACD_Momentum_Ratio + EndDate,0.0,0.0
MACD_Momentum_Ratio + MainHolderCount,0.0,0.0
MACD_Momentum_Ratio + MainHoldPercent,0.0,0.0
MACD_Momentum_Ratio + StartDate,0.0,0.0
MACD_Momentum_Ratio + FinancingLimitVolK,0.0,0.0
MACD_Momentum_Ratio + FinancingTotalVolK,0.0,0.0
MACD_Momentum_Ratio + FinancingPaybackVolK,0.0,0.0
MACD_Momentum_Ratio + Foreign_VolumeK,0.0,0.0
MACD_Momentum_Ratio + InvestmentTrustDiffVolK,0.0,0.0
MACD_Momentum_Ratio + InvestmentTrustSellVolK,0.0,0.0
MACD_Momentum_Ratio + TotalBuyVolK,0.0,0.0
MACD_Momentum_Ratio + TotalDiffVolK,0.0,0.0
MACD_Momentum_Ratio + TotalSellVolK,0.0,0.0
MACD_Momentum_Ratio + FormattedDate,0.0,0.0
MACD_Momentum_Ratio + Foreign_LayoutScore,0.0,0.0
MACD_Momentum_Ratio + FinancingSellVolK,0.0,0.0
MACD_Momentum_Ratio + Foreign_Consecutive_BuyDays,0.0,0.0
MACD_Momentum_Ratio + Foreign_Hold_Increasing,0.0,0.0
MACD_Momentum_Ratio + Symbol,0.0,0.0
MACD_Momentum_Ratio + DayTradingVolK,0.0,0.0
MACD_Momentum_Ratio + ShortFinancingPercent,0.0,0.0
MACD_Momentum_Ratio + FinancingBuyVolK,0.0,0.0
MACD_Momentum_Ratio + TotalDifferenceVolK,0.0,0.0
MACD_Momentum_Ratio + TotalOversellVolK,0.0,0.0
RSI + DMA_Bullish,0.0,0.0
MACD_Momentum_Ratio + TradeVolumeRate,0.0,0.0
RSI + Vol_Spike,0.0,0.0
RSI + BIAS_Short_Col,0.0,0.0
RSI + BIAS_6,0.0,0.0
RSI + BIAS_20,0.0,0.0
RSI + Bullish_Align,0.0,0.0
RSI + Short_Term_Rebound,0.0,0.0
RSI + Strong_Trend,0.0,0.0
RSI + Bias_Divergence,0.0,0.0
RSI + Golden_Cross,0.0,0.0
RSI + MA_Short,0.0,0.0
RSI + MA_Long,0.0,0.0
RSI + DMA,0.0,0.0
RSI + AMA,0.0,0.0
RSI + DMA_Golden_Cross,0.0,0.0
RSI + DMA_Death_Cross,0.0,0.0
RSI + Vol_Ratio,0.0,0.0
RSI + Vol_MA6,0.0,0.0
RSI + ADX_5,0.0,0.0
RSI + KDJ_K,0.0,0.0
MACD_Momentum_Ratio + Vol_Mom,0.0,0.0
RSI + SMA,0.0,0.0
RSI + Upper_Band,0.0,0.0
RSI + Lower_Band,0.0,0.0
RSI + BOLL,0.0,0.0
RSI + Williams,0.0,0.0
RSI + KDJ_D,0.0,0.0
RSI + ADX,0.0,0.0
RSI + KDJ_J,0.0,0.0
RSI + OBV,0.0,0.0
RSI + OBV_MA,0.0,0.0
RSI + CCI,0.0,0.0
RSI + +DI,0.0,0.0
RSI + -DI,0.0,0.0
SMA + Vol_Spike,0.0,0.0
SMA + BIAS_Short_Col,0.0,0.0
SMA + BIAS_6,0.0,0.0
Upper_Band + V_MA20,0.0,0.0
Upper_Band + Bias_Divergence,0.0,0.0
Upper_Band + Golden_Cross,0.0,0.0
Upper_Band + MA_Short,0.0,0.0
Upper_Band + MA_Long,0.0,0.0
Upper_Band + DMA,0.0,0.0
Upper_Band + AMA,0.0,0.0
Upper_Band + DMA_Golden_Cross,0.0,0.0
Upper_Band + DMA_Death_Cross,0.0,0.0
Upper_Band + DMA_Bullish,0.0,0.0
Upper_Band + DMA_Diff,0.0,0.0
Upper_Band + DMA_Momentum_Up,0.0,0.0
Upper_Band + Action,0.0,0.0
Upper_Band + MA200,0.0,0.0
Upper_Band + High_120,0.0,0.0
Upper_Band + MA20,0.0,0.0
Upper_Band + Strong_Trend,0.0,0.0
Upper_Band + Short_Term_Rebound,0.0,0.0
Upper_Band + Bullish_Align,0.0,0.0
Upper_Band + -DI,0.0,0.0
Upper_Band + KDJ_D,0.0,0.0
Upper_Band + KDJ_J,0.0,0.0
Upper_Band + OBV,0.0,0.0
Upper_Band + OBV_MA,0.0,0.0
Upper_Band + CCI,0.0,0.0
Upper_Band + +DI,0.0,0.0
Upper_Band + ADX,0.0,0.0
Upper_Band + BIAS_20,0.0,0.0
Upper_Band + ADX_5,0.0,0.0
Upper_Band + Vol_MA6,0.0,0.0
Upper_Band + Vol_Ratio,0.0,0.0
Upper_Band + Vol_Spike,0.0,0.0
Upper_Band + BIAS_Short_Col,0.0,0.0
Upper_Band + BIAS_6,0.0,0.0
Upper_Band + Bias_Ratio,0.0,0.0
Upper_Band + MA_60,0.0,0.0
SMA + BIAS_20,0.0,0.0
Upper_Band + ATR_20,0.0,0.0
Upper_Band + Foreign_Hold_Increasing,0.0,0.0
Upper_Band + Symbol,0.0,0.0
Upper_Band + DayTradingVolK,0.0,0.0
Upper_Band + ShortFinancingPercent,0.0,0.0
Upper_Band + FinancingBuyVolK,0.0,0.0
Upper_Band + FinancingSellVolK,0.0,0.0
Upper_Band + FinancingPaybackVolK,0.0,0.0
Upper_Band + FinancingTotalVolK,0.0,0.0
Upper_Band + FinancingLimitVolK,0.0,0.0
Upper_Band + FinancingUsageRatio,0.0,0.0
Upper_Band + ShortBuyVolK,0.0,0.0
Upper_Band + ShortSellVolK,0.0,0.0
Upper_Band + ShortRepayVolK,0.0,0.0
Upper_Band + ShortTotalVolK,0.0,0.0
Upper_Band + ShortLimitVolK,0.0,0.0
Upper_Band + Foreign_Consecutive_BuyDays,0.0,0.0
Upper_Band + Foreign_LayoutScore,0.0,0.0
Upper_Band + Foreign_VolumeK,0.0,0.0
Upper_Band + ForeignHoldPercent,0.0,0.0
Upper_Band + ChangePercent,0.0,0.0
Upper_Band + DealerBuyVolK,0.0,0.0
Upper_Band + DealerDiffVolK,0.0,0.0
Upper_Band + DealerSellVolK,0.0,0.0
Upper_Band + ForeignBuyVolK,0.0,0.0
Upper_Band + ForeignDiffVolK,0.0,0.0
Upper_Band + ForeignSellVolK,0.0,0.0
Upper_Band + FormattedDate,0.0,0.0
Upper_Band + InvestmentTrustBuyVolK,0.0,0.0
Upper_Band + InvestmentTrustDiffVolK,0.0,0.0
Upper_Band + InvestmentTrustSellVolK,0.0,0.0
Upper_Band + TotalBuyVolK,0.0,0.0
Upper_Band + TotalDiffVolK,0.0,0.0
Upper_Band + TotalSellVolK,0.0,0.0
Upper_Band + KDJ_K,0.0,0.0
Upper_Band + Williams,0.0,0.0
Upper_Band + BOLL,0.0,0.0
Upper_Band + Lower_Band,0.0,0.0
SMA + Bias_Ratio,0.0,0.0
SMA + V_MA20,0.0,0.0
SMA + MA_60,0.0,0.0
SMA + ATR_20,0.0,0.0
SMA + ChangePercent,0.0,0.0
SMA + DealerBuyVolK,0.0,0.0
SMA + DealerDiffVolK,0.0,0.0
SMA + DealerSellVolK,0.0,0.0
SMA + ForeignBuyVolK,0.0,0.0
SMA + ForeignDiffVolK,0.0,0.0
SMA + ForeignHoldPercent,0.0,0.0
SMA + ForeignSellVolK,0.0,0.0
SMA + InvestmentTrustBuyVolK,0.0,0.0
SMA + InvestmentTrustDiffVolK,0.0,0.0
SMA + InvestmentTrustSellVolK,0.0,0.0
SMA + MA20,0.0,0.0
SMA + High_120,0.0,0.0
SMA + MA200,0.0,0.0
SMA + MA_Long,0.0,0.0
SMA + Bullish_Align,0.0,0.0
SMA + Short_Term_Rebound,0.0,0.0
SMA + Strong_Trend,0.0,0.0
SMA + Bias_Divergence,0.0,0.0
SMA + Golden_Cross,0.0,0.0
SMA + MA_Short,0.0,0.0
SMA + DMA,0.0,0.0
SMA + Action,0.0,0.0
SMA + AMA,0.0,0.0
SMA + DMA_Golden_Cross,0.0,0.0
SMA + DMA_Death_Cross,0.0,0.0
SMA + DMA_Bullish,0.0,0.0
SMA + DMA_Diff,0.0,0.0
SMA + DMA_Momentum_Up,0.0,0.0
SMA + TotalBuyVolK,0.0,0.0
SMA + TotalDiffVolK,0.0,0.0
SMA + TotalSellVolK,0.0,0.0
SMA + MainHolderCount,0.0,0.0
SMA + ShortUsageRatio,0.0,0.0
SMA + LendingSellVolK,0.0,0.0
SMA + LendingRepayVolK,0.0,0.0
SMA + LendingTotalVolK,0.0,0.0
SMA + DirSupHoldPercent,0.0,0.0
SMA + EndDate,0.0,0.0
SMA + MainHoldPercent,0.0,0.0
SMA + ShortTotalVolK,0.0,0.0
SMA + StartDate,0.0,0.0
SMA + TotalDifferenceVolK,0.0,0.0
SMA + TotalOverbuyVolK,0.0,0.0
SMA + TotalOversellVolK,0.0,0.0
SMA + TradeVolumeRate,0.0,0.0
SMA + Vol_Mom,0.0,0.0
SMA + ShortLimitVolK,0.0,0.0
SMA + ShortRepayVolK,0.0,0.0
SMA + FormattedDate,0.0,0.0
SMA + ShortFinancingPercent,0.0,0.0
SMA + Foreign_VolumeK,0.0,0.0
SMA + Foreign_LayoutScore,0.0,0.0
SMA + Foreign_Consecutive_BuyDays,0.0,0.0
SMA + Foreign_Hold_Increasing,0.0,0.0
SMA + Symbol,0.0,0.0
SMA + DayTradingVolK,0.0,0.0
SMA + FinancingBuyVolK,0.0,0.0
SMA + ShortSellVolK,0.0,0.0
SMA + FinancingSellVolK,0.0,0.0
SMA + FinancingPaybackVolK,0.0,0.0
SMA + FinancingTotalVolK,0.0,0.0
SMA + FinancingLimitVolK,0.0,0.0
SMA + FinancingUsageRatio,0.0,0.0
SMA + ShortBuyVolK,0.0,0.0
BIAS_20 + ShortSellVolK,0.0,0.0
BIAS_20 + ShortRepayVolK,0.0,0.0
BIAS_20 + ShortTotalVolK,0.0,0.0
ForeignSellVolK + TotalDiffVolK,0.0,0.0
ForeignHoldPercent + LendingRepayVolK,0.0,0.0
ForeignHoldPercent + LendingTotalVolK,0.0,0.0
ForeignHoldPercent + DirSupHoldPercent,0.0,0.0
ForeignHoldPercent + EndDate,0.0,0.0
ForeignHoldPercent + MainHolderCount,0.0,0.0
ForeignHoldPercent + MainHoldPercent,0.0,0.0
ForeignHoldPercent + StartDate,0.0,0.0
ForeignHoldPercent + TotalDifferenceVolK,0.0,0.0
ForeignHoldPercent + TotalOverbuyVolK,0.0,0.0
ForeignHoldPercent + TotalOversellVolK,0.0,0.0
ForeignHoldPercent + TradeVolumeRate,0.0,0.0
ForeignHoldPercent + Vol_Mom,0.0,0.0
ForeignSellVolK + InvestmentTrustBuyVolK,0.0,0.0
ForeignSellVolK + InvestmentTrustDiffVolK,0.0,0.0
ForeignSellVolK + InvestmentTrustSellVolK,0.0,0.0
ForeignHoldPercent + LendingSellVolK,0.0,0.0
ForeignHoldPercent + ShortUsageRatio,0.0,0.0
ForeignHoldPercent + ShortLimitVolK,0.0,0.0
ForeignHoldPercent + FinancingSellVolK,0.0,0.0
ForeignHoldPercent + Foreign_Consecutive_BuyDays,0.0,0.0
ForeignHoldPercent + Foreign_Hold_Increasing,0.0,0.0
ForeignHoldPercent + Symbol,0.0,0.0
ForeignHoldPercent + DayTradingVolK,0.0,0.0
ForeignHoldPercent + ShortFinancingPercent,0.0,0.0
ForeignHoldPercent + FinancingBuyVolK,0.0,0.0
ForeignHoldPercent + FinancingPaybackVolK,0.0,0.0
ForeignHoldPercent + ShortTotalVolK,0.0,0.0
ForeignHoldPercent + FinancingTotalVolK,0.0,0.0
ForeignHoldPercent + FinancingLimitVolK,0.0,0.0
ForeignHoldPercent + FinancingUsageRatio,0.0,0.0
ForeignHoldPercent + ShortBuyVolK,0.0,0.0
ForeignHoldPercent + ShortSellVolK,0.0,0.0
ForeignHoldPercent + ShortRepayVolK,0.0,0.0
ForeignSellVolK + TotalBuyVolK,0.0,0.0
ForeignSellVolK + TotalSellVolK,0.0,0.0
ForeignHoldPercent + Foreign_VolumeK,0.0,0.0
ForeignSellVolK + FormattedDate,0.0,0.0
ForeignSellVolK + ShortUsageRatio,0.0,0.0
ForeignSellVolK + LendingSellVolK,0.0,0.0
ForeignSellVolK + LendingRepayVolK,0.0,0.0
ForeignSellVolK + LendingTotalVolK,0.0,0.0
ForeignSellVolK + DirSupHoldPercent,0.0,0.0
ForeignSellVolK + EndDate,0.0,0.0
ForeignSellVolK + MainHolderCount,0.0,0.0
ForeignSellVolK + MainHoldPercent,0.0,0.0
ForeignSellVolK + StartDate,0.0,0.0
ForeignSellVolK + TotalDifferenceVolK,0.0,0.0
ForeignSellVolK + TotalOverbuyVolK,0.0,0.0
ForeignSellVolK + TotalOversellVolK,0.0,0.0
ForeignSellVolK + TradeVolumeRate,0.0,0.0
ForeignSellVolK + Vol_Mom,0.0,0.0
InvestmentTrustBuyVolK + InvestmentTrustDiffVolK,0.0,0.0
ForeignSellVolK + ShortLimitVolK,0.0,0.0
ForeignSellVolK + ShortTotalVolK,0.0,0.0
ForeignSellVolK + ShortRepayVolK,0.0,0.0
ForeignSellVolK + ShortFinancingPercent,0.0,0.0
ForeignSellVolK + Foreign_VolumeK,0.0,0.0
ForeignSellVolK + Foreign_LayoutScore,0.0,0.0
ForeignSellVolK + Foreign_Consecutive_BuyDays,0.0,0.0
ForeignSellVolK + Foreign_Hold_Increasing,0.0,0.0
ForeignSellVolK + Symbol,0.0,0.0
ForeignSellVolK + DayTradingVolK,0.0,0.0
ForeignSellVolK + FinancingBuyVolK,0.0,0.0
ForeignSellVolK + ShortSellVolK,0.0,0.0
ForeignSellVolK + FinancingSellVolK,0.0,0.0
ForeignSellVolK + FinancingPaybackVolK,0.0,0.0
ForeignSellVolK + FinancingTotalVolK,0.0,0.0
ForeignSellVolK + FinancingLimitVolK,0.0,0.0
ForeignSellVolK + FinancingUsageRatio,0.0,0.0
ForeignSellVolK + ShortBuyVolK,0.0,0.0
ForeignHoldPercent + Foreign_LayoutScore,0.0,0.0
ForeignHoldPercent + FormattedDate,0.0,0.0
InvestmentTrustBuyVolK + TotalBuyVolK,0.0,0.0
ForeignDiffVolK + Foreign_Consecutive_BuyDays,0.0,0.0
ForeignBuyVolK + TotalDifferenceVolK,0.0,0.0
ForeignBuyVolK + TotalOverbuyVolK,0.0,0.0
ForeignBuyVolK + TotalOversellVolK,0.0,0.0
ForeignBuyVolK + TradeVolumeRate,0.0,0.0
ForeignBuyVolK + Vol_Mom,0.0,0.0
ForeignDiffVolK + ForeignHoldPercent,0.0,0.0
ForeignDiffVolK + ForeignSellVolK,0.0,0.0
ForeignDiffVolK + InvestmentTrustBuyVolK,0.0,0.0
ForeignDiffVolK + InvestmentTrustDiffVolK,0.0,0.0
ForeignDiffVolK + InvestmentTrustSellVolK,0.0,0.0
ForeignDiffVolK + TotalBuyVolK,0.0,0.0
ForeignDiffVolK + TotalDiffVolK,0.0,0.0
ForeignDiffVolK + TotalSellVolK,0.0,0.0
ForeignDiffVolK + FormattedDate,0.0,0.0
ForeignDiffVolK + Foreign_VolumeK,0.0,0.0
ForeignBuyVolK + StartDate,0.0,0.0
ForeignBuyVolK + MainHoldPercent,0.0,0.0
ForeignBuyVolK + MainHolderCount,0.0,0.0
ForeignBuyVolK + ShortRepayVolK,0.0,0.0
ForeignBuyVolK + FinancingPaybackVolK,0.0,0.0
ForeignBuyVolK + FinancingTotalVolK,0.0,0.0
ForeignBuyVolK + FinancingLimitVolK,0.0,0.0
ForeignBuyVolK + FinancingUsageRatio,0.0,0.0
ForeignBuyVolK + ShortBuyVolK,0.0,0.0
ForeignBuyVolK + ShortSellVolK,0.0,0.0
ForeignBuyVolK + ShortTotalVolK,0.0,0.0
ForeignBuyVolK + EndDate,0.0,0.0
ForeignBuyVolK + ShortLimitVolK,0.0,0.0
ForeignBuyVolK + ShortUsageRatio,0.0,0.0
ForeignBuyVolK + LendingSellVolK,0.0,0.0
ForeignBuyVolK + LendingRepayVolK,0.0,0.0
ForeignBuyVolK + LendingTotalVolK,0.0,0.0
ForeignBuyVolK + DirSupHoldPercent,0.0,0.0
ForeignDiffVolK + Foreign_LayoutScore,0.0,0.0
ForeignDiffVolK + Foreign_Hold_Increasing,0.0,0.0
ForeignHoldPercent + TotalSellVolK,0.0,0.0
ForeignDiffVolK + Symbol,0.0,0.0
ForeignDiffVolK + EndDate,0.0,0.0
ForeignDiffVolK + MainHolderCount,0.0,0.0
ForeignDiffVolK + MainHoldPercent,0.0,0.0
ForeignDiffVolK + StartDate,0.0,0.0
ForeignDiffVolK + TotalDifferenceVolK,0.0,0.0
ForeignDiffVolK + TotalOverbuyVolK,0.0,0.0
ForeignDiffVolK + TotalOversellVolK,0.0,0.0
ForeignDiffVolK + TradeVolumeRate,0.0,0.0
ForeignDiffVolK + Vol_Mom,0.0,0.0
ForeignHoldPercent + ForeignSellVolK,0.0,0.0
ForeignHoldPercent + InvestmentTrustBuyVolK,0.0,0.0
ForeignHoldPercent + InvestmentTrustDiffVolK,0.0,0.0
ForeignHoldPercent + InvestmentTrustSellVolK,0.0,0.0
ForeignHoldPercent + TotalBuyVolK,0.0,0.0
ForeignHoldPercent + TotalDiffVolK,0.0,0.0
ForeignDiffVolK + DirSupHoldPercent,0.0,0.0
ForeignDiffVolK + LendingTotalVolK,0.0,0.0
ForeignDiffVolK + LendingRepayVolK,0.0,0.0
ForeignDiffVolK + FinancingLimitVolK,0.0,0.0
ForeignDiffVolK + DayTradingVolK,0.0,0.0
ForeignDiffVolK + ShortFinancingPercent,0.0,0.0
ForeignDiffVolK + FinancingBuyVolK,0.0,0.0
ForeignDiffVolK + FinancingSellVolK,0.0,0.0
ForeignDiffVolK + FinancingPaybackVolK,0.0,0.0
ForeignDiffVolK + FinancingTotalVolK,0.0,0.0
ForeignDiffVolK + FinancingUsageRatio,0.0,0.0
ForeignDiffVolK + LendingSellVolK,0.0,0.0
ForeignDiffVolK + ShortBuyVolK,0.0,0.0
ForeignDiffVolK + ShortSellVolK,0.0,0.0
ForeignDiffVolK + ShortRepayVolK,0.0,0.0
ForeignDiffVolK + ShortTotalVolK,0.0,0.0
ForeignDiffVolK + ShortLimitVolK,0.0,0.0
ForeignDiffVolK + ShortUsageRatio,0.0,0.0
InvestmentTrustBuyVolK + InvestmentTrustSellVolK,0.0,0.0
InvestmentTrustBuyVolK + TotalDiffVolK,0.0,0.0
TotalDiffVolK + Foreign_Consecutive_BuyDays,0.0,0.0
TotalBuyVolK + FormattedDate,0.0,0.0
InvestmentTrustSellVolK + ShortUsageRatio,0.0,0.0
InvestmentTrustSellVolK + LendingSellVolK,0.0,0.0
InvestmentTrustSellVolK + LendingRepayVolK,0.0,0.0
InvestmentTrustSellVolK + LendingTotalVolK,0.0,0.0
InvestmentTrustSellVolK + DirSupHoldPercent,0.0,0.0
InvestmentTrustSellVolK + EndDate,0.0,0.0
InvestmentTrustSellVolK + MainHolderCount,0.0,0.0
InvestmentTrustSellVolK + MainHoldPercent,0.0,0.0
InvestmentTrustSellVolK + StartDate,0.0,0.0
InvestmentTrustSellVolK + TotalDifferenceVolK,0.0,0.0
InvestmentTrustSellVolK + TotalOverbuyVolK,0.0,0.0
InvestmentTrustSellVolK + TotalOversellVolK,0.0,0.0
InvestmentTrustSellVolK + TradeVolumeRate,0.0,0.0
InvestmentTrustSellVolK + Vol_Mom,0.0,0.0
TotalBuyVolK + TotalDiffVolK,0.0,0.0
InvestmentTrustSellVolK + ShortLimitVolK,0.0,0.0
InvestmentTrustSellVolK + ShortTotalVolK,0.0,0.0
InvestmentTrustSellVolK + ShortRepayVolK,0.0,0.0
InvestmentTrustSellVolK + ShortFinancingPercent,0.0,0.0
InvestmentTrustSellVolK + Foreign_VolumeK,0.0,0.0
InvestmentTrustSellVolK + Foreign_LayoutScore,0.0,0.0
InvestmentTrustSellVolK + Foreign_Consecutive_BuyDays,0.0,0.0
