Combination,Impact_Score,Profit_Factor
OBV_MA + ForeignSellVolK,0.0,0.0
OBV_MA + InvestmentTrustBuyVolK,0.0,0.0
OBV_MA + InvestmentTrustDiffVolK,0.0,0.0
OBV_MA + InvestmentTrustSellVolK,0.0,0.0
CCI + FinancingTotalVolK,0.0,0.0
CCI + FinancingUsageRatio,0.0,0.0
-DI + Symbol,0.0,0.0
-DI + Golden_Cross,0.0,0.0
+DI + TotalOverbuyVolK,0.0,0.0
+DI + TotalOversellVolK,0.0,0.0
+DI + TradeVolumeRate,0.0,0.0
+DI + Vol_Mom,0.0,0.0
-DI + ADX,0.0,0.0
-DI + ADX_5,0.0,0.0
-DI + Vol_MA6,0.0,0.0
-DI + Vol_Ratio,0.0,0.0
-DI + Vol_Spike,0.0,0.0
-DI + BIAS_Short_Col,0.0,0.0
-DI + BIAS_6,0.0,0.0
-DI + BIAS_20,0.0,0.0
-DI + Bullish_Align,0.0,0.0
-DI + Short_Term_Rebound,0.0,0.0
-DI + Strong_Trend,0.0,0.0
+DI + TotalDifferenceVolK,0.0,0.0
+DI + StartDate,0.0,0.0
+DI + MainHoldPercent,0.0,0.0
+DI + ShortTotalVolK,0.0,0.0
+DI + FinancingTotalVolK,0.0,0.0
+DI + FinancingLimitVolK,0.0,0.0
+DI + FinancingUsageRatio,0.0,0.0
+DI + ShortBuyVolK,0.0,0.0
+DI + ShortSellVolK,0.0,0.0
+DI + ShortRepayVolK,0.0,0.0
+DI + ShortLimitVolK,0.0,0.0
+DI + MainHolderCount,0.0,0.0
+DI + ShortUsageRatio,0.0,0.0
+DI + LendingSellVolK,0.0,0.0
+DI + LendingRepayVolK,0.0,0.0
+DI + LendingTotalVolK,0.0,0.0
+DI + DirSupHoldPercent,0.0,0.0
+DI + EndDate,0.0,0.0
-DI + Bias_Divergence,0.0,0.0
-DI + MA_Short,0.0,0.0
+DI + FinancingSellVolK,0.0,0.0
-DI + MA_Long,0.0,0.0
-DI + DealerSellVolK,0.0,0.0
-DI + ForeignBuyVolK,0.0,0.0
-DI + ForeignDiffVolK,0.0,0.0
-DI + ForeignHoldPercent,0.0,0.0
-DI + ForeignSellVolK,0.0,0.0
-DI + InvestmentTrustBuyVolK,0.0,0.0
-DI + InvestmentTrustDiffVolK,0.0,0.0
-DI + InvestmentTrustSellVolK,0.0,0.0
-DI + TotalBuyVolK,0.0,0.0
-DI + TotalDiffVolK,0.0,0.0
-DI + TotalSellVolK,0.0,0.0
-DI + FormattedDate,0.0,0.0
-DI + Foreign_VolumeK,0.0,0.0
-DI + Foreign_LayoutScore,0.0,0.0
-DI + Foreign_Consecutive_BuyDays,0.0,0.0
-DI + DealerDiffVolK,0.0,0.0
-DI + DealerBuyVolK,0.0,0.0
-DI + ChangePercent,0.0,0.0
-DI + DMA_Momentum_Up,0.0,0.0
-DI + DMA,0.0,0.0
-DI + AMA,0.0,0.0
-DI + DMA_Golden_Cross,0.0,0.0
-DI + DMA_Death_Cross,0.0,0.0
-DI + DMA_Bullish,0.0,0.0
-DI + DMA_Diff,0.0,0.0
-DI + Action,0.0,0.0
-DI + ATR_20,0.0,0.0
-DI + MA200,0.0,0.0
-DI + High_120,0.0,0.0
-DI + MA20,0.0,0.0
-DI + Bias_Ratio,0.0,0.0
-DI + V_MA20,0.0,0.0
-DI + MA_60,0.0,0.0
+DI + FinancingPaybackVolK,0.0,0.0
+DI + FinancingBuyVolK,0.0,0.0
CCI + ShortBuyVolK,0.0,0.0
+DI + DMA,0.0,0.0
+DI + -DI,0.0,0.0
+DI + ADX,0.0,0.0
+DI + ADX_5,0.0,0.0
+DI + Vol_MA6,0.0,0.0
+DI + Vol_Ratio,0.0,0.0
+DI + Vol_Spike,0.0,0.0
+DI + BIAS_Short_Col,0.0,0.0
+DI + BIAS_6,0.0,0.0
+DI + BIAS_20,0.0,0.0
+DI + Bullish_Align,0.0,0.0
+DI + Short_Term_Rebound,0.0,0.0
+DI + Strong_Trend,0.0,0.0
+DI + Bias_Divergence,0.0,0.0
+DI + Golden_Cross,0.0,0.0
+DI + MA_Short,0.0,0.0
CCI + Vol_Mom,0.0,0.0
CCI + TradeVolumeRate,0.0,0.0
CCI + TotalOversellVolK,0.0,0.0
CCI + LendingRepayVolK,0.0,0.0
CCI + ShortSellVolK,0.0,0.0
CCI + ShortRepayVolK,0.0,0.0
CCI + ShortTotalVolK,0.0,0.0
CCI + ShortLimitVolK,0.0,0.0
CCI + ShortUsageRatio,0.0,0.0
CCI + LendingSellVolK,0.0,0.0
CCI + LendingTotalVolK,0.0,0.0
CCI + TotalOverbuyVolK,0.0,0.0
CCI + DirSupHoldPercent,0.0,0.0
CCI + EndDate,0.0,0.0
CCI + MainHolderCount,0.0,0.0
CCI + MainHoldPercent,0.0,0.0
CCI + StartDate,0.0,0.0
CCI + TotalDifferenceVolK,0.0,0.0
+DI + MA_Long,0.0,0.0
+DI + AMA,0.0,0.0
+DI + ShortFinancingPercent,0.0,0.0
+DI + DMA_Golden_Cross,0.0,0.0
+DI + ForeignHoldPercent,0.0,0.0
+DI + ForeignSellVolK,0.0,0.0
+DI + InvestmentTrustBuyVolK,0.0,0.0
+DI + InvestmentTrustDiffVolK,0.0,0.0
+DI + InvestmentTrustSellVolK,0.0,0.0
+DI + TotalBuyVolK,0.0,0.0
+DI + TotalDiffVolK,0.0,0.0
+DI + TotalSellVolK,0.0,0.0
+DI + FormattedDate,0.0,0.0
+DI + Foreign_VolumeK,0.0,0.0
+DI + Foreign_LayoutScore,0.0,0.0
+DI + Foreign_Consecutive_BuyDays,0.0,0.0
+DI + Foreign_Hold_Increasing,0.0,0.0
+DI + Symbol,0.0,0.0
+DI + DayTradingVolK,0.0,0.0
+DI + ForeignDiffVolK,0.0,0.0
+DI + ForeignBuyVolK,0.0,0.0
+DI + DealerSellVolK,0.0,0.0
+DI + High_120,0.0,0.0
+DI + DMA_Death_Cross,0.0,0.0
+DI + DMA_Bullish,0.0,0.0
+DI + DMA_Diff,0.0,0.0
+DI + DMA_Momentum_Up,0.0,0.0
+DI + Action,0.0,0.0
+DI + MA200,0.0,0.0
+DI + MA20,0.0,0.0
+DI + DealerDiffVolK,0.0,0.0
+DI + Bias_Ratio,0.0,0.0
+DI + V_MA20,0.0,0.0
+DI + MA_60,0.0,0.0
+DI + ATR_20,0.0,0.0
+DI + ChangePercent,0.0,0.0
+DI + DealerBuyVolK,0.0,0.0
OBV + MainHolderCount,0.0,0.0
OBV + EndDate,0.0,0.0
OBV + DirSupHoldPercent,0.0,0.0
KDJ_D + Foreign_LayoutScore,0.0,0.0
KDJ_D + ChangePercent,0.0,0.0
KDJ_D + DealerBuyVolK,0.0,0.0
KDJ_D + DealerDiffVolK,0.0,0.0
KDJ_D + DealerSellVolK,0.0,0.0
KDJ_D + ForeignBuyVolK,0.0,0.0
KDJ_D + ForeignDiffVolK,0.0,0.0
KDJ_D + ForeignHoldPercent,0.0,0.0
KDJ_D + ForeignSellVolK,0.0,0.0
KDJ_D + InvestmentTrustBuyVolK,0.0,0.0
KDJ_D + InvestmentTrustDiffVolK,0.0,0.0
KDJ_D + InvestmentTrustSellVolK,0.0,0.0
KDJ_D + TotalBuyVolK,0.0,0.0
KDJ_D + TotalDiffVolK,0.0,0.0
KDJ_D + TotalSellVolK,0.0,0.0
KDJ_D + FormattedDate,0.0,0.0
KDJ_D + ATR_20,0.0,0.0
KDJ_D + MA_60,0.0,0.0
KDJ_D + V_MA20,0.0,0.0
KDJ_D + DMA_Death_Cross,0.0,0.0
KDJ_D + Golden_Cross,0.0,0.0
KDJ_D + MA_Short,0.0,0.0
KDJ_D + MA_Long,0.0,0.0
KDJ_D + DMA,0.0,0.0
KDJ_D + AMA,0.0,0.0
KDJ_D + DMA_Golden_Cross,0.0,0.0
KDJ_D + DMA_Bullish,0.0,0.0
KDJ_D + Bias_Ratio,0.0,0.0
KDJ_D + DMA_Diff,0.0,0.0
KDJ_D + DMA_Momentum_Up,0.0,0.0
KDJ_D + Action,0.0,0.0
KDJ_D + MA200,0.0,0.0
KDJ_D + High_120,0.0,0.0
KDJ_D + MA20,0.0,0.0
KDJ_D + Foreign_VolumeK,0.0,0.0
KDJ_D + Foreign_Consecutive_BuyDays,0.0,0.0
KDJ_D + Strong_Trend,0.0,0.0
KDJ_D + Foreign_Hold_Increasing,0.0,0.0
KDJ_D + DirSupHoldPercent,0.0,0.0
KDJ_D + EndDate,0.0,0.0
KDJ_D + MainHolderCount,0.0,0.0
KDJ_D + MainHoldPercent,0.0,0.0
KDJ_D + StartDate,0.0,0.0
KDJ_D + TotalDifferenceVolK,0.0,0.0
KDJ_D + TotalOverbuyVolK,0.0,0.0
