Combo,WinRate,PF
WMA_10 + DMA_Golden_Cross,0.5526,1.7662
WMA_10 + RSI,0.5526,1.7662
WMA_10 + SMA,0.5526,1.7662
WMA_10 + AMA,0.5526,1.7662
WMA_10 + MACD_Momentum_Ratio,0.5526,1.7662
WMA_10 + MACD_Bearish_Strong,0.5526,1.7662
WMA_10 + DMA_Bullish,0.5526,1.7662
WMA_10 + SMA_10,0.5526,1.7662
WMA_10 + HMA_10,0.5526,1.7662
WMA_10 + DEMA_10,0.5526,1.7662
WMA_10 + KAMA_10,0.5526,1.7662
WMA_10 + SMMA_10,0.5526,1.7662
WMA_10 + MA_20,0.5526,1.7662
WMA_10 + EMA_20,0.5526,1.7662
WMA_10 + WMA_20,0.5526,1.7662
WMA_10 + SMA_20,0.5526,1.7662
WMA_10 + HMA_20,0.5526,1.7662
WMA_10 + DEMA_20,0.5526,1.7662
WMA_10 + KAMA_20,0.5526,1.7662
WMA_10 + SMMA_20,0.5526,1.7662
WMA_10 + WMA_6,0.5526,1.7662
WMA_10 + DIF,0.5526,1.7662
WMA_10 + DEA,0.5526,1.7662
WMA_10 + MACD,0.5526,1.7662
WMA_10 + MACD_Signal,0.5526,1.7662
WMA_10 + MACD_Hist,0.5526,1.7662
WMA_10 + MACD_OSC,0.5526,1.7662
WMA_10 + MACD_Golden_Cross,0.5526,1.7662
WMA_10 + MACD_Death_Cross,0.5526,1.7662
WMA_10 + MACD_Bullish_Zone,0.5526,1.7662
WMA_10 + MACD_Bearish_Zone,0.5526,1.7662
WMA_10 + MACD_Diff,0.5526,1.7662
WMA_10 + MACD_Momentum_Up,0.5526,1.7662
WMA_10 + MACD_Momentum_Down,0.5526,1.7662
WMA_10 + MACD_Bullish_Strong,0.5526,1.7662
WMA_10 + DMA_Death_Cross,0.5526,1.7662
WMA_10 + Golden_Cross,0.5526,1.7662
WMA_10 + DMA_Diff,0.5526,1.7662
WMA_10 + Bias_Ratio,0.5526,1.7662
WMA_10 + DMA_Momentum_Up,0.5526,1.7662
WMA_10 + ATR_20,0.5526,1.7662
WMA_10 + V_MA20,0.5526,1.7662
WMA_10 + MA_60,0.5526,1.7662
WMA_10 + MA20,0.5526,1.7662
WMA_10 + High_120,0.5526,1.7662
WMA_10 + MA200,0.5526,1.7662
SMA_5 + KAMA_20,0.5526,1.7642
SMA_5 + MACD_Hist,0.5526,1.7642
SMA_5 + SMMA_20,0.5526,1.7642
SMA_5 + WMA_6,0.5526,1.7642
SMA_5 + DIF,0.5526,1.7642
SMA_5 + DEA,0.5526,1.7642
SMA_5 + MACD,0.5526,1.7642
SMA_5 + MACD_Signal,0.5526,1.7642
SMA_5 + MACD_Bearish_Zone,0.5526,1.7642
SMA_5 + MACD_OSC,0.5526,1.7642
SMA_5 + MACD_Golden_Cross,0.5526,1.7642
SMA_5 + MACD_Death_Cross,0.5526,1.7642
SMA_5 + MACD_Bullish_Zone,0.5526,1.7642
SMA_5 + HMA_20,0.5526,1.7642
SMA_5 + MACD_Diff,0.5526,1.7642
SMA_5 + MACD_Momentum_Up,0.5526,1.7642
MA_5 + HMA_5,0.5526,1.7642
SMA_5 + DEMA_20,0.5526,1.7642
SMA_5 + MA_20,0.5526,1.7642
SMA_5 + SMA_20,0.5526,1.7642
SMA_5 + WMA_20,0.5526,1.7642
MA_5 + ATR_20,0.5526,1.7642
SMA_5 + HMA_5,0.5526,1.7642
SMA_5 + DEMA_5,0.5526,1.7642
SMA_5 + KAMA_5,0.5526,1.7642
SMA_5 + SMMA_5,0.5526,1.7642
SMA_5 + MA_10,0.5526,1.7642
SMA_5 + EMA_10,0.5526,1.7642
SMA_5 + WMA_10,0.5526,1.7642
SMA_5 + SMA_10,0.5526,1.7642
SMA_5 + HMA_10,0.5526,1.7642
SMA_5 + DEMA_10,0.5526,1.7642
SMA_5 + KAMA_10,0.5526,1.7642
SMA_5 + SMMA_10,0.5526,1.7642
SMA_5 + MACD_Momentum_Down,0.5526,1.7642
SMA_5 + EMA_20,0.5526,1.7642
MA_5 + SMA_5,0.5526,1.7642
SMA_5 + RSI,0.5526,1.7642
SMA_5 + MACD_Bullish_Strong,0.5526,1.7642
SMA_5 + Bias_Divergence,0.5526,1.7642
SMA_5 + Vol_Spike,0.5526,1.7642
SMA_5 + BIAS_Short_Col,0.5526,1.7642
SMA_5 + BIAS_6,0.5526,1.7642
SMA_5 + BIAS_20,0.5526,1.7642
SMA_5 + Bullish_Align,0.5526,1.7642
SMA_5 + Short_Term_Rebound,0.5526,1.7642
SMA_5 + Strong_Trend,0.5526,1.7642
SMA_5 + Golden_Cross,0.5526,1.7642
SMA_5 + ADX_5,0.5526,1.7642
SMA_5 + MA_Short,0.5526,1.7642
SMA_5 + MA_Long,0.5526,1.7642
SMA_5 + DMA,0.5526,1.7642
SMA_5 + AMA,0.5526,1.7642
SMA_5 + DMA_Golden_Cross,0.5526,1.7642
SMA_5 + DMA_Death_Cross,0.5526,1.7642
SMA_5 + DMA_Bullish,0.5526,1.7642
SMA_5 + Vol_Ratio,0.5526,1.7642
MA_5 + EMA_5,0.5526,1.7642
SMA_5 + MACD_Bearish_Strong,0.5526,1.7642
SMA_5 + Williams,0.5526,1.7642
SMA_5 + MACD_Momentum_Ratio,0.5526,1.7642
MA_5 + V_MA20,0.5526,1.7642
SMA_5 + SMA,0.5526,1.7642
SMA_5 + Upper_Band,0.5526,1.7642
SMA_5 + Lower_Band,0.5526,1.7642
SMA_5 + BOLL,0.5526,1.7642
MA_5 + WMA_5,0.5526,1.7642
SMA_5 + KDJ_K,0.5526,1.7642
SMA_5 + ADX,0.5526,1.7642
SMA_5 + KDJ_D,0.5526,1.7642
SMA_5 + KDJ_J,0.5526,1.7642
SMA_5 + OBV,0.5526,1.7642
SMA_5 + OBV_MA,0.5526,1.7642
SMA_5 + CCI,0.5526,1.7642
SMA_5 + +DI,0.5526,1.7642
SMA_5 + -DI,0.5526,1.7642
MA_5 + MA_60,0.5526,1.7642
MA_5 + MA200,0.5526,1.7642
MA_5 + Bias_Ratio,0.5526,1.7642
MA_5 + MACD_Death_Cross,0.5526,1.7642
MA_5 + MACD_Bearish_Strong,0.5526,1.7642
MA_5 + MACD_Bullish_Strong,0.5526,1.7642
MA_5 + MACD_Momentum_Down,0.5526,1.7642
MA_5 + MACD_Momentum_Up,0.5526,1.7642
MA_5 + MACD_Diff,0.5526,1.7642
MA_5 + MACD_Bearish_Zone,0.5526,1.7642
MA_5 + MACD_Bullish_Zone,0.5526,1.7642
MA_5 + MACD_Golden_Cross,0.5526,1.7642
MA_5 + KAMA_20,0.5526,1.7642
MA_5 + MACD_OSC,0.5526,1.7642
MA_5 + MACD_Hist,0.5526,1.7642
MA_5 + MACD_Signal,0.5526,1.7642
MA_5 + MACD,0.5526,1.7642
MA_5 + DEA,0.5526,1.7642
MA_5 + DIF,0.5526,1.7642
MA_5 + WMA_6,0.5526,1.7642
MA_5 + MACD_Momentum_Ratio,0.5526,1.7642
MA_5 + RSI,0.5526,1.7642
MA_5 + SMA,0.5526,1.7642
MA_5 + Upper_Band,0.5526,1.7642
SMA_5 + DMA_Momentum_Up,0.5526,1.7642
MA_5 + Vol_MA6,0.5526,1.7642
MA_5 + ADX_5,0.5526,1.7642
MA_5 + ADX,0.5526,1.7642
MA_5 + -DI,0.5526,1.7642
MA_5 + +DI,0.5526,1.7642
MA_5 + CCI,0.5526,1.7642
MA_5 + OBV_MA,0.5526,1.7642
MA_5 + OBV,0.5526,1.7642
MA_5 + KDJ_J,0.5526,1.7642
MA_5 + KDJ_D,0.5526,1.7642
MA_5 + KDJ_K,0.5526,1.7642
MA_5 + Williams,0.5526,1.7642
MA_5 + BOLL,0.5526,1.7642
MA_5 + Lower_Band,0.5526,1.7642
MA_5 + SMMA_20,0.5526,1.7642
MA_5 + DEMA_20,0.5526,1.7642
MA_5 + MA20,0.5526,1.7642
MA_5 + MA_Long,0.5526,1.7642
MA_5 + BIAS_20,0.5526,1.7642
MA_5 + Bullish_Align,0.5526,1.7642
MA_5 + Short_Term_Rebound,0.5526,1.7642
MA_5 + Strong_Trend,0.5526,1.7642
MA_5 + Bias_Divergence,0.5526,1.7642
MA_5 + Golden_Cross,0.5526,1.7642
MA_5 + MA_Short,0.5526,1.7642
MA_5 + DMA,0.5526,1.7642
MA_5 + HMA_20,0.5526,1.7642
MA_5 + AMA,0.5526,1.7642
MA_5 + DMA_Golden_Cross,0.5526,1.7642
MA_5 + DMA_Death_Cross,0.5526,1.7642
MA_5 + DMA_Bullish,0.5526,1.7642
MA_5 + DMA_Diff,0.5526,1.7642
MA_5 + DMA_Momentum_Up,0.5526,1.7642
MA_5 + High_120,0.5526,1.7642
MA_5 + BIAS_6,0.5526,1.7642
MA_5 + BIAS_Short_Col,0.5526,1.7642
MA_5 + Vol_Spike,0.5526,1.7642
MA_5 + Vol_Ratio,0.5526,1.7642
MA_5 + SMA_20,0.5526,1.7642
MA_5 + WMA_20,0.5526,1.7642
MA_5 + EMA_20,0.5526,1.7642
MA_5 + MA_20,0.5526,1.7642
MA_5 + SMMA_10,0.5526,1.7642
MA_5 + KAMA_10,0.5526,1.7642
MA_5 + DEMA_10,0.5526,1.7642
MA_5 + HMA_10,0.5526,1.7642
MA_5 + SMA_10,0.5526,1.7642
MA_5 + WMA_10,0.5526,1.7642
MA_5 + EMA_10,0.5526,1.7642
MA_5 + MA_10,0.5526,1.7642
MA_5 + SMMA_5,0.5526,1.7642
MA_5 + KAMA_5,0.5526,1.7642
MA_5 + DEMA_5,0.5526,1.7642
SMA_5 + DMA_Diff,0.5526,1.7642
SMA_5 + Vol_MA6,0.5526,1.7642
SMA_5 + MA200,0.5526,1.7642
SMA_5 + V_MA20,0.5526,1.7642
SMA_5 + High_120,0.5526,1.7642
SMA_5 + MA_60,0.5526,1.7642
SMA_5 + ATR_20,0.5526,1.7642
SMA_5 + Bias_Ratio,0.5526,1.7642
SMA_5 + MA20,0.5526,1.7642
MACD_Bullish_Zone + Strong_Trend,0.5526,1.7595
MACD_Momentum_Down + BIAS_6,0.6316,1.7591
MACD_Death_Cross + MACD_Bullish_Strong,0.5526,1.752
SMA_10 + MACD,0.5526,1.7341
SMA_10 + MACD_Signal,0.5526,1.7341
SMA_10 + MACD_Hist,0.5526,1.7341
SMA_10 + MACD_OSC,0.5526,1.7341
SMA_10 + MACD_Golden_Cross,0.5526,1.7341
SMA_10 + MACD_Death_Cross,0.5526,1.7341
SMA_10 + MACD_Bullish_Zone,0.5526,1.7341
SMA_10 + MACD_Bearish_Zone,0.5526,1.7341
SMA_10 + MACD_Bearish_Strong,0.5526,1.7341
SMA_10 + MACD_Diff,0.5526,1.7341
SMA_10 + MACD_Momentum_Up,0.5526,1.7341
SMA_10 + MACD_Momentum_Down,0.5526,1.7341
SMA_10 + MACD_Bullish_Strong,0.5526,1.7341
SMA_10 + DIF,0.5526,1.7341
SMA_10 + MACD_Momentum_Ratio,0.5526,1.7341
SMA_10 + RSI,0.5526,1.7341
SMA_10 + SMA,0.5526,1.7341
SMA_10 + Upper_Band,0.5526,1.7341
SMA_10 + DEA,0.5526,1.7341
SMA_10 + HMA_20,0.5526,1.7341
SMA_10 + WMA_6,0.5526,1.7341
SMA_10 + HMA_10,0.5526,1.7341
MA_10 + MA200,0.5526,1.7341
MA_10 + High_120,0.5526,1.7341
MA_10 + MA20,0.5526,1.7341
MA_Short + DMA_Death_Cross,0.5526,1.7341
MA_10 + Bias_Ratio,0.5526,1.7341
MA_10 + V_MA20,0.5526,1.7341
MA_10 + MA_60,0.5526,1.7341
MA_10 + ATR_20,0.5526,1.7341
SMA_10 + KAMA_10,0.5526,1.7341
SMA_10 + SMMA_20,0.5526,1.7341
SMA_10 + SMMA_10,0.5526,1.7341
SMA_10 + MA_20,0.5526,1.7341
SMA_10 + EMA_20,0.5526,1.7341
SMA_10 + WMA_20,0.5526,1.7341
SMA_10 + SMA_20,0.5526,1.7341
SMA_10 + BOLL,0.5526,1.7341
SMA_10 + DEMA_20,0.5526,1.7341
SMA_10 + KAMA_20,0.5526,1.7341
SMA_10 + Lower_Band,0.5526,1.7341
SMA_10 + KDJ_J,0.5526,1.7341
SMA_10 + Williams,0.5526,1.7341
SMA_10 + High_120,0.5526,1.7341
MA_Short + AMA,0.5526,1.7341
MA_Short + DMA,0.5526,1.7341
MA_Short + MA_Long,0.5526,1.7341
SMA_10 + ATR_20,0.5526,1.7341
SMA_10 + MA_60,0.5526,1.7341
SMA_10 + V_MA20,0.5526,1.7341
SMA_10 + Bias_Ratio,0.5526,1.7341
SMA_10 + MA20,0.5526,1.7341
SMA_10 + MA200,0.5526,1.7341
SMA_10 + MA_Short,0.5526,1.7341
SMA_10 + DMA_Momentum_Up,0.5526,1.7341
SMA_10 + DMA_Diff,0.5526,1.7341
SMA_10 + DMA_Bullish,0.5526,1.7341
SMA_10 + DMA_Death_Cross,0.5526,1.7341
SMA_10 + DMA_Golden_Cross,0.5526,1.7341
SMA_10 + AMA,0.5526,1.7341
SMA_10 + DMA,0.5526,1.7341
SMA_10 + MA_Long,0.5526,1.7341
MA_Short + DMA_Golden_Cross,0.5526,1.7341
SMA_10 + Golden_Cross,0.5526,1.7341
SMA_10 + KDJ_K,0.5526,1.7341
SMA_10 + ADX_5,0.5526,1.7341
SMA_10 + KDJ_D,0.5526,1.7341
MA_10 + DMA_Diff,0.5526,1.7341
SMA_10 + OBV,0.5526,1.7341
SMA_10 + OBV_MA,0.5526,1.7341
SMA_10 + CCI,0.5526,1.7341
SMA_10 + +DI,0.5526,1.7341
SMA_10 + -DI,0.5526,1.7341
SMA_10 + ADX,0.5526,1.7341
SMA_10 + Vol_MA6,0.5526,1.7341
SMA_10 + Bias_Divergence,0.5526,1.7341
SMA_10 + Vol_Ratio,0.5526,1.7341
SMA_10 + Vol_Spike,0.5526,1.7341
SMA_10 + BIAS_Short_Col,0.5526,1.7341
SMA_10 + BIAS_6,0.5526,1.7341
SMA_10 + BIAS_20,0.5526,1.7341
SMA_10 + Bullish_Align,0.5526,1.7341
SMA_10 + Short_Term_Rebound,0.5526,1.7341
SMA_10 + Strong_Trend,0.5526,1.7341
MA_10 + DMA_Momentum_Up,0.5526,1.7341
SMA_10 + DEMA_10,0.5526,1.7341
MA_10 + DEA,0.5526,1.7341
MA_10 + RSI,0.5526,1.7341
MA_10 + DIF,0.5526,1.7341
MA_10 + DMA_Bullish,0.5526,1.7341
MA_10 + MACD,0.5526,1.7341
MA_Short + MA20,0.5526,1.7341
MA_Short + High_120,0.5526,1.7341
MA_10 + MACD_Signal,0.5526,1.7341
MA_Short + MA200,0.5526,1.7341
MA_10 + MACD_Hist,0.5526,1.7341
MA_10 + MACD_OSC,0.5526,1.7341
MA_10 + MACD_Golden_Cross,0.5526,1.7341
MA_10 + MACD_Death_Cross,0.5526,1.7341
MA_10 + MACD_Bullish_Zone,0.5526,1.7341
MA_10 + MACD_Bearish_Zone,0.5526,1.7341
MA_10 + MACD_Diff,0.5526,1.7341
MA_10 + MACD_Momentum_Up,0.5526,1.7341
MA_10 + MACD_Momentum_Down,0.5526,1.7341
MA_10 + MACD_Bearish_Strong,0.5526,1.7341
MA_10 + WMA_6,0.5526,1.7341
MA_10 + SMMA_20,0.5526,1.7341
MA_10 + KAMA_20,0.5526,1.7341
MA_10 + SMMA_10,0.5526,1.7341
MA_10 + EMA_10,0.5526,1.7341
MA_10 + WMA_10,0.5526,1.7341
MA_Short + ATR_20,0.5526,1.7341
MA_10 + SMA_10,0.5526,1.7341
MA_10 + HMA_10,0.5526,1.7341
MA_10 + DEMA_10,0.5526,1.7341
MA_10 + KAMA_10,0.5526,1.7341
MA_10 + MA_20,0.5526,1.7341
MA_10 + DEMA_20,0.5526,1.7341
MA_10 + EMA_20,0.5526,1.7341
MA_Short + MA_60,0.5526,1.7341
MA_10 + WMA_20,0.5526,1.7341
MA_Short + V_MA20,0.5526,1.7341
MA_10 + SMA_20,0.5526,1.7341
MA_10 + HMA_20,0.5526,1.7341
MA_Short + Bias_Ratio,0.5526,1.7341
MA_10 + MACD_Momentum_Ratio,0.5526,1.7341
MA_10 + MACD_Bullish_Strong,0.5526,1.7341
MA_10 + SMA,0.5526,1.7341
MA_10 + Bias_Divergence,0.5526,1.7341
MA_10 + Upper_Band,0.5526,1.7341
MA_10 + BIAS_Short_Col,0.5526,1.7341
MA_10 + BIAS_6,0.5526,1.7341
MA_10 + BIAS_20,0.5526,1.7341
MA_10 + Bullish_Align,0.5526,1.7341
MA_10 + Short_Term_Rebound,0.5526,1.7341
MA_10 + Strong_Trend,0.5526,1.7341
MA_Short + DMA_Bullish,0.5526,1.7341
MA_10 + Vol_MA6,0.5526,1.7341
MA_10 + Golden_Cross,0.5526,1.7341
MA_10 + MA_Short,0.5526,1.7341
MA_10 + MA_Long,0.5526,1.7341
MA_10 + DMA,0.5526,1.7341
MA_10 + AMA,0.5526,1.7341
MA_10 + DMA_Golden_Cross,0.5526,1.7341
MA_10 + DMA_Death_Cross,0.5526,1.7341
MA_10 + Vol_Ratio,0.5526,1.7341
MA_10 + Vol_Spike,0.5526,1.7341
MA_10 + ADX_5,0.5526,1.7341
MA_Short + DMA_Momentum_Up,0.5526,1.7341
MA_10 + KDJ_K,0.5526,1.7341
MA_Short + DMA_Diff,0.5526,1.7341
MA_10 + KDJ_D,0.5526,1.7341
MA_10 + Williams,0.5526,1.7341
MA_10 + KDJ_J,0.5526,1.7341
MA_10 + OBV,0.5526,1.7341
MA_10 + OBV_MA,0.5526,1.7341
MA_10 + CCI,0.5526,1.7341
MA_10 + BOLL,0.5526,1.7341
MA_10 + +DI,0.5526,1.7341
MA_10 + -DI,0.5526,1.7341
MA_10 + Lower_Band,0.5526,1.7341
MA_10 + ADX,0.5526,1.7341
MACD_Bearish_Zone + RSI,0.5526,1.7305
MACD_Momentum_Up + Bias_Divergence,0.5526,1.7125
MACD_Bearish_Zone + High_120,0.5526,1.7119
MACD_Golden_Cross + MACD_Diff,0.5526,1.7118
Vol_Ratio + MA200,0.5526,1.6968
Vol_Ratio + Bullish_Align,0.5526,1.6968
Vol_Ratio + MA_Short,0.5526,1.6968
MACD_Momentum_Up + RSI,0.6053,1.6942
MACD_Death_Cross + ADX,0.5526,1.6888
MACD_Momentum_Up + V_MA20,0.5526,1.6851
MACD_Bearish_Zone + MA20,0.5789,1.6802
MACD_Golden_Cross + +DI,0.5789,1.6722
MACD_Bearish_Zone + ADX,0.5526,1.6613
DMA_Bullish + ATR_20,0.5526,1.6537
Change_percent + KAMA_20,0.5789,1.6237
Change_percent + MA_20,0.5789,1.6237
Change_percent + EMA_20,0.5789,1.6237
Change_percent + WMA_20,0.5789,1.6237
Change_percent + SMA_20,0.5789,1.6237
Change_percent + HMA_20,0.5789,1.6237
Change_percent + DEMA_20,0.5789,1.6237
Change_percent + SMMA_20,0.5789,1.6237
Change_percent + KAMA_10,0.5789,1.6237
Change_percent + WMA_6,0.5789,1.6237
Change_percent + DIF,0.5789,1.6237
Change_percent + DEA,0.5789,1.6237
Change_percent + MACD,0.5789,1.6237
Change_percent + MACD_Signal,0.5789,1.6237
Change_percent + SMMA_10,0.5789,1.6237
Change_percent + DEMA_10,0.5789,1.6237
Change_percent + MA_5,0.5789,1.6237
Change_percent + HMA_10,0.5789,1.6237
Change_percent + SMA_10,0.5789,1.6237
Change_percent + WMA_10,0.5789,1.6237
Change_percent + EMA_10,0.5789,1.6237
Change_percent + MA_10,0.5789,1.6237
Change_percent + SMMA_5,0.5789,1.6237
Change_percent + KAMA_5,0.5789,1.6237
Change_percent + DEMA_5,0.5789,1.6237
Change_percent + MACD_OSC,0.5789,1.6237
Change_percent + HMA_5,0.5789,1.6237
Change_percent + SMA_5,0.5789,1.6237
Change_percent + WMA_5,0.5789,1.6237
Change_percent + EMA_5,0.5789,1.6237
Change_percent + MACD_Hist,0.5789,1.6237
Change_percent + Golden_Cross,0.5789,1.6237
Change_percent + MACD_Golden_Cross,0.5789,1.6237
Change_percent + DMA_Golden_Cross,0.5789,1.6237
Change_percent + Vol_Spike,0.5789,1.6237
Change_percent + BIAS_Short_Col,0.5789,1.6237
Change_percent + BIAS_6,0.5789,1.6237
Change_percent + BIAS_20,0.5789,1.6237
Change_percent + Bullish_Align,0.5789,1.6237
Change_percent + Short_Term_Rebound,0.5789,1.6237
Change_percent + Strong_Trend,0.5789,1.6237
Change_percent + Bias_Divergence,0.5789,1.6237
Change_percent + MA_Short,0.5789,1.6237
Change_percent + MA_Long,0.5789,1.6237
Change_percent + AMA,0.5789,1.6237
Change_percent + DMA_Death_Cross,0.5789,1.6237
Change_percent + Vol_MA6,0.5789,1.6237
Change_percent + DMA_Bullish,0.5789,1.6237
Change_percent + DMA_Diff,0.5789,1.6237
Change_percent + DMA_Momentum_Up,0.5789,1.6237
Change_percent + MA200,0.5789,1.6237
Change_percent + High_120,0.5789,1.6237
Change_percent + MA20,0.5789,1.6237
Change_percent + MACD_Death_Cross,0.5789,1.6237
Change_percent + Bias_Ratio,0.5789,1.6237
Change_percent + V_MA20,0.5789,1.6237
Change_percent + MA_60,0.5789,1.6237
Change_percent + ATR_20,0.5789,1.6237
Change_percent + Vol_Ratio,0.5789,1.6237
Change_percent + DMA,0.5789,1.6237
Change_percent + ADX_5,0.5789,1.6237
Change_percent + KDJ_J,0.5789,1.6237
Change_percent + MACD_Momentum_Down,0.5789,1.6237
Change_percent + MACD_Bullish_Strong,0.5789,1.6237
Change_percent + MACD_Bearish_Strong,0.5789,1.6237
Change_percent + MACD_Momentum_Ratio,0.5789,1.6237
Change_percent + RSI,0.5789,1.6237
Change_percent + SMA,0.5789,1.6237
Change_percent + Upper_Band,0.5789,1.6237
Change_percent + Lower_Band,0.5789,1.6237
Change_percent + Williams,0.5789,1.6237
Change_percent + KDJ_K,0.5789,1.6237
Change_percent + KDJ_D,0.5789,1.6237
Change_percent + BOLL,0.5789,1.6237
Change_percent + -DI,0.5789,1.6237
Change_percent + MACD_Diff,0.5789,1.6237
Change_percent + OBV,0.5789,1.6237
Change_percent + MACD_Bullish_Zone,0.5789,1.6237
Change_percent + MACD_Bearish_Zone,0.5789,1.6237
Change_percent + +DI,0.5789,1.6237
Change_percent + CCI,0.5789,1.6237
Change_percent + OBV_MA,0.5789,1.6237
Change_percent + ADX,0.5789,1.6237
Change_percent + MACD_Momentum_Up,0.5789,1.6237
KAMA_10 + Vol_MA6,0.5526,1.6184
KAMA_10 + CCI,0.5526,1.6184
KAMA_10 + Vol_Ratio,0.5526,1.6184
KAMA_10 + ADX_5,0.5526,1.6184
KAMA_10 + ADX,0.5526,1.6184
KAMA_10 + -DI,0.5526,1.6184
KAMA_10 + +DI,0.5526,1.6184
KAMA_10 + BOLL,0.5526,1.6184
KAMA_10 + OBV_MA,0.5526,1.6184
KAMA_10 + OBV,0.5526,1.6184
KAMA_10 + KDJ_J,0.5526,1.6184
KAMA_10 + KDJ_D,0.5526,1.6184
KAMA_10 + Lower_Band,0.5526,1.6184
KAMA_10 + BIAS_Short_Col,0.5526,1.6184
KAMA_10 + KDJ_K,0.5526,1.6184
KAMA_10 + Williams,0.5526,1.6184
KAMA_10 + Vol_Spike,0.5526,1.6184
KAMA_10 + MA_Long,0.5526,1.6184
KAMA_10 + BIAS_6,0.5526,1.6184
KAMA_10 + BIAS_20,0.5526,1.6184
KAMA_10 + V_MA20,0.5526,1.6184
KAMA_10 + MA20,0.5526,1.6184
KAMA_10 + High_120,0.5526,1.6184
KAMA_10 + MA200,0.5526,1.6184
KAMA_10 + DMA_Momentum_Up,0.5526,1.6184
KAMA_10 + DMA_Diff,0.5526,1.6184
KAMA_10 + DMA_Bullish,0.5526,1.6184
KAMA_10 + MA_60,0.5526,1.6184
KAMA_10 + DMA_Death_Cross,0.5526,1.6184
KAMA_10 + DMA_Golden_Cross,0.5526,1.6184
KAMA_10 + AMA,0.5526,1.6184
KAMA_10 + DMA,0.5526,1.6184
KAMA_10 + Bias_Ratio,0.5526,1.6184
KAMA_10 + MA_Short,0.5526,1.6184
KAMA_10 + Golden_Cross,0.5526,1.6184
KAMA_10 + Bias_Divergence,0.5526,1.6184
KAMA_10 + Strong_Trend,0.5526,1.6184
KAMA_10 + Short_Term_Rebound,0.5526,1.6184
KAMA_10 + Bullish_Align,0.5526,1.6184
KAMA_10 + Upper_Band,0.5526,1.6184
KAMA_10 + MACD_Hist,0.5526,1.6184
KAMA_10 + ATR_20,0.5526,1.6184
KAMA_10 + SMMA_20,0.5526,1.6184
KAMA_10 + MACD_Golden_Cross,0.5526,1.6184
KAMA_10 + MACD_OSC,0.5526,1.6184
KAMA_10 + MACD_Signal,0.5526,1.6184
KAMA_10 + MACD,0.5526,1.6184
KAMA_10 + DEA,0.5526,1.6184
KAMA_10 + DIF,0.5526,1.6184
KAMA_10 + WMA_6,0.5526,1.6184
KAMA_10 + KAMA_20,0.5526,1.6184
KAMA_10 + MACD_Bearish_Zone,0.5526,1.6184
KAMA_10 + DEMA_20,0.5526,1.6184
KAMA_10 + HMA_20,0.5526,1.6184
KAMA_10 + SMA_20,0.5526,1.6184
KAMA_10 + WMA_20,0.5526,1.6184
KAMA_10 + EMA_20,0.5526,1.6184
KAMA_10 + MA_20,0.5526,1.6184
KAMA_10 + SMMA_10,0.5526,1.6184
KAMA_10 + MACD_Bullish_Zone,0.5526,1.6184
KAMA_10 + MACD_Death_Cross,0.5526,1.6184
KAMA_10 + SMA,0.5526,1.6184
KAMA_10 + MACD_Diff,0.5526,1.6184
KAMA_10 + MACD_Momentum_Up,0.5526,1.6184
KAMA_10 + MACD_Momentum_Down,0.5526,1.6184
KAMA_10 + MACD_Bullish_Strong,0.5526,1.6184
KAMA_10 + MACD_Bearish_Strong,0.5526,1.6184
KAMA_10 + MACD_Momentum_Ratio,0.5526,1.6184
KAMA_10 + RSI,0.5526,1.6184
Vol_Ratio + DMA_Momentum_Up,0.5526,1.6146
Vol_Ratio + BIAS_Short_Col,0.5526,1.6146
Vol_Ratio + Bias_Divergence,0.5526,1.6146
Vol_Ratio + DMA,0.5526,1.6146
Vol_Ratio + MA_60,0.5526,1.6146
Vol_Ratio + High_120,0.5526,1.6146
Vol_Ratio + DMA_Bullish,0.5526,1.6146
Vol_Ratio + AMA,0.5526,1.6146
MACD_Golden_Cross + RSI,0.5789,1.6072
Bias_Divergence + DMA_Momentum_Up,0.5526,1.5964
MACD_Bearish_Zone + OBV_MA,0.5789,1.5907
MACD_Bullish_Strong + BIAS_6,0.5526,1.5787
MACD_Bearish_Zone + CCI,0.5789,1.5756
MACD_Bullish_Strong + MA_Long,0.5526,1.5532
MACD_Death_Cross + MA_60,0.5789,1.5321
MACD_Golden_Cross + V_MA20,0.5526,1.5316
MACD_Momentum_Down + Golden_Cross,0.5526,1.5219
MACD_Bearish_Zone + KDJ_K,0.5789,1.5192
DMA_Death_Cross + MA200,0.5526,1.4749
MACD_Momentum_Down + High_120,0.5526,1.4439
Strong_Trend + DMA_Diff,0.5789,1.4315
MACD_Death_Cross + MA20,0.6316,1.328
