eps,gm,prev_rev_yoy,price,pe,advice,est_price,prev_year,rev_yoy,prev_eps_yoy,eps_yoy,name,status,date,expansion,symbol,prev_eps,om
1.48,8.40%,-14.09,39.3499984741,31.733869737177425,⚠️ 追價風險,18.599999999999998,2025,1031.36,275.0,2366.67,映泰,🚀 利潤擴張,2026-03,1335.3100000000002,2399.TW,0.15,-12.67%
0.23,14.61%,-4.5,16.0,31.372549019607842,⚠️ 追價風險,7.65,2025,974.97,50.0,2200.0,永純,🚀 利潤擴張,2026-03,1225.03,4711.TWO,0.15,2.47%
0.17,41.46%,-0.24,9.9899997711,24.365853100243903,⚠️ 追價風險,6.15,2025,142.36,250.0,1300.0,中纖,🚀 利潤擴張,2026-03,1157.6399999999999,1718.TW,0.09,18.72%
0.48,69.49%,49.68,65.0,14.444444444444445,✅ 穩健價值,67.5,2025,120.91,406.67,1275.0,倚強科,🏰 高護城河,2026-03,1154.09,3219.TWO,1.52,-15.39%
0.17,N/A,9.81,49.5499992371,66.95945842851351,⚠️ 追價風險,11.1,2025,536.39,-17.95,1600.0,邑昇,🚀 利潤擴張,2026-03,1063.6100000000001,5291.TWO,0.31,N/A
0.6,68.55%,4.27,56.0999984741,10.726577146099427,💎 強力關注,78.44999999999999,2025,117.67,-6.25,1100.0,星通,🏰 高護城河,2026-03,982.33,3025.TW,3.45,43.45%
27.0,N/A,2.46,265.5,5.9462486002239645,💎 強力關注,669.75,2025,1792.89,110.31,2600.0,十銓,🚀 利潤擴張,2026-03,807.1099999999999,4967.TW,13.06,N/A
0.78,24.10%,21.27,145.0,122.88135593220342,⚠️ 追價風險,17.699999999999996,2025,280.55,46.43,1014.29,所羅門,🚀 利潤擴張,2026-03,733.74,2359.TW,1.23,2.82%
1.64,-78.82%,-40.26,32.3499984741,0.0,⚪ 數據不足,-85.05,2025,496.76,-566.18,1211.11,中化生,🔄 轉虧為盈,2026-03,714.3499999999999,1762.TW,-4.39,-143.69%
7.22,32.33%,8.08,239.0,98.76033057851242,⚠️ 追價風險,36.29999999999999,2025,2018.02,-51.41,2666.67,晶豪科,🚀 利潤擴張,2026-03,648.6500000000001,3006.TW,0.87,20.25%
0.24,17.62%,-10.95,170.0,0.0,⚪ 數據不足,-26.55,2025,510.23,-266.0,1100.0,盟立,🔄 轉虧為盈,2026-03,589.77,2464.TW,-0.84,-3.37%
18.93,61.62%,69.84,282.5,7.219524661385126,💎 強力關注,586.95,2025,1484.6,140.33,2067.82,創見,🏰 高護城河,2026-03,583.2200000000003,2451.TW,12.98,55.59%
2.12,-40.24%,58.31,12.1499996185,6.1989793971938765,💎 強力關注,29.400000000000006,2025,224.53,89.09,806.67,台鋼建設,🔄 轉虧為盈,2026-03,582.14,3521.TWO,-0.07,-147.39%
1.86,20.96%,-44.61,34.4500007629,16.88725527593137,⚪ 中性觀察,30.6,2025,1184.49,-68.84,1763.64,南港,🚀 利潤擴張,2026-03,579.1500000000001,2101.TW,1.01,4.39%
0.2,14.87%,-2.21,38.25,0.0,⚪ 數據不足,-36.6,2025,543.13,-197.14,1100.0,高鋒,🔄 轉虧為盈,2026-03,556.87,4510.TWO,-1.02,-1.97%
0.26,28.61%,-19.66,37.8499984741,36.047617594380945,⚠️ 追價風險,15.75,2025,688.27,-40.68,1200.0,微端,🚀 利潤擴張,2026-03,511.73,3285.TWO,0.7,8.69%
1.64,N/A,20.92,123.0,35.44668587896254,⚠️ 追價風險,52.05,2025,43.25,222.58,530.77,GOGOLOOK,🚀 利潤擴張,2026-03,487.52,6902.TW,1.58,N/A
0.46,N/A,5.06,16.4500007629,0.0,⚪ 數據不足,-7.499999999999999,2025,335.75,74.6,820.0,鑫永洋,🔄 轉虧為盈,2026-03,484.25,6241.TWO,-0.16,N/A
0.22,N/A,-6.1,19.25,32.62711864406779,⚠️ 追價風險,8.850000000000001,2025,727.58,-42.59,1200.0,綠電,🚀 利潤擴張,2026-03,472.41999999999996,8440.TWO,0.31,N/A
1.21,30.54%,-41.11,80.3000030518,0.0,⚪ 數據不足,0.0,2025,-25.82,-1.45,418.92,富田-創,🧐 疑業外收益,2026-03,444.74,4590.TW,2.72,-0.34%
0.25,36.04%,11.66,42.4000015259,36.55172545336207,⚠️ 追價風險,17.400000000000002,2025,187.7,-34.67,600.0,麗正,🚀 利潤擴張,2026-03,412.3,2302.TW,0.49,11.05%
2.25,41.86%,9.55,169.0,62.13235294117648,⚠️ 追價風險,40.8,2025,646.87,576.92,1037.5,華邦電,🚀 利潤擴張,2026-03,390.63,2344.TW,0.88,15.37%
0.41,N/A,28.36,32.8499984741,0.0,⚪ 數據不足,0.0,2025,6.45,5.88,387.5,宏�砦C戲-創,🚀 利潤擴張,2026-03,381.05,6908.TW,1.44,N/A
1.59,N/A,-15.3,83.4000015259,15.330882633437499,✅ 穩健價值,81.60000000000001,2025,359.78,-49.65,715.79,應廣,🚀 利潤擴張,2026-03,356.01,6716.TWO,2.19,N/A
0.24,N/A,9.95,28.0499992371,21.576922490076925,⚪ 中性觀察,19.499999999999996,2025,37.41,207.35,380.0,寶碩,🚀 利潤擴張,2026-03,342.59000000000003,5210.TWO,0.73,N/A
0.99,N/A,25.85,39.7000007629,0.0,⚪ 數據不足,-8.4,2025,750.53,90.52,1090.0,鈺鎧,🔄 轉虧為盈,2026-03,339.47,5228.TWO,-0.2,N/A
1.42,N/A,5.96,71.6999969482,11.620745048330631,💎 強力關注,92.55,2025,179.43,1.73,517.65,亞洲藏壽司,🚀 利潤擴張,2026-03,338.21999999999997,2754.TWO,2.35,N/A
0.13,42.07%,-3.75,84.5,48.01136363636363,⚠️ 追價風險,26.4,2025,237.41,170.59,550.0,旭然,🚀 利潤擴張,2026-03,312.59000000000003,4556.TWO,0.92,14.30%
0.15,30.11%,-5.82,26.1000003815,15.08670542283237,✅ 穩健價值,25.95,2025,343.32,-29.63,650.0,協禧,🚀 利潤擴張,2026-03,306.68,3071.TWO,0.57,7.94%
68.8,N/A,23.29,1845.0,13.195537119153197,✅ 穩健價值,2097.2999999999997,2025,849.86,3.78,1143.3,群聯,🚀 利潤擴張,2026-03,293.43999999999994,8299.TWO,41.98,N/A
0.67,N/A,-14.91,35.0499992371,0.0,⚪ 數據不足,-2.2499999999999996,2025,270.3,-150.59,546.67,慧智,🔄 轉虧為盈,2026-03,276.36999999999995,6615.TWO,-0.43,N/A
0.27,N/A,0.1,48.0,0.0,⚪ 數據不足,-9.150000000000002,2025,371.03,550.0,640.0,康舒,🚀 利潤擴張,2026-03,268.97,6282.TW,0.18,N/A
0.38,N/A,5.03,22.8999996185,0.0,⚪ 數據不足,-20.1,2025,186.87,55.83,445.45,三貝德,🔄 轉虧為盈,2026-03,258.58,8489.TWO,-0.76,N/A
4.49,18.73%,0.89,104.5,13.02992518703242,✅ 穩健價值,120.3,2025,473.51,8050.0,701.79,事欣科,🚀 利潤擴張,2026-03,228.27999999999997,4916.TW,1.77,8.07%
2.97,N/A,-3.15,16.25,5.5272108843537415,💎 強力關注,44.1,2025,292.4,-66.67,518.75,銘旺實,🚀 利潤擴張,2026-03,226.35000000000002,4432.TWO,0.88,N/A
0.45,35.38%,-61.59,9.5900001526,9.78571444142857,💎 強力關注,14.700000000000001,2025,132.31,51.72,350.0,中美實,🚀 利潤擴張,2026-03,217.69,4702.TWO,0.88,-88.29%
3.8,N/A,5.83,150.5,4.57307809176542,💎 強力關注,493.65000000000003,2025,297.67,33.97,512.9,東哥遊艇,🚀 利潤擴張,2026-03,215.22999999999996,8478.TW,13.25,N/A
0.66,13.61%,3.39,35.7999992371,7.005870692191781,💎 強力關注,76.65,2025,713.51,-21.15,925.0,大亞,🚀 利潤擴張,2026-03,211.49,1609.TW,1.65,8.70%
0.47,19.34%,3.55,23.0499992371,0.0,⚪ 數據不足,0.0,2025,26.54,-80.0,213.33,聯嘉投控,🚀 利潤擴張,2026-03,186.79000000000002,3717.TW,0.08,7.12%
0.33,N/A,-10.9,41.8499984741,0.0,⚪ 數據不足,-43.199999999999996,2025,80.73,-280.2,266.67,巨虹,🔄 轉虧為盈,2026-03,185.94,8084.TWO,-1.82,N/A
2.65,30.40%,18.23,53.2000007629,8.484848606523126,💎 強力關注,94.05,2025,542.69,25.64,728.13,東浦,🚀 利潤擴張,2026-03,185.43999999999994,3290.TWO,2.02,14.85%
0.09,N/A,-15.68,16.0,0.0,⚪ 數據不足,-7.95,2025,385.95,-177.27,550.0,同協,🔄 轉虧為盈,2026-03,164.05,5460.TWO,-0.17,N/A
0.53,N/A,32.98,0.0,0.0,⚪ 數據不足,0.0,2025,116.02,1640.0,276.67,未知,🚀 利潤擴張,2026-03,160.65000000000003,4582.TWO,1.54,N/A
0.53,N/A,32.98,28.3500003815,0.0,⚪ 數據不足,0.0,2025,116.02,1640.0,276.67,聚恆-創,🚀 利潤擴張,2026-03,160.65000000000003,4582.TW,1.54,N/A
0.06,10.78%,-2.43,62.5,0.0,⚪ 數據不足,-6.6,2025,542.01,-219.05,700.0,鼎元,🔄 轉虧為盈,2026-03,157.99,2426.TW,-0.25,-2.91%
0.28,56.31%,2.69,42.0,0.0,⚪ 數據不足,-25.049999999999997,2025,108.24,54.55,264.29,圓剛,🔄 轉虧為盈,2026-03,156.05,2417.TW,-0.19,8.42%
0.28,N/A,-4.25,10.6499996185,152.14285169285702,⚠️ 追價風險,1.050000000000001,2025,214.33,-125.22,366.67,成霖,🔄 轉虧為盈,2026-03,152.34,9934.TW,-0.29,N/A
1.1,N/A,7.13,63.0999984741,29.348836499581385,⚠️ 追價風險,32.250000000000014,2025,180.76,-77.02,323.08,六角,🚀 利潤擴張,2026-03,142.32,2732.TWO,1.09,N/A
1.03,N/A,5.8,97.9000015259,15.273011158486739,✅ 穩健價值,96.15,2025,307.94,-38.68,442.11,醫揚,🚀 利潤擴張,2026-03,134.17000000000002,6569.TWO,2.88,N/A
1.57,N/A,17.09,139.0,24.514991181657848,⚠️ 追價風險,85.05,2025,273.28,921.74,406.45,凌華,🚀 利潤擴張,2026-03,133.17000000000002,6166.TW,2.35,N/A
3.44,54.76%,82.29,2160.0,177.04918032786887,⚠️ 追價風險,183.0,2025,515.18,884.75,645.65,聯亞,🏰 高護城河,2026-03,130.47000000000003,3081.TWO,4.66,41.27%
2.21,N/A,-14.96,57.0999984741,4.978203877428073,💎 強力關注,172.05,2025,113.17,-20.59,228.49,奇偶,🚀 利潤擴張,2026-03,115.32000000000001,3356.TW,6.21,N/A
