股號,名稱,現價,漲跌,狀態,原因
2317,鴻海,193.0,-4.00,進入盤整,ADX 17.94 低動能
3702,大聯大,88.0,-1.90,進入盤整,ADX 16.81 低動能
2485,兆赫,78.5,-3.00,進入盤整,ADX 8.64 低動能
2367,燿華,71.5,-3.00,均線糾纏,乖離率 1.46%
4142,國光生,18.9,+0.10,均線糾纏,乖離率 1.12%
0050,元大台灣50,73.95,-1.50,均線糾纏,乖離率 0.73%
0056,元大高股息,37.82,-0.29,均線糾纏,乖離率 0.53%
00635U,期元大S&P黃金,49.34,-0.08,趨勢運行,方向明確
00738U,期元大道瓊白銀,58.55,-2.30,趨勢運行,方向明確
00929,復華台灣科技優息,18.73,-0.27,均線糾纏,乖離率 0.82%
009816,凱基台灣TOP50,10.49,-0.17,均線糾纏,乖離率 0.62%
00990A,主動元大AI新經濟,11.86,+0.05,均線糾纏,乖離率 0.97%
2009,第一銅,39.95,-0.90,均線糾纏,乖離率 1.44%
2337,旺宏,129.0,+2.00,進入盤整,ADX 13.37 低動能
2352,佳世達,23.3,+0.00,均線糾纏,乖離率 0.92%
2409,友達,16.85,+0.90,均線糾纏,乖離率 1.41%
3481,群創,24.65,-0.40,趨勢運行,方向明確
6136,富爾特,24.3,+0.05,均線糾纏,乖離率 0.35%
6806,森崴能源,34.75,-3.85,進入盤整,ADX 16.19 低動能
3105,穩懋,376.0,-0.50,進入盤整,ADX 11.24 低動能
4966,譜瑞-KY,463.5,-9.50,趨勢運行,方向明確
6188,廣明,85.5,-2.90,趨勢運行,方向明確
7792,安葆,309.0,-3.00,均線糾纏,乖離率 1.32%
2327,國巨*,246.0,-5.50,均線糾纏,乖離率 1.31%
