股號,名稱,現價,漲跌幅,建議
2317,鴻海,197.0,0.00%,賣出
3702,大聯大,89.9,0.00%,賣出
2485,兆赫,81.5,0.00%,賣出
2367,燿華,74.1,-0.54%,賣出
4142,國光生,18.8,0.00%,續抱/觀望
0050,元大台灣50,75.45,0.00%,賣出
0056,元大高股息,37.87,-0.63%,賣出
00635U,期元大S&P黃金,49.42,0.00%,賣出
00738U,期元大道瓊白銀,60.85,0.00%,賣出
00929,復華台灣科技優息,19.0,0.00%,賣出
009816,凱基台灣TOP50,10.66,0.00%,賣出
00990A,主動元大AI新經濟,11.81,0.00%,賣出
2009,第一銅,40.85,0.00%,賣出
2337,旺宏,130.0,2.36%,賣出
2352,佳世達,23.3,0.00%,賣出
2409,友達,15.95,0.00%,續抱/觀望
3481,群創,25.05,0.00%,賣出
6136,富爾特,24.3,0.21%,續抱/觀望
6806,森崴能源,38.6,0.00%,賣出
3105,穩懋,391.5,3.98%,買入
4966,譜瑞-KY,473.0,0.00%,賣出
6188,廣明,86.1,-2.60%,賣出
7792,安葆,312.0,0.00%,賣出
2327,國巨*,251.5,0.00%,賣出
