股號,名稱,現價,漲跌幅,建議
2317,鴻海,193.0,-2.03%,賣出
3702,大聯大,88.0,-2.11%,賣出
2485,兆赫,78.5,-3.68%,賣出
2367,燿華,71.5,-4.03%,賣出
4142,國光生,18.9,0.53%,買入
0050,元大台灣50,73.95,-1.99%,賣出
0056,元大高股息,37.82,-0.76%,賣出
00635U,期元大S&P黃金,49.34,-0.16%,賣出
00738U,期元大道瓊白銀,58.55,-3.78%,賣出
00929,復華台灣科技優息,18.73,-1.42%,賣出
009816,凱基台灣TOP50,10.49,-1.59%,賣出
00990A,主動元大AI新經濟,11.86,0.42%,賣出
2009,第一銅,39.95,-2.20%,賣出
2337,旺宏,129.0,1.57%,賣出
2352,佳世達,23.3,0.00%,賣出
2409,友達,16.85,5.64%,續抱/觀望
3481,群創,24.65,-1.60%,賣出
6136,富爾特,24.3,0.21%,續抱/觀望
6806,森崴能源,34.75,-9.97%,賣出
3105,穩懋,376.0,-0.13%,買入
4966,譜瑞-KY,463.5,-2.01%,賣出
6188,廣明,85.5,-3.28%,賣出
7792,安葆,309.0,-0.96%,賣出
2327,國巨*,246.0,-2.19%,賣出
