股號,名稱,現價,漲跌,狀態
2317,鴻海,193.0,-4.00 (-2.03%),進入盤整 -> 趨勢運行
3702,大聯大,88.0,-1.90 (-2.11%),進入盤整 -> 趨勢運行
2485,兆赫,78.5,-3.00 (-3.68%),進入盤整 -> 趨勢運行
2367,燿華,71.5,-3.00 (-4.03%),進入盤整 -> 均線糾撐
4142,國光生,18.9,+0.10 (+0.53%),均線糾撐
0050,元大台灣50,73.95,-1.50 (-1.99%),均線糾撐
0056,元大高股息,37.82,-0.29 (-0.76%),均線糾撐
00635U,期元大S&P黃金,49.34,-0.08 (-0.16%),趨勢運行
00738U,期元大道瓊白銀,58.55,-2.30 (-3.78%),趨勢運行
00929,復華台灣科技優息,18.73,-0.27 (-1.42%),均線糾撐
009816,凱基台灣TOP50,10.49,-0.17 (-1.59%),均線糾撐
00990A,主動元大AI新經濟,11.86,+0.05 (+0.42%),均線糾撐
2009,第一銅,39.95,-0.90 (-2.20%),趨勢運行 -> 均線糾撐
2337,旺宏,129.0,+2.00 (+1.57%),進入盤整 -> 趨勢運行
2352,佳世達,23.3,+0.00 (+0.00%),均線糾撐
2409,友達,16.85,+0.90 (+5.64%),趨勢運行 -> 均線糾撐
3481,群創,24.65,-0.40 (-1.60%),趨勢運行
6136,富爾特,24.3,+0.05 (+0.21%),均線糾撐
6806,森崴能源,34.75,-3.85 (-9.97%),進入盤整 -> 離開盤整 (向下)
3105,穩懋,376.0,-0.50 (-0.13%),進入盤整 -> 趨勢運行
4966,譜瑞-KY,463.5,-9.50 (-2.01%),趨勢運行
6188,廣明,85.5,-2.90 (-3.28%),趨勢運行
7792,安葆,309.0,-3.00 (-0.96%),趨勢運行 -> 均線糾撐
2327,國巨*,246.0,-5.50 (-2.19%),均線糾撐
