     Stock      Name  Score   Close                                    BuyReason
   2356.TW       英業達    6.0   46.25          外資買1091張 | 【EPS連2成長 | 營收爆發(34.84%)】
   8150.TW        南茂    6.0   71.50         外資買28816張 | 【EPS連2成長 | 營收爆發(31.23%)】
   2344.TW       華邦電    6.0  122.50         外資買27413張 | 【EPS連2成長 | 營收爆發(94.16%)】
   2542.TW       興富發    5.5   37.85           ADX轉強 | 【EPS連2成長 | 營收爆發(2480.63%)】
  3205.TWO        佰研    5.5   51.80             ADX轉強 | 【EPS連2成長 | 營收爆發(33.97%)】
   2836.TW       高雄銀    5.5   12.90             外資買2011張 | 【營收爆發(30.58%) | 董監加碼】
  6903.TWO        巨漢    5.5  315.50            ADX轉強 | 【EPS連2成長 | 營收爆發(586.45%)】
  3163.TWO       波若威    5.5  776.00             ADX轉強 | 【EPS連2成長 | 營收爆發(47.89%)】
  4806.TWO      桂田文創    5.5   12.10            ADX轉強 | 【EPS連2成長 | 營收爆發(203.86%)】
   6831.TW        邁科    5.5  290.50             ADX轉強 | 【EPS連2成長 | 營收爆發(72.04%)】
   1525.TW        江申    5.5   63.80             ADX轉強 | 【EPS連2成長 | 營收爆發(36.82%)】
  7751.TWO        竑騰    5.5 1215.00             ADX轉強 | 【EPS連2成長 | 營收爆發(80.57%)】
   2467.TW        志聖    5.5  321.00             ADX轉強 | 【EPS連2成長 | 營收爆發(124.1%)】
  6187.TWO        萬潤    5.5  547.00                    外資買2339張 | ADX轉強 | 【董監加碼】
  6716.TWO        應廣    5.5   96.00            ADX轉強 | 【EPS連2成長 | 營收爆發(230.36%)】
   2204.TW        中華    5.5   59.80             ADX轉強 | 【EPS連2成長 | 營收爆發(47.49%)】
  4542.TWO        科嶠    5.0  161.00                ADX轉強 | 【營收爆發(96.66%) | 董監加碼】
   6669.TW        緯穎    5.0 4000.00                ADX轉強 | 【營收爆發(121.9%) | 董監加碼】
   2323.TW        中環    5.0   11.25                  外資買4045張 | 【EPS連2成長 | 董監加碼】
  3526.TWO        凡甲    5.0  295.50                ADX轉強 | 【營收爆發(50.91%) | 董監加碼】
   2363.TW        矽統    4.5   54.80                   外資買1441張 | 【營收爆發(171.58%)】
   3711.TW     日月光投控    4.5  387.50                             外資買7761張 | ADX轉強
  00919.TW  群益台灣精選高息    4.5   24.60                            外資買48940張 | ADX轉強
   2887.TW     台新新光金    4.5   25.60                  外資買22250張 | 【營收爆發(117.67%)】
   6139.TW        亞翔    4.5  585.00                    外資買2224張 | 【營收爆發(87.64%)】
