日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-06-30,2317,鴻海,246.5,241.21,2000,10580,2.19%
2026-06-30,4142,國光生,17.5,25.32,1000,-7820,-30.88%
2026-06-30,0050,元大台灣50,104.45,46.6,16000,925600,124.14%
2026-06-30,0056,元大高股息,51.45,36.43,4000,60080,41.23%
2026-06-30,00635U,期元大S&P黃金,41.9,55.25,3000,-40050,-24.16%
2026-06-30,00738U,期元大道瓊白銀,46.82,66.26,1000,-19440,-29.34%
2026-06-30,00929,復華台灣科技優息,29.96,19.73,8000,81840,51.85%
2026-06-30,009816,凱基台灣TOP50,15.0,11.01,63000,251370,36.24%
2026-06-30,00990A,主動元大AI新經濟,19.9,11.48,5000,42100,73.34%
2026-06-30,2009,第一銅,37.95,50.56,4000,-50440,-24.94%
2026-06-30,2337,旺宏,158.5,95.28,2000,126440,66.35%
2026-06-30,2409,友達,30.6,16.21,2000,28780,88.77%
2026-06-30,3481,群創,67.0,25.1,4000,167600,166.93%
2026-06-30,6806,森崴能源,3.51,45.39,5000,-209400,-92.27%
2026-06-30,3105,穩懋,412.0,556.47,300,-43341,-25.96%
2026-06-30,4966,譜瑞-KY,631.0,1921.64,1000,-1290640,-67.16%
2026-06-30,2327,國巨*,1040.0,1030.0,1,10,0.97%
2026-06-30,00403A,主動統一升級50,10.56,10.68,26000,-3120,-1.12%
2026-06-30,00981A,主動統一台股增長,29.91,27.48,2000,4860,8.84%
2026-06-30,2330,台積電,2370.0,225.55,10,21444,950.76%
2026-06-30,6789,采鈺,497.5,593.5,400,-38400,-16.18%
2026-06-30,6849,奇鼎科技,132.5,266.4,280,-37492,-50.26%
2026-06-30,7853,政美應用,324.5,409.29,280,-23741,-20.72%
2026-06-30,3576,聯合再生,16.8,18.15,5000,-6750,-7.44%
2026-06-30,1721,三晃,23.1,27.88,3000,-14350,-17.15%
2026-06-30,8215,明基材,28.9,31.6,200,-540,-8.54%
2026-06-30,00405A,主動富邦台灣龍耀,8.9,9.34,11000,-4840,-4.71%
2026-06-30,5498,凱崴,58.2,69.61,188,-2145,-16.39%
2026-06-30,1301,台塑,52.7,50.5,100,220,4.36%
2026-06-30,6498,久禾光,91.8,67.3,12,294,36.40%
2026-06-30,009821,野村稀土關鍵資源,14.23,17.3,12000,-36840,-17.75%
