date,eps_yoy,gm,prev_eps_yoy,rev_yoy,eps,prev_year,symbol,name,price,expansion,om,pe,status,est_price,prev_rev_yoy,advice,prev_eps
2026-03,530.77,N/A,222.58,43.25,1.64,2025,6902.TW,GOGOLOOK,128.5,487.52,N/A,37.03170028818444,🚀 利潤擴張,52.05,20.92,⚠️ 追價風險,1.58
2026-03,820.0,N/A,74.6,335.75,0.46,2025,6241.TWO,鑫永洋,14.8500003815,484.25,N/A,0.0,🔄 轉虧為盈,-7.499999999999999,5.06,⚪ 數據不足,-0.16
2026-03,1200.0,N/A,-42.59,727.58,0.22,2025,8440.TWO,綠電,21.6499996185,472.41999999999996,N/A,36.69491460762711,🚀 利潤擴張,8.850000000000001,-6.1,⚠️ 追價風險,0.31
2026-03,418.92,30.54%,-1.45,-25.82,1.21,2025,4590.TW,富田-創,79.0,444.74,-0.34%,0.0,🧐 疑業外收益,0.0,-41.11,⚪ 數據不足,2.72
2026-03,600.0,36.04%,-34.67,187.7,0.25,2025,2302.TW,麗正,47.8499984741,412.3,11.05%,41.24999868456896,🚀 利潤擴張,17.400000000000002,11.66,⚠️ 追價風險,0.49
2026-03,1037.5,41.86%,576.92,646.87,2.25,2025,2344.TW,華邦電,207.5,390.63,15.37%,76.28676470588236,🚀 利潤擴張,40.8,9.55,⚠️ 追價風險,0.88
2026-03,387.5,N/A,5.88,6.45,0.41,2025,6908.TW,宏�砦C戲-創,37.4000015259,381.05,N/A,0.0,🚀 利潤擴張,0.0,28.36,⚪ 數據不足,1.44
2026-03,715.79,N/A,-49.65,359.78,1.59,2025,6716.TWO,應廣,92.8000030518,356.01,N/A,17.05882409040441,🚀 利潤擴張,81.60000000000001,-15.3,⚪ 中性觀察,2.19
2026-03,380.0,N/A,207.35,37.41,0.24,2025,5210.TWO,寶碩,28.4500007629,342.59000000000003,N/A,21.884615971461542,🚀 利潤擴張,19.499999999999996,9.95,⚪ 中性觀察,0.73
2026-03,1090.0,N/A,90.52,750.53,0.99,2025,5228.TWO,鈺鎧,67.1999969482,339.47,N/A,0.0,🔄 轉虧為盈,-8.4,25.85,⚪ 數據不足,-0.2
2026-03,517.65,N/A,1.73,179.43,1.42,2025,2754.TWO,亞洲藏壽司,68.5999984741,338.21999999999997,N/A,11.118314177325772,🚀 利潤擴張,92.55,5.96,💎 強力關注,2.35
2026-03,550.0,42.07%,170.59,237.41,0.13,2025,4556.TWO,旭然,72.5999984741,312.59000000000003,14.30%,41.249999133011364,🚀 利潤擴張,26.4,-3.75,⚠️ 追價風險,0.92
2026-03,650.0,30.11%,-29.63,343.32,0.15,2025,3071.TWO,協禧,32.2000007629,306.68,7.94%,18.61271720398844,🚀 利潤擴張,25.95,-5.82,⚪ 中性觀察,0.57
2026-03,1143.3,N/A,3.78,849.86,68.8,2025,8299.TWO,群聯,2385.0,293.43999999999994,N/A,17.057645544271207,🚀 利潤擴張,2097.2999999999997,23.29,⚪ 中性觀察,41.98
2026-03,546.67,N/A,-150.59,270.3,0.67,2025,6615.TWO,慧智,36.25,276.36999999999995,N/A,0.0,🔄 轉虧為盈,-2.2499999999999996,-14.91,⚪ 數據不足,-0.43
2026-03,640.0,N/A,550.0,371.03,0.27,2025,6282.TW,康舒,58.2000007629,268.97,N/A,0.0,🚀 利潤擴張,-9.150000000000002,0.1,⚪ 數據不足,0.18
2026-03,445.45,N/A,55.83,186.87,0.38,2025,8489.TWO,三貝德,21.7000007629,258.58,N/A,0.0,🔄 轉虧為盈,-20.1,5.03,⚪ 數據不足,-0.76
2026-03,701.79,18.73%,8050.0,473.51,4.49,2025,4916.TW,事欣科,102.5,228.27999999999997,8.07%,12.780548628428928,🚀 利潤擴張,120.3,0.89,✅ 穩健價值,1.77
2026-03,518.75,N/A,-66.67,292.4,2.97,2025,4432.TWO,銘旺實,15.3999996185,226.35000000000002,N/A,5.238095108333334,🚀 利潤擴張,44.1,-3.15,💎 強力關注,0.88
2026-03,350.0,35.38%,51.72,132.31,0.45,2025,4702.TWO,中美實,10.1000003815,217.69,-88.29%,10.306122838265305,🚀 利潤擴張,14.700000000000001,-61.59,💎 強力關注,0.88
