prev_eps,status,pe,eps_yoy,rev_yoy,expansion,date,prev_rev_yoy,name,price,eps,gm,om,est_price,advice,prev_year,prev_eps_yoy,symbol
1.58,🚀 利潤擴張,40.345821325648416,530.77,43.25,487.52,2026-03,20.92,GOGOLOOK,140.0,1.64,N/A,N/A,52.05,⚠️ 追價風險,2025,222.58,6902.TW
-0.16,🔄 轉虧為盈,0.0,820.0,335.75,484.25,2026-03,5.06,鑫永洋,14.9499998093,0.46,N/A,N/A,-7.499999999999999,⚪ 數據不足,2025,74.6,6241.TWO
0.31,🚀 利潤擴張,36.186441324576265,1200.0,727.58,472.41999999999996,2026-03,-6.1,綠電,21.3500003815,0.22,N/A,N/A,8.850000000000001,⚠️ 追價風險,2025,-42.59,8440.TWO
2.72,🧐 疑業外收益,0.0,418.92,-25.82,444.74,2026-03,-41.11,富田-創,88.0,1.21,30.54%,-0.34%,0.0,⚪ 數據不足,2025,-1.45,4590.TW
0.49,🚀 利潤擴張,47.7586220050862,600.0,187.7,412.3,2026-03,11.66,麗正,55.4000015259,0.25,36.04%,11.05%,17.400000000000002,⚠️ 追價風險,2025,-34.67,2302.TW
0.88,🚀 利潤擴張,67.46323529411765,1037.5,646.87,390.63,2026-03,9.55,華邦電,183.5,2.25,41.86%,15.37%,40.8,⚠️ 追價風險,2025,576.92,2344.TW
1.44,🚀 利潤擴張,0.0,387.5,6.45,381.05,2026-03,28.36,宏�砦C戲-創,37.4500007629,0.41,N/A,N/A,0.0,⚪ 數據不足,2025,5.88,6908.TW
2.19,🚀 利潤擴張,17.72058851579044,715.79,359.78,356.01,2026-03,-15.3,應廣,96.4000015259,1.59,N/A,N/A,81.60000000000001,⚪ 中性觀察,2025,-49.65,6716.TWO
0.73,🚀 利潤擴張,23.07692307692308,380.0,37.41,342.59000000000003,2026-03,9.95,寶碩,30.0,0.24,N/A,N/A,19.499999999999996,⚠️ 追價風險,2025,207.35,5210.TWO
-0.2,🔄 轉虧為盈,0.0,1090.0,750.53,339.47,2026-03,25.85,鈺鎧,67.6999969482,0.99,N/A,N/A,-8.4,⚪ 數據不足,2025,90.52,5228.TWO
2.35,🚀 利潤擴張,11.134521385445705,517.65,179.43,338.21999999999997,2026-03,5.96,亞洲藏壽司,68.6999969482,1.42,N/A,N/A,92.55,💎 強力關注,2025,1.73,2754.TWO
0.92,🚀 利潤擴張,45.79545367846591,550.0,237.41,312.59000000000003,2026-03,-3.75,旭然,80.5999984741,0.13,42.07%,14.30%,26.4,⚠️ 追價風險,2025,170.59,4556.TWO
0.57,🚀 利潤擴張,18.497109826589597,650.0,343.32,306.68,2026-03,-5.82,協禧,32.0,0.15,30.11%,7.94%,25.95,⚪ 中性觀察,2025,-29.63,3071.TWO
41.98,🚀 利潤擴張,16.020597911600632,1143.3,849.86,293.43999999999994,2026-03,23.29,群聯,2240.0,68.8,N/A,N/A,2097.2999999999997,⚪ 中性觀察,2025,3.78,8299.TWO
-0.43,🔄 轉虧為盈,0.0,546.67,270.3,276.36999999999995,2026-03,-14.91,慧智,36.9500007629,0.67,N/A,N/A,-2.2499999999999996,⚪ 數據不足,2025,-150.59,6615.TWO
0.18,🚀 利潤擴張,0.0,640.0,371.03,268.97,2026-03,0.1,康舒,58.0999984741,0.27,N/A,N/A,-9.150000000000002,⚪ 數據不足,2025,550.0,6282.TW
-0.76,🔄 轉虧為盈,0.0,445.45,186.87,258.58,2026-03,5.03,三貝德,21.75,0.38,N/A,N/A,-20.1,⚪ 數據不足,2025,55.83,8489.TWO
1.77,🚀 利潤擴張,14.33915211970075,701.79,473.51,228.27999999999997,2026-03,0.89,事欣科,115.0,4.49,18.73%,8.07%,120.3,✅ 穩健價值,2025,8050.0,4916.TW
0.88,🚀 利潤擴張,5.476190605952381,518.75,292.4,226.35000000000002,2026-03,-3.15,銘旺實,16.1000003815,2.97,N/A,N/A,44.1,💎 強力關注,2025,-66.67,4432.TWO
0.88,🚀 利潤擴張,10.357142467857143,350.0,132.31,217.69,2026-03,-61.59,中美實,10.1499996185,0.45,35.38%,-88.29%,14.700000000000001,💎 強力關注,2025,51.72,4702.TWO
13.25,🚀 利潤擴張,4.679428745062291,512.9,297.67,215.22999999999996,2026-03,5.83,東哥遊艇,154.0,3.8,N/A,N/A,493.65000000000003,💎 強力關注,2025,33.97,8478.TW
1.65,🚀 利潤擴張,7.465753723268102,925.0,713.51,211.49,2026-03,3.39,大亞,38.1500015259,0.66,13.61%,8.70%,76.65,💎 強力關注,2025,-21.15,1609.TW
0.08,🚀 利潤擴張,0.0,213.33,26.54,186.79000000000002,2026-03,3.55,聯嘉投控,28.5499992371,0.47,19.34%,7.12%,0.0,⚪ 數據不足,2025,-80.0,3717.TW
-1.82,🔄 轉虧為盈,0.0,266.67,80.73,185.94,2026-03,-10.9,巨虹,49.0499992371,0.33,N/A,N/A,-43.199999999999996,⚪ 數據不足,2025,-280.2,8084.TWO
2.02,🚀 利潤擴張,11.196171762073366,728.13,542.69,185.43999999999994,2026-03,18.23,東浦,70.1999969482,2.65,30.40%,14.85%,94.05,💎 強力關注,2025,25.64,3290.TWO
-0.17,🔄 轉虧為盈,0.0,550.0,385.95,164.05,2026-03,-15.68,同協,18.9500007629,0.09,N/A,N/A,-7.95,⚪ 數據不足,2025,-177.27,5460.TWO
1.54,🚀 利潤擴張,0.0,276.67,116.02,160.65000000000003,2026-03,32.98,未知,26.7999992371,0.53,N/A,N/A,0.0,⚪ 數據不足,2025,1640.0,4582.TWO
1.54,🚀 利潤擴張,0.0,276.67,116.02,160.65000000000003,2026-03,32.98,聚恆-創,26.7999992371,0.53,N/A,N/A,0.0,⚪ 數據不足,2025,1640.0,4582.TW
-0.25,🔄 轉虧為盈,0.0,700.0,542.01,157.99,2026-03,-2.43,鼎元,74.8000030518,0.06,10.78%,-2.91%,-6.6,⚪ 數據不足,2025,-219.05,2426.TW
-0.19,🔄 轉虧為盈,0.0,264.29,108.24,156.05,2026-03,2.69,圓剛,48.0499992371,0.28,56.31%,8.42%,-25.049999999999997,⚪ 數據不足,2025,54.55,2417.TW
-0.29,🔄 轉虧為盈,144.28571973571414,366.67,214.33,152.34,2026-03,-4.25,成霖,10.1000003815,0.28,N/A,N/A,1.050000000000001,⚠️ 追價風險,2025,-125.22,9934.TW
1.09,🚀 利潤擴張,30.232558139534873,323.08,180.76,142.32,2026-03,7.13,六角,65.0,1.1,N/A,N/A,32.250000000000014,⚠️ 追價風險,2025,-77.02,2732.TWO
2.88,🚀 利潤擴張,16.302652106084242,442.11,307.94,134.17000000000002,2026-03,5.8,醫揚,104.5,1.03,N/A,N/A,96.15,⚪ 中性觀察,2025,-38.68,6569.TWO
2.35,🚀 利潤擴張,23.80952380952381,406.45,273.28,133.17000000000002,2026-03,17.09,凌華,135.0,1.57,N/A,N/A,85.05,⚠️ 追價風險,2025,921.74,6166.TW
4.66,🏰 高護城河,159.01639344262296,645.65,515.18,130.47000000000003,2026-03,82.29,聯亞,1940.0,3.44,54.76%,41.27%,183.0,⚠️ 追價風險,2025,884.75,3081.TWO
6.21,🚀 利潤擴張,5.344376568186574,228.49,113.17,115.32000000000001,2026-03,-14.96,奇偶,61.2999992371,2.21,N/A,N/A,172.05,💎 強力關注,2025,-20.59,3356.TW
0.33,🚀 利潤擴張,0.0,383.33,268.59,114.74000000000001,2026-03,-4.81,美達科技,88.1999969482,0.29,N/A,N/A,-7.200000000000001,⚪ 數據不足,2025,-84.51,6735.TWO
-1.63,🏰 高護城河,0.0,87.5,-21.56,109.06,2026-03,-7.78,益航,5.4600000381,-0.02,102.69%,-12.62%,-33.6,⚪ 數據不足,2025,-365.71,2601.TW
1.73,🚀 利潤擴張,56.36094674556213,270.0,161.56,108.44,2026-03,-5.33,暉盛-創,190.5,0.37,N/A,N/A,50.699999999999996,⚠️ 追價風險,2025,-45.51,7730.TW
2.15,🚀 利潤擴張,0.0,163.46,67.27,96.19000000000001,2026-03,-16.81,麗嬰房,7.5199999809,0.66,N/A,N/A,-40.05,⚪ 數據不足,2025,152.83,2911.TW
0.43,🏰 高護城河,32.29885101321839,150.0,57.36,92.64,2026-03,-7.4,網龍,28.1000003815,0.3,87.57%,12.73%,13.05,⚠️ 追價風險,2025,-46.91,3083.TWO
1.39,🚀 利潤擴張,13.434343948114478,1080.0,990.52,89.48000000000002,2026-03,14.16,青松健康,39.9000015259,0.49,N/A,N/A,44.550000000000004,✅ 穩健價值,2025,104.41,6931.TW
-0.84,🔄 轉虧為盈,0.0,575.0,486.21,88.79000000000002,2026-03,-18.58,宏佳騰,23.5,0.28,16.92%,-21.33%,-24.299999999999994,⚪ 數據不足,2025,-169.49,1599.TWO
-0.61,🔄 轉虧為盈,0.0,166.67,81.97,84.69999999999999,2026-03,0.19,中裕,63.7000007629,0.06,28.91%,-58.34%,-18.3,⚪ 數據不足,2025,17.57,4147.TWO
2.41,🚀 利潤擴張,6.794478410598161,186.6,102.97,83.63,2026-03,-14.02,昭輝,44.2999992371,2.78,33.66%,13.17%,97.8,💎 強力關注,2025,-51.9,1339.TW
3.02,🚀 利潤擴張,13.956043397106226,392.86,309.82,83.04000000000002,2026-03,15.32,偉詮電,76.1999969482,0.7,30.84%,3.76%,81.9,✅ 穩健價值,2025,78.06,2436.TW
1.11,🚀 利潤擴張,32.50825082508251,178.26,97.11,81.14999999999999,2026-03,-8.83,威鋒電子,98.5,0.64,N/A,N/A,45.449999999999996,⚠️ 追價風險,2025,-50.67,6756.TW
1.97,🏰 高護城河,15.788461245019233,136.36,62.07,74.29000000000002,2026-03,2.09,宇峻,82.0999984741,2.34,89.44%,20.17%,77.99999999999999,✅ 穩健價值,2025,-64.44,3546.TWO
-1.49,🚀 利潤擴張,0.0,99.93,26.64,73.29,2026-03,22.72,奧義賽博-KY創,79.0,-0.15,N/A,N/A,0.0,⚪ 數據不足,2025,96.29,7823.TW
-2.43,🌑 雙重衰退,0.0,-25.93,-97.71,71.78,2026-03,19.25,昱泉,14.75,-0.68,N/A,N/A,-96.44999999999999,⚪ 數據不足,2025,-99.18,6169.TWO
0.14,🚀 利潤擴張,0.0,650.0,578.38,71.62,2026-03,0.63,冠好,16.2999992371,0.3,N/A,N/A,-17.549999999999997,⚪ 數據不足,2025,-91.14,8354.TWO
2.76,🚀 利潤擴張,14.400000321242103,386.11,315.9,70.21000000000004,2026-03,22.56,台聯電,68.4000015259,1.75,25.49%,0.20%,71.25,✅ 穩健價值,2025,-5.15,4905.TWO
6.33,🚀 利潤擴張,0.0,121.74,51.84,69.89999999999999,2026-03,76.4,創新服務,2320.0,1.02,N/A,N/A,0.0,⚪ 數據不足,2025,44.08,7828.TWO
0.63,🏰 高護城河,9.673202739019608,127.27,58.58,68.69,2026-03,4.6,國票金,14.8000001907,0.25,90.85%,38.94%,22.95,💎 強力關注,2025,3.28,2889.TW
