代號,名稱,現價,當日外資(張),當日投信(張),當日自營(張),Date,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
5351.TWO,鈺創,83.7,-4906,10,6,20260702,-29759,0,0,N/A,-10.48%,🚨 外資提款
1590.TW,亞德客-KY,1390.0,-33,1,-1,20260702,109,0,0,N/A,0.00%,🚨 外資提款
6609.TWO,瀧澤科,41.9,75,0,1,20260702,-49,0,0,N/A,3.08%,🚨 外資提款
4305.TWO,世坤,42.55,0,0,5,20260702,0,0,0,N/A,3.58%,🚨 外資提款
6415.TW,矽力*-KY,624.0,63,-412,-7,20260702,-3367,0,0,N/A,1.46%,🚨 外資提款
6270.TWO,倍微,37.1,-66,0,1,20260702,-1189,0,0,N/A,-12.71%,🚨 外資提款
8345.TWO,超秦,51.8,0,0,0,20260702,0,0,0,N/A,-2.26%,🚨 外資提款
2910.TW,統領,22.55,6,0,0,20260702,0,0,0,N/A,-0.66%,🚨 外資提款
7703.TWO,銳澤,202.0,-22,0,1,20260702,390,0,0,N/A,-5.39%,🚨 外資提款
1623.TW,大東電,211.0,218,0,-235,20260702,-9,0,0,N/A,-1.40%,🚨 外資提款
3694.TW,海華,64.5,876,0,4,20260702,280,0,0,N/A,10.07%,🚨 外資提款
7867.TWO,特力屋,55.2,0,0,0,20260702,0,0,0,N/A,-0.54%,🚨 外資提款
4148.TW,全宇生技-KY,30.5,2,0,2,20260702,1,0,0,N/A,0.16%,🚨 外資提款
3652.TW,精聯,37.9,31,0,0,20260702,-758,0,0,N/A,-7.90%,🚨 外資提款
2360.TW,致茂,2210.0,19,137,-14,20260702,1168,0,0,N/A,1.14%,🚨 外資提款
7752.TWO,世紀樺欣,32.85,0,0,0,20260702,0,0,0,N/A,-4.92%,🚨 外資提款
7902.TWO,宇越生醫*,38.65,0,0,0,20260702,0,0,0,N/A,20.78%,🚨 外資提款
2851.TW,中再保,37.4,972,0,3,20260702,-3031,0,0,N/A,3.40%,🚨 外資提款
5468.TWO,凱鈺,33.6,27,0,0,20260702,526,0,0,N/A,12.00%,🚨 外資提款
2887I.TW,台新新光辛特,9.46,-3589,0,0,20260702,2664,0,0,N/A,0.42%,🚨 外資提款
00725B.TWO,國泰投資級公司債,35.63,712,0,2093,20260702,-486,0,0,N/A,-0.81%,🚨 外資提款
1789.TW,神隆,20.3,-79,0,5,20260702,-36,0,0,N/A,-1.22%,🚨 外資提款
5538.TW,東明-KY,33.0,7,0,0,20260702,0,0,0,N/A,0.15%,🚨 外資提款
4169.TW,泰宗,202.0,-28,0,-10,20260702,27,0,0,N/A,5.76%,🚨 外資提款
7507.TWO,環拓科技,20.5,0,0,0,20260702,0,0,0,N/A,-3.30%,🚨 外資提款
2537.TW,聯上發,10.8,-63,0,0,20260702,400,0,0,N/A,-2.70%,🚨 外資提款
2404.TW,漢唐,1385.0,-435,-300,36,20260702,1131,0,0,N/A,1.47%,🚨 外資提款
6279.TWO,胡連,119.0,36,-2,0,20260702,25,0,0,N/A,0.00%,🚨 外資提款
4430.TWO,耀億,17.2,-1,0,0,20260702,0,0,0,N/A,-1.15%,🚨 外資提款
6411.TWO,晶焱,102.0,-180,0,2,20260702,5812,0,0,N/A,0.00%,🚨 外資提款
6244.TWO,茂迪,26.9,-906,0,-34,20260702,-4972,0,0,N/A,-2.36%,🚨 外資提款
00968B.TWO,元大優息投等債,9.35,1179,0,1760,20260702,989,0,0,N/A,-0.64%,🚨 外資提款
2348.TW,海悅,71.8,49,0,-1,20260702,-534,0,0,N/A,0.98%,🚨 外資提款
