prev_eps,prev_eps_yoy,eps,advice,price,est_price,date,pe,name,status,prev_rev_yoy,symbol,expansion,om,rev_yoy,gm,eps_yoy,prev_year
1.26,916.67,1.69,💎 強力關注,29.6499996185,68.4,2025-12,6.502192898793859,同亨,🚀 利潤擴張,13.03,5490.TWO,370.34000000000003,N/A,12.01,N/A,382.35,2025
0.02,103.23,0.55,💎 強力關注,16.8999996185,42.0,2025-12,6.035714149464287,新天地,🧐 疑業外收益,-10.3,8940.TW,364.75,N/A,-6.42,N/A,358.33,2025
1.65,179.66,1.52,⚪ 中性觀察,79.0,59.699999999999996,2025-12,19.84924623115578,倚強科,🏰 高護城河,43.11,3219.TWO,356.99,-15.39%,49.68,69.49%,406.67,2025
0.52,185.25,0.9,💎 強力關注,29.25,38.1,2025-12,11.515748031496063,友達,🚀 利潤擴張,-0.15,2409.TW,327.09,-2.70%,0.41,10.73%,327.5,2025
7.71,114.76,7.73,💎 強力關注,90.8000030518,321.90000000000003,2025-12,4.231127821612302,冠星-KY,🚀 利潤擴張,30.37,4439.TW,316.98,0.97%,29.26,15.60%,346.24,2025
-0.11,-222.22,0.15,⚪ 數據不足,49.75,-2.7000000000000006,2025-12,0.0,映泰,🔄 轉虧為盈,-14.04,2399.TW,289.09,-12.67%,-14.09,8.40%,275.0,2025
7.88,352.24,7.21,💎 強力關注,47.7000007629,359.25,2025-12,1.9916493011649268,宏達電,🧐 疑業外收益,-0.73,2498.TW,281.70000000000005,-79.17%,-5.85,34.44%,275.85,2025
4.81,-18.34,4.01,💎 強力關注,68.5999984741,194.10000000000002,2025-12,5.301390917627511,美利達,🧐 疑業外收益,-8.55,9914.TW,281.08,N/A,-9.71,N/A,271.37,2025
3.02,410.34,4.02,💎 強力關注,49.0999984741,153.3,2025-12,4.804305134452054,浪凡,🚀 利潤擴張,12.63,6165.TW,275.27,N/A,12.97,N/A,288.24,2025
1.26,447.83,2.01,⚠️ 追價風險,229.0,65.55,2025-12,52.40274599542334,大銀微系統,🚀 利潤擴張,19.84,4576.TW,273.68,13.23%,20.44,38.42%,294.12,2025
0.98,230.67,0.25,⚪ 數據不足,45.0,-8.100000000000001,2025-12,0.0,冠西電,🧐 疑業外收益,-6.66,2466.TW,255.45000000000002,-53.06%,-14.27,-4.21%,241.18,2025
4.75,241.94,5.5,💎 強力關注,38.7999992371,174.45,2025-12,3.3361994184952715,華榮,🚀 利潤擴張,-0.36,1608.TW,254.79,6.96%,0.02,9.17%,254.81,2025
0.19,-11.76,0.09,⚠️ 追價風險,9.6800003052,3.9000000000000004,2025-12,37.230770404615384,中纖,🧐 疑業外收益,4.96,1718.TW,250.24,18.72%,-0.24,41.46%,250.0,2025
1.48,180.87,1.91,⚪ 中性觀察,98.4000015259,68.25,2025-12,21.626373961736263,有成精密,🧐 疑業外收益,-1.75,4949.TW,241.22,N/A,-0.48,N/A,240.74,2025
-0.9,10.89,1.74,⚪ 數據不足,20.2999992371,-2.4000000000000004,2025-12,0.0,三地開發,🔄 轉虧為盈,-98.23,1438.TW,229.07999999999998,25.89%,7.93,29.82%,237.01,2025
-0.9,15.89,3.41,💎 強力關注,13.8500003815,22.050000000000004,2025-12,9.4217689670068,怡華,🔄 轉虧為盈,-26.31,1456.TW,227.67000000000002,248.16%,-20.46,46.73%,207.21,2025
0.47,-50.0,1.74,⚠️ 追價風險,66.5999984741,31.349999999999998,2025-12,31.866027978038282,晶相光,🚀 利潤擴張,-5.41,3530.TW,224.23000000000002,14.09%,6.6,31.94%,230.83,2025
0.33,94.12,0.21,⚪ 中性觀察,20.2999992371,14.399999999999999,2025-12,21.145832538645834,允強,🧐 疑業外收益,-4.98,2034.TW,213.63,-1.87%,-13.63,5.45%,200.0,2025
1.43,237.21,1.72,💎 強力關注,20.5499992371,83.1,2025-12,3.709386143880866,松瑞藥,🧐 疑業外收益,-6.23,4167.TWO,204.79,9.56%,-1.28,30.12%,203.51,2025
1.0,400.0,2.51,💎 強力關注,35.7000007629,66.44999999999999,2025-12,8.058690917133182,皇將,🚀 利潤擴張,14.04,4744.TWO,203.79,14.38%,12.21,42.43%,216.0,2025
0.23,119.47,1.58,⚠️ 追價風險,144.0,31.349999999999998,2025-12,68.89952153110049,GOGOLOOK,🚀 利潤擴張,20.7,6902.TW,201.66000000000003,N/A,20.92,N/A,222.58,2025
10.81,260.07,13.38,💎 強力關注,160.0,468.90000000000003,2025-12,5.1183621241202815,楠梓電,🚀 利潤擴張,8.72,2316.TW,200.22,-7.46%,12.25,5.71%,212.47,2025
0.31,150.0,0.7,⚠️ 追價風險,36.6500015259,20.249999999999996,2025-12,27.14814927844445,金穎生技,🚀 利潤擴張,36.52,1796.TWO,199.70999999999998,10.64%,29.92,31.84%,229.63,2025
1.18,76.12,1.58,⚪ 中性觀察,69.9000015259,51.15,2025-12,20.498534171818182,東研信超,🚀 利潤擴張,5.51,6840.TWO,197.42,N/A,8.46,N/A,205.88,2025
0.55,219.57,0.51,⚠️ 追價風險,21.4500007629,7.2,2025-12,44.687501589374996,雲嘉南,🧐 疑業外收益,-1.51,3191.TWO,197.22,-10.81%,-7.75,29.43%,189.47,2025
1.14,153.27,2.01,⚪ 中性觀察,67.8000030518,60.59999999999999,2025-12,16.782178973217828,益登,🚀 利潤擴張,5.31,3048.TW,193.66,1.71%,2.05,3.50%,195.71,2025
0.62,191.04,0.76,⚠️ 追價風險,57.4000015259,34.199999999999996,2025-12,25.175439265745617,盛群,🚀 利潤擴張,31.27,6202.TW,191.41,N/A,22.23,N/A,213.64,2025
-0.25,62.12,0.41,⚪ 數據不足,52.7000007629,-9.6,2025-12,0.0,環科,🔄 轉虧為盈,8.02,2413.TW,189.66,3.38%,3.52,17.05%,193.18,2025
0.1,-70.59,0.04,⚠️ 追價風險,21.5,0.30000000000000027,2025-12,1074.999999999999,川飛,🧐 疑業外收益,-90.58,1516.TW,187.65,-14.33%,-87.0,5.36%,100.65,2025
1.2,-3.23,1.82,✅ 穩健價值,47.7000007629,56.25,2025-12,12.72000020344,邁達特,🚀 利潤擴張,20.56,6112.TW,184.49,N/A,18.84,N/A,203.33,2025
-0.04,97.79,1.14,⚪ 中性觀察,16.1000003815,11.099999999999998,2025-12,21.7567572722973,臺龍,🔄 轉虧為盈,11.15,6246.TWO,179.8,N/A,6.56,N/A,186.36,2025
2.44,39.43,3.67,💎 強力關注,53.0999984741,102.89999999999999,2025-12,7.7405245589067055,台耀,🚀 利潤擴張,4.96,4746.TW,177.61,21.37%,2.54,41.59%,180.15,2025
7.31,314.37,6.42,💎 強力關注,28.0499992371,163.5,2025-12,2.5733944254220185,三一東林,🚀 利潤擴張,27.17,3609.TWO,177.55,-11.23%,70.72,8.05%,248.27,2025
1.61,228.8,1.23,✅ 穩健價值,16.6499996185,20.7,2025-12,12.065217114855074,虹揚-KY,🧐 疑業外收益,-11.95,6573.TW,176.83,N/A,-13.43,N/A,163.4,2025
4.25,89.73,6.58,⚪ 中性觀察,234.5,213.00000000000003,2025-12,16.514084507042252,力智,🚀 利潤擴張,22.77,6719.TW,174.75,N/A,23.89,N/A,198.64,2025
0.91,275.0,0.47,⚠️ 追價風險,75.1999969482,29.999999999999996,2025-12,37.599998474100005,九豪,🧐 疑業外收益,-0.97,6127.TWO,174.57,N/A,-1.13,N/A,173.44,2025
0.49,172.22,0.92,⚠️ 追價風險,43.4500007629,24.750000000000004,2025-12,26.333333795696966,旭然,🧐 疑業外收益,-8.55,4556.TWO,174.34,14.30%,-3.75,42.07%,170.59,2025
0.09,175.0,0.53,⚪ 中性觀察,14.4499998093,13.5,2025-12,16.055555343666665,亞都,🚀 利潤擴張,4.04,5703.TWO,173.32999999999998,N/A,5.62,N/A,178.95,2025
0.49,190.57,0.92,⚠️ 追價風險,84.6999969482,22.800000000000004,2025-12,55.72368220276314,今國光,🚀 利潤擴張,39.08,6209.TW,172.01999999999998,N/A,50.65,N/A,222.67,2025
0.81,1700.0,0.89,⚠️ 追價風險,58.0999984741,33.150000000000006,2025-12,26.2895920697285,長佳智能,🚀 利潤擴張,2.1,6841.TWO,171.64000000000001,N/A,12.23,N/A,183.87,2025
1.75,3.33,5.45,⚠️ 追價風險,1730.0,107.1,2025-12,242.296918767507,聯友金屬-創,🚀 利潤擴張,-4.54,7610.TW,166.18,N/A,27.9,N/A,194.08,2025
0.24,155.81,0.37,⚠️ 追價風險,30.0499992371,10.35,2025-12,43.55072353202899,吉茂,🚀 利潤擴張,19.92,1587.TW,164.99,2.96%,23.11,18.05%,188.1,2025
0.16,300.0,0.22,⚠️ 追價風險,274.5,4.65,2025-12,885.483870967742,一詮,🚀 利潤擴張,13.26,2486.TW,164.91,1.35%,10.09,15.86%,175.0,2025
1.13,47.95,6.34,⚪ 數據不足,0.0,0.0,2025-12,0.0,富威電力,🚀 利潤擴張,21.0,6994.TW,164.37,N/A,164.5,N/A,328.87,2025
17.41,241.37,18.83,💎 強力關注,97.6999969482,693.9,2025-12,2.1119757230479896,寬宏藝術,🚀 利潤擴張,97.52,6596.TWO,164.31,N/A,78.68,N/A,242.99,2025
-0.24,-271.43,0.68,⚪ 數據不足,63.9000015259,-11.25,2025-12,0.0,方土昶,🔄 轉虧為盈,25.19,6265.TWO,160.96,N/A,62.85,N/A,223.81,2025
9.52,280.8,13.74,✅ 穩健價值,366.0,435.15,2025-12,12.616339193381593,高技,🚀 利潤擴張,130.37,5439.TWO,160.61999999999998,N/A,130.83,N/A,291.45,2025
-0.13,23.53,-0.09,⚪ 數據不足,21.9500007629,-4.95,2025-12,0.0,森寶,🧐 疑業外收益,-54.34,3489.TWO,159.73000000000002,3.61%,-69.84,10.14%,89.89,2025
2.61,271.05,1.81,💎 強力關注,44.0499992371,106.8,2025-12,6.186797645660112,東台,🧐 疑業外收益,-1.22,4526.TW,157.18,-21.47%,-6.62,7.66%,150.56,2025
2.19,219.44,1.86,💎 強力關注,29.1499996185,91.05,2025-12,4.802306362191104,新鉅科,🚀 利潤擴張,18.28,3630.TWO,153.81,-22.27%,19.21,4.18%,173.02,2025
3.24,203.85,1.57,💎 強力關注,44.5,189.75000000000003,2025-12,3.5177865612648214,安格,🧐 疑業外收益,-15.66,6684.TWO,152.56,N/A,-15.36,N/A,137.2,2025
-0.24,77.78,-0.55,⚪ 數據不足,25.7000007629,-13.5,2025-12,0.0,台新藥,🧐 疑業外收益,-95.44,6838.TW,152.03,N/A,-93.38,N/A,58.65,2025
-0.22,-1000.0,0.06,⚪ 數據不足,9.029999733,-5.8500000000000005,2025-12,0.0,太景*-KY,🔄 轉虧為盈,-79.84,4157.TWO,147.76,81.17%,72.24,98.33%,220.0,2025
-0.1,54.55,0.13,⚠️ 追價風險,18.1000003815,2.4,2025-12,113.125002384375,海灣,🔄 轉虧為盈,-4.86,3252.TWO,145.65,22.84%,-3.71,43.11%,141.94,2025
1.25,292.31,1.7,⚪ 中性觀察,82.5999984741,67.05000000000001,2025-12,18.478746862214763,精確,🚀 利潤擴張,89.71,3162.TWO,143.77999999999997,1.68%,65.48,11.59%,209.26,2025
2.56,55.15,2.71,✅ 穩健價值,87.5999984741,107.1,2025-12,12.268907349313727,TPK-KY,🧐 疑業外收益,-8.66,3673.TW,142.39000000000001,-0.68%,-8.77,5.83%,133.62,2025
