股號,名稱,現價,漲跌幅,建議
2317,鴻海,200.0,0.00%,賣出
3702,大聯大,91.3,0.00%,賣出
2485,兆赫,69.9,0.00%,賣出
2367,燿華,77.5,0.00%,續抱/觀望
4142,國光生,18.2,0.00%,賣出
0050,元大台灣50,80.5,1.71%,續抱/觀望
0056,元大高股息,39.49,1.05%,續抱/觀望
00635U,期元大S&P黃金,50.1,0.66%,續抱/觀望
00738U,期元大道瓊白銀,60.25,0.00%,賣出
00929,復華台灣科技優息,19.65,0.00%,續抱/觀望
009816,凱基台灣TOP50,11.38,1.70%,續抱/觀望
00990A,主動元大AI新經濟,13.51,0.00%,買入
2009,第一銅,39.9,0.00%,賣出
2337,旺宏,142.0,0.00%,賣出
2352,佳世達,24.35,0.00%,續抱/觀望
2409,友達,18.75,0.00%,買入
3481,群創,26.95,0.00%,續抱/觀望
6136,富爾特,24.2,0.00%,續抱/觀望
6806,森崴能源,25.4,0.00%,賣出
3105,穩懋,436.0,0.00%,續抱/觀望
4966,譜瑞-KY,501.0,0.00%,續抱/觀望
6188,廣明,87.6,0.00%,賣出
7792,安葆,345.0,0.00%,續抱/觀望
2327,國巨*,281.5,0.00%,續抱/觀望
