代碼,名稱,現價,幅度,狀態,RSI,ADX,+DI,-DI,量(張),10MA量,診斷
2317,鴻海,200.5,+0.25%,WAIT,45.9,39.7,24.1,32.2,55674,47773,✅流|❌OBV|❌量|❌DMI|❌紅
3702,大聯大,91.5,+0.22%,WAIT,46.8,45.6,20.0,19.3,12803,14507,✅流|❌OBV|❌量|✅DMI|❌紅
2485,兆赫,73.5,+5.15%,WAIT,41.5,43.9,10.1,29.1,40137,23533,✅流|❌OBV|✅量|❌DMI|✅紅
2367,燿華,75.0,-3.23%,WAIT,54.4,15.0,16.3,13.5,110742,157078,✅流|❌OBV|❌量|❌DMI|❌紅
4142,國光生,18.35,+0.82%,WAIT,56.0,38.8,23.5,13.6,956,1445,✅流|❌OBV|❌量|✅DMI|❌紅
0050,元大台灣50,80.75,+2.02%,WAIT,62.5,16.5,35.1,26.4,114919,131848,✅流|❌OBV|❌量|❌DMI|✅紅
0056,元大高股息,39.41,+0.84%,WAIT,54.5,15.3,33.4,28.3,48460,75042,✅流|❌OBV|❌量|❌DMI|✅紅
00635U,期元大S&P黃金,50.1,+0.66%,WAIT,45.4,43.4,37.8,42.5,3219,6748,✅流|❌OBV|❌量|❌DMI|❌紅
00738U,期元大道瓊白銀,61.7,+2.41%,WAIT,49.8,38.4,32.8,40.4,5568,8766,✅流|❌OBV|❌量|❌DMI|✅紅
00929,復華台灣科技優息,20.01,+1.83%,WAIT,51.5,19.9,21.9,31.7,72789,32271,✅流|❌OBV|✅量|❌DMI|✅紅
009816,凱基台灣TOP50,11.4,+1.88%,WAIT,60.4,13.4,34.9,23.2,257270,209865,✅流|❌OBV|❌量|❌DMI|✅紅
00990A,主動元大AI新經濟,14.01,+3.70%,WAIT,65.4,14.2,45.2,23.4,56622,40554,✅流|✅OBV|✅量|❌DMI|✅紅
2009,第一銅,40.5,+1.50%,WAIT,43.9,44.6,6.3,22.1,1130,1225,✅流|❌OBV|❌量|❌DMI|✅紅
2337,旺宏,146.0,+2.82%,WAIT,45.0,39.3,26.0,26.3,196522,57148,✅流|❌OBV|✅量|❌DMI|❌紅
2352,佳世達,24.05,-1.23%,WAIT,47.2,23.9,21.3,24.3,3912,4042,✅流|❌OBV|❌量|❌DMI|❌紅
2409,友達,18.15,-3.20%,WAIT,64.3,15.8,36.4,15.3,837376,336971,✅流|❌OBV|✅量|❌DMI|❌紅
3481,群創,26.0,-3.53%,WAIT,44.5,26.4,17.9,23.5,389920,304766,✅流|❌OBV|❌量|❌DMI|❌紅
6136,富爾特,24.4,+0.83%,WAIT,60.4,19.3,40.5,17.7,274,178,❌流|✅OBV|✅量|❌DMI|✅紅
6806,森崴能源,22.9,-9.84%,WAIT,11.9,60.5,6.3,64.8,929,1398,✅流|❌OBV|❌量|❌DMI|❌紅
3105,穩懋,464.0,+6.42%,WAIT,69.7,45.1,36.2,8.3,47262,47247,✅流|✅OBV|❌量|✅DMI|✅紅
4966,譜瑞-KY,533.0,+6.39%,🔥 SIGNAL,62.6,27.9,27.9,13.8,1856,737,✅流|✅OBV|✅量|✅DMI|✅紅
6188,廣明,87.5,-0.11%,WAIT,32.7,27.1,7.2,35.8,1823,1250,✅流|❌OBV|✅量|❌DMI|❌紅
7792,安葆,359.0,+4.06%,WAIT,63.6,50.8,24.6,11.6,721,321,❌流|✅OBV|✅量|✅DMI|✅紅
2327,國巨*,285.0,+1.24%,WAIT,54.7,11.1,24.7,26.3,31436,18357,✅流|❌OBV|✅量|❌DMI|❌紅
