代碼,名稱,現價,漲跌,狀態
2317,鴻海,200.5,+0.25%,WAIT
3702,大聯大,91.5,+0.22%,WAIT
2485,兆赫,73.5,+5.15%,WAIT
2367,燿華,75.0,-3.23%,WAIT
4142,國光生,18.35,+0.82%,WAIT
0050,元大台灣50,80.75,+2.02%,WAIT
0056,元大高股息,39.41,+0.84%,WAIT
00635U,期元大S&P黃金,50.1,+0.66%,WAIT
00738U,期元大道瓊白銀,61.7,+2.41%,WAIT
00929,復華台灣科技優息,20.01,+1.83%,WAIT
009816,凱基台灣TOP50,11.4,+1.88%,WAIT
00990A,主動元大AI新經濟,14.01,+3.70%,WAIT
2009,第一銅,40.5,+1.50%,WAIT
2337,旺宏,146.0,+2.82%,WAIT
2352,佳世達,24.05,-1.23%,WAIT
2409,友達,18.15,-3.20%,WAIT
3481,群創,26.0,-3.53%,WAIT
6136,富爾特,24.4,+0.83%,WAIT
6806,森崴能源,22.9,-9.84%,WAIT
3105,穩懋,464.0,+6.42%,WAIT
4966,譜瑞-KY,533.0,+6.39%,SIGNAL
6188,廣明,87.5,-0.11%,WAIT
7792,安葆,359.0,+4.06%,WAIT
2327,國巨*,285.0,+1.24%,WAIT
