股號,名稱,現價,漲跌幅,建議
2317,鴻海,200.5,0.25%,賣出
3702,大聯大,91.5,0.22%,賣出
2485,兆赫,73.5,5.15%,賣出
2367,燿華,75.0,-3.23%,賣出
4142,國光生,18.35,0.82%,賣出
0050,元大台灣50,80.75,2.02%,續抱/觀望
0056,元大高股息,39.41,0.84%,續抱/觀望
00635U,期元大S&P黃金,50.1,0.66%,續抱/觀望
00738U,期元大道瓊白銀,61.7,2.41%,續抱/觀望
00929,復華台灣科技優息,20.01,1.83%,續抱/觀望
009816,凱基台灣TOP50,11.4,1.88%,買入
00990A,主動元大AI新經濟,14.01,3.70%,買入
2009,第一銅,40.5,1.50%,賣出
2337,旺宏,146.0,2.82%,續抱/觀望
2352,佳世達,24.05,-1.23%,續抱/觀望
2409,友達,18.15,-3.20%,買入
3481,群創,26.0,-3.53%,賣出
6136,富爾特,24.4,0.83%,買入
6806,森崴能源,22.9,-9.84%,賣出
3105,穩懋,464.0,6.42%,買入
4966,譜瑞-KY,533.0,6.39%,買入
6188,廣明,87.5,-0.11%,賣出
7792,安葆,359.0,4.06%,買入
2327,國巨*,285.0,1.24%,續抱/觀望
