日期,代碼,名稱,收盤價,漲跌幅%,成交量(張),MJ狀態,J線值,MACD柱狀體
2026-04-10,6188.TWO,廣明,87.5,-0.11,1858,🔥 MJ強勢攻擊,41.39,0.14
2026-04-10,2485.TW,兆赫,73.5,5.15,40502,💧 築底觀察,5.01,-3.53
2026-04-10,6806.TW,森崴能源,22.9,-9.84,955,💧 築底觀察,-7.76,-2.66
2026-04-10,3105.TWO,穩懋,464.0,6.42,47973,⚠️ 超買警示,97.44,13.94
2026-04-10,4966.TWO,譜瑞-KY,533.0,6.39,1924,⚠️ 超買警示,111.41,12.14
2026-04-10,7792.TWO,安葆,359.0,4.06,748,⚠️ 超買警示,99.95,11.52
2026-04-10,00990A.TW,主動元大AI新經濟,14.01,3.7,56751,⚠️ 超買警示,118.33,0.39
2026-04-10,00738U.TW,期元大道瓊白銀,61.7,2.41,5658,⚠️ 超買警示,96.13,1.47
2026-04-10,0050.TW,元大台灣50,80.75,2.02,120237,⚠️ 超買警示,117.35,1.29
2026-04-10,009816.TW,凱基台灣TOP50,11.4,1.88,258466,⚠️ 超買警示,117.44,0.18
2026-04-10,00929.TW,復華台灣科技優息,20.01,1.83,73192,⚠️ 超買警示,111.82,0.18
2026-04-10,2327.TW,國巨*,285.0,1.24,32377,⚠️ 超買警示,111.06,7.26
2026-04-10,0056.TW,元大高股息,39.41,0.84,49684,⚠️ 超買警示,113.76,0.29
2026-04-10,00635U.TW,期元大S&P黃金,50.1,0.66,3331,⚠️ 超買警示,98.5,0.75
2026-04-10,2317.TW,鴻海,200.5,0.25,56681,⚠️ 超買警示,98.0,2.85
2026-04-10,2352.TW,佳世達,24.05,-1.23,3974,⚠️ 超買警示,95.14,0.24
2026-04-10,2409.TW,友達,18.15,-3.2,838524,⚠️ 超買警示,99.79,0.69
