正在分析 1684 檔標的...
     Stock  Best_Period  Win_Rate%  Total_Return%    MDD%  Sharpe  Trades Status Action
   1436.TW          240      34.62         226.05  -18.19    4.63      26   ☁ 觀望     持有
   3026.TW           60      26.76         225.85  -75.04    1.72      71   📈 持有 觀察/可賣出
   3168.TW          240      43.75         224.94   -7.98    8.11      16   ☁ 觀望     持有
   3706.TW           10      36.70         224.73  -32.91    2.30     188   📈 持有     持有
   3036.TW          120      34.88         224.66  -24.93    3.81      43   📈 持有     持有
  1569.TWO          240      31.25         224.58  -43.25    3.07      32   ☁ 觀望     持有
  6535.TWO          240      36.36         223.93 -104.51    1.49      44   ☁ 觀望 觀察/可賣出
  8938.TWO          120      39.47         223.55  -23.38    3.60      38   📈 持有     持有
  6617.TWO          240      28.57         223.39  -26.83    3.84      14   ☁ 觀望 觀察/可賣出
  3689.TWO           10      39.08         223.06  -34.24    2.43     174   📈 持有     持有
   2236.TW          240      27.59         222.42  -29.07    2.93      29   📈 持有 觀察/可賣出
   3014.TW           60      31.25         222.23  -30.11    2.42      80   📈 持有     持有
   6176.TW          120      37.50         222.13  -24.10    3.30      40   ☁ 觀望     持有
  8087.TWO          240      33.33         221.48  -55.15    1.92      48   ☁ 觀望 觀察/可賣出
   5292.TW          120      31.25         221.34  -23.60    4.33      32   📈 持有     持有
   2369.TW          120      30.77         221.04  -72.30    3.12      39   📈 持有 觀察/可賣出
   3588.TW          120      22.03         220.94 -118.42    1.18      59   📈 持有 觀察/可賣出
   3708.TW           60      33.73         219.91  -69.67    2.04      83   📈 持有 觀察/可賣出
   6024.TW          120      24.39         218.58  -21.76    3.88      41   📈 持有 觀察/可賣出
   2020.TW          240      36.84         218.31  -13.56    4.55      19   📈 持有     持有
  4749.TWO           10      44.93         218.13  -23.25    3.69      69   ☁ 觀望     持有
  4908.TWO           20      44.68         215.59  -52.29    2.29     141   📈 持有 觀察/可賣出
  6683.TWO            5      35.26         215.18  -54.65    1.59     190   📈 持有 觀察/可賣出
  5474.TWO          120      33.87         214.75  -41.81    2.55      62   ☁ 觀望     持有
   2027.TW          240      21.21         214.23  -34.01    2.41      33   ☁ 觀望 觀察/可賣出
  6190.TWO          120      32.79         214.11  -48.75    2.78      61   📈 持有     持有
  5483.TWO           20      39.20         214.08  -25.55    2.68     125   📈 持有     持有
  3444.TWO          240      45.00         213.94  -15.96    6.22      20   📈 持有     持有
  6182.TWO           60      36.00         213.64  -52.48    2.30      75   📈 持有 觀察/可賣出
   2387.TW          240      28.00         212.83  -37.68    2.88      25   ☁ 觀望 觀察/可賣出
  4534.TWO          120      22.92         212.80  -65.35    2.25      48   📈 持有 觀察/可賣出
  8171.TWO          240      21.05         212.34  -85.55    1.49      38   ☁ 觀望 觀察/可賣出
   3025.TW          240      30.00         210.87  -29.34    2.48      40   📈 持有 觀察/可賣出
  5371.TWO           20      31.62         210.33  -37.64    2.35     136   ☁ 觀望     持有
  6679.TWO          240      22.22         210.30   -8.74    5.55       9   📈 持有 觀察/可賣出
   2455.TW           20      36.64         209.93  -41.84    2.17     131   📈 持有     持有
   6805.TW           20      36.00         209.66  -19.72    4.75      25   ☁ 觀望     持有
  8097.TWO          240      40.38         209.51 -146.36    1.65      52   ☁ 觀望 觀察/可賣出
  6517.TWO          240      23.08         208.33  -58.41    3.50      13   ☁ 觀望 觀察/可賣出
  6441.TWO          120      38.89         208.00  -45.54    2.60      36   ☁ 觀望     持有
   3018.TW           60      29.41         207.99 -166.80    1.22      68   ☁ 觀望 觀察/可賣出
  3152.TWO          120      32.56         207.63  -55.77    3.35      43   📈 持有 觀察/可賣出
  6026.TWO           60      44.83         207.62  -32.13    3.48      58   📈 持有     持有
   4583.TW          240       7.14         206.10  -23.66    3.72      14   📈 持有 觀察/可賣出
  4950.TWO          120      42.31         205.31  -55.28    3.65      26   📈 持有 觀察/可賣出
  6547.TWO           60      21.52         204.99 -148.30    1.23      79   📈 持有 觀察/可賣出
  8927.TWO          240      20.00         204.44  -25.83    4.07      30   ☁ 觀望 觀察/可賣出
   3135.TW           20      34.00         203.43  -31.36    2.06      50   ☁ 觀望     持有
   2428.TW          240      41.18         203.31  -20.58    3.85      34   📈 持有     持有
  6716.TWO          240      44.44         203.22  -32.56    4.99       9   📈 持有     持有
   2360.TW           60      33.80         203.20 -103.76    3.08      71   📈 持有 觀察/可賣出
  6425.TWO           10      29.22         202.90  -86.34    0.92     219   📈 持有 觀察/可賣出
   2022.TW          120      28.95         202.59  -44.57    2.40      38   📈 持有 觀察/可賣出
  4939.TWO          120      17.07         202.13  -60.81    2.54      41   📈 持有 觀察/可賣出
  8088.TWO          120      26.92         201.78  -68.80    2.36      52   📈 持有 觀察/可賣出
  5452.TWO           10      32.97         201.68  -64.97    1.18     185   ☁ 觀望 觀察/可賣出
  4303.TWO          240      32.14         201.23 -128.85    1.86      28   ☁ 觀望 觀察/可賣出
  6290.TWO           20      33.09         200.86  -89.93    1.99     139   ☁ 觀望 觀察/可賣出
   2108.TW          240      43.48         200.71  -17.99    4.95      23   ☁ 觀望     持有
  6629.TWO           60      33.33         199.22  -27.60    2.50      45   ☁ 觀望     持有
   2338.TW          240      34.78         198.38  -60.15    2.34      46   📈 持有 觀察/可賣出
   2301.TW          240      26.67         197.90  -20.58    2.60      45   📈 持有 觀察/可賣出
   4919.TW          240      41.94         197.63  -28.35    3.59      31   📈 持有     持有
   1313.TW          120      40.00         196.54  -24.58    3.46      35   📈 持有     持有
  8064.TWO          120      32.14         196.47  -48.62    2.06      56   📈 持有     持有
   3413.TW           20      36.43         196.23  -65.38    2.01     140   📈 持有 觀察/可賣出
   1305.TW          240      45.45         196.11  -29.43    4.10      22   📈 持有     持有
  6693.TWO          120      37.93         196.07  -19.39    3.19      29   📈 持有     持有
  4129.TWO          240      29.03         195.80  -45.67    2.45      31   📈 持有 觀察/可賣出
   9802.TW           60      27.50         195.72  -98.61    1.81      80   ☁ 觀望 觀察/可賣出
   4935.TW          240      33.33         195.67  -52.51    2.78      27   ☁ 觀望 觀察/可賣出
  6101.TWO            5      40.46         195.35  -55.62    1.43     304   📈 持有 觀察/可賣出
  8048.TWO          120      27.50         195.26  -24.04    3.30      40   📈 持有 觀察/可賣出
  6148.TWO           20      30.95         195.25  -64.91    1.23     126   ☁ 觀望 觀察/可賣出
  3178.TWO          240      36.84         195.13  -34.44    3.86      38   📈 持有     持有
  8027.TWO          240      43.48         194.51  -32.59    4.03      23   📈 持有     持有
  8279.TWO          240      27.59         194.33  -41.47    2.69      29   ☁ 觀望 觀察/可賣出
  5523.TWO          240      32.14         194.11  -20.12    3.15      28   📈 持有     持有
   3712.TW           20      26.19         194.01  -54.40    1.45      84   ☁ 觀望 觀察/可賣出
   1471.TW          120      30.19         193.69  -47.96    2.39      53   📈 持有     持有
   8105.TW           10      30.89         193.17  -37.16    1.20     191   📈 持有     持有
 00670L.TW          120      40.00         192.93  -44.68    4.38      25   ☁ 觀望     持有
  6788.TWO           60      29.41         192.62  -45.81    3.20      34   ☁ 觀望 觀察/可賣出
  4138.TWO          240      23.53         191.97  -47.44    2.12      34   ☁ 觀望 觀察/可賣出
   6278.TW          240      25.49         191.44  -80.86    1.37      51   📈 持有 觀察/可賣出
  6462.TWO           20      34.78         191.21  -99.80    1.10     138   ☁ 觀望 觀察/可賣出
   3617.TW           60      32.53         191.07  -44.76    2.43      83   ☁ 觀望     持有
  7751.TWO           10      35.71         190.48  -38.74    4.79      28   📈 持有     持有
   6695.TW          120      31.03         190.27  -42.66    2.87      29   ☁ 觀望     持有
   6197.TW           10      40.66         190.11  -33.72    2.48     182   📈 持有     持有
  6596.TWO          240      35.00         189.15  -28.30    3.18      20   📈 持有     持有
   2453.TW          240      38.64         189.08  -52.48    3.02      44   ☁ 觀望 觀察/可賣出
  2755.TWO          120      37.93         189.00  -34.00    2.53      29   📈 持有     持有
   6533.TW          120      23.53         188.82 -102.38    1.57      51   ☁ 觀望 觀察/可賣出
   1909.TW          240      23.81         188.52  -35.03    3.18      21   📈 持有 觀察/可賣出
  6220.TWO           60      26.09         188.24  -97.91    1.31      69   📈 持有 觀察/可賣出
   3596.TW          120      29.73         187.63  -28.17    3.84      37   ☁ 觀望 觀察/可賣出
  8472.TWO          240      39.13         187.42  -25.95    4.15      23   📈 持有     持有
  6170.TWO          120      31.51         187.06  -48.28    2.03      73   ☁ 觀望     持有
   6239.TW          120      35.71         186.98  -19.57    3.20      56   📈 持有     持有
   2211.TW          120      53.85         186.94   -4.32    6.76      13   📈 持有     持有
   1616.TW           60      30.14         186.85  -46.67    2.81      73   ☁ 觀望     持有
  3687.TWO          240      30.00         186.73  -52.70    2.61      30   ☁ 觀望 觀察/可賣出
   3543.TW          120      39.13         186.58  -20.15    3.85      69   📈 持有     持有
  3236.TWO          240      32.56         184.31  -83.73    1.59      43   📈 持有 觀察/可賣出
   1587.TW           20      28.47         184.18  -67.13    1.20     144   ☁ 觀望 觀察/可賣出
  6233.TWO          240      15.15         183.79 -132.21    1.59      33   📈 持有 觀察/可賣出
   2611.TW           60      22.39         183.48  -45.72    2.27      67   📈 持有 觀察/可賣出
   6230.TW          240      21.21         182.92  -50.55    2.50      33   📈 持有 觀察/可賣出
  3265.TWO          120      38.46         182.68  -65.02    2.30      52   📈 持有 觀察/可賣出
  6983.TWO           10      31.03         182.28  -37.06    3.18      58   ☁ 觀望     持有
   1907.TW          240      25.00         182.27  -33.27    2.37      32   ☁ 觀望 觀察/可賣出
   2308.TW           60      32.94         182.09  -31.97    2.75      85   📈 持有     持有
   2535.TW          120      40.74         181.84   -7.68    8.33      27   📈 持有     持有
   2429.TW           60      25.00         181.82 -137.33    1.15     104   ☁ 觀望 觀察/可賣出
  3555.TWO           60      33.01         181.76 -132.57    1.24     103   📈 持有 觀察/可賣出
  3374.TWO          240      45.00         181.64  -23.35    4.12      20   📈 持有     持有
  4933.TWO          120      38.64         181.37  -26.13    3.55      44   📈 持有     持有
   5906.TW          240      45.71         181.02  -61.58    2.58      35   📈 持有 觀察/可賣出
  6895.TWO           60      43.75         180.82  -12.99    6.06      16   ☁ 觀望     持有
  3625.TWO           60      31.51         180.71  -84.04    1.53      73   ☁ 觀望 觀察/可賣出
  6727.TWO           10      28.97         180.20  -42.00    2.01     107   📈 持有 觀察/可賣出
  6151.TWO           60      32.69         179.87  -21.40    2.77      52   📈 持有     持有
  8096.TWO          240      34.04         179.72  -93.45    1.64      47   📈 持有 觀察/可賣出
   2436.TW          240      31.43         179.63  -29.09    2.17      35   📈 持有     持有
   2468.TW          240      36.54         179.49  -31.86    2.26      52   ☁ 觀望     持有
   3189.TW          120      20.31         179.12  -89.72    1.81      64   📈 持有 觀察/可賣出
   6753.TW          120      37.50         178.87  -25.55    6.66      16   ☁ 觀望     持有
   8438.TW          120      16.28         178.27  -33.99    2.62      43   📈 持有 觀察/可賣出
   2478.TW           60      31.33         177.64  -40.63    1.66      83   📈 持有     持有
  3508.TWO           20      32.06         176.54 -103.01    1.15     131   ☁ 觀望 觀察/可賣出
  6163.TWO          120      31.25         176.42  -58.75    1.59      64   📈 持有 觀察/可賣出
  6664.TWO           60      34.09         176.06  -23.56    2.95      44   📈 持有     持有
   2881.TW          120      35.48         175.85  -19.47    4.47      31   📈 持有     持有
   3665.TW          120      35.38         175.71  -40.73    3.26      65   📈 持有     持有
  3629.TWO            5      32.37         175.37 -109.39    0.77     312   ☁ 觀望 觀察/可賣出
   2618.TW          120      31.11         174.99  -32.47    3.77      45   ☁ 觀望     持有
  6761.TWO          120      37.04         174.31  -26.58    3.10      27   📈 持有     持有
   8271.TW          120      31.25         174.26  -19.85    3.16      48   📈 持有     持有
   2388.TW          240      40.00         174.19  -54.89    3.60      25   ☁ 觀望 觀察/可賣出
   2614.TW          240      41.67         174.04  -20.88    4.95      12   📈 持有     持有
  3071.TWO          240      41.18         174.00  -22.59    3.03      34   📈 持有     持有
  5015.TWO          120      39.47         173.55  -13.08    3.75      38   ☁ 觀望     持有
  8093.TWO           20      31.62         173.47  -61.79    1.07     136   📈 持有 觀察/可賣出
   2206.TW          240      30.19         173.25  -39.98    1.90      53   ☁ 觀望     持有
  3624.TWO           60      30.11         172.74  -50.21    1.92      93   ☁ 觀望 觀察/可賣出
  5493.TWO          120      26.76         172.60  -27.49    2.45      71   📈 持有 觀察/可賣出
   3092.TW          240      35.56         172.56  -45.05    2.04      45   📈 持有     持有
  6613.TWO          240      22.86         172.11  -30.89    2.30      35   📈 持有 觀察/可賣出
   9939.TW          240      35.71         171.95  -12.86    3.54      42   ☁ 觀望     持有
   2441.TW          120      38.46         171.08  -33.25    3.35      39   📈 持有     持有
   3686.TW           20      27.15         170.55 -110.77    0.55     151   ☁ 觀望 觀察/可賣出
   3048.TW           20      33.10         170.54  -43.61    1.76     142   📈 持有     持有
   1438.TW          240      26.47         170.41  -30.17    3.42      34   ☁ 觀望 觀察/可賣出
   2413.TW           10      27.08         170.08  -55.89    1.09     192   ☁ 觀望 觀察/可賣出
  6207.TWO           20      38.97         169.89  -47.86    1.81     136   📈 持有     持有
  6419.TWO          240      28.00         169.72 -100.80    2.45      25   📈 持有 觀察/可賣出
   3044.TW          120      34.48         169.02  -36.55    2.67      58   📈 持有     持有
   1455.TW           20      31.06         168.81  -55.95    1.39     132   ☁ 觀望 觀察/可賣出
   8261.TW          240      25.81         168.59  -76.65    1.18      62   📈 持有 觀察/可賣出
  3234.TWO           20      29.17         167.89 -101.63    1.41     144   📈 持有 觀察/可賣出
  3551.TWO           10      34.43         167.84  -80.60    1.79     212   ☁ 觀望 觀察/可賣出
  2072.TWO           60      34.29         167.75  -53.07    2.17      35   ☁ 觀望 觀察/可賣出
   6770.TW          120      12.50         167.24  -62.52    2.86      16   📈 持有 觀察/可賣出
   4148.TW           20      31.40         167.15  -50.96    2.40      86   📈 持有 觀察/可賣出
   4571.TW          240      37.50         167.14  -13.23    4.87      16   📈 持有     持有
   4989.TW          120      27.45         166.99  -98.62    1.94      51   📈 持有 觀察/可賣出
   2233.TW          240      42.22         166.95  -22.61    3.12      45   📈 持有     持有
   6706.TW          120      35.71         166.21  -61.46    3.32      28   📈 持有 觀察/可賣出
  4973.TWO          120      29.63         166.17  -56.52    2.91      54   📈 持有 觀察/可賣出
  3541.TWO           10      39.66         166.16  -42.22    2.01     179   ☁ 觀望     持有
   9941.TW          120      25.42         166.07  -34.01    2.32      59   ☁ 觀望 觀察/可賣出
   1736.TW          240      34.48         165.37  -34.87    2.98      29   ☁ 觀望     持有
  8390.TWO          120      36.96         165.28  -32.17    3.60      46   📈 持有     持有
   8081.TW           60      32.53         165.09  -44.45    2.06      83   📈 持有     持有
  6530.TWO          240      42.42         164.83  -30.59    2.82      33   📈 持有     持有
   3528.TW          240      27.78         164.53  -22.99    5.17      18   📈 持有 觀察/可賣出
   5871.TW          240      34.29         164.01  -40.19    3.19      35   ☁ 觀望     持有
  6667.TWO          240      36.84         163.75  -38.91    4.12      19   📈 持有     持有
   2316.TW          240      31.25         163.72  -35.61    4.34      32   📈 持有     持有
   1303.TW          120      28.57         163.44  -26.04    3.25      42   📈 持有 觀察/可賣出
   6116.TW          120      22.86         163.42  -33.37    3.07      35   📈 持有 觀察/可賣出
   2375.TW           60      29.11         163.23 -116.52    1.43      79   ☁ 觀望 觀察/可賣出
  8147.TWO           20      37.09         163.17  -46.45    1.78     151   📈 持有     持有
  6126.TWO          240      40.00         163.07  -30.34    3.14      35   📈 持有     持有
  6175.TWO           10      37.85         163.06  -46.63    1.63     214   📈 持有     持有
   3694.TW           20      39.86         162.31  -55.08    1.71     138   📈 持有 觀察/可賣出
   4934.TW          240      29.41         162.28  -65.74    1.75      34   📈 持有 觀察/可賣出
  4417.TWO          120      23.91         162.05  -11.08    3.53      46   📈 持有 觀察/可賣出
  8401.TWO          240      21.43         161.48  -20.90    3.87      28   ☁ 觀望 觀察/可賣出
  3064.TWO           10      31.93         161.08 -106.13    0.67     238   ☁ 觀望 觀察/可賣出
  6208.TWO          240      32.35         161.06  -37.56    2.92      34   📈 持有     持有
   6781.TW           20      40.00         160.77  -20.84    3.01      45   ☁ 觀望     持有
   1414.TW          240      29.79         160.56  -19.82    2.15      47   ☁ 觀望 觀察/可賣出
   3015.TW          240      40.91         160.51  -17.54    3.77      22   📈 持有     持有
   5471.TW          240      19.44         160.45  -43.59    1.85      36   📈 持有 觀察/可賣出
   6412.TW          240      32.14         160.27  -20.72    4.70      28   ☁ 觀望     持有
  8034.TWO          120      30.00         158.76  -83.97    2.86      40   📈 持有 觀察/可賣出
  3570.TWO          240      36.84         158.72  -37.79    2.22      57   ☁ 觀望     持有
   3338.TW          240      19.23         158.06  -46.95    2.74      26   📈 持有 觀察/可賣出
  8059.TWO           60      30.77         157.90  -95.24    1.34      65   ☁ 觀望 觀察/可賣出
  3171.TWO          120      34.62         157.58  -23.75    3.15      52   📈 持有     持有
   7799.TW           10      18.75         157.51  -39.46    4.23      16   ☁ 觀望 觀察/可賣出
   3481.TW           10      30.69         157.43  -74.39    1.58     202   📈 持有 觀察/可賣出
   3011.TW          240      26.67         157.27  -70.39    2.75      30   ☁ 觀望 觀察/可賣出
   1795.TW          240      23.33         157.26  -54.58    3.33      30   📈 持有 觀察/可賣出
   3149.TW           20      34.43         157.25 -102.03    1.74     122   ☁ 觀望 觀察/可賣出
   1590.TW          120      29.41         157.18 -107.75    1.46      68   📈 持有 觀察/可賣出
  3455.TWO          120      41.07         157.17  -33.98    2.99      56   📈 持有     持有
   6757.TW          120      42.86         156.41   -4.00    6.37       7   ☁ 觀望     持有
   2520.TW          240      40.00         156.16  -25.35    5.76      20   ☁ 觀望     持有
   2414.TW          240      52.17         156.06  -12.57    5.51      23   📈 持有     持有
  3546.TWO          240      41.67         155.75  -34.48    3.10      36   ☁ 觀望     持有
   2357.TW          240      31.25         155.35  -34.03    2.04      48   📈 持有     持有
   6205.TW           60      26.47         155.23  -41.41    2.08      68   ☁ 觀望 觀察/可賣出
  3349.TWO           10      32.64         155.14  -42.93    1.56     193   📈 持有     持有
  8936.TWO           10      35.60         155.13  -59.39    1.60     191   ☁ 觀望 觀察/可賣出
  3122.TWO          120      19.67         154.39  -97.46    0.98      61   ☁ 觀望 觀察/可賣出
   2613.TW          240      28.57         154.23  -39.68    2.52      35   ☁ 觀望 觀察/可賣出
  4561.TWO          120      32.50         154.11  -66.28    1.83      40   ☁ 觀望 觀察/可賣出
  3227.TWO          120      32.31         153.40  -37.46    2.30      65   ☁ 觀望     持有
  3581.TWO           10      35.50         153.01  -59.25    1.26     231   ☁ 觀望 觀察/可賣出
  2640.TWO          240      26.32         152.55  -17.59    3.79      38   📈 持有 觀察/可賣出
   2305.TW          120      25.58         152.33  -59.29    1.84      43   📈 持有 觀察/可賣出
   2377.TW          240      38.24         152.28  -38.02    2.84      34   ☁ 觀望     持有
   2317.TW           60      33.33         152.26  -33.57    2.42      81   ☁ 觀望     持有
  4966.TWO          240      37.14         151.90  -39.91    2.26      35   📈 持有     持有
   2032.TW           10      32.20         151.39  -94.98    1.26     205   📈 持有 觀察/可賣出
   2891.TW          120      33.33         151.25  -24.10    3.44      45   📈 持有     持有
   2812.TW          240      29.17         151.09   -6.12    5.10      24   📈 持有 觀察/可賣出
   2883.TW          120      40.48         150.92  -20.75    3.79      42   📈 持有     持有
   2504.TW          240      38.46         150.55  -25.70    3.75      26   ☁ 觀望     持有
   6005.TW          120      30.61         150.20  -20.66    3.89      49   📈 持有     持有
  4549.TWO           10      37.63         150.18  -35.96    1.34     194   📈 持有     持有
  6134.TWO           60      32.76         150.14  -51.91    2.74      58   📈 持有 觀察/可賣出
   3056.TW          120      38.64         149.82  -22.39    3.87      44   ☁ 觀望     持有
  6654.TWO           10      36.25         149.82  -46.79    1.56     160   ☁ 觀望     持有
  6725.TWO           20      32.43         149.49  -27.19    4.04      37   📈 持有     持有
  3567.TWO          240      25.00         149.36  -32.52    3.10      20   📈 持有 觀察/可賣出
   2630.TW           20      33.33         149.18  -56.19    1.08     126   ☁ 觀望 觀察/可賣出
  5245.TWO          240      20.00         149.15  -40.26    2.42      25   📈 持有 觀察/可賣出
   6438.TW          240      50.00         148.69  -31.97    6.24      20   📈 持有     持有
   3416.TW          240      41.18         147.71  -12.77    3.36      34   📈 持有     持有
  6925.TWO          240      25.00         147.62  -17.02    4.31      12   📈 持有 觀察/可賣出
   2017.TW          240      30.00         147.30  -27.28    5.22      10   ☁ 觀望 觀察/可賣出
  4529.TWO           10      30.91         147.29 -165.99    0.45     220   ☁ 觀望 觀察/可賣出
   7610.TW           10      42.86         147.07   -8.35    8.90       7   📈 持有     持有
  6143.TWO           20      35.94         146.70  -54.43    2.09     128   ☁ 觀望 觀察/可賣出
  00735.TW           20      37.66         146.64  -27.86    3.04      77   📈 持有     持有
   2328.TW          240      37.50         146.06  -37.05    3.21      32   📈 持有     持有
   9910.TW          120      31.75         145.91  -66.15    1.82      63   ☁ 觀望 觀察/可賣出
  6284.TWO           10      35.53         144.84  -75.84    1.36     197   📈 持有 觀察/可賣出
  3317.TWO           20      35.20         144.46  -52.49    1.79     125   📈 持有 觀察/可賣出
  8084.TWO            5      30.99         144.01  -64.24    1.17     284   📈 持有 觀察/可賣出
  3093.TWO          120      28.85         143.36  -50.59    2.31      52   📈 持有 觀察/可賣出
   1522.TW           60      32.91         143.20  -34.52    2.29      79   ☁ 觀望     持有
  4510.TWO           20      29.30         143.16  -60.58    0.88     157   ☁ 觀望 觀察/可賣出
   6209.TW           10      36.82         143.10  -41.30    1.44     201   📈 持有     持有
   2501.TW           60      30.14         143.02  -50.07    2.02      73   📈 持有 觀察/可賣出
   2605.TW           10      30.96         142.65  -55.73    1.27     197   ☁ 觀望 觀察/可賣出
  2752.TWO          120      20.00         142.09  -35.41    2.58      50   ☁ 觀望 觀察/可賣出
  3709.TWO          120      41.38         142.01  -18.26    5.29      29   📈 持有     持有
   2482.TW           20      22.92         141.93  -86.67    1.02     144   📈 持有 觀察/可賣出
   2727.TW          120      26.92         141.89  -35.66    2.11      52   📈 持有 觀察/可賣出
  3372.TWO          120      22.73         141.48  -93.08    1.90      44   📈 持有 觀察/可賣出
   2025.TW           60      35.06         140.99  -33.99    2.18      77   📈 持有     持有
   9110.TW           20      35.16         140.50  -40.05    1.03     182   ☁ 觀望     持有
  3272.TWO           20      26.67         140.17 -156.77    0.76     135   ☁ 觀望 觀察/可賣出
   8464.TW          240      36.11         139.91  -64.03    2.92      36   ☁ 觀望 觀察/可賣出
   2451.TW          120      26.76         139.50  -42.13    1.47      71   📈 持有 觀察/可賣出
   5285.TW          240      24.00         139.34  -45.02    2.47      25   📈 持有 觀察/可賣出
  4772.TWO          120      47.06         138.96  -23.87    4.88      17   ☁ 觀望     持有
   2516.TW          240      47.83         138.90   -8.69    3.27      23   ☁ 觀望     持有
   8028.TW          240      43.59         138.67  -52.58    2.11      39   📈 持有 觀察/可賣出
  6127.TWO          120      40.00         138.44  -47.99    2.24      60   📈 持有     持有
   1904.TW          240      38.46         137.98  -12.12    5.97      13   📈 持有     持有
   2472.TW           20      38.41         137.89  -37.65    1.95     138   📈 持有     持有
   2349.TW           10      31.50         137.52 -112.43    0.69     200   ☁ 觀望 觀察/可賣出
   0052.TW           10      37.37         137.49  -35.09    2.19     190   📈 持有     持有
  2221.TWO           10      33.76         137.46  -45.57    1.19     237   📈 持有     持有
  6651.TWO           20      38.00         137.34  -44.73    1.73     100   📈 持有     持有
   2030.TW          120      30.99         136.78  -55.11    1.26      71   📈 持有 觀察/可賣出
   5515.TW          240      27.59         136.75  -28.27    3.19      29   📈 持有 觀察/可賣出
   2442.TW          240      36.59         136.63  -36.50    2.75      41   ☁ 觀望     持有
   9938.TW          120      38.10         136.57  -36.01    2.54      63   ☁ 觀望     持有
   2423.TW          240      37.50         136.27  -15.35    4.74      24   📈 持有     持有
   2340.TW          120      34.21         136.03  -36.98    3.41      38   📈 持有     持有
   2885.TW          240      39.13         135.75   -6.69    6.29      23   📈 持有     持有
   8016.TW           60      25.00         135.11  -92.10    1.50      96   📈 持有 觀察/可賣出
  6470.TWO           20      35.11         134.62  -46.14    1.97     131   ☁ 觀望     持有
  4513.TWO           60      35.14         134.50  -47.12    1.79      74   ☁ 觀望     持有
  4558.TWO          240      22.58         133.86  -35.28    2.22      31   ☁ 觀望 觀察/可賣出
  3577.TWO          240      28.85         133.64  -46.87    1.66      52   📈 持有 觀察/可賣出
   2852.TW          240      35.48         133.46  -14.34    4.22      31   📈 持有     持有
   2491.TW           10      31.45         133.32 -139.17    0.85     248   ☁ 觀望 觀察/可賣出
   1598.TW          120      36.11         133.28  -64.84    2.44      36   ☁ 觀望 觀察/可賣出
   8131.TW          240      44.00         133.11   -7.55    4.62      25   📈 持有     持有
  8234.TWO           60      32.79         133.11  -35.82    2.31      61   ☁ 觀望     持有
  4804.TWO           60      35.71         133.01  -64.56    2.03      42   ☁ 觀望 觀察/可賣出
   2010.TW          120      25.00         132.85  -25.69    1.75      68   📈 持有 觀察/可賣出
   5521.TW           20      27.91         132.82  -41.14    1.50     129   ☁ 觀望 觀察/可賣出
  8091.TWO           60      28.24         132.66  -40.90    1.53      85   📈 持有 觀察/可賣出
   6431.TW           20      33.86         132.24  -72.28    1.72     127   ☁ 觀望 觀察/可賣出
   2374.TW           20      30.56         131.98  -51.00    1.17     144   ☁ 觀望 觀察/可賣出
   3028.TW           60      32.73         131.65  -20.51    3.44      55   📈 持有     持有
   3711.TW          120      26.92         131.38  -74.67    1.77      78   📈 持有 觀察/可賣出
  7712.TWO           10      25.64         130.92  -28.87    2.91      39   ☁ 觀望 觀察/可賣出
   3703.TW           20      29.46         130.88  -41.07    1.50     129   📈 持有 觀察/可賣出
  6903.TWO           20      36.36         130.09  -20.31    3.53      44   📈 持有     持有
   8462.TW          240      30.77         129.96  -49.18    3.53      26   📈 持有     持有
  7547.TWO          240      42.86         129.85  -33.92    5.48       7   📈 持有     持有
  6275.TWO           20      34.21         129.75  -45.08    1.78     152   ☁ 觀望     持有
  5543.TWO           60      31.68         129.24  -54.56    0.99     101   ☁ 觀望 觀察/可賣出
  6423.TWO           20      26.19         128.84  -61.80    1.21     126   ☁ 觀望 觀察/可賣出
   6625.TW          240      30.56         128.64  -33.62    1.98      36   📈 持有     持有
   6873.TW          120      60.00         128.54   -5.16    8.29      10   ☁ 觀望     持有
   5519.TW          240      33.33         128.49  -16.37    3.06      36   📈 持有     持有
  6292.TWO          120      24.39         128.47  -14.85    3.26      41   📈 持有 觀察/可賣出
   2399.TW          120      33.33         128.44  -46.04    2.22      54   📈 持有     持有
   2633.TW          240      26.42         128.38  -48.35    1.92      53   📈 持有 觀察/可賣出
  4527.TWO          120      35.85         127.97  -15.20    3.34      53   📈 持有     持有
   6698.TW           10      40.00         127.91  -36.42    2.04     115   ☁ 觀望     持有
   1712.TW          120      34.88         127.80  -22.27    2.82      43   📈 持有     持有
   2610.TW          120      18.42         127.55  -26.21    2.68      38   ☁ 觀望 觀察/可賣出
  5009.TWO          240      34.48         127.25  -30.19    3.19      29   ☁ 觀望     持有
   2024.TW          240      33.33         127.14   -9.43    3.94      27   ☁ 觀望     持有
   2489.TW          120      20.00         126.89  -30.69    3.21      35   📈 持有 觀察/可賣出
  8099.TWO          120      27.69         126.50  -40.09    2.23      65   ☁ 觀望 觀察/可賣出
  6016.TWO          240      34.88         126.42  -25.38    2.22      43   📈 持有     持有
   9919.TW          240      28.57         125.29  -64.33    1.66      35   ☁ 觀望 觀察/可賣出
   2406.TW           20      27.94         124.20  -96.18    0.89     136   ☁ 觀望 觀察/可賣出
  4533.TWO          120      26.56         124.16 -103.12    1.65      64   📈 持有 觀察/可賣出
  1785.TWO          240      30.56         124.11  -39.71    2.49      36   📈 持有     持有
