正在分析 1684 檔標的...
     Stock  Best_Period  Win_Rate%  Total_Return%    MDD%  Sharpe  Trades Status Action
  6291.TWO          240      41.18         503.15 -133.52    2.86      34   📈 持有 觀察/可賣出
  3693.TWO           60      33.82         500.07 -135.94    1.45      68   📈 持有 觀察/可賣出
   2344.TW          120      31.82         495.45  -39.37    3.06      44   📈 持有     持有
   4967.TW          120      37.14         493.85  -41.54    4.69      35   📈 持有     持有
   3443.TW          120      35.42         483.74  -48.54    3.30      48   📈 持有     持有
   8210.TW          120      29.63         479.00  -44.08    3.28      54   📈 持有 觀察/可賣出
  5386.TWO           10      33.48         478.53 -101.85    1.65     224   📈 持有 觀察/可賣出
   2009.TW          120      30.77         476.74  -33.68    2.86      39   📈 持有     持有
  6546.TWO          120      34.38         473.69  -36.13    3.08      32   ☁ 觀望     持有
   5269.TW           20      32.41         465.14  -79.39    2.04     145   ☁ 觀望 觀察/可賣出
  3147.TWO          240      44.44         458.98  -23.31    5.42      18   ☁ 觀望     持有
  6187.TWO          240      40.91         458.84  -28.63    3.34      44   📈 持有     持有
  5381.TWO          240      35.29         452.60  -34.32    3.76      34   ☁ 觀望     持有
   6446.TW          120      23.81         449.79 -155.76    1.90      63   📈 持有 觀察/可賣出
   2383.TW          240      64.29         447.12  -28.05   10.11      14   📈 持有     持有
  4909.TWO          120      22.06         441.52  -87.11    1.54      68   📈 持有 觀察/可賣出
   6550.TW          240      25.00         440.30  -18.17    4.39      12   ☁ 觀望 觀察/可賣出
  6122.TWO          240      21.43         439.24  -17.22    3.12      28   📈 持有 觀察/可賣出
 00632R.TW           20      22.50         439.22 -130.75    1.08     120   ☁ 觀望 觀察/可賣出
  3260.TWO          120      35.29         431.69  -44.05    3.89      34   📈 持有     持有
   1235.TW          240      20.00         431.49  -30.88    3.84      20   ☁ 觀望 觀察/可賣出
  3211.TWO          240      42.11         431.41   -6.44    5.57      19   📈 持有     持有
  4402.TWO           60      33.87         428.00  -63.93    2.54      62   ☁ 觀望 觀察/可賣出
  4171.TWO          240      23.81         427.77  -44.40    3.16      21   📈 持有 觀察/可賣出
  5321.TWO           60      32.88         423.38  -64.03    3.00      73   ☁ 觀望 觀察/可賣出
  6684.TWO          240      40.00         421.27  -38.75    5.17      10   ☁ 觀望     持有
  3086.TWO          120      32.79         421.02 -119.33    1.54      61   ☁ 觀望 觀察/可賣出
  3230.TWO           60      29.11         416.65  -86.04    1.41      79   📈 持有 觀察/可賣出
  3491.TWO           20      32.87         416.54  -33.66    1.99     143   📈 持有     持有
  6274.TWO          240      40.00         414.89  -41.67    4.21      35   📈 持有     持有
   1435.TW          240      28.12         414.26  -38.27    2.71      32   ☁ 觀望 觀察/可賣出
   3037.TW          120      32.43         408.31  -46.96    4.30      37   📈 持有     持有
  8054.TWO          240      22.22         406.51  -45.68    2.98      36   📈 持有 觀察/可賣出
   6669.TW           20      50.00         406.01  -32.50    3.17     102   ☁ 觀望     持有
   6283.TW          240      25.00         404.79  -63.38    2.46      32   ☁ 觀望 觀察/可賣出
  3217.TWO          240      45.45         403.03  -19.84    3.85      33   📈 持有     持有
   6645.TW           20      27.88         402.48  -98.00    1.20     104   ☁ 觀望 觀察/可賣出
   2371.TW          240      28.12         402.30  -64.25    2.76      32   ☁ 觀望 觀察/可賣出
   6235.TW          120      40.43         401.88  -77.22    3.53      47   ☁ 觀望 觀察/可賣出
  5274.TWO          240      52.00         399.04  -15.45    4.97      25   📈 持有     持有
   2465.TW           60      28.77         397.15  -72.92    2.30      73   ☁ 觀望 觀察/可賣出
   2417.TW           20      30.40         396.01  -85.09    1.26     125   📈 持有 觀察/可賣出
   3035.TW          120      31.11         394.92  -51.91    2.93      45   ☁ 觀望 觀察/可賣出
   6691.TW          240      50.00         393.15   -1.00    8.02       6   📈 持有     持有
  3675.TWO          240      24.32         391.71  -36.72    2.66      37   📈 持有 觀察/可賣出
  5439.TWO          120      31.48         389.30  -18.49    3.57      54   📈 持有     持有
  3131.TWO          240      35.14         386.07  -34.53    3.34      37   📈 持有     持有
   3715.TW          120      54.55         384.69  -17.83    7.10      11   📈 持有     持有
  5536.TWO          240      38.71         384.28  -48.22    3.82      31   📈 持有     持有
   1442.TW          240      38.46         383.33  -14.15    4.63      13   ☁ 觀望     持有
   3406.TW           10      40.10         382.80  -43.95    2.49     202   ☁ 觀望     持有
  3162.TWO          120      35.90         382.03  -26.49    3.30      39   📈 持有     持有
   6919.TW           10      48.78         381.99  -24.06    6.69      41   📈 持有     持有
  5443.TWO           60      30.43         378.95  -85.20    1.71      92   📈 持有 觀察/可賣出
  6173.TWO          240      24.24         378.92  -61.23    2.27      33   📈 持有 觀察/可賣出
   2028.TW          240      23.08         377.44  -72.37    2.72      39   ☁ 觀望 觀察/可賣出
   2597.TW          240      44.00         375.91  -31.55    5.08      25   📈 持有     持有
  3529.TWO          120      36.17         374.98  -66.51    2.26      47   📈 持有 觀察/可賣出
  4991.TWO          240      36.67         373.76  -68.02    2.87      30   📈 持有 觀察/可賣出
  6485.TWO          120      34.21         370.27  -45.54    2.58      38   📈 持有     持有
   6215.TW          240      38.89         368.96  -38.52    2.49      36   📈 持有     持有
   6117.TW          120      16.88         366.88 -153.92    1.18      77   ☁ 觀望 觀察/可賣出
  6199.TWO          240      30.00         366.46  -81.27    2.32      30   ☁ 觀望 觀察/可賣出
  6494.TWO          240      35.71         364.93  -32.85    3.01      28   📈 持有     持有
  3357.TWO          240      30.77         363.62  -17.58    3.42      26   📈 持有     持有
   2363.TW          240      29.27         362.94  -45.31    2.86      41   ☁ 觀望 觀察/可賣出
  4760.TWO          240      66.67         362.61   -2.99    8.31       9   📈 持有     持有
   2351.TW          120      25.00         362.45  -72.86    2.89      36   📈 持有 觀察/可賣出
  6265.TWO          120      27.45         362.37  -48.54    2.33      51   📈 持有 觀察/可賣出
  2743.TWO           20      32.37         359.88  -51.05    2.13     139   ☁ 觀望 觀察/可賣出
  5309.TWO          120      30.86         359.53 -111.43    1.20      81   ☁ 觀望 觀察/可賣出
   2337.TW           20      30.61         359.08 -113.16    1.67     147   📈 持有 觀察/可賣出
  6237.TWO          240      23.33         358.09  -44.58    2.52      30   📈 持有 觀察/可賣出
  5289.TWO           20      36.36         358.08  -44.22    3.84     132   📈 持有     持有
   1609.TW          240      33.33         354.75  -27.40    4.82      21   ☁ 觀望     持有
  8183.TWO          240      27.59         353.97  -44.05    3.45      29   📈 持有 觀察/可賣出
  8086.TWO          120      40.91         351.78  -21.67    3.60      44   📈 持有     持有
   3006.TW          240      38.46         349.85  -21.97    3.30      26   📈 持有     持有
  5340.TWO          120      24.53         349.77  -88.48    2.73      53   📈 持有 觀察/可賣出
   3312.TW          120      46.15         349.72  -15.32    4.24      39   ☁ 觀望     持有
   4943.TW          120      45.24         349.55  -82.08    2.93      42   📈 持有 觀察/可賣出
  8433.TWO          240      48.00         349.53  -12.08    4.37      25   ☁ 觀望     持有
  6276.TWO           60      50.00         349.09  -36.01    4.01      52   ☁ 觀望     持有
   5234.TW          240      41.67         347.46  -11.61    4.51      24   📈 持有     持有
   8021.TW          120      32.14         347.30  -69.65    2.81      56   📈 持有 觀察/可賣出
   8112.TW          120      30.00         346.00  -26.09    4.33      40   📈 持有 觀察/可賣出
  8111.TWO          240      36.11         345.63  -46.39    4.08      36   📈 持有     持有
   3029.TW          240      42.42         343.99  -23.84    3.51      33   ☁ 觀望     持有
   3167.TW          240      33.33         342.41  -32.61    4.94      24   📈 持有     持有
   2348.TW          240      35.29         342.32  -18.62    6.66      17   ☁ 觀望     持有
   3530.TW          240      34.62         342.20  -51.28    3.03      26   📈 持有 觀察/可賣出
  3310.TWO          240      23.64         342.16  -53.16    2.38      55   ☁ 觀望 觀察/可賣出
  8908.TWO          240      25.93         340.26  -28.04    2.78      27   ☁ 觀望 觀察/可賣出
   2449.TW          120      33.33         339.41  -29.78    3.49      54   📈 持有     持有
  3379.TWO          240      36.36         339.39 -113.44    1.71      44   ☁ 觀望 觀察/可賣出
  6144.TWO           60      36.36         338.06  -82.63    1.06     143   ☁ 觀望 觀察/可賣出
   3231.TW          240      38.89         337.78  -23.29    2.76      36   📈 持有     持有
   3535.TW          120      32.20         336.12  -34.06    3.78      59   📈 持有     持有
   9906.TW          240      40.00         335.64  -53.62    3.72      20   ☁ 觀望 觀察/可賣出
  3580.TWO           60      36.51         334.78  -77.75    2.74      63   📈 持有 觀察/可賣出
  8155.TWO          120      37.93         332.82  -79.55    2.76      58   📈 持有 觀察/可賣出
   3669.TW          240      25.00         332.31  -44.59    2.22      44   📈 持有 觀察/可賣出
   8996.TW           20      34.43         331.14  -46.99    2.84     122   📈 持有     持有
   3532.TW           10      33.66         329.07  -37.54    2.17     205   📈 持有     持有
  8089.TWO          120      31.58         327.57  -68.53    3.08      19   ☁ 觀望 觀察/可賣出
  1815.TWO          240      34.48         326.42  -31.60    3.30      29   📈 持有     持有
   1225.TW           60      34.48         326.42  -30.86    3.64      58   📈 持有     持有
  3081.TWO           10      29.56         326.22 -150.07    1.42     203   📈 持有 觀察/可賣出
   8374.TW          240      32.14         326.18  -59.29    3.98      28   ☁ 觀望 觀察/可賣出
   6443.TW          120      21.21         325.72 -131.25    1.46      66   📈 持有 觀察/可賣出
   2367.TW           10      32.08         325.03  -55.96    1.60     212   ☁ 觀望 觀察/可賣出
  4304.TWO           20      36.97         323.20  -65.53    1.33     165   ☁ 觀望 觀察/可賣出
  5520.TWO          240      37.50         321.58  -10.04    4.39      16   ☁ 觀望     持有
   4968.TW          240      50.00         321.45  -23.56    4.53      26   ☁ 觀望     持有
  6597.TWO          120      31.25         320.67  -20.50    4.65      16   📈 持有     持有
   2303.TW          240      25.00         319.11  -21.48    2.90      28   📈 持有 觀察/可賣出
  6129.TWO           60      32.10         318.92  -67.96    1.34      81   📈 持有 觀察/可賣出
   2467.TW          240      37.04         317.73  -28.82    4.82      27   📈 持有     持有
   6426.TW           10      38.32         314.98  -85.23    1.63     214   📈 持有 觀察/可賣出
  3707.TWO          120      31.25         313.77  -53.14    2.27      48   ☁ 觀望 觀察/可賣出
   2330.TW          240      50.00         312.57  -17.02    5.37      24   📈 持有     持有
   1727.TW          120      31.25         310.65  -51.41    2.21      48   📈 持有 觀察/可賣出
  4721.TWO          240      18.75         307.64  -46.15    2.67      32   📈 持有 觀察/可賣出
   2421.TW          240      42.31         307.44  -45.90    4.42      26   📈 持有     持有
  3313.TWO          120      19.67         306.56  -97.27    1.66      61   ☁ 觀望 觀察/可賣出
  3483.TWO          120      28.57         306.52  -34.73    3.24      42   ☁ 觀望 觀察/可賣出
  4542.TWO          120      32.14         305.43  -49.75    3.02      56   📈 持有     持有
  4728.TWO          120      36.36         305.17  -35.94    4.66      44   ☁ 觀望     持有
  8040.TWO           60      26.87         305.05  -71.95    1.98      67   ☁ 觀望 觀察/可賣出
   2364.TW          120      21.05         304.15 -162.55    1.41      57   ☁ 觀望 觀察/可賣出
   3305.TW          120      35.00         303.96  -39.15    3.68      40   📈 持有     持有
   2329.TW          120      38.10         303.73  -94.58    2.84      42   📈 持有 觀察/可賣出
   6191.TW          240      48.57         301.85  -30.35    4.97      35   📈 持有     持有
   6655.TW          120      30.56         299.73  -14.43    2.52      36   📈 持有     持有
  5864.TWO           60      27.27         299.20  -42.36    2.71      88   📈 持有 觀察/可賣出
  3163.TWO          240      37.50         298.22  -49.21    2.80      24   📈 持有     持有
  3264.TWO          120      30.43         297.27  -36.37    3.75      46   📈 持有     持有
  8043.TWO          120      25.42         297.03  -80.15    2.37      59   📈 持有 觀察/可賣出
   5284.TW          240      36.84         296.15  -26.78    4.62      19   📈 持有     持有
  3158.TWO          240      60.00         293.62   -7.87    7.74       5   ☁ 觀望     持有
   4722.TW          120      25.00         293.42  -41.85    4.14      44   ☁ 觀望 觀察/可賣出
