prev_year,pe,gm,date,prev_eps_yoy,symbol,prev_rev_yoy,eps_yoy,est_price,name,eps,expansion,status,advice,price,rev_yoy,prev_eps,om
2025,29.365079365079364,N/A,2025-12,357.63,6166.TW,23.93,921.74,66.15,凌華,2.35,904.65,🚀 利潤擴張,⚠️ 追價風險,129.5,17.09,1.52,N/A
2025,7.6124567474048455,16.87%,2025-12,977.78,1529.TW,34.59,876.92,43.349999999999994,樂事綠能,1.01,844.03,🚀 利潤擴張,💎 強力關注,22.0,32.89,0.97,7.13%
2025,17.51412429378531,N/A,2025-12,270.59,8110.TW,-8.99,830.77,53.1,華東,2.48,837.6899999999999,🧐 疑業外收益,⚪ 中性觀察,62.0,-6.92,1.29,N/A
2025,188.47006651884698,N/A,2025-12,2775.0,8046.TW,18.82,840.63,67.65,南電,3.01,816.1899999999999,🚀 利潤擴張,⚠️ 追價風險,850.0,24.44,1.15,N/A
2025,0.0,N/A,2025-12,-350.0,6182.TWO,11.35,800.0,0.0,合晶,0.09,787.43,🔄 轉虧為盈,⚪ 數據不足,90.6999969482,12.57,-0.05,N/A
2025,11.854304383112579,20.10%,2025-12,-258.33,2102.TW,1.98,721.43,22.650000000000006,泰豐,6.28,722.0,🔄 轉虧為盈,💎 強力關注,17.8999996185,-0.57,-2.22,-167.95%
2025,0.0,19.96%,2025-12,107.14,4414.TW,-4.36,700.0,0.0,如興,0.68,705.37,🧐 疑業外收益,⚪ 數據不足,0.0,-5.37,0.02,4.40%
2025,214.0,26.03%,2025-12,250.0,3236.TWO,7.39,700.0,3.75,千如,0.32,689.09,🚀 利潤擴張,⚠️ 追價風險,53.5,10.91,0.12,5.00%
2025,21.145832538541658,23.42%,2025-12,-2.63,2323.TW,-4.42,685.19,7.200000000000003,中環,1.58,688.58,🧐 疑業外收益,⚪ 中性觀察,10.1499996185,-3.39,0.37,-5.65%
2025,0.0,24.00%,2025-12,-966.67,4413.TWO,140.24,783.33,-9.45,飛寶企業,0.53,668.5600000000001,🔄 轉虧為盈,⚪ 數據不足,16.7000007629,114.77,-0.26,6.14%
2025,23.645834128124996,27.32%,2025-12,460.0,4924.TWO,22.5,660.0,7.2,欣厚-KY,0.38,656.01,🚀 利潤擴張,⚠️ 追價風險,11.3500003815,3.99,0.28,0.43%
2025,14.956139681666668,17.03%,2025-12,422.22,3002.TW,14.66,620.0,17.099999999999998,歐格,0.36,603.24,🚀 利潤擴張,✅ 穩健價值,17.0499992371,16.76,0.48,-11.28%
2025,626.0869565217391,41.86%,2025-12,-57.14,2344.TW,-0.22,576.92,3.4499999999999997,華邦電,0.88,567.37,🚀 利潤擴張,⚠️ 追價風險,144.0,9.55,0.12,15.37%
2025,25.96153846153846,62.07%,2025-12,288.57,3054.TW,24.16,590.0,39.0,立萬利,1.96,563.39,🏰 高護城河,⚠️ 追價風險,67.5,26.61,0.66,-188.65%
2025,0.0,N/A,2025-12,1270.21,9949.TWO,-19.03,544.54,0.0,琉園,5.29,561.54,🧐 疑業外收益,⚪ 數據不足,0.0,-17.0,5.5,N/A
2025,0.0,N/A,2025-12,-90.0,6282.TW,-4.33,550.0,-13.950000000000003,康舒,0.18,549.9,🔄 轉虧為盈,⚪ 數據不足,57.7000007629,0.1,-0.38,N/A
2025,131.17646610058813,43.42%,2025-12,179.03,2491.TW,-12.66,457.5,2.5500000000000025,吉祥全,1.43,467.93,🧐 疑業外收益,⚠️ 追價風險,22.2999992371,-10.43,0.49,-66.51%
2025,24.545455175950416,30.70%,2025-12,2600.0,3297.TWO,18.74,461.54,18.15,杭特,0.47,440.95000000000005,🚀 利潤擴張,⚠️ 追價風險,29.7000007629,20.59,0.54,-18.51%
